danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.591,0.515,6,-6.004,1,0.0335,0.36,0,0.0723,0.562,113.994,audio_features,6oOARVvXbRFCNvVgnTrsNw,spotify:track:6oOARVvXbRFCNvVgnTrsNw,https://api.spotify.com/v1/tracks/6oOARVvXbRFCNvVgnTrsNw,https://api.spotify.com/v1/audio-analysis/6oOARVvXbRFCNvVgnTrsNw,246440,4,52
0.512,0.472,7,-5.609,0,0.0287,0.566,0,0.15,0.381,80.379,audio_features,6WAoKqfh8CAqTbjiLkM4q1,spotify:track:6WAoKqfh8CAqTbjiLkM4q1,https://api.spotify.com/v1/tracks/6WAoKqfh8CAqTbjiLkM4q1,https://api.spotify.com/v1/audio-analysis/6WAoKqfh8CAqTbjiLkM4q1,275577,4,40
0.549,0.529,3,-12.291,0,0.108,0.76,0,0.206,0.464,82.755,audio_features,0YTgZJfVLmJ0b8XAMZKRKg,spotify:track:0YTgZJfVLmJ0b8XAMZKRKg,https://api.spotify.com/v1/tracks/0YTgZJfVLmJ0b8XAMZKRKg,https://api.spotify.com/v1/audio-analysis/0YTgZJfVLmJ0b8XAMZKRKg,184333,4,55
0.595,0.571,5,-6.711,0,0.0979,0.501,2.83e-05,0.282,0.769,132.976,audio_features,6L1Y0Lt8pGmdZI0YiFEYMN,spotify:track:6L1Y0Lt8pGmdZI0YiFEYMN,https://api.spotify.com/v1/tracks/6L1Y0Lt8pGmdZI0YiFEYMN,https://api.spotify.com/v1/audio-analysis/6L1Y0Lt8pGmdZI0YiFEYMN,162080,1,42
0.599,0.584,8,-9.716,1,0.198,0.694,3.4e-06,0.203,0.815,116.511,audio_features,2cOSF20k8VkEoXllO0PsbG,spotify:track:2cOSF20k8VkEoXllO0PsbG,https://api.spotify.com/v1/tracks/2cOSF20k8VkEoXllO0PsbG,https://api.spotify.com/v1/audio-analysis/2cOSF20k8VkEoXllO0PsbG,178533,4,37
0.48,0.281,8,-13.807,1,0.0592,0.785,3.04e-06,0.138,0.635,137.352,audio_features,0Z0qG3El21xEkL9RupyIin,spotify:track:0Z0qG3El21xEkL9RupyIin,https://api.spotify.com/v1/tracks/0Z0qG3El21xEkL9RupyIin,https://api.spotify.com/v1/audio-analysis/0Z0qG3El21xEkL9RupyIin,166960,4,46
0.62,0.67,2,-11.575,0,0.0591,0.853,0.896,0.156,0.295,113.492,audio_features,5L8ta4ECl5zeA6bGqY7G38,spotify:track:5L8ta4ECl5zeA6bGqY7G38,https://api.spotify.com/v1/tracks/5L8ta4ECl5zeA6bGqY7G38,https://api.spotify.com/v1/audio-analysis/5L8ta4ECl5zeA6bGqY7G38,520293,4,58
0.584,0.715,2,-6.505,0,0.118,0.318,1.34e-06,0.394,0.754,106.556,audio_features,5s9wI2Jijxp5sDyL9ltKmR,spotify:track:5s9wI2Jijxp5sDyL9ltKmR,https://api.spotify.com/v1/tracks/5s9wI2Jijxp5sDyL9ltKmR,https://api.spotify.com/v1/audio-analysis/5s9wI2Jijxp5sDyL9ltKmR,175733,4,42
0.656,0.238,2,-10.889,1,0.0377,0.938,0.134,0.292,0.616,139.774,audio_features,1H13WKDhOgwVeWzveBPTh0,spotify:track:1H13WKDhOgwVeWzveBPTh0,https://api.spotify.com/v1/tracks/1H13WKDhOgwVeWzveBPTh0,https://api.spotify.com/v1/audio-analysis/1H13WKDhOgwVeWzveBPTh0,194933,4,49
0.54,0.784,5,-6.004,0,0.062,0.811,0.00834,0.141,0.853,116.975,audio_features,1GERVZcph8qx09OR7Wo1UV,spotify:track:1GERVZcph8qx09OR7Wo1UV,https://api.spotify.com/v1/tracks/1GERVZcph8qx09OR7Wo1UV,https://api.spotify.com/v1/audio-analysis/1GERVZcph8qx09OR7Wo1UV,143707,4,44
