danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.628,0.258,1,-21.268,1,0.948,0.813,0,0.128,0.448,170.278,audio_features,17AnhTNxDc1fc15rcCsCYq,spotify:track:17AnhTNxDc1fc15rcCsCYq,https://api.spotify.com/v1/tracks/17AnhTNxDc1fc15rcCsCYq,https://api.spotify.com/v1/audio-analysis/17AnhTNxDc1fc15rcCsCYq,356733,4,29
0.725,0.471,0,-7.592,1,0.0589,0.395,0,0.705,0.555,122.11,audio_features,1PGJHAEqbGqiqj3Cthmx4p,spotify:track:1PGJHAEqbGqiqj3Cthmx4p,https://api.spotify.com/v1/tracks/1PGJHAEqbGqiqj3Cthmx4p,https://api.spotify.com/v1/audio-analysis/1PGJHAEqbGqiqj3Cthmx4p,165227,4,22
0.719,0.308,6,-10.34,1,0.922,0.863,0,0.253,0.589,115.075,audio_features,3VAX2MJdmdqARLSU5hPMpm,spotify:track:3VAX2MJdmdqARLSU5hPMpm,https://api.spotify.com/v1/tracks/3VAX2MJdmdqARLSU5hPMpm,https://api.spotify.com/v1/audio-analysis/3VAX2MJdmdqARLSU5hPMpm,656960,3,26
0.718,0.289,1,-13.492,1,0.942,0.651,0,0.0857,0.352,129.803,audio_features,61KttboxcCRZs2hoaG0TsH,spotify:track:61KttboxcCRZs2hoaG0TsH,https://api.spotify.com/v1/tracks/61KttboxcCRZs2hoaG0TsH,https://api.spotify.com/v1/audio-analysis/61KttboxcCRZs2hoaG0TsH,2190000,4,21
0.66,0.298,7,-21.461,0,0.946,0.741,0,0.316,0.528,87.347,audio_features,0L7PQ2hmYJJeJd2eVF7z3r,spotify:track:0L7PQ2hmYJJeJd2eVF7z3r,https://api.spotify.com/v1/tracks/0L7PQ2hmYJJeJd2eVF7z3r,https://api.spotify.com/v1/audio-analysis/0L7PQ2hmYJJeJd2eVF7z3r,1495120,4,20
0.604,0.0305,10,-27.634,0,0.389,0.667,0,0.115,0.399,127.473,audio_features,4a0kbaTj3Ew2gHSLcXeg9L,spotify:track:4a0kbaTj3Ew2gHSLcXeg9L,https://api.spotify.com/v1/tracks/4a0kbaTj3Ew2gHSLcXeg9L,https://api.spotify.com/v1/audio-analysis/4a0kbaTj3Ew2gHSLcXeg9L,770000,4,18
0.635,0.186,0,-22.614,1,0.882,0.886,0,0.084,0.294,84.972,audio_features,3cqjGFNyLuZWKthzpAqWrV,spotify:track:3cqjGFNyLuZWKthzpAqWrV,https://api.spotify.com/v1/tracks/3cqjGFNyLuZWKthzpAqWrV,https://api.spotify.com/v1/audio-analysis/3cqjGFNyLuZWKthzpAqWrV,614200,4,22
0.683,0.186,4,-19.617,0,0.936,0.284,4.93e-06,0.115,0.31,100.446,audio_features,77dVvwU0iJobDnEFXRQjxN,spotify:track:77dVvwU0iJobDnEFXRQjxN,https://api.spotify.com/v1/tracks/77dVvwU0iJobDnEFXRQjxN,https://api.spotify.com/v1/audio-analysis/77dVvwU0iJobDnEFXRQjxN,313173,4,20
0.701,0.146,10,-17.035,0,0.947,0.652,0,0.401,0.335,135.436,audio_features,57QTbL0qKJJCKGUj2PW3CT,spotify:track:57QTbL0qKJJCKGUj2PW3CT,https://api.spotify.com/v1/tracks/57QTbL0qKJJCKGUj2PW3CT,https://api.spotify.com/v1/audio-analysis/57QTbL0qKJJCKGUj2PW3CT,248520,3,19
0.688,0.304,10,-9.96,1,0.531,0.824,0,0.142,0.414,77.056,audio_features,1WJzRtI1ABzV3TPIeJZVvi,spotify:track:1WJzRtI1ABzV3TPIeJZVvi,https://api.spotify.com/v1/tracks/1WJzRtI1ABzV3TPIeJZVvi,https://api.spotify.com/v1/audio-analysis/1WJzRtI1ABzV3TPIeJZVvi,29240,3,0
0.728,0.157,5,-25.558,0,0.885,0.961,0.000879,0.108,0.47,89.774,audio_features,7Iis5gPMQnI5FpQe5aOhVN,spotify:track:7Iis5gPMQnI5FpQe5aOhVN,https://api.spotify.com/v1/tracks/7Iis5gPMQnI5FpQe5aOhVN,https://api.spotify.com/v1/audio-analysis/7Iis5gPMQnI5FpQe5aOhVN,354947,4,25
0.623,0.0574,1,-27.244,1,0.508,0.822,0,0.199,0.461,135.419,audio_features,7wxGEX2tVw2lKgYpO3xd9G,spotify:track:7wxGEX2tVw2lKgYpO3xd9G,https://api.spotify.com/v1/tracks/7wxGEX2tVw2lKgYpO3xd9G,https://api.spotify.com/v1/audio-analysis/7wxGEX2tVw2lKgYpO3xd9G,923773,4,17
0.723,0.202,9,-22.822,0,0.944,0.234,0,0.372,0.775,122.865,audio_features,5ArEU1o32O78JBMP6O5BbW,spotify:track:5ArEU1o32O78JBMP6O5BbW,https://api.spotify.com/v1/tracks/5ArEU1o32O78JBMP6O5BbW,https://api.spotify.com/v1/audio-analysis/5ArEU1o32O78JBMP6O5BbW,169040,3,18
0.739,0.186,0,-19.081,1,0.935,0.301,1.19e-05,0.106,0.187,82.114,audio_features,23sSN73Ki9t3dz7RMJcimp,spotify:track:23sSN73Ki9t3dz7RMJcimp,https://api.spotify.com/v1/tracks/23sSN73Ki9t3dz7RMJcimp,https://api.spotify.com/v1/audio-analysis/23sSN73Ki9t3dz7RMJcimp,173120,4,20
0.695,0.297,7,-22.275,0,0.942,0.676,0,0.272,0.515,103.227,audio_features,0EloAlHELdcaQbfiof5HTd,spotify:track:0EloAlHELdcaQbfiof5HTd,https://api.spotify.com/v1/tracks/0EloAlHELdcaQbfiof5HTd,https://api.spotify.com/v1/audio-analysis/0EloAlHELdcaQbfiof5HTd,1116893,4,17
