danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.52,0.79,7,-4.79,0,0.157,0.129,0,0.181,0.352,196.038,audio_features,36iY5792JQZwzqJqfsNCaJ,spotify:track:36iY5792JQZwzqJqfsNCaJ,https://api.spotify.com/v1/tracks/36iY5792JQZwzqJqfsNCaJ,https://api.spotify.com/v1/audio-analysis/36iY5792JQZwzqJqfsNCaJ,158507,4,5
0.297,0.225,0,-15.776,1,0.0347,0.846,3.67e-06,0.0992,0.131,126.662,audio_features,506nvAQgHmkGd13ipZuBwo,spotify:track:506nvAQgHmkGd13ipZuBwo,https://api.spotify.com/v1/tracks/506nvAQgHmkGd13ipZuBwo,https://api.spotify.com/v1/audio-analysis/506nvAQgHmkGd13ipZuBwo,160800,4,64
0.833,0.806,10,-4.858,1,0.266,0.17,0,0.497,0.914,139.924,audio_features,2kJqmtDEyykUDdjfamKKlV,spotify:track:2kJqmtDEyykUDdjfamKKlV,https://api.spotify.com/v1/tracks/2kJqmtDEyykUDdjfamKKlV,https://api.spotify.com/v1/audio-analysis/2kJqmtDEyykUDdjfamKKlV,155267,4,6
0.464,0.845,6,-2.927,1,0.0508,0.0297,6.4e-06,0.302,0.437,75.029,audio_features,348qSa1KejmhpWgCpsfSxb,spotify:track:348qSa1KejmhpWgCpsfSxb,https://api.spotify.com/v1/tracks/348qSa1KejmhpWgCpsfSxb,https://api.spotify.com/v1/audio-analysis/348qSa1KejmhpWgCpsfSxb,194253,4,55
0.622,0.653,7,-5.591,1,0.22,0.175,0,0.259,0.695,91.09,audio_features,2JxTIvfbuN6ucvqOBBhk3Z,spotify:track:2JxTIvfbuN6ucvqOBBhk3Z,https://api.spotify.com/v1/tracks/2JxTIvfbuN6ucvqOBBhk3Z,https://api.spotify.com/v1/audio-analysis/2JxTIvfbuN6ucvqOBBhk3Z,182907,4,54
0.673,0.433,0,-7.806,1,0.0413,0.71,0,0.118,0.755,134.86,audio_features,4F1fdteEm8Oe2GNUA7ON5S,spotify:track:4F1fdteEm8Oe2GNUA7ON5S,https://api.spotify.com/v1/tracks/4F1fdteEm8Oe2GNUA7ON5S,https://api.spotify.com/v1/audio-analysis/4F1fdteEm8Oe2GNUA7ON5S,162200,4,32
0.74,0.807,11,-5.227,0,0.079,0.239,0,0.328,0.818,128.048,audio_features,01vWrOtEdzlQorEhifVUo3,spotify:track:01vWrOtEdzlQorEhifVUo3,https://api.spotify.com/v1/tracks/01vWrOtEdzlQorEhifVUo3,https://api.spotify.com/v1/audio-analysis/01vWrOtEdzlQorEhifVUo3,174039,4,45
0.508,0.625,7,-6.487,1,0.0353,0.022,0,0.533,0.236,139.942,audio_features,1A2PVHd6kWaMlaJVkMfXmz,spotify:track:1A2PVHd6kWaMlaJVkMfXmz,https://api.spotify.com/v1/tracks/1A2PVHd6kWaMlaJVkMfXmz,https://api.spotify.com/v1/audio-analysis/1A2PVHd6kWaMlaJVkMfXmz,224387,4,55
0.68,0.88,7,-4.641,1,0.188,0.0479,0,0.11,0.937,160.008,audio_features,2KeBQhQAT2sGOOJHLKQbbZ,spotify:track:2KeBQhQAT2sGOOJHLKQbbZ,https://api.spotify.com/v1/tracks/2KeBQhQAT2sGOOJHLKQbbZ,https://api.spotify.com/v1/audio-analysis/2KeBQhQAT2sGOOJHLKQbbZ,208267,4,5
0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.286,121.07,audio_features,4nVBt6MZDDP6tRVdQTgxJg,spotify:track:4nVBt6MZDDP6tRVdQTgxJg,https://api.spotify.com/v1/tracks/4nVBt6MZDDP6tRVdQTgxJg,https://api.spotify.com/v1/audio-analysis/4nVBt6MZDDP6tRVdQTgxJg,245493,4,75
