danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0,0.564,10,-6.745,0,0,0.147,0,0.198,0,0,audio_features,66ua2cX5rfkzhNJnO1Q5rt,spotify:track:66ua2cX5rfkzhNJnO1Q5rt,https://api.spotify.com/v1/tracks/66ua2cX5rfkzhNJnO1Q5rt,https://api.spotify.com/v1/audio-analysis/66ua2cX5rfkzhNJnO1Q5rt,12000,0,0
0.802,0.868,10,-5.151,0,0.0543,0.0247,2.07e-06,0.294,0.7,94.008,audio_features,62HkE0RW3oCiJYnfDgzk5N,spotify:track:62HkE0RW3oCiJYnfDgzk5N,https://api.spotify.com/v1/tracks/62HkE0RW3oCiJYnfDgzk5N,https://api.spotify.com/v1/audio-analysis/62HkE0RW3oCiJYnfDgzk5N,152627,4,0
0.76,0.866,5,-6.965,1,0.0948,0.00173,2.13e-06,0.141,0.57,89.999,audio_features,0yy6SegPRLQU03ftqy8w6L,spotify:track:0yy6SegPRLQU03ftqy8w6L,https://api.spotify.com/v1/tracks/0yy6SegPRLQU03ftqy8w6L,https://api.spotify.com/v1/audio-analysis/0yy6SegPRLQU03ftqy8w6L,223376,4,50
0.849,0.837,1,-4.059,1,0.0779,0.239,6.48e-06,0.209,0.751,93.956,audio_features,3FWAWggrMlMaSuBrf5cgKP,spotify:track:3FWAWggrMlMaSuBrf5cgKP,https://api.spotify.com/v1/tracks/3FWAWggrMlMaSuBrf5cgKP,https://api.spotify.com/v1/audio-analysis/3FWAWggrMlMaSuBrf5cgKP,178787,4,46
0.776,0.857,11,-5.824,0,0.0598,0.29,4.47e-06,0.125,0.552,95.02,audio_features,1NrKLroOjLcSXtlq8twPrc,spotify:track:1NrKLroOjLcSXtlq8twPrc,https://api.spotify.com/v1/tracks/1NrKLroOjLcSXtlq8twPrc,https://api.spotify.com/v1/audio-analysis/1NrKLroOjLcSXtlq8twPrc,254027,4,46
0.743,0.787,1,-5.402,1,0.262,0.0352,0,0.0732,0.719,192.117,audio_features,1kQqiC1rS1FiuVpeBKN0QN,spotify:track:1kQqiC1rS1FiuVpeBKN0QN,https://api.spotify.com/v1/tracks/1kQqiC1rS1FiuVpeBKN0QN,https://api.spotify.com/v1/audio-analysis/1kQqiC1rS1FiuVpeBKN0QN,172680,4,59
0.879,0.807,11,-6.118,0,0.0586,0.0277,1.04e-06,0.0482,0.882,93.982,audio_features,5UGqDsy1rti7uJAH64Kcpv,spotify:track:5UGqDsy1rti7uJAH64Kcpv,https://api.spotify.com/v1/tracks/5UGqDsy1rti7uJAH64Kcpv,https://api.spotify.com/v1/audio-analysis/5UGqDsy1rti7uJAH64Kcpv,236173,4,46
0.854,0.828,7,-5.176,0,0.0737,0.0697,1.14e-06,0.078,0.585,94.993,audio_features,3epJs6ATkuskT2htUZDpBy,spotify:track:3epJs6ATkuskT2htUZDpBy,https://api.spotify.com/v1/tracks/3epJs6ATkuskT2htUZDpBy,https://api.spotify.com/v1/audio-analysis/3epJs6ATkuskT2htUZDpBy,197213,4,43
0.783,0.824,0,-4.973,1,0.123,0.214,0,0.102,0.726,93.998,audio_features,0kwaKhIcaezQuShga1djFA,spotify:track:0kwaKhIcaezQuShga1djFA,https://api.spotify.com/v1/tracks/0kwaKhIcaezQuShga1djFA,https://api.spotify.com/v1/audio-analysis/0kwaKhIcaezQuShga1djFA,187080,4,62
0.787,0.756,11,-7.755,1,0.258,0.121,0.000297,0.149,0.733,191.982,audio_features,6kbwFWqoLL5QEs35Q8k5N2,spotify:track:6kbwFWqoLL5QEs35Q8k5N2,https://api.spotify.com/v1/tracks/6kbwFWqoLL5QEs35Q8k5N2,https://api.spotify.com/v1/audio-analysis/6kbwFWqoLL5QEs35Q8k5N2,212532,4,11
0.825,0.598,0,-14.187,1,0.0949,0.131,1.74e-05,0.107,0.602,95.029,audio_features,0ZhBEJBNEPjHIZdJZ6I1xU,spotify:track:0ZhBEJBNEPjHIZdJZ6I1xU,https://api.spotify.com/v1/tracks/0ZhBEJBNEPjHIZdJZ6I1xU,https://api.spotify.com/v1/audio-analysis/0ZhBEJBNEPjHIZdJZ6I1xU,183760,4,0
0.877,0.7,4,-7.753,1,0.108,0.0552,0.00215,0.261,0.623,92.999,audio_features,7AicmKMwI3TfSaYFhzYFXl,spotify:track:7AicmKMwI3TfSaYFhzYFXl,https://api.spotify.com/v1/tracks/7AicmKMwI3TfSaYFhzYFXl,https://api.spotify.com/v1/audio-analysis/7AicmKMwI3TfSaYFhzYFXl,228573,4,0
