danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.772,0.601,1,-9.111,1,0.0845,0.2,4.46e-05,0.0701,0.8,155.93,audio_features,6bTV2jijcPHbyAzBtdZKOw,spotify:track:6bTV2jijcPHbyAzBtdZKOw,https://api.spotify.com/v1/tracks/6bTV2jijcPHbyAzBtdZKOw,https://api.spotify.com/v1/audio-analysis/6bTV2jijcPHbyAzBtdZKOw,254480,4,49
0.487,0.297,11,-11.445,0,0.0915,0.505,5.22e-05,0.0916,0.289,185.912,audio_features,4JH1M62gVDNDhDAUiQB3Qv,spotify:track:4JH1M62gVDNDhDAUiQB3Qv,https://api.spotify.com/v1/tracks/4JH1M62gVDNDhDAUiQB3Qv,https://api.spotify.com/v1/audio-analysis/4JH1M62gVDNDhDAUiQB3Qv,171573,3,48
0.484,0.443,9,-7.998,0,0.0591,0.843,0,0.0616,0.571,83.546,audio_features,54YpKMTJiOxcxUzxTamJxt,spotify:track:54YpKMTJiOxcxUzxTamJxt,https://api.spotify.com/v1/tracks/54YpKMTJiOxcxUzxTamJxt,https://api.spotify.com/v1/audio-analysis/54YpKMTJiOxcxUzxTamJxt,142547,4,47
0.59,0.64,9,-7.142,0,0.0317,0.688,0.000436,0.109,0.891,98.011,audio_features,4VWPPn68WVGZK2xwDzS9KE,spotify:track:4VWPPn68WVGZK2xwDzS9KE,https://api.spotify.com/v1/tracks/4VWPPn68WVGZK2xwDzS9KE,https://api.spotify.com/v1/audio-analysis/4VWPPn68WVGZK2xwDzS9KE,262133,4,45
0.45,0.732,6,-2.221,1,0.0378,0.132,2.26e-06,0.386,0.399,80.053,audio_features,3KBtQE1nRncJf51JbOxYDE,spotify:track:3KBtQE1nRncJf51JbOxYDE,https://api.spotify.com/v1/tracks/3KBtQE1nRncJf51JbOxYDE,https://api.spotify.com/v1/audio-analysis/3KBtQE1nRncJf51JbOxYDE,163328,4,49
0.674,0.64,5,-8.735,0,0.0272,0.409,0.62,0.137,0.914,100.509,audio_features,2D7yfNs7wWzAD33FMCOIPN,spotify:track:2D7yfNs7wWzAD33FMCOIPN,https://api.spotify.com/v1/tracks/2D7yfNs7wWzAD33FMCOIPN,https://api.spotify.com/v1/audio-analysis/2D7yfNs7wWzAD33FMCOIPN,263000,4,46
0.585,0.474,9,-6.07,0,0.0282,0.234,5.8e-06,0.104,0.583,104.61,audio_features,18u7VFcTzUIm86HJ1oo3UZ,spotify:track:18u7VFcTzUIm86HJ1oo3UZ,https://api.spotify.com/v1/tracks/18u7VFcTzUIm86HJ1oo3UZ,https://api.spotify.com/v1/audio-analysis/18u7VFcTzUIm86HJ1oo3UZ,226640,4,42
0.619,0.284,4,-15.33,1,0.064,0.854,2.6e-05,0.233,0.758,136.583,audio_features,7raBju70gLsxnEJxAWRg8V,spotify:track:7raBju70gLsxnEJxAWRg8V,https://api.spotify.com/v1/tracks/7raBju70gLsxnEJxAWRg8V,https://api.spotify.com/v1/audio-analysis/7raBju70gLsxnEJxAWRg8V,164333,4,44
0.497,0.552,9,-7.102,0,0.0307,0.679,0.0314,0.089,0.633,124.359,audio_features,4nmne9J3YCEdhvjTzwiAgu,spotify:track:4nmne9J3YCEdhvjTzwiAgu,https://api.spotify.com/v1/tracks/4nmne9J3YCEdhvjTzwiAgu,https://api.spotify.com/v1/audio-analysis/4nmne9J3YCEdhvjTzwiAgu,195867,4,65
0.562,0.765,7,-7.946,1,0.0891,0.182,0,0.393,0.87,136.597,audio_features,1FvzTVodb3DgycfFT9wqNJ,spotify:track:1FvzTVodb3DgycfFT9wqNJ,https://api.spotify.com/v1/tracks/1FvzTVodb3DgycfFT9wqNJ,https://api.spotify.com/v1/audio-analysis/1FvzTVodb3DgycfFT9wqNJ,209400,4,47
0.392,0.793,2,-9.073,1,0.0479,0.12,0.825,0.128,0.666,172.261,audio_features,02McArUB8N3aTVfW0FGYqM,spotify:track:02McArUB8N3aTVfW0FGYqM,https://api.spotify.com/v1/tracks/02McArUB8N3aTVfW0FGYqM,https://api.spotify.com/v1/audio-analysis/02McArUB8N3aTVfW0FGYqM,102227,4,40
0.556,0.872,7,-5.573,1,0.174,0.0402,0,0.151,0.687,150.339,audio_features,0CucYEXuGngb0vfUMpOmID,spotify:track:0CucYEXuGngb0vfUMpOmID,https://api.spotify.com/v1/tracks/0CucYEXuGngb0vfUMpOmID,https://api.spotify.com/v1/audio-analysis/0CucYEXuGngb0vfUMpOmID,223013,4,39
0.465,0.834,0,-6.329,1,0.0683,0.0564,0,0.156,0.389,147.878,audio_features,40Fqgv5gC5r0w3ecdA4vW6,spotify:track:40Fqgv5gC5r0w3ecdA4vW6,https://api.spotify.com/v1/tracks/40Fqgv5gC5r0w3ecdA4vW6,https://api.spotify.com/v1/audio-analysis/40Fqgv5gC5r0w3ecdA4vW6,175893,4,40
0.442,0.792,2,-7.321,1,0.031,0.13,0.24,0.202,0.8,167.925,audio_features,7voARGnid2KFMdW4sFWZgs,spotify:track:7voARGnid2KFMdW4sFWZgs,https://api.spotify.com/v1/tracks/7voARGnid2KFMdW4sFWZgs,https://api.spotify.com/v1/audio-analysis/7voARGnid2KFMdW4sFWZgs,213720,4,39
0.426,0.836,2,-5.381,1,0.0383,0.0271,0.000558,0.246,0.579,107.943,audio_features,6ttuYNmBq53CdtX75ia3Dw,spotify:track:6ttuYNmBq53CdtX75ia3Dw,https://api.spotify.com/v1/tracks/6ttuYNmBq53CdtX75ia3Dw,https://api.spotify.com/v1/audio-analysis/6ttuYNmBq53CdtX75ia3Dw,189196,4,36
0.753,0.614,9,-12.382,1,0.0516,0.785,0.000497,0.382,0.963,89.22,audio_features,2dIUXClkwYgcYL2m7BInXB,spotify:track:2dIUXClkwYgcYL2m7BInXB,https://api.spotify.com/v1/tracks/2dIUXClkwYgcYL2m7BInXB,https://api.spotify.com/v1/audio-analysis/2dIUXClkwYgcYL2m7BInXB,138000,4,38
0.748,0.691,11,-8.736,0,0.0753,0.212,0.000702,0.328,0.878,90.01,audio_features,3D3Wca0DTBKzZlF0ucqmR2,spotify:track:3D3Wca0DTBKzZlF0ucqmR2,https://api.spotify.com/v1/tracks/3D3Wca0DTBKzZlF0ucqmR2,https://api.spotify.com/v1/audio-analysis/3D3Wca0DTBKzZlF0ucqmR2,288253,4,41
0.379,0.719,7,-9.545,0,0.0351,0.707,0.8,0.3,0.486,126.76,audio_features,5ze6zmZ1sEIIFPSvrNi75n,spotify:track:5ze6zmZ1sEIIFPSvrNi75n,https://api.spotify.com/v1/tracks/5ze6zmZ1sEIIFPSvrNi75n,https://api.spotify.com/v1/audio-analysis/5ze6zmZ1sEIIFPSvrNi75n,238907,4,38
0.565,0.605,4,-10.575,1,0.303,0.446,9.28e-05,0.0847,0.943,116.434,audio_features,13xUIHPhcJDT6n5byeyNTS,spotify:track:13xUIHPhcJDT6n5byeyNTS,https://api.spotify.com/v1/tracks/13xUIHPhcJDT6n5byeyNTS,https://api.spotify.com/v1/audio-analysis/13xUIHPhcJDT6n5byeyNTS,170249,4,35
0.655,0.466,7,-11.93,1,0.0656,0.859,0,0.338,0.741,141.036,audio_features,1xQqAdL14WHwCUoCqwBVjk,spotify:track:1xQqAdL14WHwCUoCqwBVjk,https://api.spotify.com/v1/tracks/1xQqAdL14WHwCUoCqwBVjk,https://api.spotify.com/v1/audio-analysis/1xQqAdL14WHwCUoCqwBVjk,158122,4,47
0.634,0.497,0,-8.814,1,0.0417,0.351,0,0.355,0.749,85.048,audio_features,1G5rrPTG7XJ1q70AthJSn9,spotify:track:1G5rrPTG7XJ1q70AthJSn9,https://api.spotify.com/v1/tracks/1G5rrPTG7XJ1q70AthJSn9,https://api.spotify.com/v1/audio-analysis/1G5rrPTG7XJ1q70AthJSn9,163947,4,57
0.672,0.592,5,-10.696,1,0.0488,0.764,0.276,0.0977,0.409,140.993,audio_features,6fCvxTPA1u5ov55svizA97,spotify:track:6fCvxTPA1u5ov55svizA97,https://api.spotify.com/v1/tracks/6fCvxTPA1u5ov55svizA97,https://api.spotify.com/v1/audio-analysis/6fCvxTPA1u5ov55svizA97,204680,4,36
0.488,0.514,9,-7.936,0,0.0341,0.0219,0.0268,0.115,0.326,115.089,audio_features,35M0QLoa4rMGtB00y2ZNl6,spotify:track:35M0QLoa4rMGtB00y2ZNl6,https://api.spotify.com/v1/tracks/35M0QLoa4rMGtB00y2ZNl6,https://api.spotify.com/v1/audio-analysis/35M0QLoa4rMGtB00y2ZNl6,240307,3,41
0.473,0.238,8,-15.626,1,0.0299,0.952,0.77,0.0741,0.221,181.603,audio_features,1HJEmONA24AIms5wOqwG24,spotify:track:1HJEmONA24AIms5wOqwG24,https://api.spotify.com/v1/tracks/1HJEmONA24AIms5wOqwG24,https://api.spotify.com/v1/audio-analysis/1HJEmONA24AIms5wOqwG24,193360,3,37
0.517,0.602,7,-7.678,1,0.0292,0.257,0,0.0763,0.388,120.874,audio_features,6CR1IovzNEA8qPUlxqlSkh,spotify:track:6CR1IovzNEA8qPUlxqlSkh,https://api.spotify.com/v1/tracks/6CR1IovzNEA8qPUlxqlSkh,https://api.spotify.com/v1/audio-analysis/6CR1IovzNEA8qPUlxqlSkh,134040,4,33
0.439,0.864,0,-5.866,1,0.0437,0.283,2.01e-05,0.198,0.481,169.228,audio_features,6cqwDeMvlCKI9CoeVahGrM,spotify:track:6cqwDeMvlCKI9CoeVahGrM,https://api.spotify.com/v1/tracks/6cqwDeMvlCKI9CoeVahGrM,https://api.spotify.com/v1/audio-analysis/6cqwDeMvlCKI9CoeVahGrM,213360,4,59
0.503,0.7,0,-7.33,1,0.0328,0.108,0.18,0.134,0.375,80.287,audio_features,27tR3saB1q7kFlZsnjdLu7,spotify:track:27tR3saB1q7kFlZsnjdLu7,https://api.spotify.com/v1/tracks/27tR3saB1q7kFlZsnjdLu7,https://api.spotify.com/v1/audio-analysis/27tR3saB1q7kFlZsnjdLu7,262849,4,52
0.695,0.83,2,-4.242,1,0.0285,0.14,2.55e-06,0.117,0.78,115.019,audio_features,6DnZOGTxbJdo2G81FZ5ikt,spotify:track:6DnZOGTxbJdo2G81FZ5ikt,https://api.spotify.com/v1/tracks/6DnZOGTxbJdo2G81FZ5ikt,https://api.spotify.com/v1/audio-analysis/6DnZOGTxbJdo2G81FZ5ikt,203631,4,38
0.483,0.594,3,-5.612,0,0.0302,0.161,0.0043,0.0906,0.309,110.319,audio_features,4b20jg6rGAHohIxakXx9zO,spotify:track:4b20jg6rGAHohIxakXx9zO,https://api.spotify.com/v1/tracks/4b20jg6rGAHohIxakXx9zO,https://api.spotify.com/v1/audio-analysis/4b20jg6rGAHohIxakXx9zO,164075,4,35
0.562,0.624,2,-9.064,1,0.0329,0.512,0.000979,0.14,0.535,131.859,audio_features,2dp2d2UzBUZrB0WFGAPsXZ,spotify:track:2dp2d2UzBUZrB0WFGAPsXZ,https://api.spotify.com/v1/tracks/2dp2d2UzBUZrB0WFGAPsXZ,https://api.spotify.com/v1/audio-analysis/2dp2d2UzBUZrB0WFGAPsXZ,229787,4,42
0.517,0.909,9,-6.558,0,0.0504,0.0245,0.901,0.143,0.689,97.983,audio_features,5CTSaIW3YEjYAq8NnieTFZ,spotify:track:5CTSaIW3YEjYAq8NnieTFZ,https://api.spotify.com/v1/tracks/5CTSaIW3YEjYAq8NnieTFZ,https://api.spotify.com/v1/audio-analysis/5CTSaIW3YEjYAq8NnieTFZ,152263,4,35
0.532,0.646,0,-6.339,1,0.0532,0.333,0,0.127,0.403,149.873,audio_features,6oQ9QTCpFlOumNtUDR47WD,spotify:track:6oQ9QTCpFlOumNtUDR47WD,https://api.spotify.com/v1/tracks/6oQ9QTCpFlOumNtUDR47WD,https://api.spotify.com/v1/audio-analysis/6oQ9QTCpFlOumNtUDR47WD,237000,4,37
0.287,0.721,0,-8.512,1,0.0549,0.112,0.0955,0.132,0.216,169.907,audio_features,4KMzwQg8uwvdWcDkxYOuw8,spotify:track:4KMzwQg8uwvdWcDkxYOuw8,https://api.spotify.com/v1/tracks/4KMzwQg8uwvdWcDkxYOuw8,https://api.spotify.com/v1/audio-analysis/4KMzwQg8uwvdWcDkxYOuw8,343013,3,34
