danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.743,0.704,6,-4.885,0,0.45,0.483,0,0.447,0.963,101.799,audio_features,0bog6nZESe9kseWeDJWa37,spotify:track:0bog6nZESe9kseWeDJWa37,https://api.spotify.com/v1/tracks/0bog6nZESe9kseWeDJWa37,https://api.spotify.com/v1/audio-analysis/0bog6nZESe9kseWeDJWa37,16312,4,0
0.366,0.328,0,-12.605,1,0.061,0.737,0.000104,0.152,0.158,145.205,audio_features,0827eActpDYORuhgvWB0oY,spotify:track:0827eActpDYORuhgvWB0oY,https://api.spotify.com/v1/tracks/0827eActpDYORuhgvWB0oY,https://api.spotify.com/v1/audio-analysis/0827eActpDYORuhgvWB0oY,233560,4,54
0.742,0.731,0,-5.667,0,0.0371,0.164,0.00196,0.147,0.549,126.021,audio_features,6ndTfZhLvbBZxrkaWH41HH,spotify:track:6ndTfZhLvbBZxrkaWH41HH,https://api.spotify.com/v1/tracks/6ndTfZhLvbBZxrkaWH41HH,https://api.spotify.com/v1/audio-analysis/6ndTfZhLvbBZxrkaWH41HH,212817,4,23
0.627,0.379,4,-7.759,0,0.951,0.872,0,0.0769,0.62,172.77,audio_features,52lAj8WdER4pu7n6ON9w18,spotify:track:52lAj8WdER4pu7n6ON9w18,https://api.spotify.com/v1/tracks/52lAj8WdER4pu7n6ON9w18,https://api.spotify.com/v1/audio-analysis/52lAj8WdER4pu7n6ON9w18,56500,3,3
0.641,0.861,4,-6.9,1,0.0697,0.228,0,0.868,0.473,105.316,audio_features,17ZAZ24Eyh5fKqQ06u4R3d,spotify:track:17ZAZ24Eyh5fKqQ06u4R3d,https://api.spotify.com/v1/tracks/17ZAZ24Eyh5fKqQ06u4R3d,https://api.spotify.com/v1/audio-analysis/17ZAZ24Eyh5fKqQ06u4R3d,249760,4,53
0.752,0.527,2,-5.11,0,0.0302,0.302,1.78e-05,0.224,0.658,119.874,audio_features,1B1hZXrHPMMqjVFHnOljRk,spotify:track:1B1hZXrHPMMqjVFHnOljRk,https://api.spotify.com/v1/tracks/1B1hZXrHPMMqjVFHnOljRk,https://api.spotify.com/v1/audio-analysis/1B1hZXrHPMMqjVFHnOljRk,192973,4,6
0.681,0.372,5,-8.233,1,0.94,0.803,0,0.164,0.524,89.517,audio_features,0mYmmxVjrL3snpzpm78fpS,spotify:track:0mYmmxVjrL3snpzpm78fpS,https://api.spotify.com/v1/tracks/0mYmmxVjrL3snpzpm78fpS,https://api.spotify.com/v1/audio-analysis/0mYmmxVjrL3snpzpm78fpS,88500,3,3
0.64,0.395,3,-5.689,1,0.0307,0.206,0,0.0935,0.235,115.082,audio_features,24cKN8P2uGWypxTw5WaNlq,spotify:track:24cKN8P2uGWypxTw5WaNlq,https://api.spotify.com/v1/tracks/24cKN8P2uGWypxTw5WaNlq,https://api.spotify.com/v1/audio-analysis/24cKN8P2uGWypxTw5WaNlq,243200,4,63
0.614,0.0604,3,-18.987,1,0.0432,0.898,0.0423,0.116,0.384,176.181,audio_features,2vO1wr5wIEHqQmY4jWbuhi,spotify:track:2vO1wr5wIEHqQmY4jWbuhi,https://api.spotify.com/v1/tracks/2vO1wr5wIEHqQmY4jWbuhi,https://api.spotify.com/v1/audio-analysis/2vO1wr5wIEHqQmY4jWbuhi,122707,4,53
0.787,0.262,5,-7.795,1,0.834,0.894,0,0.159,0.618,90.274,audio_features,2sVgGq57t1tw3LjclybEGP,spotify:track:2sVgGq57t1tw3LjclybEGP,https://api.spotify.com/v1/tracks/2sVgGq57t1tw3LjclybEGP,https://api.spotify.com/v1/audio-analysis/2sVgGq57t1tw3LjclybEGP,77750,3,3
0.489,0.389,4,-11.653,0,0.0284,0.877,0.32,0.105,0.254,131.366,audio_features,3D9iV6cYkYJRAPFO6DRKIE,spotify:track:3D9iV6cYkYJRAPFO6DRKIE,https://api.spotify.com/v1/tracks/3D9iV6cYkYJRAPFO6DRKIE,https://api.spotify.com/v1/audio-analysis/3D9iV6cYkYJRAPFO6DRKIE,257787,4,61
0.534,0.859,0,-2.846,1,0.0785,0.034,1.23e-06,0.413,0.729,72.776,audio_features,1L5tZi0izXsi5Kk5OJf4W0,spotify:track:1L5tZi0izXsi5Kk5OJf4W0,https://api.spotify.com/v1/tracks/1L5tZi0izXsi5Kk5OJf4W0,https://api.spotify.com/v1/audio-analysis/1L5tZi0izXsi5Kk5OJf4W0,213760,4,67
0.477,0.728,0,-5.71,1,0.0831,0.358,0,0.11,0.69,89.209,audio_features,6zMUIb4uce1CzpbjR3vMdN,spotify:track:6zMUIb4uce1CzpbjR3vMdN,https://api.spotify.com/v1/tracks/6zMUIb4uce1CzpbjR3vMdN,https://api.spotify.com/v1/audio-analysis/6zMUIb4uce1CzpbjR3vMdN,227387,4,65
0.686,0.248,6,-8.092,1,0.914,0.844,0,0.0983,0.532,88.625,audio_features,1tvse3YN2RVbHCgclUCQe0,spotify:track:1tvse3YN2RVbHCgclUCQe0,https://api.spotify.com/v1/tracks/1tvse3YN2RVbHCgclUCQe0,https://api.spotify.com/v1/audio-analysis/1tvse3YN2RVbHCgclUCQe0,41030,4,3
