danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.693,0.888,7,-8.579,0,0.0646,0.102,1.84e-05,0.443,0.79,121.069,audio_features,6AOsz26oASRoCK1Cm1ioJP,spotify:track:6AOsz26oASRoCK1Cm1ioJP,https://api.spotify.com/v1/tracks/6AOsz26oASRoCK1Cm1ioJP,https://api.spotify.com/v1/audio-analysis/6AOsz26oASRoCK1Cm1ioJP,298173,4,45
0.653,0.774,2,-8.447,1,0.0446,0.00194,0.121,0.159,0.804,118.789,audio_features,1PbIIhf0LgjaT39ayILS7g,spotify:track:1PbIIhf0LgjaT39ayILS7g,https://api.spotify.com/v1/tracks/1PbIIhf0LgjaT39ayILS7g,https://api.spotify.com/v1/audio-analysis/1PbIIhf0LgjaT39ayILS7g,395973,4,29
0.708,0.734,6,-13.244,0,0.0529,0.0451,0.00724,0.788,0.761,122.552,audio_features,5WwZeusFlxOKmTW25ImmgM,spotify:track:5WwZeusFlxOKmTW25ImmgM,https://api.spotify.com/v1/tracks/5WwZeusFlxOKmTW25ImmgM,https://api.spotify.com/v1/audio-analysis/5WwZeusFlxOKmTW25ImmgM,410773,4,43
0.668,0.74,10,-10.409,1,0.0585,0.0502,3.1e-05,0.0563,0.916,116.963,audio_features,7AerKsdhVndT6uPTb4XXbJ,spotify:track:7AerKsdhVndT6uPTb4XXbJ,https://api.spotify.com/v1/tracks/7AerKsdhVndT6uPTb4XXbJ,https://api.spotify.com/v1/audio-analysis/7AerKsdhVndT6uPTb4XXbJ,303907,4,47
0.765,0.872,10,-6.993,0,0.119,0.0038,0.482,0.275,0.901,118.074,audio_features,4d8Bqtm7ODdQLFXxPSuK64,spotify:track:4d8Bqtm7ODdQLFXxPSuK64,https://api.spotify.com/v1/tracks/4d8Bqtm7ODdQLFXxPSuK64,https://api.spotify.com/v1/audio-analysis/4d8Bqtm7ODdQLFXxPSuK64,216000,4,48
0.724,0.809,1,-3.968,1,0.0611,0.149,1.69e-05,0.0942,0.8,123.836,audio_features,2obBrWJdxhW75nfQ06ZZgW,spotify:track:2obBrWJdxhW75nfQ06ZZgW,https://api.spotify.com/v1/tracks/2obBrWJdxhW75nfQ06ZZgW,https://api.spotify.com/v1/audio-analysis/2obBrWJdxhW75nfQ06ZZgW,260693,4,26
0.705,0.93,1,-5.633,1,0.0325,0.012,0.307,0.271,0.821,119.779,audio_features,7sjjL7hQLZnbpMebhjjPtA,spotify:track:7sjjL7hQLZnbpMebhjjPtA,https://api.spotify.com/v1/tracks/7sjjL7hQLZnbpMebhjjPtA,https://api.spotify.com/v1/audio-analysis/7sjjL7hQLZnbpMebhjjPtA,267067,4,33
0.801,0.755,7,-8.122,1,0.0974,0.0298,0.18,0.186,0.601,115.169,audio_features,2LKCavoQmnU6n2fvTcybWv,spotify:track:2LKCavoQmnU6n2fvTcybWv,https://api.spotify.com/v1/tracks/2LKCavoQmnU6n2fvTcybWv,https://api.spotify.com/v1/audio-analysis/2LKCavoQmnU6n2fvTcybWv,405867,4,30
0.846,0.742,7,-6.194,1,0.0671,0.0579,0,0.0402,0.887,117.703,audio_features,7zQRF2pG5pty9sck6L6hF4,spotify:track:7zQRF2pG5pty9sck6L6hF4,https://api.spotify.com/v1/tracks/7zQRF2pG5pty9sck6L6hF4,https://api.spotify.com/v1/audio-analysis/7zQRF2pG5pty9sck6L6hF4,313667,4,36
0.677,0.985,1,-4.678,1,0.0549,0.07,3.62e-05,0.351,0.87,118.092,audio_features,6jJCk7oHNwyowOUaF3gXEu,spotify:track:6jJCk7oHNwyowOUaF3gXEu,https://api.spotify.com/v1/tracks/6jJCk7oHNwyowOUaF3gXEu,https://api.spotify.com/v1/audio-analysis/6jJCk7oHNwyowOUaF3gXEu,220227,4,59
0.598,0.744,6,-8.279,1,0.0295,0.000614,0.00323,0.115,0.723,122.629,audio_features,2bekG9gmuy4k5kDVb6XpA1,spotify:track:2bekG9gmuy4k5kDVb6XpA1,https://api.spotify.com/v1/tracks/2bekG9gmuy4k5kDVb6XpA1,https://api.spotify.com/v1/audio-analysis/2bekG9gmuy4k5kDVb6XpA1,288747,4,29
