danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0,0.711,3,-7.317,1,0,0.894,0,0.55,0,0,audio_features,1PfQP5d66M3bCyPxyjbITy,spotify:track:1PfQP5d66M3bCyPxyjbITy,https://api.spotify.com/v1/tracks/1PfQP5d66M3bCyPxyjbITy,https://api.spotify.com/v1/audio-analysis/1PfQP5d66M3bCyPxyjbITy,12111,0,0
0.818,0.72,8,-5.743,1,0.0631,0.142,3.62e-05,0.0898,0.714,94.022,audio_features,0XD7aWqyhbF0eGFVgV9nRV,spotify:track:0XD7aWqyhbF0eGFVgV9nRV,https://api.spotify.com/v1/tracks/0XD7aWqyhbF0eGFVgV9nRV,https://api.spotify.com/v1/audio-analysis/0XD7aWqyhbF0eGFVgV9nRV,189679,4,3
0.832,0.765,7,-6.176,0,0.0904,0.275,0.000338,0.101,0.744,91.004,audio_features,07XcUkoWxt7zO50ETEz2M1,spotify:track:07XcUkoWxt7zO50ETEz2M1,https://api.spotify.com/v1/tracks/07XcUkoWxt7zO50ETEz2M1,https://api.spotify.com/v1/audio-analysis/07XcUkoWxt7zO50ETEz2M1,169707,4,30
0.851,0.692,6,-4.609,1,0.0984,0.056,1.1e-06,0.0626,0.935,82.018,audio_features,3LLShXudysOxxBH7Np7TfG,spotify:track:3LLShXudysOxxBH7Np7TfG,https://api.spotify.com/v1/tracks/3LLShXudysOxxBH7Np7TfG,https://api.spotify.com/v1/audio-analysis/3LLShXudysOxxBH7Np7TfG,217253,4,50
0.794,0.614,3,-5.822,0,0.0669,0.0827,0,0.26,0.96,87.996,audio_features,2RWWSQatBwaoWiGQBDeOdA,spotify:track:2RWWSQatBwaoWiGQBDeOdA,https://api.spotify.com/v1/tracks/2RWWSQatBwaoWiGQBDeOdA,https://api.spotify.com/v1/audio-analysis/2RWWSQatBwaoWiGQBDeOdA,220853,4,44
0.718,0.702,8,-5.719,0,0.116,0.174,0.00011,0.111,0.879,173.928,audio_features,6Ges5C2IE738iJh4HyQizQ,spotify:track:6Ges5C2IE738iJh4HyQizQ,https://api.spotify.com/v1/tracks/6Ges5C2IE738iJh4HyQizQ,https://api.spotify.com/v1/audio-analysis/6Ges5C2IE738iJh4HyQizQ,226413,4,66
0.705,0.25,4,-13.564,1,0.951,0.659,0,0.374,0.597,68.58,audio_features,2SKShdn2w03jT2Q8EZ55Gu,spotify:track:2SKShdn2w03jT2Q8EZ55Gu,https://api.spotify.com/v1/tracks/2SKShdn2w03jT2Q8EZ55Gu,https://api.spotify.com/v1/audio-analysis/2SKShdn2w03jT2Q8EZ55Gu,44844,4,16
0.849,0.758,4,-4.734,0,0.14,0.113,0,0.103,0.771,87.995,audio_features,6jCUELJH6IwNm1x0WYdjKl,spotify:track:6jCUELJH6IwNm1x0WYdjKl,https://api.spotify.com/v1/tracks/6jCUELJH6IwNm1x0WYdjKl,https://api.spotify.com/v1/audio-analysis/6jCUELJH6IwNm1x0WYdjKl,197973,4,45
0.676,0.81,0,-3.636,0,0.0775,0.149,0,0.322,0.829,174.074,audio_features,6vssRuMO2JuX0twM6Nei5H,spotify:track:6vssRuMO2JuX0twM6Nei5H,https://api.spotify.com/v1/tracks/6vssRuMO2JuX0twM6Nei5H,https://api.spotify.com/v1/audio-analysis/6vssRuMO2JuX0twM6Nei5H,195869,4,37
0.787,0.781,11,-5.176,1,0.0963,0.283,4.06e-05,0.084,0.767,94.021,audio_features,1nNenY6d3wLt656dpgG4Xq,spotify:track:1nNenY6d3wLt656dpgG4Xq,https://api.spotify.com/v1/tracks/1nNenY6d3wLt656dpgG4Xq,https://api.spotify.com/v1/audio-analysis/1nNenY6d3wLt656dpgG4Xq,181342,4,29
