danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.733,0.632,7,-7.749,0,0.0357,0.0665,3.54e-06,0.528,0.482,104.966,audio_features,3z54hbAg9kydgEJb1ApAeA,spotify:track:3z54hbAg9kydgEJb1ApAeA,https://api.spotify.com/v1/tracks/3z54hbAg9kydgEJb1ApAeA,https://api.spotify.com/v1/audio-analysis/3z54hbAg9kydgEJb1ApAeA,224227,4,34
0.655,0.965,6,-3.803,1,0.0429,0.004,0.000244,0.105,0.663,132.977,audio_features,11AeVlL0q1FtihuT3XAQPn,spotify:track:11AeVlL0q1FtihuT3XAQPn,https://api.spotify.com/v1/tracks/11AeVlL0q1FtihuT3XAQPn,https://api.spotify.com/v1/audio-analysis/11AeVlL0q1FtihuT3XAQPn,223250,4,45
0.707,0.811,7,-3.995,0,0.107,0.079,0,0.213,0.815,104.964,audio_features,40FijwqXLnZ0MmHTbkfqVo,spotify:track:40FijwqXLnZ0MmHTbkfqVo,https://api.spotify.com/v1/tracks/40FijwqXLnZ0MmHTbkfqVo,https://api.spotify.com/v1/audio-analysis/40FijwqXLnZ0MmHTbkfqVo,209714,4,31
0.788,0.892,1,-4.5,0,0.06,0.0502,5.35e-05,0.254,0.713,97.015,audio_features,4WQFW8J0z5HzZUtQoiqoiF,spotify:track:4WQFW8J0z5HzZUtQoiqoiF,https://api.spotify.com/v1/tracks/4WQFW8J0z5HzZUtQoiqoiF,https://api.spotify.com/v1/audio-analysis/4WQFW8J0z5HzZUtQoiqoiF,213107,4,36
0.871,0.638,3,-5.659,0,0.11,0.108,2.16e-05,0.148,0.931,90.988,audio_features,2eZPfBEHN0r6Gj7zcWeoQn,spotify:track:2eZPfBEHN0r6Gj7zcWeoQn,https://api.spotify.com/v1/tracks/2eZPfBEHN0r6Gj7zcWeoQn,https://api.spotify.com/v1/audio-analysis/2eZPfBEHN0r6Gj7zcWeoQn,204519,4,30
0.458,0.961,6,-1.756,1,0.276,0.0939,3.71e-05,0.193,0.858,98.877,audio_features,4B9tlj1xTMJfZuUkihrqH5,spotify:track:4B9tlj1xTMJfZuUkihrqH5,https://api.spotify.com/v1/tracks/4B9tlj1xTMJfZuUkihrqH5,https://api.spotify.com/v1/audio-analysis/4B9tlj1xTMJfZuUkihrqH5,183334,1,35
0.741,0.948,11,-2.719,1,0.0979,0.0183,0,0.277,0.874,128.056,audio_features,0qOvSmA2E97LbKuXe9QDDS,spotify:track:0qOvSmA2E97LbKuXe9QDDS,https://api.spotify.com/v1/tracks/0qOvSmA2E97LbKuXe9QDDS,https://api.spotify.com/v1/audio-analysis/0qOvSmA2E97LbKuXe9QDDS,230625,4,13
0.685,0.866,10,-4.944,0,0.0458,0.313,0,0.144,0.685,100.0,audio_features,4ooBqRQdCEuvIWnOInYcMf,spotify:track:4ooBqRQdCEuvIWnOInYcMf,https://api.spotify.com/v1/tracks/4ooBqRQdCEuvIWnOInYcMf,https://api.spotify.com/v1/audio-analysis/4ooBqRQdCEuvIWnOInYcMf,195934,4,45
0.801,0.938,8,-4.717,0,0.155,0.155,0,0.322,0.823,110.017,audio_features,7f9xEy7wYDBJsvQLUtqLbR,spotify:track:7f9xEy7wYDBJsvQLUtqLbR,https://api.spotify.com/v1/tracks/7f9xEy7wYDBJsvQLUtqLbR,https://api.spotify.com/v1/audio-analysis/7f9xEy7wYDBJsvQLUtqLbR,205364,4,31
0.736,0.903,0,-3.977,1,0.103,0.0771,0,0.2,0.778,98.003,audio_features,5RsVC0iBj4QaycuCzcfD1n,spotify:track:5RsVC0iBj4QaycuCzcfD1n,https://api.spotify.com/v1/tracks/5RsVC0iBj4QaycuCzcfD1n,https://api.spotify.com/v1/audio-analysis/5RsVC0iBj4QaycuCzcfD1n,223613,4,61
0.647,0.87,3,-3.376,1,0.0641,0.126,0,0.273,0.617,97.056,audio_features,3LSU7ZcnKTbxhiTot5wqf9,spotify:track:3LSU7ZcnKTbxhiTot5wqf9,https://api.spotify.com/v1/tracks/3LSU7ZcnKTbxhiTot5wqf9,https://api.spotify.com/v1/audio-analysis/3LSU7ZcnKTbxhiTot5wqf9,193608,4,57
