danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.726,0.889,0,-3.655,1,0.0429,0.0328,0,0.0925,0.649,96.024,audio_features,2hl6q70unbviGo3g1R7uFx,spotify:track:2hl6q70unbviGo3g1R7uFx,https://api.spotify.com/v1/tracks/2hl6q70unbviGo3g1R7uFx,https://api.spotify.com/v1/audio-analysis/2hl6q70unbviGo3g1R7uFx,173720,4,83
0.747,0.745,9,-3.335,1,0.146,0.0507,1.9e-06,0.151,0.805,180.123,audio_features,6ELe1Do1bYtaCtLqjYTglW,spotify:track:6ELe1Do1bYtaCtLqjYTglW,https://api.spotify.com/v1/tracks/6ELe1Do1bYtaCtLqjYTglW,https://api.spotify.com/v1/audio-analysis/6ELe1Do1bYtaCtLqjYTglW,203853,4,0
0.799,0.874,6,-4.801,1,0.181,0.159,0.00252,0.0497,0.51,95.928,audio_features,7jowCMiXsGLxJp9LTw6ole,spotify:track:7jowCMiXsGLxJp9LTw6ole,https://api.spotify.com/v1/tracks/7jowCMiXsGLxJp9LTw6ole,https://api.spotify.com/v1/audio-analysis/7jowCMiXsGLxJp9LTw6ole,207200,4,78
0.742,0.858,10,-4.946,1,0.0483,0.0826,0,0.364,0.64,95.049,audio_features,0JcNysfWVWaMS7R6vzGB2k,spotify:track:0JcNysfWVWaMS7R6vzGB2k,https://api.spotify.com/v1/tracks/0JcNysfWVWaMS7R6vzGB2k,https://api.spotify.com/v1/audio-analysis/0JcNysfWVWaMS7R6vzGB2k,194742,4,0
0.695,0.972,2,-3.568,1,0.0499,0.128,0,0.101,0.78,143.979,audio_features,5KgdtjmglXPjJNKvMvSjgo,spotify:track:5KgdtjmglXPjJNKvMvSjgo,https://api.spotify.com/v1/tracks/5KgdtjmglXPjJNKvMvSjgo,https://api.spotify.com/v1/audio-analysis/5KgdtjmglXPjJNKvMvSjgo,229443,4,69
0.618,0.793,2,-4.777,1,0.151,0.2,0,0.106,0.874,88.387,audio_features,7CUYHcu0RnbOnMz4RuN07w,spotify:track:7CUYHcu0RnbOnMz4RuN07w,https://api.spotify.com/v1/tracks/7CUYHcu0RnbOnMz4RuN07w,https://api.spotify.com/v1/audio-analysis/7CUYHcu0RnbOnMz4RuN07w,228200,4,86
0.39,0.682,8,-5.915,1,0.268,0.164,0,0.0817,0.214,165.926,audio_features,3mbCqi22KYjndD56qCykyP,spotify:track:3mbCqi22KYjndD56qCykyP,https://api.spotify.com/v1/tracks/3mbCqi22KYjndD56qCykyP,https://api.spotify.com/v1/audio-analysis/3mbCqi22KYjndD56qCykyP,219228,4,0
0.76,0.838,7,-3.828,0,0.0529,0.547,1.3e-06,0.0664,0.745,93.05,audio_features,5hEM0JchdVzQ5PwvSfITeX,spotify:track:5hEM0JchdVzQ5PwvSfITeX,https://api.spotify.com/v1/tracks/5hEM0JchdVzQ5PwvSfITeX,https://api.spotify.com/v1/audio-analysis/5hEM0JchdVzQ5PwvSfITeX,210323,4,73
0.563,0.877,1,-2.082,0,0.12,0.0293,0,0.0749,0.646,93.832,audio_features,6f4UPdDBQONKJBRqwZGjaJ,spotify:track:6f4UPdDBQONKJBRqwZGjaJ,https://api.spotify.com/v1/tracks/6f4UPdDBQONKJBRqwZGjaJ,https://api.spotify.com/v1/audio-analysis/6f4UPdDBQONKJBRqwZGjaJ,209033,4,78
0.783,0.673,11,-4.938,1,0.0536,0.143,0,0.216,0.658,91.0,audio_features,79Jhw5xn4gGn6PZak275gg,spotify:track:79Jhw5xn4gGn6PZak275gg,https://api.spotify.com/v1/tracks/79Jhw5xn4gGn6PZak275gg,https://api.spotify.com/v1/audio-analysis/79Jhw5xn4gGn6PZak275gg,228467,4,0
0.69,0.858,9,-4.736,1,0.0769,0.236,0,0.104,0.778,94.993,audio_features,1OJkKHmXsZVKtWlECdpDAe,spotify:track:1OJkKHmXsZVKtWlECdpDAe,https://api.spotify.com/v1/tracks/1OJkKHmXsZVKtWlECdpDAe,https://api.spotify.com/v1/audio-analysis/1OJkKHmXsZVKtWlECdpDAe,228147,4,65
0.703,0.854,0,-4.462,1,0.0584,0.162,0,0.121,0.689,91.906,audio_features,0woHVOh3KXLSDv8VU9XwZ4,spotify:track:0woHVOh3KXLSDv8VU9XwZ4,https://api.spotify.com/v1/tracks/0woHVOh3KXLSDv8VU9XwZ4,https://api.spotify.com/v1/audio-analysis/0woHVOh3KXLSDv8VU9XwZ4,195813,4,82
0.645,0.795,7,-5.236,1,0.0392,0.109,0,0.108,0.59,135.893,audio_features,7yR1F1qN8VYxOyOK2ZMJit,spotify:track:7yR1F1qN8VYxOyOK2ZMJit,https://api.spotify.com/v1/tracks/7yR1F1qN8VYxOyOK2ZMJit,https://api.spotify.com/v1/audio-analysis/7yR1F1qN8VYxOyOK2ZMJit,203691,4,75
0.63,0.815,2,-4.265,1,0.152,0.222,0,0.091,0.813,88.357,audio_features,6rPO02ozF3bM7NnOV4h6s2,spotify:track:6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/audio-analysis/6rPO02ozF3bM7NnOV4h6s2,228827,4,0
0.506,0.452,2,-6.95,1,0.0352,0.799,0,0.163,0.31,72.641,audio_features,39qjl6DHxUn2HWNAYVaJBO,spotify:track:39qjl6DHxUn2HWNAYVaJBO,https://api.spotify.com/v1/tracks/39qjl6DHxUn2HWNAYVaJBO,https://api.spotify.com/v1/audio-analysis/39qjl6DHxUn2HWNAYVaJBO,225877,1,73
