danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.779,0.919,11,-4.91,0,0.115,0.169,2.25e-06,0.322,0.824,101.994,audio_features,3yuMVIBCFl6s1PDuSN3pi4,spotify:track:3yuMVIBCFl6s1PDuSN3pi4,https://api.spotify.com/v1/tracks/3yuMVIBCFl6s1PDuSN3pi4,https://api.spotify.com/v1/audio-analysis/3yuMVIBCFl6s1PDuSN3pi4,254320,4,41
0.645,0.752,9,-2.793,0,0.228,0.264,0,0.188,0.538,90.53,audio_features,4TfagzQdrXwu4GEoEmRu7T,spotify:track:4TfagzQdrXwu4GEoEmRu7T,https://api.spotify.com/v1/tracks/4TfagzQdrXwu4GEoEmRu7T,https://api.spotify.com/v1/audio-analysis/4TfagzQdrXwu4GEoEmRu7T,168507,4,0
0.806,0.875,7,-3.817,1,0.088,0.0838,0.00192,0.065,0.917,125.063,audio_features,6RlAZ8QY4LcA4DxUUIiwmn,spotify:track:6RlAZ8QY4LcA4DxUUIiwmn,https://api.spotify.com/v1/tracks/6RlAZ8QY4LcA4DxUUIiwmn,https://api.spotify.com/v1/audio-analysis/6RlAZ8QY4LcA4DxUUIiwmn,224693,4,61
0.736,0.695,6,-6.918,0,0.272,0.66,0,0.0985,0.852,95.059,audio_features,1XJopE9YLChjjVuE5MRNud,spotify:track:1XJopE9YLChjjVuE5MRNud,https://api.spotify.com/v1/tracks/1XJopE9YLChjjVuE5MRNud,https://api.spotify.com/v1/audio-analysis/1XJopE9YLChjjVuE5MRNud,54947,4,23
0.695,0.833,2,-2.435,1,0.263,0.309,0,0.344,0.546,171.915,audio_features,32x8lPZ4nidLsF0d0qM5KG,spotify:track:32x8lPZ4nidLsF0d0qM5KG,https://api.spotify.com/v1/tracks/32x8lPZ4nidLsF0d0qM5KG,https://api.spotify.com/v1/audio-analysis/32x8lPZ4nidLsF0d0qM5KG,240627,4,44
0.841,0.898,1,-3.439,1,0.236,0.446,5.61e-06,0.267,0.862,96.059,audio_features,6sfBQReZH9v9tYSs82Xt1O,spotify:track:6sfBQReZH9v9tYSs82Xt1O,https://api.spotify.com/v1/tracks/6sfBQReZH9v9tYSs82Xt1O,https://api.spotify.com/v1/audio-analysis/6sfBQReZH9v9tYSs82Xt1O,240200,4,46
0.764,0.645,9,-14.616,0,0.056,0.179,7.26e-06,0.131,0.816,93.95,audio_features,49GNQPJN37yMg2EpWB35pO,spotify:track:49GNQPJN37yMg2EpWB35pO,https://api.spotify.com/v1/tracks/49GNQPJN37yMg2EpWB35pO,https://api.spotify.com/v1/audio-analysis/49GNQPJN37yMg2EpWB35pO,196747,4,0
0.729,0.703,11,-4.935,1,0.0303,0.271,0,0.427,0.703,92.998,audio_features,78dyHmzMEIiGdCY1mG1nL4,spotify:track:78dyHmzMEIiGdCY1mG1nL4,https://api.spotify.com/v1/tracks/78dyHmzMEIiGdCY1mG1nL4,https://api.spotify.com/v1/audio-analysis/78dyHmzMEIiGdCY1mG1nL4,219773,4,50
0.753,0.862,5,-5.682,0,0.0864,0.0384,0.000204,0.34,0.558,99.994,audio_features,2VUTAujEdkpmHlwXZPEph9,spotify:track:2VUTAujEdkpmHlwXZPEph9,https://api.spotify.com/v1/tracks/2VUTAujEdkpmHlwXZPEph9,https://api.spotify.com/v1/audio-analysis/2VUTAujEdkpmHlwXZPEph9,234507,4,50
0.714,0.821,6,-7.635,1,0.176,0.041,0,0.116,0.649,95.999,audio_features,69gRFGOWY9OMpFJgFol1u0,spotify:track:69gRFGOWY9OMpFJgFol1u0,https://api.spotify.com/v1/tracks/69gRFGOWY9OMpFJgFol1u0,https://api.spotify.com/v1/audio-analysis/69gRFGOWY9OMpFJgFol1u0,282707,4,19
