danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.517,0.843,10,-3.52,1,0.153,0.355,0,0.156,0.749,173.13,audio_features,683fOEDnFrDuFM9oMpuEhK,spotify:track:683fOEDnFrDuFM9oMpuEhK,https://api.spotify.com/v1/tracks/683fOEDnFrDuFM9oMpuEhK,https://api.spotify.com/v1/audio-analysis/683fOEDnFrDuFM9oMpuEhK,154653,4,59
0.514,0.83,2,-8.666,1,0.0391,0.548,0,0.321,0.964,148.806,audio_features,0UORDNH9ZneYlamDQB7guH,spotify:track:0UORDNH9ZneYlamDQB7guH,https://api.spotify.com/v1/tracks/0UORDNH9ZneYlamDQB7guH,https://api.spotify.com/v1/audio-analysis/0UORDNH9ZneYlamDQB7guH,182227,4,75
0.749,0.328,9,-10.602,1,0.0274,0.811,1.75e-06,0.102,0.354,109.888,audio_features,1nobDMo2NzOyNXgCeyD8f7,spotify:track:1nobDMo2NzOyNXgCeyD8f7,https://api.spotify.com/v1/tracks/1nobDMo2NzOyNXgCeyD8f7,https://api.spotify.com/v1/audio-analysis/1nobDMo2NzOyNXgCeyD8f7,164788,4,52
0.679,0.622,7,-12.837,0,0.0961,0.77,1.34e-05,0.117,0.961,152.027,audio_features,30WHma5z5Sty54jbtoxYEy,spotify:track:30WHma5z5Sty54jbtoxYEy,https://api.spotify.com/v1/tracks/30WHma5z5Sty54jbtoxYEy,https://api.spotify.com/v1/audio-analysis/30WHma5z5Sty54jbtoxYEy,164573,4,31
0.669,0.854,1,-4.486,1,0.0999,0.0205,0,0.047,0.707,93.057,audio_features,3AlpkljBS1AU7HFVPms8K6,spotify:track:3AlpkljBS1AU7HFVPms8K6,https://api.spotify.com/v1/tracks/3AlpkljBS1AU7HFVPms8K6,https://api.spotify.com/v1/audio-analysis/3AlpkljBS1AU7HFVPms8K6,206533,4,74
0.602,0.713,10,-7.58,0,0.0351,0.041,0,0.27,0.796,141.987,audio_features,5lyikKk6KFWfWCuDDir9Fx,spotify:track:5lyikKk6KFWfWCuDDir9Fx,https://api.spotify.com/v1/tracks/5lyikKk6KFWfWCuDDir9Fx,https://api.spotify.com/v1/audio-analysis/5lyikKk6KFWfWCuDDir9Fx,116547,4,72
0.684,0.898,11,-5.255,1,0.0561,0.122,0,0.246,0.933,179.941,audio_features,2ALqtIJS3bnBqtTiJrClKs,spotify:track:2ALqtIJS3bnBqtTiJrClKs,https://api.spotify.com/v1/tracks/2ALqtIJS3bnBqtTiJrClKs,https://api.spotify.com/v1/audio-analysis/2ALqtIJS3bnBqtTiJrClKs,193627,4,49
0.488,0.29,4,-14.17,1,0.032,0.907,3.76e-05,0.12,0.608,93.619,audio_features,2trWYvBwj0DV2JF3e2Y0d1,spotify:track:2trWYvBwj0DV2JF3e2Y0d1,https://api.spotify.com/v1/tracks/2trWYvBwj0DV2JF3e2Y0d1,https://api.spotify.com/v1/audio-analysis/2trWYvBwj0DV2JF3e2Y0d1,129360,4,64
0.747,0.776,0,-5.772,1,0.144,0.0581,0,0.284,0.812,95.991,audio_features,6YJdPrH3i2POzu7hdHIRrb,spotify:track:6YJdPrH3i2POzu7hdHIRrb,https://api.spotify.com/v1/tracks/6YJdPrH3i2POzu7hdHIRrb,https://api.spotify.com/v1/audio-analysis/6YJdPrH3i2POzu7hdHIRrb,170933,4,68
0.547,0.889,9,-4.538,0,0.0586,0.0759,0,0.127,0.449,150.031,audio_features,2g2N78BH9x4iAzeSvjG7dU,spotify:track:2g2N78BH9x4iAzeSvjG7dU,https://api.spotify.com/v1/tracks/2g2N78BH9x4iAzeSvjG7dU,https://api.spotify.com/v1/audio-analysis/2g2N78BH9x4iAzeSvjG7dU,242347,4,60
