danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.679,0.751,1,-6.63,0,0.0296,0.0779,0.00407,0.245,0.573,112.868,audio_features,0l6LVRTDNFSHVBsqQvMR62,spotify:track:0l6LVRTDNFSHVBsqQvMR62,https://api.spotify.com/v1/tracks/0l6LVRTDNFSHVBsqQvMR62,https://api.spotify.com/v1/audio-analysis/0l6LVRTDNFSHVBsqQvMR62,271400,4,27
0.559,0.884,4,-4.611,1,0.0326,0.000787,0.0516,0.128,0.703,117.036,audio_features,7z8lBGkv8AwZVZQ1C8qsYx,spotify:track:7z8lBGkv8AwZVZQ1C8qsYx,https://api.spotify.com/v1/tracks/7z8lBGkv8AwZVZQ1C8qsYx,https://api.spotify.com/v1/audio-analysis/7z8lBGkv8AwZVZQ1C8qsYx,341169,4,55
0.483,0.842,9,-5.508,0,0.048,0.00479,3.25e-05,0.0891,0.614,124.863,audio_features,2DgJuLKKSOoes83ErmpXTK,spotify:track:2DgJuLKKSOoes83ErmpXTK,https://api.spotify.com/v1/tracks/2DgJuLKKSOoes83ErmpXTK,https://api.spotify.com/v1/audio-analysis/2DgJuLKKSOoes83ErmpXTK,206030,4,35
0.706,0.551,11,-7.559,0,0.0668,0.182,0.0154,0.411,0.633,180.042,audio_features,1PYZgjiZ4OiZyGJ0KUddOR,spotify:track:1PYZgjiZ4OiZyGJ0KUddOR,https://api.spotify.com/v1/tracks/1PYZgjiZ4OiZyGJ0KUddOR,https://api.spotify.com/v1/audio-analysis/1PYZgjiZ4OiZyGJ0KUddOR,260247,4,45
0.726,0.699,5,-4.933,1,0.0484,0.00397,0.0975,0.11,0.97,94.003,audio_features,6T6Y2bTYB2QqSXOmYfw9iM,spotify:track:6T6Y2bTYB2QqSXOmYfw9iM,https://api.spotify.com/v1/tracks/6T6Y2bTYB2QqSXOmYfw9iM,https://api.spotify.com/v1/audio-analysis/6T6Y2bTYB2QqSXOmYfw9iM,307986,4,54
0.601,0.508,9,-8.231,1,0.242,0.486,0,0.071,0.64,170.042,audio_features,1vV2FBKYvu6sJDqzSCNgbI,spotify:track:1vV2FBKYvu6sJDqzSCNgbI,https://api.spotify.com/v1/tracks/1vV2FBKYvu6sJDqzSCNgbI,https://api.spotify.com/v1/audio-analysis/1vV2FBKYvu6sJDqzSCNgbI,207520,4,58
0.694,0.689,4,-5.463,1,0.03,0.64,1.8e-06,0.0776,0.477,95.008,audio_features,04UTqRsNm7ozil6lXW05dB,spotify:track:04UTqRsNm7ozil6lXW05dB,https://api.spotify.com/v1/tracks/04UTqRsNm7ozil6lXW05dB,https://api.spotify.com/v1/audio-analysis/04UTqRsNm7ozil6lXW05dB,243720,4,61
0.884,0.333,9,-9.753,0,0.0617,0.293,0.0205,0.103,0.587,118.065,audio_features,4cJOLN346rtOty3UPACsao,spotify:track:4cJOLN346rtOty3UPACsao,https://api.spotify.com/v1/tracks/4cJOLN346rtOty3UPACsao,https://api.spotify.com/v1/audio-analysis/4cJOLN346rtOty3UPACsao,209450,4,57
0.787,0.728,0,-7.77,1,0.0412,0.00497,0,0.0835,0.93,124.0,audio_features,1JIlQRg9f8Rsx18AemZRch,spotify:track:1JIlQRg9f8Rsx18AemZRch,https://api.spotify.com/v1/tracks/1JIlQRg9f8Rsx18AemZRch,https://api.spotify.com/v1/audio-analysis/1JIlQRg9f8Rsx18AemZRch,198365,4,63
0.4,0.541,7,-4.527,1,0.0274,0.557,2.13e-05,0.136,0.268,99.343,audio_features,28UP90XhjCovLtieduYr9P,spotify:track:28UP90XhjCovLtieduYr9P,https://api.spotify.com/v1/tracks/28UP90XhjCovLtieduYr9P,https://api.spotify.com/v1/audio-analysis/28UP90XhjCovLtieduYr9P,227587,3,70
0.72,0.678,1,-4.972,0,0.0294,0.00316,0.137,0.143,0.495,116.025,audio_features,360ODYiUNFVFaVSCJhy3nm,spotify:track:360ODYiUNFVFaVSCJhy3nm,https://api.spotify.com/v1/tracks/360ODYiUNFVFaVSCJhy3nm,https://api.spotify.com/v1/audio-analysis/360ODYiUNFVFaVSCJhy3nm,262533,4,35
0.525,0.664,9,-7.167,1,0.0888,0.263,1.37e-05,0.106,0.301,78.89,audio_features,1iEW4lIeD5IuGDo9zP9lHW,spotify:track:1iEW4lIeD5IuGDo9zP9lHW,https://api.spotify.com/v1/tracks/1iEW4lIeD5IuGDo9zP9lHW,https://api.spotify.com/v1/audio-analysis/1iEW4lIeD5IuGDo9zP9lHW,199301,4,49
0.702,0.602,7,-10.29,1,0.11,0.173,0.521,0.697,0.404,91.016,audio_features,0yX0TU1LvzSi1cVbyJUXy7,spotify:track:0yX0TU1LvzSi1cVbyJUXy7,https://api.spotify.com/v1/tracks/0yX0TU1LvzSi1cVbyJUXy7,https://api.spotify.com/v1/audio-analysis/0yX0TU1LvzSi1cVbyJUXy7,265000,4,41
0.666,0.696,7,-8.567,0,0.0262,0.169,3.35e-05,0.267,0.886,136.626,audio_features,4bbCFwzzU37YZvQ0AyG6ux,spotify:track:4bbCFwzzU37YZvQ0AyG6ux,https://api.spotify.com/v1/tracks/4bbCFwzzU37YZvQ0AyG6ux,https://api.spotify.com/v1/audio-analysis/4bbCFwzzU37YZvQ0AyG6ux,173138,4,41
0.429,0.783,9,-4.949,1,0.0289,0.00917,0.0756,0.367,0.498,179.988,audio_features,3PvsLNOEPtpU7vXF3KiplH,spotify:track:3PvsLNOEPtpU7vXF3KiplH,https://api.spotify.com/v1/tracks/3PvsLNOEPtpU7vXF3KiplH,https://api.spotify.com/v1/audio-analysis/3PvsLNOEPtpU7vXF3KiplH,219000,4,31
0.541,0.562,6,-10.097,1,0.0319,0.0872,0.000919,0.359,0.735,177.987,audio_features,7Km5S6nzYt1JBlmgJaRYQZ,spotify:track:7Km5S6nzYt1JBlmgJaRYQZ,https://api.spotify.com/v1/tracks/7Km5S6nzYt1JBlmgJaRYQZ,https://api.spotify.com/v1/audio-analysis/7Km5S6nzYt1JBlmgJaRYQZ,245888,4,49
0.718,0.598,5,-5.142,0,0.0578,0.24,0,0.121,0.439,139.921,audio_features,2WdcWFEry1P3or789QBwHY,spotify:track:2WdcWFEry1P3or789QBwHY,https://api.spotify.com/v1/tracks/2WdcWFEry1P3or789QBwHY,https://api.spotify.com/v1/audio-analysis/2WdcWFEry1P3or789QBwHY,169685,4,54
0.766,0.82,4,-4.26,0,0.172,0.0194,0,0.152,0.528,144.947,audio_features,4wlUYFkMPKCjyslNWZzabF,spotify:track:4wlUYFkMPKCjyslNWZzabF,https://api.spotify.com/v1/tracks/4wlUYFkMPKCjyslNWZzabF,https://api.spotify.com/v1/audio-analysis/4wlUYFkMPKCjyslNWZzabF,224094,4,57
0.687,0.823,4,-7.002,0,0.037,0.0124,0.00228,0.0922,0.462,104.997,audio_features,0dFHVCNfQDko8do9VZ9MNy,spotify:track:0dFHVCNfQDko8do9VZ9MNy,https://api.spotify.com/v1/tracks/0dFHVCNfQDko8do9VZ9MNy,https://api.spotify.com/v1/audio-analysis/0dFHVCNfQDko8do9VZ9MNy,214347,4,37
0.67,0.514,9,-10.312,0,0.0368,0.122,0.000121,0.0969,0.391,120.943,audio_features,3fD9K7rYQJi0IDozmqpGYp,spotify:track:3fD9K7rYQJi0IDozmqpGYp,https://api.spotify.com/v1/tracks/3fD9K7rYQJi0IDozmqpGYp,https://api.spotify.com/v1/audio-analysis/3fD9K7rYQJi0IDozmqpGYp,225551,4,40
0.726,0.177,1,-14.824,0,0.0353,0.896,2.14e-06,0.116,0.618,92.934,audio_features,1Xtz05nIgJiEYdncfd1w8h,spotify:track:1Xtz05nIgJiEYdncfd1w8h,https://api.spotify.com/v1/tracks/1Xtz05nIgJiEYdncfd1w8h,https://api.spotify.com/v1/audio-analysis/1Xtz05nIgJiEYdncfd1w8h,214547,4,61
0.771,0.593,2,-6.177,0,0.039,0.0177,2.49e-05,0.0465,0.85,113.979,audio_features,7zpDy3s9gMgAS7e0cYjLpx,spotify:track:7zpDy3s9gMgAS7e0cYjLpx,https://api.spotify.com/v1/tracks/7zpDy3s9gMgAS7e0cYjLpx,https://api.spotify.com/v1/audio-analysis/7zpDy3s9gMgAS7e0cYjLpx,227932,4,50
0.536,0.772,6,-6.581,1,0.0333,0.000183,0.0418,0.31,0.264,146.929,audio_features,6HRhItdMUZWogEAFZ5WwN4,spotify:track:6HRhItdMUZWogEAFZ5WwN4,https://api.spotify.com/v1/tracks/6HRhItdMUZWogEAFZ5WwN4,https://api.spotify.com/v1/audio-analysis/6HRhItdMUZWogEAFZ5WwN4,239973,4,30
0.574,0.663,11,-6.891,0,0.0239,0.324,0.155,0.0986,0.578,99.051,audio_features,7qrkNSuzkfXjKnqGJcS2qf,spotify:track:7qrkNSuzkfXjKnqGJcS2qf,https://api.spotify.com/v1/tracks/7qrkNSuzkfXjKnqGJcS2qf,https://api.spotify.com/v1/audio-analysis/7qrkNSuzkfXjKnqGJcS2qf,292547,4,44
0.823,0.307,8,-12.12,0,0.0412,0.538,0.758,0.11,0.187,130.012,audio_features,73qAN4yiCPSPDsFy981Cqd,spotify:track:73qAN4yiCPSPDsFy981Cqd,https://api.spotify.com/v1/tracks/73qAN4yiCPSPDsFy981Cqd,https://api.spotify.com/v1/audio-analysis/73qAN4yiCPSPDsFy981Cqd,276000,4,41
0.604,0.742,5,-7.425,0,0.0314,0.131,0.0158,0.172,0.532,93.937,audio_features,1vUxmEZwpg7QAiKI9gkGOT,spotify:track:1vUxmEZwpg7QAiKI9gkGOT,https://api.spotify.com/v1/tracks/1vUxmEZwpg7QAiKI9gkGOT,https://api.spotify.com/v1/audio-analysis/1vUxmEZwpg7QAiKI9gkGOT,240320,4,46
0.375,0.598,1,-6.874,0,0.351,0.117,0,0.17,0.65,174.993,audio_features,1IsEhyS7beUwBL4Lulo6NL,spotify:track:1IsEhyS7beUwBL4Lulo6NL,https://api.spotify.com/v1/tracks/1IsEhyS7beUwBL4Lulo6NL,https://api.spotify.com/v1/audio-analysis/1IsEhyS7beUwBL4Lulo6NL,202485,4,59
0.526,0.488,2,-9.726,1,0.0509,0.52,1.66e-05,0.379,0.346,137.816,audio_features,3P7GGbJKFuISHm8sAmBawJ,spotify:track:3P7GGbJKFuISHm8sAmBawJ,https://api.spotify.com/v1/tracks/3P7GGbJKFuISHm8sAmBawJ,https://api.spotify.com/v1/audio-analysis/3P7GGbJKFuISHm8sAmBawJ,213227,4,41
0.226,0.783,4,-5.581,0,0.0458,0.338,0.126,0.116,0.595,160.507,audio_features,3UIKQNOmqxlDJ4kQSXgHom,spotify:track:3UIKQNOmqxlDJ4kQSXgHom,https://api.spotify.com/v1/tracks/3UIKQNOmqxlDJ4kQSXgHom,https://api.spotify.com/v1/audio-analysis/3UIKQNOmqxlDJ4kQSXgHom,247582,3,39
