danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.64,0.894,4,-5.726,0,0.118,0.0239,0,0.0931,0.399,104.042,audio_features,2sBTBHbqkwz0qSDhKsQ4OQ,spotify:track:2sBTBHbqkwz0qSDhKsQ4OQ,https://api.spotify.com/v1/tracks/2sBTBHbqkwz0qSDhKsQ4OQ,https://api.spotify.com/v1/audio-analysis/2sBTBHbqkwz0qSDhKsQ4OQ,209682,4,73
0.742,0.858,10,-4.946,1,0.0483,0.0826,0,0.364,0.64,95.049,audio_features,0JcNysfWVWaMS7R6vzGB2k,spotify:track:0JcNysfWVWaMS7R6vzGB2k,https://api.spotify.com/v1/tracks/0JcNysfWVWaMS7R6vzGB2k,https://api.spotify.com/v1/audio-analysis/0JcNysfWVWaMS7R6vzGB2k,194742,4,86
0.745,0.944,0,-3.959,1,0.134,0.21,1.48e-06,0.333,0.951,179.991,audio_features,0Gx4VrHzS7pZOEAGrmXXBH,spotify:track:0Gx4VrHzS7pZOEAGrmXXBH,https://api.spotify.com/v1/tracks/0Gx4VrHzS7pZOEAGrmXXBH,https://api.spotify.com/v1/audio-analysis/0Gx4VrHzS7pZOEAGrmXXBH,229510,4,51
0.588,0.812,5,-4.172,1,0.0429,0.0171,0,0.111,0.512,97.98,audio_features,6Al0Kpd4VrRZ0Z4kTThNPa,spotify:track:6Al0Kpd4VrRZ0Z4kTThNPa,https://api.spotify.com/v1/tracks/6Al0Kpd4VrRZ0Z4kTThNPa,https://api.spotify.com/v1/audio-analysis/6Al0Kpd4VrRZ0Z4kTThNPa,222213,4,68
0.607,0.867,1,-3.947,1,0.041,0.0234,0,0.0828,0.598,102.027,audio_features,59hfezbTqi7I68O4OyLfcR,spotify:track:59hfezbTqi7I68O4OyLfcR,https://api.spotify.com/v1/tracks/59hfezbTqi7I68O4OyLfcR,https://api.spotify.com/v1/audio-analysis/59hfezbTqi7I68O4OyLfcR,278627,4,67
0.806,0.929,10,-3.017,1,0.121,0.263,0,0.0622,0.602,97.99,audio_features,4YW2Fr25fHwUt6qgvM1iE1,spotify:track:4YW2Fr25fHwUt6qgvM1iE1,https://api.spotify.com/v1/tracks/4YW2Fr25fHwUt6qgvM1iE1,https://api.spotify.com/v1/audio-analysis/4YW2Fr25fHwUt6qgvM1iE1,232373,4,61
0.719,0.809,1,-10.201,1,0.0511,0.0893,0,0.183,0.964,100.839,audio_features,5ZaTqcL7zIreaVNeVy89Iu,spotify:track:5ZaTqcL7zIreaVNeVy89Iu,https://api.spotify.com/v1/tracks/5ZaTqcL7zIreaVNeVy89Iu,https://api.spotify.com/v1/audio-analysis/5ZaTqcL7zIreaVNeVy89Iu,215493,4,62
0.703,0.843,0,-6.047,1,0.0622,0.00832,9.08e-06,0.111,0.685,103.985,audio_features,0Wvc9i22ttaH4hnYi11x4H,spotify:track:0Wvc9i22ttaH4hnYi11x4H,https://api.spotify.com/v1/tracks/0Wvc9i22ttaH4hnYi11x4H,https://api.spotify.com/v1/audio-analysis/0Wvc9i22ttaH4hnYi11x4H,192869,4,52
0.777,0.862,8,-5.455,1,0.0593,0.133,7.48e-06,0.33,0.746,99.012,audio_features,05Yc6tJHgTIf1nqrJbnllK,spotify:track:05Yc6tJHgTIf1nqrJbnllK,https://api.spotify.com/v1/tracks/05Yc6tJHgTIf1nqrJbnllK,https://api.spotify.com/v1/audio-analysis/05Yc6tJHgTIf1nqrJbnllK,212881,4,53
0.632,0.807,7,-5.958,1,0.0564,0.00199,0,0.0995,0.422,106.172,audio_features,13lyTmEXhPThWeGNFrUQgl,spotify:track:13lyTmEXhPThWeGNFrUQgl,https://api.spotify.com/v1/tracks/13lyTmEXhPThWeGNFrUQgl,https://api.spotify.com/v1/audio-analysis/13lyTmEXhPThWeGNFrUQgl,192835,4,55
0.687,0.888,7,-5.102,1,0.0756,0.027,0,0.0505,0.966,114.987,audio_features,2ztbVmIpLxX8fHPZi2U278,spotify:track:2ztbVmIpLxX8fHPZi2U278,https://api.spotify.com/v1/tracks/2ztbVmIpLxX8fHPZi2U278,https://api.spotify.com/v1/audio-analysis/2ztbVmIpLxX8fHPZi2U278,189062,4,57
0.677,0.835,1,-5.418,0,0.0622,0.0201,0,0.0843,0.688,93.874,audio_features,4oWNicXN0XSTzvT7M59s9X,spotify:track:4oWNicXN0XSTzvT7M59s9X,https://api.spotify.com/v1/tracks/4oWNicXN0XSTzvT7M59s9X,https://api.spotify.com/v1/audio-analysis/4oWNicXN0XSTzvT7M59s9X,187106,4,51
0.597,0.892,7,-4.665,1,0.111,0.121,0,0.145,0.819,158.117,audio_features,1738i2uTwMzP5sJO3mVTv2,spotify:track:1738i2uTwMzP5sJO3mVTv2,https://api.spotify.com/v1/tracks/1738i2uTwMzP5sJO3mVTv2,https://api.spotify.com/v1/audio-analysis/1738i2uTwMzP5sJO3mVTv2,195903,4,51
0.569,0.825,8,-5.308,1,0.0443,0.0189,0,0.103,0.403,98.0,audio_features,3wpS7WDxyLbR9M3Zx7QaUD,spotify:track:3wpS7WDxyLbR9M3Zx7QaUD,https://api.spotify.com/v1/tracks/3wpS7WDxyLbR9M3Zx7QaUD,https://api.spotify.com/v1/audio-analysis/3wpS7WDxyLbR9M3Zx7QaUD,221015,4,52
0.429,0.877,3,-4.8,1,0.0986,0.0126,0,0.166,0.344,83.091,audio_features,4tEaRxgjNpEmD2ex7svfzB,spotify:track:4tEaRxgjNpEmD2ex7svfzB,https://api.spotify.com/v1/tracks/4tEaRxgjNpEmD2ex7svfzB,https://api.spotify.com/v1/audio-analysis/4tEaRxgjNpEmD2ex7svfzB,206146,4,51
0.331,0.925,6,-5.313,1,0.257,0.0558,0,0.0997,0.706,164.745,audio_features,73Jowwxjk8AAuuz6Z2rowD,spotify:track:73Jowwxjk8AAuuz6Z2rowD,https://api.spotify.com/v1/tracks/73Jowwxjk8AAuuz6Z2rowD,https://api.spotify.com/v1/audio-analysis/73Jowwxjk8AAuuz6Z2rowD,208248,3,54
0.72,0.896,1,-5.023,0,0.0572,0.0492,0,0.138,0.838,97.988,audio_features,5yJCrSdwrLFzboxg0z9xMd,spotify:track:5yJCrSdwrLFzboxg0z9xMd,https://api.spotify.com/v1/tracks/5yJCrSdwrLFzboxg0z9xMd,https://api.spotify.com/v1/audio-analysis/5yJCrSdwrLFzboxg0z9xMd,217021,4,67
0.711,0.926,9,-5.403,0,0.0532,0.00566,6.7e-05,0.0442,0.637,98.031,audio_features,417lJ6mUCdhLRlenVjwkWB,spotify:track:417lJ6mUCdhLRlenVjwkWB,https://api.spotify.com/v1/tracks/417lJ6mUCdhLRlenVjwkWB,https://api.spotify.com/v1/audio-analysis/417lJ6mUCdhLRlenVjwkWB,229057,4,58
0.729,0.655,0,-6.5,0,0.0388,0.0421,0,0.161,0.737,139.939,audio_features,6eObEuLBH0AAZLmZDioovq,spotify:track:6eObEuLBH0AAZLmZDioovq,https://api.spotify.com/v1/tracks/6eObEuLBH0AAZLmZDioovq,https://api.spotify.com/v1/audio-analysis/6eObEuLBH0AAZLmZDioovq,242262,4,48
0.518,0.681,7,-6.489,1,0.0375,0.00213,1.57e-06,0.124,0.59,161.966,audio_features,0RAal6yIHGZqLYvtB5HiOk,spotify:track:0RAal6yIHGZqLYvtB5HiOk,https://api.spotify.com/v1/tracks/0RAal6yIHGZqLYvtB5HiOk,https://api.spotify.com/v1/audio-analysis/0RAal6yIHGZqLYvtB5HiOk,226895,4,48
0.639,0.772,4,-6.404,0,0.0411,0.000415,0.000499,0.949,0.771,123.875,audio_features,1kyCkZ2qcXJ6koFwRwEAee,spotify:track:1kyCkZ2qcXJ6koFwRwEAee,https://api.spotify.com/v1/tracks/1kyCkZ2qcXJ6koFwRwEAee,https://api.spotify.com/v1/audio-analysis/1kyCkZ2qcXJ6koFwRwEAee,240771,4,48
0.452,0.857,7,-4.968,1,0.045,0.00176,0,0.163,0.589,106.373,audio_features,2RR8J845RHxF7xraHAea9P,spotify:track:2RR8J845RHxF7xraHAea9P,https://api.spotify.com/v1/tracks/2RR8J845RHxF7xraHAea9P,https://api.spotify.com/v1/audio-analysis/2RR8J845RHxF7xraHAea9P,229450,4,47
0.663,0.605,0,-8.534,1,0.0588,0.437,0,0.0894,0.836,100.854,audio_features,5zqb9vPcTA8rCwvIJQSxoO,spotify:track:5zqb9vPcTA8rCwvIJQSxoO,https://api.spotify.com/v1/tracks/5zqb9vPcTA8rCwvIJQSxoO,https://api.spotify.com/v1/audio-analysis/5zqb9vPcTA8rCwvIJQSxoO,265800,4,52
0.515,0.878,9,-8.846,0,0.149,0.226,0,0.316,0.732,119.974,audio_features,1lcaG7worZLgdGuniOfGje,spotify:track:1lcaG7worZLgdGuniOfGje,https://api.spotify.com/v1/tracks/1lcaG7worZLgdGuniOfGje,https://api.spotify.com/v1/audio-analysis/1lcaG7worZLgdGuniOfGje,233093,4,57
0.716,0.871,0,-7.336,0,0.0606,0.0287,6.32e-06,0.117,0.967,123.851,audio_features,72wEtgEkcLQ5x4F4ktiVSH,spotify:track:72wEtgEkcLQ5x4F4ktiVSH,https://api.spotify.com/v1/tracks/72wEtgEkcLQ5x4F4ktiVSH,https://api.spotify.com/v1/audio-analysis/72wEtgEkcLQ5x4F4ktiVSH,188720,4,56
0.668,0.727,7,-8.483,1,0.0373,0.123,0,0.09,0.675,94.913,audio_features,2jNqxXMkVVpEvjvvwvUDDD,spotify:track:2jNqxXMkVVpEvjvvwvUDDD,https://api.spotify.com/v1/tracks/2jNqxXMkVVpEvjvvwvUDDD,https://api.spotify.com/v1/audio-analysis/2jNqxXMkVVpEvjvvwvUDDD,240760,4,50
0.688,0.888,5,-5.323,1,0.0584,0.0313,0,0.0944,0.927,111.06,audio_features,5czkBkWogUvTf2jleGyHaQ,spotify:track:5czkBkWogUvTf2jleGyHaQ,https://api.spotify.com/v1/tracks/5czkBkWogUvTf2jleGyHaQ,https://api.spotify.com/v1/audio-analysis/5czkBkWogUvTf2jleGyHaQ,218440,4,54
0.614,0.954,5,-4.265,1,0.0386,0.0419,0,0.367,0.743,106.01,audio_features,0jT7DDqYbpOik6iun6ydUL,spotify:track:0jT7DDqYbpOik6iun6ydUL,https://api.spotify.com/v1/tracks/0jT7DDqYbpOik6iun6ydUL,https://api.spotify.com/v1/audio-analysis/0jT7DDqYbpOik6iun6ydUL,230040,4,50
0.721,0.704,5,-8.334,1,0.033,0.307,2.78e-06,0.208,0.952,96.026,audio_features,0JC81ojQymAE7l1KuJpNCq,spotify:track:0JC81ojQymAE7l1KuJpNCq,https://api.spotify.com/v1/tracks/0JC81ojQymAE7l1KuJpNCq,https://api.spotify.com/v1/audio-analysis/0JC81ojQymAE7l1KuJpNCq,200080,4,45
0.671,0.917,11,-4.737,1,0.0731,0.0112,0,0.115,0.745,102.001,audio_features,0wOSBQBoXmwRBFDUsU6Ywx,spotify:track:0wOSBQBoXmwRBFDUsU6Ywx,https://api.spotify.com/v1/tracks/0wOSBQBoXmwRBFDUsU6Ywx,https://api.spotify.com/v1/audio-analysis/0wOSBQBoXmwRBFDUsU6Ywx,232565,4,46
0.664,0.907,1,-3.246,0,0.0894,0.137,0,0.127,0.883,196.05,audio_features,4xi8FLJZrzICB4EVxovE8R,spotify:track:4xi8FLJZrzICB4EVxovE8R,https://api.spotify.com/v1/tracks/4xi8FLJZrzICB4EVxovE8R,https://api.spotify.com/v1/audio-analysis/4xi8FLJZrzICB4EVxovE8R,214573,4,56
0.543,0.529,9,-8.447,1,0.0353,0.137,0,0.106,0.352,142.005,audio_features,2s66rxdujHHVhNNnJfgL2D,spotify:track:2s66rxdujHHVhNNnJfgL2D,https://api.spotify.com/v1/tracks/2s66rxdujHHVhNNnJfgL2D,https://api.spotify.com/v1/audio-analysis/2s66rxdujHHVhNNnJfgL2D,214800,4,49
0.576,0.843,5,-5.034,1,0.0419,0.0159,0,0.0972,0.411,100.019,audio_features,1KbX1VuFIgsRa9JjnQtRYA,spotify:track:1KbX1VuFIgsRa9JjnQtRYA,https://api.spotify.com/v1/tracks/1KbX1VuFIgsRa9JjnQtRYA,https://api.spotify.com/v1/audio-analysis/1KbX1VuFIgsRa9JjnQtRYA,252120,4,56
0.598,0.917,0,-3.455,1,0.159,0.117,0,0.398,0.575,180.049,audio_features,7IRuf7FrdQvOGs0g9mSNGr,spotify:track:7IRuf7FrdQvOGs0g9mSNGr,https://api.spotify.com/v1/tracks/7IRuf7FrdQvOGs0g9mSNGr,https://api.spotify.com/v1/audio-analysis/7IRuf7FrdQvOGs0g9mSNGr,254069,4,65
0.718,0.85,6,-8.987,0,0.0484,0.238,1.24e-05,0.136,0.721,93.028,audio_features,0HB3gmAMC46FIPFoebTbk5,spotify:track:0HB3gmAMC46FIPFoebTbk5,https://api.spotify.com/v1/tracks/0HB3gmAMC46FIPFoebTbk5,https://api.spotify.com/v1/audio-analysis/0HB3gmAMC46FIPFoebTbk5,243893,4,44
0.451,0.921,8,-7.006,1,0.1,0.109,0,0.0743,0.93,77.98,audio_features,1fAzF0YA0bPy65wNS7pu9h,spotify:track:1fAzF0YA0bPy65wNS7pu9h,https://api.spotify.com/v1/tracks/1fAzF0YA0bPy65wNS7pu9h,https://api.spotify.com/v1/audio-analysis/1fAzF0YA0bPy65wNS7pu9h,216600,5,42
0.619,0.912,1,-6.293,1,0.0373,0.00926,0.00188,0.0264,0.912,97.993,audio_features,5E4Y7yOBPNAYgVfKtVC4yr,spotify:track:5E4Y7yOBPNAYgVfKtVC4yr,https://api.spotify.com/v1/tracks/5E4Y7yOBPNAYgVfKtVC4yr,https://api.spotify.com/v1/audio-analysis/5E4Y7yOBPNAYgVfKtVC4yr,201707,4,45
0.613,0.939,1,-3.397,1,0.0491,0.00598,0,0.096,0.862,124.09,audio_features,0dCIez27HrYvJhaukcWzEH,spotify:track:0dCIez27HrYvJhaukcWzEH,https://api.spotify.com/v1/tracks/0dCIez27HrYvJhaukcWzEH,https://api.spotify.com/v1/audio-analysis/0dCIez27HrYvJhaukcWzEH,234000,4,46
0.656,0.834,7,-7.516,1,0.0422,0.368,0,0.0881,0.962,164.079,audio_features,3t7E1ZrqjIH6xGtSq3gMj9,spotify:track:3t7E1ZrqjIH6xGtSq3gMj9,https://api.spotify.com/v1/tracks/3t7E1ZrqjIH6xGtSq3gMj9,https://api.spotify.com/v1/audio-analysis/3t7E1ZrqjIH6xGtSq3gMj9,205067,4,45
0.523,0.844,3,-6.047,1,0.0439,0.0875,0,0.123,0.549,80.915,audio_features,2VL0W9x83RwQOBGbfphBqW,spotify:track:2VL0W9x83RwQOBGbfphBqW,https://api.spotify.com/v1/tracks/2VL0W9x83RwQOBGbfphBqW,https://api.spotify.com/v1/audio-analysis/2VL0W9x83RwQOBGbfphBqW,247720,4,51
0.679,0.789,5,-9.164,1,0.0495,0.275,0,0.165,0.971,175.98,audio_features,2TMqOhd2skUQqbMTf55R5f,spotify:track:2TMqOhd2skUQqbMTf55R5f,https://api.spotify.com/v1/tracks/2TMqOhd2skUQqbMTf55R5f,https://api.spotify.com/v1/audio-analysis/2TMqOhd2skUQqbMTf55R5f,277040,4,44
