danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.708,0.847,8,-4.471,0,0.165,0.131,0,0.0787,0.691,89.882,audio_features,4JmgbZqnfpQ4pn2OKHgSJb,spotify:track:4JmgbZqnfpQ4pn2OKHgSJb,https://api.spotify.com/v1/tracks/4JmgbZqnfpQ4pn2OKHgSJb,https://api.spotify.com/v1/audio-analysis/4JmgbZqnfpQ4pn2OKHgSJb,213770,4,51
0.837,0.519,11,-6.765,0,0.409,0.139,0,0.0561,0.879,82.935,audio_features,4HVYBeELSvhfGmWwFoZr4p,spotify:track:4HVYBeELSvhfGmWwFoZr4p,https://api.spotify.com/v1/tracks/4HVYBeELSvhfGmWwFoZr4p,https://api.spotify.com/v1/audio-analysis/4HVYBeELSvhfGmWwFoZr4p,271733,4,58
0.472,0.751,7,-5.974,1,0.332,0.0716,0,0.634,0.474,169.914,audio_features,5iZxLtBUcoQPXSO2iDERp1,spotify:track:5iZxLtBUcoQPXSO2iDERp1,https://api.spotify.com/v1/tracks/5iZxLtBUcoQPXSO2iDERp1,https://api.spotify.com/v1/audio-analysis/5iZxLtBUcoQPXSO2iDERp1,720000,4,59
0.737,0.92,8,-4.239,0,0.26,0.469,0,0.155,0.851,119.997,audio_features,3sSDlBJBwKmP62Ppul0WD4,spotify:track:3sSDlBJBwKmP62Ppul0WD4,https://api.spotify.com/v1/tracks/3sSDlBJBwKmP62Ppul0WD4,https://api.spotify.com/v1/audio-analysis/3sSDlBJBwKmP62Ppul0WD4,290099,4,35
0.788,0.897,10,-5.19,0,0.217,0.109,0.00546,0.309,0.703,91.99,audio_features,51j9YFJcKXouwYTsRQvi6M,spotify:track:51j9YFJcKXouwYTsRQvi6M,https://api.spotify.com/v1/tracks/51j9YFJcKXouwYTsRQvi6M,https://api.spotify.com/v1/audio-analysis/51j9YFJcKXouwYTsRQvi6M,193043,4,10
0.703,0.848,0,-5.18,1,0.38,0.371,0,0.189,0.723,81.359,audio_features,5badBrcNvFub5If1Mz93uL,spotify:track:5badBrcNvFub5If1Mz93uL,https://api.spotify.com/v1/tracks/5badBrcNvFub5If1Mz93uL,https://api.spotify.com/v1/audio-analysis/5badBrcNvFub5If1Mz93uL,271667,4,60
0.711,0.939,4,-4.776,1,0.213,0.0272,0.00284,0.416,0.932,168.026,audio_features,7rW9Yz8fKkhjz0hTRixBmz,spotify:track:7rW9Yz8fKkhjz0hTRixBmz,https://api.spotify.com/v1/tracks/7rW9Yz8fKkhjz0hTRixBmz,https://api.spotify.com/v1/audio-analysis/7rW9Yz8fKkhjz0hTRixBmz,247787,4,47
0.77,0.322,8,-21.299,1,0.48,0.465,0,0.123,0.836,160.034,audio_features,2f30m4XplPuj5gqwrjQA6D,spotify:track:2f30m4XplPuj5gqwrjQA6D,https://api.spotify.com/v1/tracks/2f30m4XplPuj5gqwrjQA6D,https://api.spotify.com/v1/audio-analysis/2f30m4XplPuj5gqwrjQA6D,217183,4,32
0.6,0.806,1,-4.392,1,0.227,0.00613,0,0.13,0.502,84.747,audio_features,6g9pbZC0f40ZmHgq8xsAn6,spotify:track:6g9pbZC0f40ZmHgq8xsAn6,https://api.spotify.com/v1/tracks/6g9pbZC0f40ZmHgq8xsAn6,https://api.spotify.com/v1/audio-analysis/6g9pbZC0f40ZmHgq8xsAn6,488471,4,58
0.663,0.801,0,-4.086,1,0.246,0.188,0,0.166,0.678,177.843,audio_features,48yFrzTcnTCklWL9PRVZJj,spotify:track:48yFrzTcnTCklWL9PRVZJj,https://api.spotify.com/v1/tracks/48yFrzTcnTCklWL9PRVZJj,https://api.spotify.com/v1/audio-analysis/48yFrzTcnTCklWL9PRVZJj,225240,4,69
