danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.681,0.912,6,-5.006,0,0.04,0.102,7.18e-05,0.325,0.667,92.021,audio_features,0PE1dlvMZeBqEbm4BtVVSZ,spotify:track:0PE1dlvMZeBqEbm4BtVVSZ,https://api.spotify.com/v1/tracks/0PE1dlvMZeBqEbm4BtVVSZ,https://api.spotify.com/v1/audio-analysis/0PE1dlvMZeBqEbm4BtVVSZ,215640,4,74
0.82,0.717,8,-6.191,1,0.0722,0.439,0.00107,0.236,0.843,104.005,audio_features,3Rjc14RoRucHhEWvv3W3xW,spotify:track:3Rjc14RoRucHhEWvv3W3xW,https://api.spotify.com/v1/tracks/3Rjc14RoRucHhEWvv3W3xW,https://api.spotify.com/v1/audio-analysis/3Rjc14RoRucHhEWvv3W3xW,275253,4,53
0.77,0.668,1,-6.942,0,0.0399,0.151,0,0.0838,0.94,99.16,audio_features,41LiGcvaTkXHyPjfsxKvWv,spotify:track:41LiGcvaTkXHyPjfsxKvWv,https://api.spotify.com/v1/tracks/41LiGcvaTkXHyPjfsxKvWv,https://api.spotify.com/v1/audio-analysis/41LiGcvaTkXHyPjfsxKvWv,278333,4,47
0.763,0.602,9,-6.263,1,0.031,0.46,2.41e-06,0.112,0.668,127.477,audio_features,2WAB0B0l3rvZlpOB2ffdr2,spotify:track:2WAB0B0l3rvZlpOB2ffdr2,https://api.spotify.com/v1/tracks/2WAB0B0l3rvZlpOB2ffdr2,https://api.spotify.com/v1/audio-analysis/2WAB0B0l3rvZlpOB2ffdr2,312120,4,48
0.547,0.2,4,-16.734,0,0.0392,0.826,3.84e-05,0.135,0.551,91.768,audio_features,6XPnsGksSwjcQXX7nfO5Wu,spotify:track:6XPnsGksSwjcQXX7nfO5Wu,https://api.spotify.com/v1/tracks/6XPnsGksSwjcQXX7nfO5Wu,https://api.spotify.com/v1/audio-analysis/6XPnsGksSwjcQXX7nfO5Wu,182973,4,5
0.857,0.765,1,-4.468,1,0.206,0.0376,3.73e-06,0.137,0.724,98.157,audio_features,31UvMGxjibBr1GqIUKwi1r,spotify:track:31UvMGxjibBr1GqIUKwi1r,https://api.spotify.com/v1/tracks/31UvMGxjibBr1GqIUKwi1r,https://api.spotify.com/v1/audio-analysis/31UvMGxjibBr1GqIUKwi1r,244160,4,38
0.835,0.816,7,-6.377,0,0.0429,0.423,0.00106,0.1,0.698,99.976,audio_features,4rGvcJFVrCO22Rj9pCJ9EL,spotify:track:4rGvcJFVrCO22Rj9pCJ9EL,https://api.spotify.com/v1/tracks/4rGvcJFVrCO22Rj9pCJ9EL,https://api.spotify.com/v1/audio-analysis/4rGvcJFVrCO22Rj9pCJ9EL,189048,4,4
0.812,0.761,11,-7.924,0,0.112,0.0222,0.000286,0.0909,0.692,104.037,audio_features,4OCOeBdMOwBCaPdkY7X0MV,spotify:track:4OCOeBdMOwBCaPdkY7X0MV,https://api.spotify.com/v1/tracks/4OCOeBdMOwBCaPdkY7X0MV,https://api.spotify.com/v1/audio-analysis/4OCOeBdMOwBCaPdkY7X0MV,249615,4,2
0.679,0.538,9,-12.26,0,0.0465,0.672,0.0155,0.054,0.935,107.308,audio_features,78taE2N9z43tKsNaxfcapx,spotify:track:78taE2N9z43tKsNaxfcapx,https://api.spotify.com/v1/tracks/78taE2N9z43tKsNaxfcapx,https://api.spotify.com/v1/audio-analysis/78taE2N9z43tKsNaxfcapx,203013,4,31
0.555,0.331,9,-17.718,0,0.27,0.652,1.16e-05,0.235,0.437,170.603,audio_features,2a1x7Ln27cNtsgtL26mdwi,spotify:track:2a1x7Ln27cNtsgtL26mdwi,https://api.spotify.com/v1/tracks/2a1x7Ln27cNtsgtL26mdwi,https://api.spotify.com/v1/audio-analysis/2a1x7Ln27cNtsgtL26mdwi,351400,3,53
0.751,0.879,9,-3.453,0,0.0581,0.0843,2.46e-06,0.051,0.748,102.034,audio_features,6dJoktJWITggpuGLsUMtRp,spotify:track:6dJoktJWITggpuGLsUMtRp,https://api.spotify.com/v1/tracks/6dJoktJWITggpuGLsUMtRp,https://api.spotify.com/v1/audio-analysis/6dJoktJWITggpuGLsUMtRp,221640,4,38
0.69,0.923,8,-2.824,1,0.0574,0.025,0,0.0525,0.793,104.977,audio_features,6P367zPr9yTCQ0LIgT9foX,spotify:track:6P367zPr9yTCQ0LIgT9foX,https://api.spotify.com/v1/tracks/6P367zPr9yTCQ0LIgT9foX,https://api.spotify.com/v1/audio-analysis/6P367zPr9yTCQ0LIgT9foX,254147,4,49
0.769,0.745,2,-5.962,1,0.0351,0.322,0.00227,0.0357,0.84,103.927,audio_features,50twJnSvfE8M5Cu2WNzdF1,spotify:track:50twJnSvfE8M5Cu2WNzdF1,https://api.spotify.com/v1/tracks/50twJnSvfE8M5Cu2WNzdF1,https://api.spotify.com/v1/audio-analysis/50twJnSvfE8M5Cu2WNzdF1,301733,4,37
0.732,0.314,0,-11.633,0,0.0532,0.727,0.00528,0.268,0.636,116.968,audio_features,0kM2ZjqOCikbKDigQBUVdf,spotify:track:0kM2ZjqOCikbKDigQBUVdf,https://api.spotify.com/v1/tracks/0kM2ZjqOCikbKDigQBUVdf,https://api.spotify.com/v1/audio-analysis/0kM2ZjqOCikbKDigQBUVdf,223133,4,1
0.815,0.806,5,-4.414,0,0.0694,0.127,0.000173,0.0731,0.437,99.994,audio_features,7ozksXlCrPuOcAQIbxHIji,spotify:track:7ozksXlCrPuOcAQIbxHIji,https://api.spotify.com/v1/tracks/7ozksXlCrPuOcAQIbxHIji,https://api.spotify.com/v1/audio-analysis/7ozksXlCrPuOcAQIbxHIji,217940,4,40
0.6,0.713,4,-5.592,0,0.0737,0.674,0.000248,0.0628,0.964,119.674,audio_features,7dFWvedJ3RKdVSdPlzU3h3,spotify:track:7dFWvedJ3RKdVSdPlzU3h3,https://api.spotify.com/v1/tracks/7dFWvedJ3RKdVSdPlzU3h3,https://api.spotify.com/v1/audio-analysis/7dFWvedJ3RKdVSdPlzU3h3,288280,4,51
0.571,0.0409,6,-16.484,1,0.116,0.893,0,0.12,0.335,85.043,audio_features,76SmB3nQIWcLxpd6JzmUwi,spotify:track:76SmB3nQIWcLxpd6JzmUwi,https://api.spotify.com/v1/tracks/76SmB3nQIWcLxpd6JzmUwi,https://api.spotify.com/v1/audio-analysis/76SmB3nQIWcLxpd6JzmUwi,155293,4,44
0.76,0.966,7,-3.013,0,0.0574,0.233,0,0.346,0.917,105.528,audio_features,2BzshcfjnvZCvkYDJMjUYC,spotify:track:2BzshcfjnvZCvkYDJMjUYC,https://api.spotify.com/v1/tracks/2BzshcfjnvZCvkYDJMjUYC,https://api.spotify.com/v1/audio-analysis/2BzshcfjnvZCvkYDJMjUYC,189386,4,27
0.711,0.763,3,-6.522,0,0.362,0.402,0,0.144,0.602,89.919,audio_features,2ZSP2DxDPlJg6bOpnUNiNA,spotify:track:2ZSP2DxDPlJg6bOpnUNiNA,https://api.spotify.com/v1/tracks/2ZSP2DxDPlJg6bOpnUNiNA,https://api.spotify.com/v1/audio-analysis/2ZSP2DxDPlJg6bOpnUNiNA,354717,4,47
0.708,0.256,7,-15.984,1,0.0577,0.634,0.844,0.0951,0.637,122.222,audio_features,2RzPERYgQsAnUBVXMf9qZq,spotify:track:2RzPERYgQsAnUBVXMf9qZq,https://api.spotify.com/v1/tracks/2RzPERYgQsAnUBVXMf9qZq,https://api.spotify.com/v1/audio-analysis/2RzPERYgQsAnUBVXMf9qZq,590027,4,1
0.634,0.709,7,-13.907,1,0.0694,0.463,0.594,0.0884,0.646,110.142,audio_features,5zc2m1mCHseqrvjCDIcQTY,spotify:track:5zc2m1mCHseqrvjCDIcQTY,https://api.spotify.com/v1/tracks/5zc2m1mCHseqrvjCDIcQTY,https://api.spotify.com/v1/audio-analysis/5zc2m1mCHseqrvjCDIcQTY,183360,4,36
