danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.229,0.936,8,-4.237,1,0.0826,0.00366,0.0502,0.958,0.492,147.561,audio_features,4bKFlMmgUx7Gn9fN89lIbV,spotify:track:4bKFlMmgUx7Gn9fN89lIbV,https://api.spotify.com/v1/tracks/4bKFlMmgUx7Gn9fN89lIbV,https://api.spotify.com/v1/audio-analysis/4bKFlMmgUx7Gn9fN89lIbV,182533,4,39
0.589,0.901,2,-3.442,1,0.0311,0.02,0,0.355,0.795,125.976,audio_features,7upAH0ezzsThyvr33YKn4u,spotify:track:7upAH0ezzsThyvr33YKn4u,https://api.spotify.com/v1/tracks/7upAH0ezzsThyvr33YKn4u,https://api.spotify.com/v1/audio-analysis/7upAH0ezzsThyvr33YKn4u,254147,4,59
0.366,0.721,4,-10.762,0,0.0299,0.000118,0.0202,0.208,0.282,84.983,audio_features,0flNEGHYBGS3LIGtcfz7JS,spotify:track:0flNEGHYBGS3LIGtcfz7JS,https://api.spotify.com/v1/tracks/0flNEGHYBGS3LIGtcfz7JS,https://api.spotify.com/v1/audio-analysis/0flNEGHYBGS3LIGtcfz7JS,347840,4,40
0.37,0.702,9,-5.284,0,0.0313,0.0111,1.81e-06,0.328,0.48,149.098,audio_features,4MUhGA8YfsYDqD4NhTUtSf,spotify:track:4MUhGA8YfsYDqD4NhTUtSf,https://api.spotify.com/v1/tracks/4MUhGA8YfsYDqD4NhTUtSf,https://api.spotify.com/v1/audio-analysis/4MUhGA8YfsYDqD4NhTUtSf,244427,4,47
0.44,0.974,10,-6.074,1,0.0691,0.000446,6.41e-05,0.293,0.508,155.873,audio_features,7uZcZ7lXte8e8rNCIRH38y,spotify:track:7uZcZ7lXte8e8rNCIRH38y,https://api.spotify.com/v1/tracks/7uZcZ7lXte8e8rNCIRH38y,https://api.spotify.com/v1/audio-analysis/7uZcZ7lXte8e8rNCIRH38y,209373,4,35
0.561,0.972,0,-3.761,0,0.0822,0.000164,2.51e-05,0.504,0.382,108.981,audio_features,0Wwb8pi1LU7JUlXfzKsURU,spotify:track:0Wwb8pi1LU7JUlXfzKsURU,https://api.spotify.com/v1/tracks/0Wwb8pi1LU7JUlXfzKsURU,https://api.spotify.com/v1/audio-analysis/0Wwb8pi1LU7JUlXfzKsURU,237467,4,39
0.469,0.447,10,-13.073,0,0.0615,0.000162,0.000121,0.49,0.922,114.559,audio_features,1gom5NgPAZQOjpVLyh4HML,spotify:track:1gom5NgPAZQOjpVLyh4HML,https://api.spotify.com/v1/tracks/1gom5NgPAZQOjpVLyh4HML,https://api.spotify.com/v1/audio-analysis/1gom5NgPAZQOjpVLyh4HML,182667,4,48
0.592,0.51,4,-12.316,1,0.0295,0.00519,0.00288,0.202,0.431,143.531,audio_features,6qoHBab3uXaz0qCXm04iTQ,spotify:track:6qoHBab3uXaz0qCXm04iTQ,https://api.spotify.com/v1/tracks/6qoHBab3uXaz0qCXm04iTQ,https://api.spotify.com/v1/audio-analysis/6qoHBab3uXaz0qCXm04iTQ,229507,4,52
0.378,0.89,7,-5.215,1,0.0534,0.0033,0.000317,0.0574,0.43,94.01,audio_features,3ZFfwUQxXspg5hhJXyFR8J,spotify:track:3ZFfwUQxXspg5hhJXyFR8J,https://api.spotify.com/v1/tracks/3ZFfwUQxXspg5hhJXyFR8J,https://api.spotify.com/v1/audio-analysis/3ZFfwUQxXspg5hhJXyFR8J,258013,4,46
0.508,0.697,7,-12.047,1,0.0433,0.0525,0.00284,0.0321,0.839,149.618,audio_features,54hZ4XVJ0xdp6teJVyHgn8,spotify:track:54hZ4XVJ0xdp6teJVyHgn8,https://api.spotify.com/v1/tracks/54hZ4XVJ0xdp6teJVyHgn8,https://api.spotify.com/v1/audio-analysis/54hZ4XVJ0xdp6teJVyHgn8,158947,4,37
