danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.261,0.877,9,-8.055,0,0.077,0.000512,0.008,0.199,0.32,113.97,audio_features,6EKuZq3wYdbPbs7eubOmWs,spotify:track:6EKuZq3wYdbPbs7eubOmWs,https://api.spotify.com/v1/tracks/6EKuZq3wYdbPbs7eubOmWs,https://api.spotify.com/v1/audio-analysis/6EKuZq3wYdbPbs7eubOmWs,381733,3,29
0.237,0.62,8,-8.78,0,0.0346,5.94e-05,0.8,0.24,0.138,118.409,audio_features,2LqniAScDuwvOSWEHbsJAI,spotify:track:2LqniAScDuwvOSWEHbsJAI,https://api.spotify.com/v1/tracks/2LqniAScDuwvOSWEHbsJAI,https://api.spotify.com/v1/audio-analysis/2LqniAScDuwvOSWEHbsJAI,468227,4,46
0.397,0.811,0,-5.94,0,0.0319,0.0689,0.17,0.113,0.469,122.676,audio_features,2KCE5fTZDqsUynaQ1WmR22,spotify:track:2KCE5fTZDqsUynaQ1WmR22,https://api.spotify.com/v1/tracks/2KCE5fTZDqsUynaQ1WmR22,https://api.spotify.com/v1/audio-analysis/2KCE5fTZDqsUynaQ1WmR22,298698,4,30
0.244,0.916,8,-5.575,1,0.0441,7.28e-05,0.822,0.139,0.156,104.985,audio_features,3yUPvY070XDrOkyeiElu8S,spotify:track:3yUPvY070XDrOkyeiElu8S,https://api.spotify.com/v1/tracks/3yUPvY070XDrOkyeiElu8S,https://api.spotify.com/v1/audio-analysis/3yUPvY070XDrOkyeiElu8S,373667,3,32
0.477,0.882,9,-5.895,0,0.0464,0.000387,0.273,0.0962,0.358,94.007,audio_features,3geOhalN9vGQSFhfQpK31E,spotify:track:3geOhalN9vGQSFhfQpK31E,https://api.spotify.com/v1/tracks/3geOhalN9vGQSFhfQpK31E,https://api.spotify.com/v1/audio-analysis/3geOhalN9vGQSFhfQpK31E,353043,4,32
0.253,0.964,8,-7.19,1,0.167,0.000109,0.778,0.0887,0.0395,177.936,audio_features,7tFTnPqjxdL5VTjSraWSjP,spotify:track:7tFTnPqjxdL5VTjSraWSjP,https://api.spotify.com/v1/tracks/7tFTnPqjxdL5VTjSraWSjP,https://api.spotify.com/v1/audio-analysis/7tFTnPqjxdL5VTjSraWSjP,381747,3,25
0.387,0.905,3,-5.627,0,0.072,0.00018,0.0144,0.218,0.268,75.006,audio_features,0uc37lf4JwgWCNwD8c0uvf,spotify:track:0uc37lf4JwgWCNwD8c0uvf,https://api.spotify.com/v1/tracks/0uc37lf4JwgWCNwD8c0uvf,https://api.spotify.com/v1/audio-analysis/0uc37lf4JwgWCNwD8c0uvf,325575,4,31
0.483,0.642,7,-5.815,0,0.033,0.00448,0.934,0.18,0.249,144.984,audio_features,3Y77ERQmVESnwBo81Rxb3A,spotify:track:3Y77ERQmVESnwBo81Rxb3A,https://api.spotify.com/v1/tracks/3Y77ERQmVESnwBo81Rxb3A,https://api.spotify.com/v1/audio-analysis/3Y77ERQmVESnwBo81Rxb3A,366067,4,24
0.566,0.772,4,-5.571,0,0.0293,3.12e-05,0.207,0.134,0.0463,99.993,audio_features,2NaZ8lYagsLUr3JLccfxL1,spotify:track:2NaZ8lYagsLUr3JLccfxL1,https://api.spotify.com/v1/tracks/2NaZ8lYagsLUr3JLccfxL1,https://api.spotify.com/v1/audio-analysis/2NaZ8lYagsLUr3JLccfxL1,412015,4,23
0.389,0.652,1,-9.949,0,0.0359,0.000985,0.901,0.1,0.261,146.937,audio_features,3zsyzLdSHnOeUSKJDaKnOE,spotify:track:3zsyzLdSHnOeUSKJDaKnOE,https://api.spotify.com/v1/tracks/3zsyzLdSHnOeUSKJDaKnOE,https://api.spotify.com/v1/audio-analysis/3zsyzLdSHnOeUSKJDaKnOE,362125,4,29
