danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.513,0.88,7,-4.69,0,0.0309,9.59e-05,0.00614,0.0824,0.495,92.358,audio_features,60fUDmIWuKhngaeBIVhqIV,spotify:track:60fUDmIWuKhngaeBIVhqIV,https://api.spotify.com/v1/tracks/60fUDmIWuKhngaeBIVhqIV,https://api.spotify.com/v1/audio-analysis/60fUDmIWuKhngaeBIVhqIV,269533,4,62
0.484,0.973,0,-4.174,1,0.0533,7.85e-05,0.000647,0.0647,0.236,103.51,audio_features,4HfHpkwtU9PxhtRgOEU2tv,spotify:track:4HfHpkwtU9PxhtRgOEU2tv,https://api.spotify.com/v1/tracks/4HfHpkwtU9PxhtRgOEU2tv,https://api.spotify.com/v1/audio-analysis/4HfHpkwtU9PxhtRgOEU2tv,309876,4,27
0.572,0.792,7,-5.625,1,0.0493,0.00118,0.000204,0.166,0.354,100.058,audio_features,7koAbxX7SwJTDDmvVT2afR,spotify:track:7koAbxX7SwJTDDmvVT2afR,https://api.spotify.com/v1/tracks/7koAbxX7SwJTDDmvVT2afR,https://api.spotify.com/v1/audio-analysis/7koAbxX7SwJTDDmvVT2afR,215147,4,32
0.452,0.969,4,-4.386,0,0.0996,0.000168,0.000172,0.163,0.199,82.49,audio_features,1B6GCURPiJpuMu8SEdvEku,spotify:track:1B6GCURPiJpuMu8SEdvEku,https://api.spotify.com/v1/tracks/1B6GCURPiJpuMu8SEdvEku,https://api.spotify.com/v1/audio-analysis/1B6GCURPiJpuMu8SEdvEku,205640,4,24
0.348,0.865,2,-3.61,1,0.0608,0.00328,0.485,0.263,0.214,168.149,audio_features,0jnh4YV8jNUwQ3TsG5wavq,spotify:track:0jnh4YV8jNUwQ3TsG5wavq,https://api.spotify.com/v1/tracks/0jnh4YV8jNUwQ3TsG5wavq,https://api.spotify.com/v1/audio-analysis/0jnh4YV8jNUwQ3TsG5wavq,398600,4,26
0.463,0.982,6,-4.847,0,0.0722,1.31e-05,1.59e-05,0.341,0.316,93.001,audio_features,3Z7wxP6u5DifLwB67QvbqZ,spotify:track:3Z7wxP6u5DifLwB67QvbqZ,https://api.spotify.com/v1/tracks/3Z7wxP6u5DifLwB67QvbqZ,https://api.spotify.com/v1/audio-analysis/3Z7wxP6u5DifLwB67QvbqZ,203933,4,16
0.473,0.921,6,-5.529,1,0.0752,6.85e-05,0.0126,0.13,0.274,131.988,audio_features,5pNGSQ7Oy5odYLcSyzbEhT,spotify:track:5pNGSQ7Oy5odYLcSyzbEhT,https://api.spotify.com/v1/tracks/5pNGSQ7Oy5odYLcSyzbEhT,https://api.spotify.com/v1/audio-analysis/5pNGSQ7Oy5odYLcSyzbEhT,227987,4,16
0.353,0.981,2,-3.563,1,0.222,0.000262,0.0243,0.326,0.493,203.804,audio_features,7ntOm7rMArRCXKUGs5LPMk,spotify:track:7ntOm7rMArRCXKUGs5LPMk,https://api.spotify.com/v1/tracks/7ntOm7rMArRCXKUGs5LPMk,https://api.spotify.com/v1/audio-analysis/7ntOm7rMArRCXKUGs5LPMk,226531,4,30
0.453,0.919,1,-5.387,1,0.0426,0.00326,0.0321,0.36,0.455,88.49,audio_features,6kSu9z1V5xBNZTxcPEKVO8,spotify:track:6kSu9z1V5xBNZTxcPEKVO8,https://api.spotify.com/v1/tracks/6kSu9z1V5xBNZTxcPEKVO8,https://api.spotify.com/v1/audio-analysis/6kSu9z1V5xBNZTxcPEKVO8,226091,4,42
0.265,0.906,2,-5.783,1,0.0679,0.000413,0.000152,0.0885,0.211,93.744,audio_features,3LiAcUvzHPui50pEN6rRMQ,spotify:track:3LiAcUvzHPui50pEN6rRMQ,https://api.spotify.com/v1/tracks/3LiAcUvzHPui50pEN6rRMQ,https://api.spotify.com/v1/audio-analysis/3LiAcUvzHPui50pEN6rRMQ,271453,4,30
