danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.358,0.893,4,-7.486,0,0.12,0.0222,0.0524,0.126,0.262,174.238,audio_features,4h7bZNHnYP2umOomPbnfxG,spotify:track:4h7bZNHnYP2umOomPbnfxG,https://api.spotify.com/v1/tracks/4h7bZNHnYP2umOomPbnfxG,https://api.spotify.com/v1/audio-analysis/4h7bZNHnYP2umOomPbnfxG,293653,4,52
0.501,0.938,4,-4.345,1,0.0536,7.94e-05,0,0.0923,0.406,94.05,audio_features,55YZfgIoIGT3eiwY2FQuIp,spotify:track:55YZfgIoIGT3eiwY2FQuIp,https://api.spotify.com/v1/tracks/55YZfgIoIGT3eiwY2FQuIp,https://api.spotify.com/v1/audio-analysis/55YZfgIoIGT3eiwY2FQuIp,166147,4,34
0.464,0.963,0,-3.568,0,0.0484,0.00161,0,0.196,0.528,160.071,audio_features,7eNCd5hipdcUscAHTguegq,spotify:track:7eNCd5hipdcUscAHTguegq,https://api.spotify.com/v1/tracks/7eNCd5hipdcUscAHTguegq,https://api.spotify.com/v1/audio-analysis/7eNCd5hipdcUscAHTguegq,230027,4,59
0.467,0.967,8,-2.99,1,0.0491,6.28e-06,0.31,0.301,0.312,95.991,audio_features,7i6UQPAHgqgMGJJK7elUGS,spotify:track:7i6UQPAHgqgMGJJK7elUGS,https://api.spotify.com/v1/tracks/7i6UQPAHgqgMGJJK7elUGS,https://api.spotify.com/v1/audio-analysis/7i6UQPAHgqgMGJJK7elUGS,234880,4,56
0.525,0.898,2,-4.356,0,0.0476,3.16e-05,0.135,0.204,0.706,129.969,audio_features,4AbGkIVQC5wLDPOFjdEjDu,spotify:track:4AbGkIVQC5wLDPOFjdEjDu,https://api.spotify.com/v1/tracks/4AbGkIVQC5wLDPOFjdEjDu,https://api.spotify.com/v1/audio-analysis/4AbGkIVQC5wLDPOFjdEjDu,238200,4,52
0.359,0.959,1,-3.685,1,0.104,0.000216,0.00343,0.435,0.158,103.038,audio_features,0lCwaZYSRy6q0jLmnYiQxi,spotify:track:0lCwaZYSRy6q0jLmnYiQxi,https://api.spotify.com/v1/tracks/0lCwaZYSRy6q0jLmnYiQxi,https://api.spotify.com/v1/audio-analysis/0lCwaZYSRy6q0jLmnYiQxi,230227,3,64
0.61,0.891,4,-5.452,0,0.0587,0.000805,0.0928,0.0657,0.51,139.903,audio_features,51TG9W3y9qyO8BY5RXKgnZ,spotify:track:51TG9W3y9qyO8BY5RXKgnZ,https://api.spotify.com/v1/tracks/51TG9W3y9qyO8BY5RXKgnZ,https://api.spotify.com/v1/audio-analysis/51TG9W3y9qyO8BY5RXKgnZ,246733,4,67
0.509,0.843,1,-3.318,0,0.0488,0.000671,0.000803,0.348,0.332,140.055,audio_features,1gyee1JuFFiP476LQpRMYU,spotify:track:1gyee1JuFFiP476LQpRMYU,https://api.spotify.com/v1/tracks/1gyee1JuFFiP476LQpRMYU,https://api.spotify.com/v1/audio-analysis/1gyee1JuFFiP476LQpRMYU,238400,3,70
0.633,0.846,7,-6.347,1,0.0337,0.000819,0.00139,0.0762,0.448,89.23,audio_features,037Q3LMK7nqfCsTsD0E0JP,spotify:track:037Q3LMK7nqfCsTsD0E0JP,https://api.spotify.com/v1/tracks/037Q3LMK7nqfCsTsD0E0JP,https://api.spotify.com/v1/audio-analysis/037Q3LMK7nqfCsTsD0E0JP,323933,4,65
0.477,0.94,9,-3.435,1,0.103,0.000211,0.0518,0.346,0.338,76.517,audio_features,1yYr4D1KjhhyDD5bZIiFQy,spotify:track:1yYr4D1KjhhyDD5bZIiFQy,https://api.spotify.com/v1/tracks/1yYr4D1KjhhyDD5bZIiFQy,https://api.spotify.com/v1/audio-analysis/1yYr4D1KjhhyDD5bZIiFQy,302467,4,61
0.408,0.953,7,-3.883,1,0.226,0.00532,0,0.338,0.291,177.94,audio_features,3KWW3wKaQviTplvq6cFYFR,spotify:track:3KWW3wKaQviTplvq6cFYFR,https://api.spotify.com/v1/tracks/3KWW3wKaQviTplvq6cFYFR,https://api.spotify.com/v1/audio-analysis/3KWW3wKaQviTplvq6cFYFR,272666,4,49
0.49,0.938,1,-3.916,1,0.129,0.00234,2.17e-05,0.186,0.437,196.143,audio_features,5IvKtrcNWBkvyW2yXZ2Y40,spotify:track:5IvKtrcNWBkvyW2yXZ2Y40,https://api.spotify.com/v1/tracks/5IvKtrcNWBkvyW2yXZ2Y40,https://api.spotify.com/v1/audio-analysis/5IvKtrcNWBkvyW2yXZ2Y40,274160,4,55
0.212,0.924,7,-3.349,0,0.135,0.000729,2.23e-06,0.0831,0.244,162.128,audio_features,3iWlbqAaoIR7H7gyO3a6rV,spotify:track:3iWlbqAaoIR7H7gyO3a6rV,https://api.spotify.com/v1/tracks/3iWlbqAaoIR7H7gyO3a6rV,https://api.spotify.com/v1/audio-analysis/3iWlbqAaoIR7H7gyO3a6rV,348387,4,69
0.443,0.781,1,-4.277,1,0.0377,1.33e-05,0.205,0.166,0.372,71.841,audio_features,1158ckiB5S4cpsdYHDB9IF,spotify:track:1158ckiB5S4cpsdYHDB9IF,https://api.spotify.com/v1/tracks/1158ckiB5S4cpsdYHDB9IF,https://api.spotify.com/v1/audio-analysis/1158ckiB5S4cpsdYHDB9IF,214760,4,65
0.465,0.96,6,-3.888,1,0.0792,0.00023,0,0.129,0.43,132.014,audio_features,06WohfoFEUa5faNy8f9S5N,spotify:track:06WohfoFEUa5faNy8f9S5N,https://api.spotify.com/v1/tracks/06WohfoFEUa5faNy8f9S5N,https://api.spotify.com/v1/audio-analysis/06WohfoFEUa5faNy8f9S5N,255773,4,60
0.538,0.872,4,-7.658,0,0.0361,0.000608,0.573,0.0946,0.593,105.102,audio_features,6NwbeybX6TDtXlpXvnUOZC,spotify:track:6NwbeybX6TDtXlpXvnUOZC,https://api.spotify.com/v1/tracks/6NwbeybX6TDtXlpXvnUOZC,https://api.spotify.com/v1/audio-analysis/6NwbeybX6TDtXlpXvnUOZC,516293,4,23
0.536,0.849,0,-4.702,1,0.0616,0.00318,0.00197,0.104,0.305,127.002,audio_features,7kMIQJQx0DjA2YhDHpVthG,spotify:track:7kMIQJQx0DjA2YhDHpVthG,https://api.spotify.com/v1/tracks/7kMIQJQx0DjA2YhDHpVthG,https://api.spotify.com/v1/audio-analysis/7kMIQJQx0DjA2YhDHpVthG,206547,4,51
0.429,0.996,1,-4.338,0,0.134,0.00348,0.000108,0.324,0.185,158.337,audio_features,3d0i9kqoBgHB0CYEC6MWJa,spotify:track:3d0i9kqoBgHB0CYEC6MWJa,https://api.spotify.com/v1/tracks/3d0i9kqoBgHB0CYEC6MWJa,https://api.spotify.com/v1/audio-analysis/3d0i9kqoBgHB0CYEC6MWJa,240713,4,52
0.302,0.815,2,-8.756,0,0.0582,0.000762,0.00034,0.0959,0.251,109.937,audio_features,0P4JuEXYJmu2Q7BTtQW5nR,spotify:track:0P4JuEXYJmu2Q7BTtQW5nR,https://api.spotify.com/v1/tracks/0P4JuEXYJmu2Q7BTtQW5nR,https://api.spotify.com/v1/audio-analysis/0P4JuEXYJmu2Q7BTtQW5nR,436827,4,66
0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178,audio_features,0kUBk3PnCat4oPvTlNsStp,spotify:track:0kUBk3PnCat4oPvTlNsStp,https://api.spotify.com/v1/tracks/0kUBk3PnCat4oPvTlNsStp,https://api.spotify.com/v1/audio-analysis/0kUBk3PnCat4oPvTlNsStp,447440,3,70
