danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.369,0.931,1,-4.325,1,0.058,3.24e-05,0.221,0.396,0.229,200.054,audio_features,5zHEeZjCQKmsEZJiZCUzG6,spotify:track:5zHEeZjCQKmsEZJiZCUzG6,https://api.spotify.com/v1/tracks/5zHEeZjCQKmsEZJiZCUzG6,https://api.spotify.com/v1/audio-analysis/5zHEeZjCQKmsEZJiZCUzG6,322688,4,39
0.369,0.918,11,-7.227,0,0.094,6.43e-05,0.619,0.0859,0.181,90.02,audio_features,4BrTWgS9zMaEVROF9cEY3w,spotify:track:4BrTWgS9zMaEVROF9cEY3w,https://api.spotify.com/v1/tracks/4BrTWgS9zMaEVROF9cEY3w,https://api.spotify.com/v1/audio-analysis/4BrTWgS9zMaEVROF9cEY3w,218426,4,34
0.469,0.88,4,-4.175,0,0.0417,0.000726,0.000144,0.112,0.104,139.974,audio_features,5dtrrx0JCV1RS8g0LWwGIw,spotify:track:5dtrrx0JCV1RS8g0LWwGIw,https://api.spotify.com/v1/tracks/5dtrrx0JCV1RS8g0LWwGIw,https://api.spotify.com/v1/audio-analysis/5dtrrx0JCV1RS8g0LWwGIw,279320,4,37
0.493,0.922,0,-4.12,1,0.0445,4.4e-05,0.000107,0.133,0.497,88.01,audio_features,4GytAjCeVd4tnMVt9YhBIN,spotify:track:4GytAjCeVd4tnMVt9YhBIN,https://api.spotify.com/v1/tracks/4GytAjCeVd4tnMVt9YhBIN,https://api.spotify.com/v1/audio-analysis/4GytAjCeVd4tnMVt9YhBIN,394213,4,33
0.281,0.933,7,-2.96,1,0.122,0.000179,0,0.155,0.201,179.899,audio_features,6xqWlMHEhR9qQGFvMxMsMA,spotify:track:6xqWlMHEhR9qQGFvMxMsMA,https://api.spotify.com/v1/tracks/6xqWlMHEhR9qQGFvMxMsMA,https://api.spotify.com/v1/audio-analysis/6xqWlMHEhR9qQGFvMxMsMA,277922,3,1
0.5,0.928,4,-4.63,0,0.0542,0.000211,0.00288,0.934,0.619,141.967,audio_features,2xKM2KJWd06BMnZ21WhhpT,spotify:track:2xKM2KJWd06BMnZ21WhhpT,https://api.spotify.com/v1/tracks/2xKM2KJWd06BMnZ21WhhpT,https://api.spotify.com/v1/audio-analysis/2xKM2KJWd06BMnZ21WhhpT,263147,4,31
0.466,0.96,1,-4.256,0,0.0425,0.000132,8.37e-05,0.0918,0.595,141.279,audio_features,4AFxcGzVWf3sZevKDKTqg1,spotify:track:4AFxcGzVWf3sZevKDKTqg1,https://api.spotify.com/v1/tracks/4AFxcGzVWf3sZevKDKTqg1,https://api.spotify.com/v1/audio-analysis/4AFxcGzVWf3sZevKDKTqg1,277547,4,1
0.457,0.978,8,-4.398,0,0.054,7.01e-05,0.00406,0.0853,0.656,154.996,audio_features,1FlfCrgR0BwSNRjxCEli2q,spotify:track:1FlfCrgR0BwSNRjxCEli2q,https://api.spotify.com/v1/tracks/1FlfCrgR0BwSNRjxCEli2q,https://api.spotify.com/v1/audio-analysis/1FlfCrgR0BwSNRjxCEli2q,316827,4,34
0.485,0.959,0,-4.468,1,0.0609,7.22e-05,0.00181,0.292,0.526,110.068,audio_features,3hQsPG2PjA26laLfGCcKwi,spotify:track:3hQsPG2PjA26laLfGCcKwi,https://api.spotify.com/v1/tracks/3hQsPG2PjA26laLfGCcKwi,https://api.spotify.com/v1/audio-analysis/3hQsPG2PjA26laLfGCcKwi,258293,4,0
0.335,0.804,9,-7.852,0,0.0667,0.000463,0.00175,0.306,0.369,154.059,audio_features,58hPUN5lgQUp2Dglep9wOv,spotify:track:58hPUN5lgQUp2Dglep9wOv,https://api.spotify.com/v1/tracks/58hPUN5lgQUp2Dglep9wOv,https://api.spotify.com/v1/audio-analysis/58hPUN5lgQUp2Dglep9wOv,312864,4,21
0.148,0.886,9,-3.688,0,0.0759,3.23e-05,0.00102,0.36,0.138,67.513,audio_features,37paPSPGK0fv84Dg07RzBA,spotify:track:37paPSPGK0fv84Dg07RzBA,https://api.spotify.com/v1/tracks/37paPSPGK0fv84Dg07RzBA,https://api.spotify.com/v1/audio-analysis/37paPSPGK0fv84Dg07RzBA,716347,4,0
0.475,0.913,2,-2.754,0,0.0463,0.00105,0,0.323,0.431,105.056,audio_features,01HCP833AGCR8oG7f8wLPT,spotify:track:01HCP833AGCR8oG7f8wLPT,https://api.spotify.com/v1/tracks/01HCP833AGCR8oG7f8wLPT,https://api.spotify.com/v1/audio-analysis/01HCP833AGCR8oG7f8wLPT,256240,4,22
0.416,0.961,5,-4.547,0,0.0791,0.00104,0.000184,0.203,0.243,89.974,audio_features,0gKISkC4SwxBmMJ8eQTDGF,spotify:track:0gKISkC4SwxBmMJ8eQTDGF,https://api.spotify.com/v1/tracks/0gKISkC4SwxBmMJ8eQTDGF,https://api.spotify.com/v1/audio-analysis/0gKISkC4SwxBmMJ8eQTDGF,302782,4,33
0.337,0.643,4,-8.039,0,0.0495,6.68e-05,0.276,0.789,0.176,119.937,audio_features,1LHwKqcTb1HRaz9Wq4MjYL,spotify:track:1LHwKqcTb1HRaz9Wq4MjYL,https://api.spotify.com/v1/tracks/1LHwKqcTb1HRaz9Wq4MjYL,https://api.spotify.com/v1/audio-analysis/1LHwKqcTb1HRaz9Wq4MjYL,687000,4,30
0.409,0.947,2,-4.14,1,0.0764,1.35e-05,0.0435,0.32,0.208,169.96,audio_features,1IPbDjNvxwbiGHEP6h7qsW,spotify:track:1IPbDjNvxwbiGHEP6h7qsW,https://api.spotify.com/v1/tracks/1IPbDjNvxwbiGHEP6h7qsW,https://api.spotify.com/v1/audio-analysis/1IPbDjNvxwbiGHEP6h7qsW,267981,4,31
0.399,0.972,9,-3.872,1,0.107,0.000219,1.72e-06,0.321,0.161,160.042,audio_features,5BKH5Owg3524hK4l15OvyH,spotify:track:5BKH5Owg3524hK4l15OvyH,https://api.spotify.com/v1/tracks/5BKH5Owg3524hK4l15OvyH,https://api.spotify.com/v1/audio-analysis/5BKH5Owg3524hK4l15OvyH,226773,4,0
0.332,0.977,6,-3.492,1,0.0759,0.00232,2.66e-05,0.147,0.423,175.114,audio_features,38gozmTnGLEnmq0w0HhjmC,spotify:track:38gozmTnGLEnmq0w0HhjmC,https://api.spotify.com/v1/tracks/38gozmTnGLEnmq0w0HhjmC,https://api.spotify.com/v1/audio-analysis/38gozmTnGLEnmq0w0HhjmC,229371,4,30
0.501,0.95,1,-6.266,0,0.0796,0.00711,0.00118,0.329,0.468,144.987,audio_features,1HSdIDuwXrAJkNPDwoYsoK,spotify:track:1HSdIDuwXrAJkNPDwoYsoK,https://api.spotify.com/v1/tracks/1HSdIDuwXrAJkNPDwoYsoK,https://api.spotify.com/v1/audio-analysis/1HSdIDuwXrAJkNPDwoYsoK,333787,4,14
0.285,0.867,0,-8.982,1,0.0758,0.000804,2.08e-06,0.138,0.356,123.141,audio_features,6wDeMVdVecKSI3xCZ85ea3,spotify:track:6wDeMVdVecKSI3xCZ85ea3,https://api.spotify.com/v1/tracks/6wDeMVdVecKSI3xCZ85ea3,https://api.spotify.com/v1/audio-analysis/6wDeMVdVecKSI3xCZ85ea3,817840,4,0
0.53,0.928,0,-4.988,0,0.0349,0.000154,0.000409,0.333,0.486,130.008,audio_features,565NPpvP0RsO0QNZ5r8aD4,spotify:track:565NPpvP0RsO0QNZ5r8aD4,https://api.spotify.com/v1/tracks/565NPpvP0RsO0QNZ5r8aD4,https://api.spotify.com/v1/audio-analysis/565NPpvP0RsO0QNZ5r8aD4,316213,4,0
0.167,0.99,4,-5.934,1,0.099,1.19e-05,0.00382,0.291,0.16,169.991,audio_features,1a71sQnLmdWbLwSjNwL9fQ,spotify:track:1a71sQnLmdWbLwSjNwL9fQ,https://api.spotify.com/v1/tracks/1a71sQnLmdWbLwSjNwL9fQ,https://api.spotify.com/v1/audio-analysis/1a71sQnLmdWbLwSjNwL9fQ,199387,4,13
0.355,0.892,0,-5.638,0,0.0513,1.34e-05,0.0251,0.108,0.305,177.059,audio_features,77hf9NvS4y7DsGcJ8OfswS,spotify:track:77hf9NvS4y7DsGcJ8OfswS,https://api.spotify.com/v1/tracks/77hf9NvS4y7DsGcJ8OfswS,https://api.spotify.com/v1/audio-analysis/77hf9NvS4y7DsGcJ8OfswS,344027,4,30
0.508,0.977,1,-4.582,1,0.0709,2.05e-05,0.0145,0.162,0.305,104.993,audio_features,4ueVppRcLrdLdL7sQTHhWb,spotify:track:4ueVppRcLrdLdL7sQTHhWb,https://api.spotify.com/v1/tracks/4ueVppRcLrdLdL7sQTHhWb,https://api.spotify.com/v1/audio-analysis/4ueVppRcLrdLdL7sQTHhWb,269880,4,34
