danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.176,0.963,7,-4.673,1,0.269,0.0057,0,0.188,0.0733,156.975,audio_features,23HVpBhv9Z4zgHw44UKpF1,spotify:track:23HVpBhv9Z4zgHw44UKpF1,https://api.spotify.com/v1/tracks/23HVpBhv9Z4zgHw44UKpF1,https://api.spotify.com/v1/audio-analysis/23HVpBhv9Z4zgHw44UKpF1,370747,4,0
0.42,0.891,6,-4.662,1,0.0428,1.61e-05,0.0185,0.08,0.223,119.009,audio_features,1jgC5b1OxX2FFhy3GVOmAF,spotify:track:1jgC5b1OxX2FFhy3GVOmAF,https://api.spotify.com/v1/tracks/1jgC5b1OxX2FFhy3GVOmAF,https://api.spotify.com/v1/audio-analysis/1jgC5b1OxX2FFhy3GVOmAF,636281,4,0
0.525,0.964,3,-5.797,0,0.0915,0.00888,0.0237,0.98,0.152,130.054,audio_features,4PYVkULlIaD563Z39MksPU,spotify:track:4PYVkULlIaD563Z39MksPU,https://api.spotify.com/v1/tracks/4PYVkULlIaD563Z39MksPU,https://api.spotify.com/v1/audio-analysis/4PYVkULlIaD563Z39MksPU,300760,4,0
0.201,0.636,11,-10.05,0,0.042,0.000328,0.415,0.352,0.0839,145.324,audio_features,2qPFMJUIyTOXss7CGceAw8,spotify:track:2qPFMJUIyTOXss7CGceAw8,https://api.spotify.com/v1/tracks/2qPFMJUIyTOXss7CGceAw8,https://api.spotify.com/v1/audio-analysis/2qPFMJUIyTOXss7CGceAw8,361567,4,1
0.348,0.973,5,-3.284,0,0.0974,0.00029,0.00292,0.466,0.175,90.028,audio_features,4Q4glr5scWh2WTJKd1JqHp,spotify:track:4Q4glr5scWh2WTJKd1JqHp,https://api.spotify.com/v1/tracks/4Q4glr5scWh2WTJKd1JqHp,https://api.spotify.com/v1/audio-analysis/4Q4glr5scWh2WTJKd1JqHp,277480,4,0
0.418,0.968,1,-3.928,0,0.138,3.17e-05,0,0.921,0.379,154.04,audio_features,11MUmYolZPiuvmCTNgWFNd,spotify:track:11MUmYolZPiuvmCTNgWFNd,https://api.spotify.com/v1/tracks/11MUmYolZPiuvmCTNgWFNd,https://api.spotify.com/v1/audio-analysis/11MUmYolZPiuvmCTNgWFNd,205904,4,0
0.505,0.76,10,-6.408,1,0.0414,0.000436,4.18e-05,0.139,0.244,106.058,audio_features,0h8VX60lat4433GnbP6vQs,spotify:track:0h8VX60lat4433GnbP6vQs,https://api.spotify.com/v1/tracks/0h8VX60lat4433GnbP6vQs,https://api.spotify.com/v1/audio-analysis/0h8VX60lat4433GnbP6vQs,275213,4,59
0.294,0.902,8,-6.942,1,0.0708,0.00201,0.628,0.151,0.145,141.911,audio_features,4vfTFS6LEuxWnmIxqLo98v,spotify:track:4vfTFS6LEuxWnmIxqLo98v,https://api.spotify.com/v1/tracks/4vfTFS6LEuxWnmIxqLo98v,https://api.spotify.com/v1/audio-analysis/4vfTFS6LEuxWnmIxqLo98v,363787,4,0
0.534,0.956,8,-3.825,1,0.0558,1.19e-05,0.646,0.0857,0.549,104.997,audio_features,1ewlYUUgQ5aiiHaFjSGqfk,spotify:track:1ewlYUUgQ5aiiHaFjSGqfk,https://api.spotify.com/v1/tracks/1ewlYUUgQ5aiiHaFjSGqfk,https://api.spotify.com/v1/audio-analysis/1ewlYUUgQ5aiiHaFjSGqfk,255453,4,33
0.294,0.872,2,-6.035,1,0.103,0.00242,0.0011,0.0892,0.124,111.15,audio_features,3iICMy7vsA50WtE03Dx2Ac,spotify:track:3iICMy7vsA50WtE03Dx2Ac,https://api.spotify.com/v1/tracks/3iICMy7vsA50WtE03Dx2Ac,https://api.spotify.com/v1/audio-analysis/3iICMy7vsA50WtE03Dx2Ac,522067,4,39
0.583,0.388,11,-11.072,0,0.0418,0.653,0.786,0.089,0.065,114.987,audio_features,1uIKQNCXIfYTa1R41cBmQ3,spotify:track:1uIKQNCXIfYTa1R41cBmQ3,https://api.spotify.com/v1/tracks/1uIKQNCXIfYTa1R41cBmQ3,https://api.spotify.com/v1/audio-analysis/1uIKQNCXIfYTa1R41cBmQ3,297733,4,0
0.235,0.99,7,-3.361,1,0.291,0.000188,0.0016,0.267,0.12,154.882,audio_features,2aDBcIhjP66jyquAtFypKX,spotify:track:2aDBcIhjP66jyquAtFypKX,https://api.spotify.com/v1/tracks/2aDBcIhjP66jyquAtFypKX,https://api.spotify.com/v1/audio-analysis/2aDBcIhjP66jyquAtFypKX,249534,4,6
0.341,0.912,2,-5.085,1,0.065,0.000236,0.0176,0.507,0.329,160.044,audio_features,3AMlyxCpRu5ymKmhsg9KBG,spotify:track:3AMlyxCpRu5ymKmhsg9KBG,https://api.spotify.com/v1/tracks/3AMlyxCpRu5ymKmhsg9KBG,https://api.spotify.com/v1/audio-analysis/3AMlyxCpRu5ymKmhsg9KBG,210401,4,0
0.252,0.991,4,-4.462,1,0.182,4.32e-05,0.000113,0.146,0.105,115.921,audio_features,0dBEMFbskKWCLCLpBvmFvW,spotify:track:0dBEMFbskKWCLCLpBvmFvW,https://api.spotify.com/v1/tracks/0dBEMFbskKWCLCLpBvmFvW,https://api.spotify.com/v1/audio-analysis/0dBEMFbskKWCLCLpBvmFvW,186675,4,39
0.303,0.706,9,-7.311,0,0.0428,0.00452,0.000323,0.124,0.346,140.404,audio_features,3TEj0open18A6NZ3bIDChf,spotify:track:3TEj0open18A6NZ3bIDChf,https://api.spotify.com/v1/tracks/3TEj0open18A6NZ3bIDChf,https://api.spotify.com/v1/audio-analysis/3TEj0open18A6NZ3bIDChf,269520,4,14
0.392,0.879,1,-4.389,0,0.0464,2.94e-05,0.0369,0.0693,0.426,94.977,audio_features,13XNIxU4nIcJyOEHUAvbfy,spotify:track:13XNIxU4nIcJyOEHUAvbfy,https://api.spotify.com/v1/tracks/13XNIxU4nIcJyOEHUAvbfy,https://api.spotify.com/v1/audio-analysis/13XNIxU4nIcJyOEHUAvbfy,184500,4,32
0.335,0.965,0,-5.013,1,0.233,3.56e-05,0.0022,0.459,0.173,170.061,audio_features,0SgP3vWs0EH0h8RAZNAqVF,spotify:track:0SgP3vWs0EH0h8RAZNAqVF,https://api.spotify.com/v1/tracks/0SgP3vWs0EH0h8RAZNAqVF,https://api.spotify.com/v1/audio-analysis/0SgP3vWs0EH0h8RAZNAqVF,210500,3,3
0.168,0.867,7,-6.589,1,0.0487,6.59e-06,0.84,0.133,0.251,131.134,audio_features,2PIAPVQr4Pho3UtL5ZsLiJ,spotify:track:2PIAPVQr4Pho3UtL5ZsLiJ,https://api.spotify.com/v1/tracks/2PIAPVQr4Pho3UtL5ZsLiJ,https://api.spotify.com/v1/audio-analysis/2PIAPVQr4Pho3UtL5ZsLiJ,368190,3,5
0.493,0.978,10,-2.811,0,0.0989,1.24e-05,0.00101,0.353,0.489,125.02,audio_features,4MXIy0HWmyPKEKuZZcmM0L,spotify:track:4MXIy0HWmyPKEKuZZcmM0L,https://api.spotify.com/v1/tracks/4MXIy0HWmyPKEKuZZcmM0L,https://api.spotify.com/v1/audio-analysis/4MXIy0HWmyPKEKuZZcmM0L,271200,4,52
0.323,0.915,6,-3.179,1,0.0992,1.37e-05,0.335,0.364,0.411,147.233,audio_features,3dYBZ8Xcuo2xla68RaE69v,spotify:track:3dYBZ8Xcuo2xla68RaE69v,https://api.spotify.com/v1/tracks/3dYBZ8Xcuo2xla68RaE69v,https://api.spotify.com/v1/audio-analysis/3dYBZ8Xcuo2xla68RaE69v,197879,4,13
0.311,0.914,2,-5.747,1,0.0472,0.00688,0.00271,0.129,0.678,132.899,audio_features,1fnr6RP7fUoClLu1Uw0Oto,spotify:track:1fnr6RP7fUoClLu1Uw0Oto,https://api.spotify.com/v1/tracks/1fnr6RP7fUoClLu1Uw0Oto,https://api.spotify.com/v1/audio-analysis/1fnr6RP7fUoClLu1Uw0Oto,199973,4,0
0.141,0.855,4,-6.115,1,0.062,0.00324,0.145,0.327,0.404,176.459,audio_features,181Km0x85AMV8qWaTnteSO,spotify:track:181Km0x85AMV8qWaTnteSO,https://api.spotify.com/v1/tracks/181Km0x85AMV8qWaTnteSO,https://api.spotify.com/v1/audio-analysis/181Km0x85AMV8qWaTnteSO,231586,4,25
0.529,0.897,11,-9.431,0,0.0764,1.7e-05,0.00633,0.341,0.177,125.011,audio_features,36gGszFdLfpPvUxOyR8Nhe,spotify:track:36gGszFdLfpPvUxOyR8Nhe,https://api.spotify.com/v1/tracks/36gGszFdLfpPvUxOyR8Nhe,https://api.spotify.com/v1/audio-analysis/36gGszFdLfpPvUxOyR8Nhe,309120,4,0
0.0652,0.515,2,-8.698,0,0.0423,0.000346,0.951,0.101,0.104,199.499,audio_features,1UrbkvITJv2e2EuOq17xcN,spotify:track:1UrbkvITJv2e2EuOq17xcN,https://api.spotify.com/v1/tracks/1UrbkvITJv2e2EuOq17xcN,https://api.spotify.com/v1/audio-analysis/1UrbkvITJv2e2EuOq17xcN,523146,4,0
0.523,0.914,11,-4.942,0,0.0711,0.00417,0,0.312,0.418,113.015,audio_features,0RbZIMEPbt1ptD61ox3RWc,spotify:track:0RbZIMEPbt1ptD61ox3RWc,https://api.spotify.com/v1/tracks/0RbZIMEPbt1ptD61ox3RWc,https://api.spotify.com/v1/audio-analysis/0RbZIMEPbt1ptD61ox3RWc,186279,4,0
0.119,0.989,9,-2.603,1,0.158,4.34e-05,0.0959,0.356,0.0367,173.27,audio_features,7behUBBwhex459VBTOH0wT,spotify:track:7behUBBwhex459VBTOH0wT,https://api.spotify.com/v1/tracks/7behUBBwhex459VBTOH0wT,https://api.spotify.com/v1/audio-analysis/7behUBBwhex459VBTOH0wT,265840,4,32
0.466,0.995,7,-4.196,1,0.135,0.000279,0.00757,0.136,0.214,145.772,audio_features,1A5oyRxvlRoZRR1uNrGUrr,spotify:track:1A5oyRxvlRoZRR1uNrGUrr,https://api.spotify.com/v1/tracks/1A5oyRxvlRoZRR1uNrGUrr,https://api.spotify.com/v1/audio-analysis/1A5oyRxvlRoZRR1uNrGUrr,212598,4,50
0.488,0.964,1,-6.187,1,0.0605,0.000154,0.726,0.323,0.561,120.034,audio_features,4GafnphNxS4j70RZXTZ1Ox,spotify:track:4GafnphNxS4j70RZXTZ1Ox,https://api.spotify.com/v1/tracks/4GafnphNxS4j70RZXTZ1Ox,https://api.spotify.com/v1/audio-analysis/4GafnphNxS4j70RZXTZ1Ox,215093,4,39
0.426,0.988,11,-2.716,0,0.162,1.97e-05,0.0229,0.0596,0.0632,140.005,audio_features,1h09PgHk2o0VA9unUuW6yw,spotify:track:1h09PgHk2o0VA9unUuW6yw,https://api.spotify.com/v1/tracks/1h09PgHk2o0VA9unUuW6yw,https://api.spotify.com/v1/audio-analysis/1h09PgHk2o0VA9unUuW6yw,285000,4,49
0.442,0.964,11,-3.169,0,0.101,0.0174,0,0.109,0.514,176.006,audio_features,43b2iYHgMEilHONhx2jGz1,spotify:track:43b2iYHgMEilHONhx2jGz1,https://api.spotify.com/v1/tracks/43b2iYHgMEilHONhx2jGz1,https://api.spotify.com/v1/audio-analysis/43b2iYHgMEilHONhx2jGz1,246853,4,23
0.437,0.958,4,-5.032,1,0.0631,6.78e-05,0.0854,0.0957,0.272,82.499,audio_features,6CzxgauvxkKbxOBwjGPRD2,spotify:track:6CzxgauvxkKbxOBwjGPRD2,https://api.spotify.com/v1/tracks/6CzxgauvxkKbxOBwjGPRD2,https://api.spotify.com/v1/audio-analysis/6CzxgauvxkKbxOBwjGPRD2,317840,4,39
0.5,0.927,6,-4.004,1,0.0606,0.000284,2.9e-06,0.342,0.227,97.503,audio_features,5gLaNK90HFYzGUwL56AHjb,spotify:track:5gLaNK90HFYzGUwL56AHjb,https://api.spotify.com/v1/tracks/5gLaNK90HFYzGUwL56AHjb,https://api.spotify.com/v1/audio-analysis/5gLaNK90HFYzGUwL56AHjb,271147,4,25
0.328,0.903,7,-6.474,1,0.0714,7.49e-05,0.577,0.262,0.448,104.173,audio_features,1RvaVW3A6m0JJkuPtTOSzY,spotify:track:1RvaVW3A6m0JJkuPtTOSzY,https://api.spotify.com/v1/tracks/1RvaVW3A6m0JJkuPtTOSzY,https://api.spotify.com/v1/audio-analysis/1RvaVW3A6m0JJkuPtTOSzY,312387,4,34
0.171,0.861,9,-5.45,1,0.0473,9.03e-06,0.709,0.173,0.273,107.878,audio_features,3oOKcaXqjdK41aJHJqL29B,spotify:track:3oOKcaXqjdK41aJHJqL29B,https://api.spotify.com/v1/tracks/3oOKcaXqjdK41aJHJqL29B,https://api.spotify.com/v1/audio-analysis/3oOKcaXqjdK41aJHJqL29B,230192,3,25
0.447,0.876,11,-3.895,0,0.0822,0.000105,0.872,0.0421,0.407,94.993,audio_features,3nDOvQvA8iPamdULGubIQE,spotify:track:3nDOvQvA8iPamdULGubIQE,https://api.spotify.com/v1/tracks/3nDOvQvA8iPamdULGubIQE,https://api.spotify.com/v1/audio-analysis/3nDOvQvA8iPamdULGubIQE,261560,4,32
0.327,0.947,0,-3.59,0,0.11,0.000192,0,0.0914,0.47,180.027,audio_features,2MZcGyplQl0Z9UgD2tAiCy,spotify:track:2MZcGyplQl0Z9UgD2tAiCy,https://api.spotify.com/v1/tracks/2MZcGyplQl0Z9UgD2tAiCy,https://api.spotify.com/v1/audio-analysis/2MZcGyplQl0Z9UgD2tAiCy,219680,4,26
0.0668,0.939,4,-2.664,0,0.119,0.00165,0.961,0.0593,0.0326,77.33,audio_features,5UkUBoLVb3fKY91euSESiL,spotify:track:5UkUBoLVb3fKY91euSESiL,https://api.spotify.com/v1/tracks/5UkUBoLVb3fKY91euSESiL,https://api.spotify.com/v1/audio-analysis/5UkUBoLVb3fKY91euSESiL,288235,4,43
0.572,0.946,1,-3.212,1,0.131,0.000316,1.37e-05,0.0741,0.544,119.936,audio_features,0VrZRmQKjpTbnNgij6ItJN,spotify:track:0VrZRmQKjpTbnNgij6ItJN,https://api.spotify.com/v1/tracks/0VrZRmQKjpTbnNgij6ItJN,https://api.spotify.com/v1/audio-analysis/0VrZRmQKjpTbnNgij6ItJN,234966,4,25
