danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.343,0.968,5,-4.385,0,0.138,9.08e-05,0.866,0.206,0.263,119.516,audio_features,2qYb678r59cP4ApOpWIaJk,spotify:track:2qYb678r59cP4ApOpWIaJk,https://api.spotify.com/v1/tracks/2qYb678r59cP4ApOpWIaJk,https://api.spotify.com/v1/audio-analysis/2qYb678r59cP4ApOpWIaJk,165280,4,34
0.228,0.976,7,-5.768,1,0.146,0.000747,0.917,0.24,0.116,131.254,audio_features,3XNbrlEqckfbg7jjprxCIj,spotify:track:3XNbrlEqckfbg7jjprxCIj,https://api.spotify.com/v1/tracks/3XNbrlEqckfbg7jjprxCIj,https://api.spotify.com/v1/audio-analysis/3XNbrlEqckfbg7jjprxCIj,266033,1,18
0.226,0.985,10,-3.463,1,0.155,2.69e-05,0.771,0.389,0.135,142.564,audio_features,2MnWhYK74sGo4Z7zXT9RfR,spotify:track:2MnWhYK74sGo4Z7zXT9RfR,https://api.spotify.com/v1/tracks/2MnWhYK74sGo4Z7zXT9RfR,https://api.spotify.com/v1/audio-analysis/2MnWhYK74sGo4Z7zXT9RfR,286493,4,43
0.246,0.987,9,-5.432,1,0.141,0.00563,0.895,0.333,0.0551,112.954,audio_features,0JBgi0hJTfiUOQu5208qjo,spotify:track:0JBgi0hJTfiUOQu5208qjo,https://api.spotify.com/v1/tracks/0JBgi0hJTfiUOQu5208qjo,https://api.spotify.com/v1/audio-analysis/0JBgi0hJTfiUOQu5208qjo,317867,3,0
0.505,0.962,7,-4.255,1,0.082,1.46e-05,0.865,0.347,0.42,120.015,audio_features,4Qx8xQSOhYMtIDh5liCDpF,spotify:track:4Qx8xQSOhYMtIDh5liCDpF,https://api.spotify.com/v1/tracks/4Qx8xQSOhYMtIDh5liCDpF,https://api.spotify.com/v1/audio-analysis/4Qx8xQSOhYMtIDh5liCDpF,209107,4,26
0.336,0.881,0,-9.173,1,0.117,0.000228,0.928,0.188,0.303,114.923,audio_features,6jTIuqPk1xJmXTW6vhlwG6,spotify:track:6jTIuqPk1xJmXTW6vhlwG6,https://api.spotify.com/v1/tracks/6jTIuqPk1xJmXTW6vhlwG6,https://api.spotify.com/v1/audio-analysis/6jTIuqPk1xJmXTW6vhlwG6,201222,5,22
0.27,0.977,6,-4.181,0,0.196,1.87e-06,0.838,0.0947,0.345,135.891,audio_features,6wm4TkpXiiUZm0uBdWCLt0,spotify:track:6wm4TkpXiiUZm0uBdWCLt0,https://api.spotify.com/v1/tracks/6wm4TkpXiiUZm0uBdWCLt0,https://api.spotify.com/v1/audio-analysis/6wm4TkpXiiUZm0uBdWCLt0,206432,4,20
0.23,0.958,7,-2.857,1,0.132,0.000239,0.323,0.0532,0.173,159.801,audio_features,3n40lKNGNNB9WWUyV3QLsh,spotify:track:3n40lKNGNNB9WWUyV3QLsh,https://api.spotify.com/v1/tracks/3n40lKNGNNB9WWUyV3QLsh,https://api.spotify.com/v1/audio-analysis/3n40lKNGNNB9WWUyV3QLsh,268510,4,26
0.507,0.964,0,-4.371,1,0.159,1.76e-05,0.929,0.0309,0.17,114.979,audio_features,4fc7LUBcGJjv3yCDw2ZXk3,spotify:track:4fc7LUBcGJjv3yCDw2ZXk3,https://api.spotify.com/v1/tracks/4fc7LUBcGJjv3yCDw2ZXk3,https://api.spotify.com/v1/audio-analysis/4fc7LUBcGJjv3yCDw2ZXk3,267677,4,20
0.45,0.994,2,-2.474,1,0.142,2.16e-06,0.887,0.379,0.299,109.469,audio_features,5zRk4EKjlkI74V7ztVgVYA,spotify:track:5zRk4EKjlkI74V7ztVgVYA,https://api.spotify.com/v1/tracks/5zRk4EKjlkI74V7ztVgVYA,https://api.spotify.com/v1/audio-analysis/5zRk4EKjlkI74V7ztVgVYA,352933,4,27
0.576,0.963,0,-5.273,1,0.167,0.0054,0.872,0.447,0.203,125.052,audio_features,00RhUOW5enGUUj2oetnu3x,spotify:track:00RhUOW5enGUUj2oetnu3x,https://api.spotify.com/v1/tracks/00RhUOW5enGUUj2oetnu3x,https://api.spotify.com/v1/audio-analysis/00RhUOW5enGUUj2oetnu3x,190470,4,25
0.541,0.982,11,-3.562,1,0.127,8.66e-06,0.762,0.225,0.168,113.353,audio_features,2mf9N4TDjalaPMubR3OJyO,spotify:track:2mf9N4TDjalaPMubR3OJyO,https://api.spotify.com/v1/tracks/2mf9N4TDjalaPMubR3OJyO,https://api.spotify.com/v1/audio-analysis/2mf9N4TDjalaPMubR3OJyO,180882,4,34
0.199,0.989,11,-5.49,0,0.146,1.17e-06,0.295,0.275,0.271,141.994,audio_features,5kPH39psGKfIWSiLM1Pwd9,spotify:track:5kPH39psGKfIWSiLM1Pwd9,https://api.spotify.com/v1/tracks/5kPH39psGKfIWSiLM1Pwd9,https://api.spotify.com/v1/audio-analysis/5kPH39psGKfIWSiLM1Pwd9,196240,4,14
0.573,0.974,10,-3.983,0,0.0977,3.83e-05,0.839,0.214,0.295,125.004,audio_features,5FrqUMnCfIoN6PgqEKa64Q,spotify:track:5FrqUMnCfIoN6PgqEKa64Q,https://api.spotify.com/v1/tracks/5FrqUMnCfIoN6PgqEKa64Q,https://api.spotify.com/v1/audio-analysis/5FrqUMnCfIoN6PgqEKa64Q,192747,4,26
0.229,0.972,6,-4.879,1,0.248,6.44e-06,0.803,0.0818,0.35,160.136,audio_features,4tNmBj1etOHrCN7otGjweK,spotify:track:4tNmBj1etOHrCN7otGjweK,https://api.spotify.com/v1/tracks/4tNmBj1etOHrCN7otGjweK,https://api.spotify.com/v1/audio-analysis/4tNmBj1etOHrCN7otGjweK,239020,4,27
0.404,0.925,9,-4.565,1,0.0764,3.58e-06,0.0361,0.287,0.152,102.546,audio_features,0aSwACmU7g4Bbt4PujiVUa,spotify:track:0aSwACmU7g4Bbt4PujiVUa,https://api.spotify.com/v1/tracks/0aSwACmU7g4Bbt4PujiVUa,https://api.spotify.com/v1/audio-analysis/0aSwACmU7g4Bbt4PujiVUa,261947,3,11
0.528,0.995,7,-3.548,1,0.141,0.00104,0.801,0.487,0.0797,124.992,audio_features,608JuqE67MDTJwWT0HSwgA,spotify:track:608JuqE67MDTJwWT0HSwgA,https://api.spotify.com/v1/tracks/608JuqE67MDTJwWT0HSwgA,https://api.spotify.com/v1/audio-analysis/608JuqE67MDTJwWT0HSwgA,209617,4,26
0.477,0.963,11,-6.606,1,0.15,3.12e-06,0.835,0.445,0.165,114.957,audio_features,54Ax3RTpo8xEDYb5q5Acrr,spotify:track:54Ax3RTpo8xEDYb5q5Acrr,https://api.spotify.com/v1/tracks/54Ax3RTpo8xEDYb5q5Acrr,https://api.spotify.com/v1/audio-analysis/54Ax3RTpo8xEDYb5q5Acrr,238118,3,21
0.291,0.974,10,-4.915,0,0.158,1.15e-05,0.569,0.42,0.105,102.86,audio_features,7HHPxfdpklNkV8qQ8njemf,spotify:track:7HHPxfdpklNkV8qQ8njemf,https://api.spotify.com/v1/tracks/7HHPxfdpklNkV8qQ8njemf,https://api.spotify.com/v1/audio-analysis/7HHPxfdpklNkV8qQ8njemf,321910,4,20
0.283,0.992,1,-5.131,1,0.236,0.256,0.783,0.443,0.155,172.493,audio_features,43qWktFyopwMqxe191f5xL,spotify:track:43qWktFyopwMqxe191f5xL,https://api.spotify.com/v1/tracks/43qWktFyopwMqxe191f5xL,https://api.spotify.com/v1/audio-analysis/43qWktFyopwMqxe191f5xL,202014,4,17
0.434,0.969,2,-3.48,1,0.121,0.000227,0.00167,0.221,0.113,121.028,audio_features,3xGYd1wxhazeo4n3uvh835,spotify:track:3xGYd1wxhazeo4n3uvh835,https://api.spotify.com/v1/tracks/3xGYd1wxhazeo4n3uvh835,https://api.spotify.com/v1/audio-analysis/3xGYd1wxhazeo4n3uvh835,189675,4,17
0.417,0.94,7,-9.408,1,0.342,0.00684,0.907,0.115,0.186,77.313,audio_features,16ZtogOsZICB2XIlQxX0f8,spotify:track:16ZtogOsZICB2XIlQxX0f8,https://api.spotify.com/v1/tracks/16ZtogOsZICB2XIlQxX0f8,https://api.spotify.com/v1/audio-analysis/16ZtogOsZICB2XIlQxX0f8,241856,4,18
0.381,0.988,2,-2.962,0,0.109,4.15e-06,0.417,0.201,0.0923,109.955,audio_features,0HZBLH0EH8h8xpikeRPSdv,spotify:track:0HZBLH0EH8h8xpikeRPSdv,https://api.spotify.com/v1/tracks/0HZBLH0EH8h8xpikeRPSdv,https://api.spotify.com/v1/audio-analysis/0HZBLH0EH8h8xpikeRPSdv,256253,4,16
0.264,0.97,6,-4.335,1,0.173,3.79e-06,0.894,0.0937,0.161,129.345,audio_features,7hHWXSrXUJi4VH6VGg9XPa,spotify:track:7hHWXSrXUJi4VH6VGg9XPa,https://api.spotify.com/v1/tracks/7hHWXSrXUJi4VH6VGg9XPa,https://api.spotify.com/v1/audio-analysis/7hHWXSrXUJi4VH6VGg9XPa,228384,3,18
0.277,0.975,1,-3.906,1,0.273,0.000802,0.147,0.331,0.0591,139.673,audio_features,0TkVgCuARLm72iaxDUIfnH,spotify:track:0TkVgCuARLm72iaxDUIfnH,https://api.spotify.com/v1/tracks/0TkVgCuARLm72iaxDUIfnH,https://api.spotify.com/v1/audio-analysis/0TkVgCuARLm72iaxDUIfnH,285249,4,22
0.46,0.995,5,-4.157,1,0.17,7.07e-05,0.0109,0.173,0.217,140.015,audio_features,3nqJnW8dtEvuWeXlDUO7MF,spotify:track:3nqJnW8dtEvuWeXlDUO7MF,https://api.spotify.com/v1/tracks/3nqJnW8dtEvuWeXlDUO7MF,https://api.spotify.com/v1/audio-analysis/3nqJnW8dtEvuWeXlDUO7MF,204027,4,36
0.558,0.897,11,-8.883,0,0.0574,0.0217,0.741,0.34,0.332,106.519,audio_features,4BtPhlipQ8DTDYGzJ0FNpg,spotify:track:4BtPhlipQ8DTDYGzJ0FNpg,https://api.spotify.com/v1/tracks/4BtPhlipQ8DTDYGzJ0FNpg,https://api.spotify.com/v1/audio-analysis/4BtPhlipQ8DTDYGzJ0FNpg,200531,4,13
0.348,0.992,11,-4.491,1,0.193,3.71e-06,0.469,0.272,0.0607,116.743,audio_features,7xeUEalbOtwU6HUIELUTet,spotify:track:7xeUEalbOtwU6HUIELUTet,https://api.spotify.com/v1/tracks/7xeUEalbOtwU6HUIELUTet,https://api.spotify.com/v1/audio-analysis/7xeUEalbOtwU6HUIELUTet,378587,4,1
