danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.539,0.546,9,-7.448,1,0.106,0.674,4.86e-05,0.422,0.554,159.996,audio_features,3gATNBVu8d7oWs9WijPDjD,spotify:track:3gATNBVu8d7oWs9WijPDjD,https://api.spotify.com/v1/tracks/3gATNBVu8d7oWs9WijPDjD,https://api.spotify.com/v1/audio-analysis/3gATNBVu8d7oWs9WijPDjD,184516,3,14
0.658,0.673,3,-6.362,0,0.0512,0.316,0,0.0807,0.695,90.617,audio_features,1zcT1APfyNhc0Il1gCTzj0,spotify:track:1zcT1APfyNhc0Il1gCTzj0,https://api.spotify.com/v1/tracks/1zcT1APfyNhc0Il1gCTzj0,https://api.spotify.com/v1/audio-analysis/1zcT1APfyNhc0Il1gCTzj0,216943,4,37
0.616,0.533,5,-11.121,0,0.126,0.749,0.000181,0.321,0.394,90.007,audio_features,5Rjzric0cJseAdTKudfiyF,spotify:track:5Rjzric0cJseAdTKudfiyF,https://api.spotify.com/v1/tracks/5Rjzric0cJseAdTKudfiyF,https://api.spotify.com/v1/audio-analysis/5Rjzric0cJseAdTKudfiyF,262253,4,44
0.54,0.424,11,-10.749,1,0.0418,0.0951,0.406,0.0439,0.678,108.973,audio_features,5ISNIruipHp8AHnxbRBwtO,spotify:track:5ISNIruipHp8AHnxbRBwtO,https://api.spotify.com/v1/tracks/5ISNIruipHp8AHnxbRBwtO,https://api.spotify.com/v1/audio-analysis/5ISNIruipHp8AHnxbRBwtO,345200,4,40
0.646,0.282,2,-12.554,1,0.0364,0.0869,1.44e-05,0.0307,0.142,77.172,audio_features,4PL8gGMaHy20rA1QOwgvtp,spotify:track:4PL8gGMaHy20rA1QOwgvtp,https://api.spotify.com/v1/tracks/4PL8gGMaHy20rA1QOwgvtp,https://api.spotify.com/v1/audio-analysis/4PL8gGMaHy20rA1QOwgvtp,330033,4,49
0.547,0.774,8,-4.89,0,0.0455,0.194,0.000423,0.21,0.422,132.071,audio_features,3oNd8QPgEeDP5L4TfZLhGW,spotify:track:3oNd8QPgEeDP5L4TfZLhGW,https://api.spotify.com/v1/tracks/3oNd8QPgEeDP5L4TfZLhGW,https://api.spotify.com/v1/audio-analysis/3oNd8QPgEeDP5L4TfZLhGW,199653,4,46
0.623,0.49,9,-8.255,0,0.0515,0.367,0.000211,0.338,0.29,84.275,audio_features,4d0dY3ZeMdoYrD5YmdFvWZ,spotify:track:4d0dY3ZeMdoYrD5YmdFvWZ,https://api.spotify.com/v1/tracks/4d0dY3ZeMdoYrD5YmdFvWZ,https://api.spotify.com/v1/audio-analysis/4d0dY3ZeMdoYrD5YmdFvWZ,230853,4,51
0.509,0.708,9,-7.799,1,0.11,0.276,0.309,0.0835,0.34,95.017,audio_features,1YnjZxBQFmLizsE8wEA9TE,spotify:track:1YnjZxBQFmLizsE8wEA9TE,https://api.spotify.com/v1/tracks/1YnjZxBQFmLizsE8wEA9TE,https://api.spotify.com/v1/audio-analysis/1YnjZxBQFmLizsE8wEA9TE,253187,4,53
0.759,0.404,10,-11.802,0,0.0491,0.465,0.00131,0.0841,0.581,77.984,audio_features,1BttsBZBt3GWGJ2Gpkwxyl,spotify:track:1BttsBZBt3GWGJ2Gpkwxyl,https://api.spotify.com/v1/tracks/1BttsBZBt3GWGJ2Gpkwxyl,https://api.spotify.com/v1/audio-analysis/1BttsBZBt3GWGJ2Gpkwxyl,201334,4,12
0.497,0.636,8,-8.71,1,0.0723,0.683,0,0.228,0.69,93.777,audio_features,3Tc6dHggtSaZqlKRhzkeub,spotify:track:3Tc6dHggtSaZqlKRhzkeub,https://api.spotify.com/v1/tracks/3Tc6dHggtSaZqlKRhzkeub,https://api.spotify.com/v1/audio-analysis/3Tc6dHggtSaZqlKRhzkeub,204056,4,52
