danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.371,0.921,9,-5.533,1,0.0784,0.0113,2.7e-05,0.43,0.508,109.675,audio_features,1z9tECYvYsvautkr8G2XDK,spotify:track:1z9tECYvYsvautkr8G2XDK,https://api.spotify.com/v1/tracks/1z9tECYvYsvautkr8G2XDK,https://api.spotify.com/v1/audio-analysis/1z9tECYvYsvautkr8G2XDK,220538,4,58
0.452,0.906,0,-4.888,0,0.24,0.0849,7.29e-05,0.753,0.635,167.088,audio_features,277iA4Iw1d9NCsfk2JJP1q,spotify:track:277iA4Iw1d9NCsfk2JJP1q,https://api.spotify.com/v1/tracks/277iA4Iw1d9NCsfk2JJP1q,https://api.spotify.com/v1/audio-analysis/277iA4Iw1d9NCsfk2JJP1q,185610,4,44
0.681,0.496,0,-7.916,0,0.031,0.0567,0.337,0.126,0.272,134.953,audio_features,7vNlyHGvF1UPwIGjQBoVFG,spotify:track:7vNlyHGvF1UPwIGjQBoVFG,https://api.spotify.com/v1/tracks/7vNlyHGvF1UPwIGjQBoVFG,https://api.spotify.com/v1/audio-analysis/7vNlyHGvF1UPwIGjQBoVFG,285068,4,54
0.325,0.903,2,-3.173,1,0.117,0.00327,6.13e-06,0.0962,0.401,148.446,audio_features,7d9sZF7jmepe2EYdETlNWK,spotify:track:7d9sZF7jmepe2EYdETlNWK,https://api.spotify.com/v1/tracks/7d9sZF7jmepe2EYdETlNWK,https://api.spotify.com/v1/audio-analysis/7d9sZF7jmepe2EYdETlNWK,218600,4,61
0.553,0.927,2,-4.327,1,0.0363,0.0484,0,0.0563,0.386,104.932,audio_features,06h7n5DewHqOu8bwsTfhoL,spotify:track:06h7n5DewHqOu8bwsTfhoL,https://api.spotify.com/v1/tracks/06h7n5DewHqOu8bwsTfhoL,https://api.spotify.com/v1/audio-analysis/06h7n5DewHqOu8bwsTfhoL,263223,4,50
0.447,0.788,2,-4.994,0,0.0464,0.00257,1.68e-05,0.0744,0.505,80.04,audio_features,45HAjqRWiNv6mMPw4NvZrU,spotify:track:45HAjqRWiNv6mMPw4NvZrU,https://api.spotify.com/v1/tracks/45HAjqRWiNv6mMPw4NvZrU,https://api.spotify.com/v1/audio-analysis/45HAjqRWiNv6mMPw4NvZrU,193714,4,75
0.486,0.638,0,-6.231,1,0.0323,0.000921,0,0.078,0.178,144.458,audio_features,2fpDrL2Vpee0JnM6AoUFvl,spotify:track:2fpDrL2Vpee0JnM6AoUFvl,https://api.spotify.com/v1/tracks/2fpDrL2Vpee0JnM6AoUFvl,https://api.spotify.com/v1/audio-analysis/2fpDrL2Vpee0JnM6AoUFvl,199827,4,54
0.649,0.718,0,-6.593,0,0.0261,0.143,0.0713,0.124,0.718,101.034,audio_features,7jpP6QKGSJDpSFkAy3nKxG,spotify:track:7jpP6QKGSJDpSFkAy3nKxG,https://api.spotify.com/v1/tracks/7jpP6QKGSJDpSFkAy3nKxG,https://api.spotify.com/v1/audio-analysis/7jpP6QKGSJDpSFkAy3nKxG,274093,4,10
0.698,0.736,2,-5.525,1,0.0481,0.0664,2.16e-05,0.119,0.822,127.979,audio_features,4qHSciBVrNNpUlI8TT9CHQ,spotify:track:4qHSciBVrNNpUlI8TT9CHQ,https://api.spotify.com/v1/tracks/4qHSciBVrNNpUlI8TT9CHQ,https://api.spotify.com/v1/audio-analysis/4qHSciBVrNNpUlI8TT9CHQ,214267,4,51
0.561,0.806,9,-4.809,1,0.0616,0.0237,0.00299,0.0985,0.61,140.07,audio_features,7bPsCFvjvY6PcxlKMKyrvF,spotify:track:7bPsCFvjvY6PcxlKMKyrvF,https://api.spotify.com/v1/tracks/7bPsCFvjvY6PcxlKMKyrvF,https://api.spotify.com/v1/audio-analysis/7bPsCFvjvY6PcxlKMKyrvF,208800,4,38
0.691,0.707,7,-6.771,1,0.0373,0.273,8.67e-06,0.118,0.479,110.026,audio_features,0IcYIjsfFEOIY1GI4t7dLu,spotify:track:0IcYIjsfFEOIY1GI4t7dLu,https://api.spotify.com/v1/tracks/0IcYIjsfFEOIY1GI4t7dLu,https://api.spotify.com/v1/audio-analysis/0IcYIjsfFEOIY1GI4t7dLu,223883,4,69
0.592,0.845,2,-5.589,1,0.0297,0.0328,0,0.555,0.96,117.231,audio_features,6LEFWv6jPUy0uoTY9hN6wD,spotify:track:6LEFWv6jPUy0uoTY9hN6wD,https://api.spotify.com/v1/tracks/6LEFWv6jPUy0uoTY9hN6wD,https://api.spotify.com/v1/audio-analysis/6LEFWv6jPUy0uoTY9hN6wD,233507,4,51
0.668,0.563,4,-8.23,1,0.0305,0.649,0.000347,0.11,0.289,130.366,audio_features,5bodDpPolC3xlame0SVcDY,spotify:track:5bodDpPolC3xlame0SVcDY,https://api.spotify.com/v1/tracks/5bodDpPolC3xlame0SVcDY,https://api.spotify.com/v1/audio-analysis/5bodDpPolC3xlame0SVcDY,201786,4,65
0.575,0.854,1,-5.847,0,0.0362,0.000252,0.676,0.351,0.587,113.075,audio_features,06ClI3XK2FPR5uP8tPcFS1,spotify:track:06ClI3XK2FPR5uP8tPcFS1,https://api.spotify.com/v1/tracks/06ClI3XK2FPR5uP8tPcFS1,https://api.spotify.com/v1/audio-analysis/06ClI3XK2FPR5uP8tPcFS1,214040,4,66
