danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.499,0.743,8,-5.943,1,0.21,0.0687,4.02e-06,0.421,0.338,121.929,audio_features,1eFtKAG68OThfscFJ0wR1s,spotify:track:1eFtKAG68OThfscFJ0wR1s,https://api.spotify.com/v1/tracks/1eFtKAG68OThfscFJ0wR1s,https://api.spotify.com/v1/audio-analysis/1eFtKAG68OThfscFJ0wR1s,288134,4,47
0.592,0.569,8,-7.071,1,0.16,0.209,0.00402,0.221,0.3,150.083,audio_features,4NvDs1kRKYdR5jacOH6aCC,spotify:track:4NvDs1kRKYdR5jacOH6aCC,https://api.spotify.com/v1/tracks/4NvDs1kRKYdR5jacOH6aCC,https://api.spotify.com/v1/audio-analysis/4NvDs1kRKYdR5jacOH6aCC,220800,4,65
0.617,0.524,5,-8.885,0,0.103,0.128,0.00438,0.362,0.24,142.046,audio_features,2KZbgybFV4V8WdM90dOGfk,spotify:track:2KZbgybFV4V8WdM90dOGfk,https://api.spotify.com/v1/tracks/2KZbgybFV4V8WdM90dOGfk,https://api.spotify.com/v1/audio-analysis/2KZbgybFV4V8WdM90dOGfk,185089,4,52
0.599,0.754,7,-6.325,0,0.0358,0.342,0.00015,0.216,0.511,88.028,audio_features,4eXM1MTXW3TRFW0tuEdHES,spotify:track:4eXM1MTXW3TRFW0tuEdHES,https://api.spotify.com/v1/tracks/4eXM1MTXW3TRFW0tuEdHES,https://api.spotify.com/v1/audio-analysis/4eXM1MTXW3TRFW0tuEdHES,262500,4,53
0.688,0.622,1,-7.264,1,0.14,0.0852,1.39e-06,0.296,0.806,78.993,audio_features,6aLpLTAUASREvQE105XOb3,spotify:track:6aLpLTAUASREvQE105XOb3,https://api.spotify.com/v1/tracks/6aLpLTAUASREvQE105XOb3,https://api.spotify.com/v1/audio-analysis/6aLpLTAUASREvQE105XOb3,175444,4,60
0.632,0.571,7,-6.856,0,0.0591,0.226,0,0.124,0.296,97.812,audio_features,6ibtXCE3GjkRCG45bhjUte,spotify:track:6ibtXCE3GjkRCG45bhjUte,https://api.spotify.com/v1/tracks/6ibtXCE3GjkRCG45bhjUte,https://api.spotify.com/v1/audio-analysis/6ibtXCE3GjkRCG45bhjUte,177000,4,57
0.552,0.543,5,-9.34,0,0.0646,0.241,0.0145,0.512,0.316,94.856,audio_features,5nOuzP4xzvm6sDguD1iyyV,spotify:track:5nOuzP4xzvm6sDguD1iyyV,https://api.spotify.com/v1/tracks/5nOuzP4xzvm6sDguD1iyyV,https://api.spotify.com/v1/audio-analysis/5nOuzP4xzvm6sDguD1iyyV,250105,4,54
0.434,0.788,1,-5.682,0,0.0696,0.00435,0,0.561,0.306,139.89,audio_features,1WdhMGAc2q5gp2j049BZJy,spotify:track:1WdhMGAc2q5gp2j049BZJy,https://api.spotify.com/v1/tracks/1WdhMGAc2q5gp2j049BZJy,https://api.spotify.com/v1/audio-analysis/1WdhMGAc2q5gp2j049BZJy,246678,4,56
0.351,0.509,7,-6.173,1,0.0321,0.398,5.09e-05,0.195,0.129,108.151,audio_features,43hcHVoAiHpkJ2gMbmO72h,spotify:track:43hcHVoAiHpkJ2gMbmO72h,https://api.spotify.com/v1/tracks/43hcHVoAiHpkJ2gMbmO72h,https://api.spotify.com/v1/audio-analysis/43hcHVoAiHpkJ2gMbmO72h,184234,4,59
0.485,0.845,1,-4.679,0,0.193,0.0246,9.34e-05,0.275,0.0741,160.083,audio_features,5tyLZo7DHqD5TcZZCgAIcW,spotify:track:5tyLZo7DHqD5TcZZCgAIcW,https://api.spotify.com/v1/tracks/5tyLZo7DHqD5TcZZCgAIcW,https://api.spotify.com/v1/audio-analysis/5tyLZo7DHqD5TcZZCgAIcW,186000,4,50
