danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.478,0.718,9,-5.121,0,0.0366,0.0362,2.3e-06,0.231,0.256,151.997,audio_features,6ZxvgeoM6ipLYsQyftxImg,spotify:track:6ZxvgeoM6ipLYsQyftxImg,https://api.spotify.com/v1/tracks/6ZxvgeoM6ipLYsQyftxImg,https://api.spotify.com/v1/audio-analysis/6ZxvgeoM6ipLYsQyftxImg,351875,4,47
0.562,0.324,3,-11.758,0,0.0359,0.465,0.00167,0.0868,0.138,76.01,audio_features,7iMXB43VlKivFA2OACh3Kz,spotify:track:7iMXB43VlKivFA2OACh3Kz,https://api.spotify.com/v1/tracks/7iMXB43VlKivFA2OACh3Kz,https://api.spotify.com/v1/audio-analysis/7iMXB43VlKivFA2OACh3Kz,238006,4,47
0.737,0.614,0,-6.211,1,0.046,0.028,7.6e-05,0.141,0.779,139.983,audio_features,0kLUGJrGgF6mAAcOeStNgM,spotify:track:0kLUGJrGgF6mAAcOeStNgM,https://api.spotify.com/v1/tracks/0kLUGJrGgF6mAAcOeStNgM,https://api.spotify.com/v1/audio-analysis/0kLUGJrGgF6mAAcOeStNgM,180000,4,44
0.787,0.484,7,-6.01,0,0.0644,0.506,1.67e-05,0.115,0.384,141.948,audio_features,1A7kwob3XbkKtq8gKOYlHv,spotify:track:1A7kwob3XbkKtq8gKOYlHv,https://api.spotify.com/v1/tracks/1A7kwob3XbkKtq8gKOYlHv,https://api.spotify.com/v1/audio-analysis/1A7kwob3XbkKtq8gKOYlHv,203079,4,32
0.585,0.731,1,-6.392,1,0.185,0.119,0.00269,0.12,0.301,112.012,audio_features,7HhXH04Rg3ecJvMzZiTpse,spotify:track:7HhXH04Rg3ecJvMzZiTpse,https://api.spotify.com/v1/tracks/7HhXH04Rg3ecJvMzZiTpse,https://api.spotify.com/v1/audio-analysis/7HhXH04Rg3ecJvMzZiTpse,160320,4,39
0.619,0.938,5,-5.245,1,0.35,0.0257,1.39e-05,0.128,0.601,94.38,audio_features,01iyINEYgPQ7ThMZuHUsqS,spotify:track:01iyINEYgPQ7ThMZuHUsqS,https://api.spotify.com/v1/tracks/01iyINEYgPQ7ThMZuHUsqS,https://api.spotify.com/v1/audio-analysis/01iyINEYgPQ7ThMZuHUsqS,207428,4,75
0.488,0.894,1,-3.868,1,0.331,0.767,0.0284,0.639,0.114,160.03,audio_features,7s0F97BmxzcfpnHMDW5EzT,spotify:track:7s0F97BmxzcfpnHMDW5EzT,https://api.spotify.com/v1/tracks/7s0F97BmxzcfpnHMDW5EzT,https://api.spotify.com/v1/audio-analysis/7s0F97BmxzcfpnHMDW5EzT,171103,4,61
0.709,0.672,5,-6.886,0,0.205,0.405,1.55e-06,0.125,0.746,159.924,audio_features,337tFfN4VNGDOm6mzYYiCV,spotify:track:337tFfN4VNGDOm6mzYYiCV,https://api.spotify.com/v1/tracks/337tFfN4VNGDOm6mzYYiCV,https://api.spotify.com/v1/audio-analysis/337tFfN4VNGDOm6mzYYiCV,234000,4,11
0.536,0.444,8,-8.909,0,0.0414,0.0527,4.17e-05,0.115,0.0706,79.999,audio_features,40hAtSMcXfPezZ8kXRrwy1,spotify:track:40hAtSMcXfPezZ8kXRrwy1,https://api.spotify.com/v1/tracks/40hAtSMcXfPezZ8kXRrwy1,https://api.spotify.com/v1/audio-analysis/40hAtSMcXfPezZ8kXRrwy1,226697,4,37
0.519,0.82,7,-4.363,0,0.0503,0.017,1.02e-05,0.135,0.179,89.992,audio_features,5zIgPKnQcRL8P3OVQ0yFui,spotify:track:5zIgPKnQcRL8P3OVQ0yFui,https://api.spotify.com/v1/tracks/5zIgPKnQcRL8P3OVQ0yFui,https://api.spotify.com/v1/audio-analysis/5zIgPKnQcRL8P3OVQ0yFui,397333,4,46
