danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.542,0.589,2,-6.623,1,0.0318,0.292,0.000522,0.177,0.137,111.665,audio_features,6ZapsNk1ZpaebNXAIohP9R,spotify:track:6ZapsNk1ZpaebNXAIohP9R,https://api.spotify.com/v1/tracks/6ZapsNk1ZpaebNXAIohP9R,https://api.spotify.com/v1/audio-analysis/6ZapsNk1ZpaebNXAIohP9R,303200,4,27
0.536,0.946,1,-7.932,1,0.0436,0.131,0.00645,0.103,0.629,88.554,audio_features,2BBb3UMJBNlofpC25pbSp4,spotify:track:2BBb3UMJBNlofpC25pbSp4,https://api.spotify.com/v1/tracks/2BBb3UMJBNlofpC25pbSp4,https://api.spotify.com/v1/audio-analysis/2BBb3UMJBNlofpC25pbSp4,193240,4,54
0.407,0.591,2,-6.857,1,0.0291,0.234,5.04e-06,0.21,0.263,104.342,audio_features,6NF4FRfuN7tHAjr5j21UeJ,spotify:track:6NF4FRfuN7tHAjr5j21UeJ,https://api.spotify.com/v1/tracks/6NF4FRfuN7tHAjr5j21UeJ,https://api.spotify.com/v1/audio-analysis/6NF4FRfuN7tHAjr5j21UeJ,246507,4,34
0.299,0.592,6,-5.278,1,0.0326,0.0243,1.68e-06,0.13,0.185,144.002,audio_features,6VCy2Anl12W1dadkMnbMlW,spotify:track:6VCy2Anl12W1dadkMnbMlW,https://api.spotify.com/v1/tracks/6VCy2Anl12W1dadkMnbMlW,https://api.spotify.com/v1/audio-analysis/6VCy2Anl12W1dadkMnbMlW,291627,4,2
0.388,0.595,1,-9.799,1,0.0325,0.663,5.58e-05,0.178,0.596,190.043,audio_features,08cXy6KUizaAelYXtcew3w,spotify:track:08cXy6KUizaAelYXtcew3w,https://api.spotify.com/v1/tracks/08cXy6KUizaAelYXtcew3w,https://api.spotify.com/v1/audio-analysis/08cXy6KUizaAelYXtcew3w,204213,4,62
0.527,0.727,0,-5.874,1,0.0287,0.0305,1.75e-06,0.213,0.357,102.075,audio_features,5NyKBb6vG5gIepZ2j9FsTC,spotify:track:5NyKBb6vG5gIepZ2j9FsTC,https://api.spotify.com/v1/tracks/5NyKBb6vG5gIepZ2j9FsTC,https://api.spotify.com/v1/audio-analysis/5NyKBb6vG5gIepZ2j9FsTC,172720,4,2
0.455,0.786,1,-5.16,1,0.0338,0.0234,0,0.145,0.416,103.172,audio_features,0uZ0orE84drZZzPKxCWSmR,spotify:track:0uZ0orE84drZZzPKxCWSmR,https://api.spotify.com/v1/tracks/0uZ0orE84drZZzPKxCWSmR,https://api.spotify.com/v1/audio-analysis/0uZ0orE84drZZzPKxCWSmR,267693,4,10
0.494,0.836,7,-4.327,1,0.0531,0.0249,0,0.457,0.627,142.56,audio_features,2UODQhPzz51lssoMPOlfy5,spotify:track:2UODQhPzz51lssoMPOlfy5,https://api.spotify.com/v1/tracks/2UODQhPzz51lssoMPOlfy5,https://api.spotify.com/v1/audio-analysis/2UODQhPzz51lssoMPOlfy5,256560,4,49
0.742,0.455,7,-13.778,1,0.0524,0.1,0,0.213,0.401,120.037,audio_features,0eImrDDpQTEuHF0NBqmrei,spotify:track:0eImrDDpQTEuHF0NBqmrei,https://api.spotify.com/v1/tracks/0eImrDDpQTEuHF0NBqmrei,https://api.spotify.com/v1/audio-analysis/0eImrDDpQTEuHF0NBqmrei,110293,4,51
0.64,0.725,7,-6.378,1,0.0335,0.244,0,0.118,0.292,101.944,audio_features,3T6J3N6aePrSmPlBmrmHVk,spotify:track:3T6J3N6aePrSmPlBmrmHVk,https://api.spotify.com/v1/tracks/3T6J3N6aePrSmPlBmrmHVk,https://api.spotify.com/v1/audio-analysis/3T6J3N6aePrSmPlBmrmHVk,169280,4,1
0.424,0.804,1,-6.052,0,0.0438,0.00923,8.34e-06,0.21,0.408,120.064,audio_features,6TeR0ee6dLIfqxx25BMAna,spotify:track:6TeR0ee6dLIfqxx25BMAna,https://api.spotify.com/v1/tracks/6TeR0ee6dLIfqxx25BMAna,https://api.spotify.com/v1/audio-analysis/6TeR0ee6dLIfqxx25BMAna,169360,4,0
0.651,0.702,4,-11.115,0,0.0285,0.421,0.0034,0.124,0.498,131.962,audio_features,5H7PvgENZHanmlrJyolIzK,spotify:track:5H7PvgENZHanmlrJyolIzK,https://api.spotify.com/v1/tracks/5H7PvgENZHanmlrJyolIzK,https://api.spotify.com/v1/audio-analysis/5H7PvgENZHanmlrJyolIzK,208947,4,39
0.215,0.692,4,-7.969,1,0.0329,0.0349,0.00148,0.271,0.548,75.895,audio_features,6hzdN5JMfJmulL9d57j7kX,spotify:track:6hzdN5JMfJmulL9d57j7kX,https://api.spotify.com/v1/tracks/6hzdN5JMfJmulL9d57j7kX,https://api.spotify.com/v1/audio-analysis/6hzdN5JMfJmulL9d57j7kX,228200,4,34
0.642,0.904,1,-3.559,1,0.0279,0.0859,0.00533,0.0742,0.709,115.043,audio_features,7DE86iisLuIR0Ab9E5YodK,spotify:track:7DE86iisLuIR0Ab9E5YodK,https://api.spotify.com/v1/tracks/7DE86iisLuIR0Ab9E5YodK,https://api.spotify.com/v1/audio-analysis/7DE86iisLuIR0Ab9E5YodK,180813,4,28
