danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.538,0.21,4,-16.777,1,0.0344,0.917,0.0043,0.106,0.411,94.871,audio_features,1phRuf0KNLOFGzDVE2UYIv,spotify:track:1phRuf0KNLOFGzDVE2UYIv,https://api.spotify.com/v1/tracks/1phRuf0KNLOFGzDVE2UYIv,https://api.spotify.com/v1/audio-analysis/1phRuf0KNLOFGzDVE2UYIv,188424,4,58
0.447,0.294,0,-19.696,1,0.0329,0.818,0.824,0.147,0.442,204.085,audio_features,2sPs3jx1I2IcJczysRAi5e,spotify:track:2sPs3jx1I2IcJczysRAi5e,https://api.spotify.com/v1/tracks/2sPs3jx1I2IcJczysRAi5e,https://api.spotify.com/v1/audio-analysis/2sPs3jx1I2IcJczysRAi5e,129591,4,53
0.4,0.0532,5,-14.531,1,0.0354,0.988,0.00123,0.101,0.108,112.791,audio_features,5gfWb1cH1wBH9uHOv1yL8Y,spotify:track:5gfWb1cH1wBH9uHOv1yL8Y,https://api.spotify.com/v1/tracks/5gfWb1cH1wBH9uHOv1yL8Y,https://api.spotify.com/v1/audio-analysis/5gfWb1cH1wBH9uHOv1yL8Y,189990,4,50
0.608,0.342,4,-14.166,1,0.0316,0.782,0.243,0.109,0.172,80.109,audio_features,6u1E03WKp0QsOfK5FEzzGr,spotify:track:6u1E03WKp0QsOfK5FEzzGr,https://api.spotify.com/v1/tracks/6u1E03WKp0QsOfK5FEzzGr,https://api.spotify.com/v1/audio-analysis/6u1E03WKp0QsOfK5FEzzGr,203893,4,67
0.489,0.443,6,-10.571,1,0.0292,0.851,0.031,0.175,0.721,81.901,audio_features,54RFhnSAegxVwlZMP7uLGY,spotify:track:54RFhnSAegxVwlZMP7uLGY,https://api.spotify.com/v1/tracks/54RFhnSAegxVwlZMP7uLGY,https://api.spotify.com/v1/audio-analysis/54RFhnSAegxVwlZMP7uLGY,156840,4,44
0.821,0.656,7,-5.622,1,0.0432,0.374,9.84e-05,0.142,0.704,116.864,audio_features,0xsQzItgQgIhhFyq8YOMQm,spotify:track:0xsQzItgQgIhhFyq8YOMQm,https://api.spotify.com/v1/tracks/0xsQzItgQgIhhFyq8YOMQm,https://api.spotify.com/v1/audio-analysis/0xsQzItgQgIhhFyq8YOMQm,187000,4,48
0.584,0.523,7,-7.397,1,0.102,0.337,0.000112,0.127,0.279,174.181,audio_features,1gx7WS3kWK53ypA8KXeEsV,spotify:track:1gx7WS3kWK53ypA8KXeEsV,https://api.spotify.com/v1/tracks/1gx7WS3kWK53ypA8KXeEsV,https://api.spotify.com/v1/audio-analysis/1gx7WS3kWK53ypA8KXeEsV,172414,4,42
0.559,0.466,5,-6.769,1,0.0362,0.315,0.0039,0.0933,0.623,117.21,audio_features,3MJov5mT64K42o1Rffhblq,spotify:track:3MJov5mT64K42o1Rffhblq,https://api.spotify.com/v1/tracks/3MJov5mT64K42o1Rffhblq,https://api.spotify.com/v1/audio-analysis/3MJov5mT64K42o1Rffhblq,176027,4,60
0.615,0.316,6,-11.885,1,0.0299,0.898,0.00215,0.0616,0.485,82.625,audio_features,3JEye8rsrvGdlrBvZUgNIL,spotify:track:3JEye8rsrvGdlrBvZUgNIL,https://api.spotify.com/v1/tracks/3JEye8rsrvGdlrBvZUgNIL,https://api.spotify.com/v1/audio-analysis/3JEye8rsrvGdlrBvZUgNIL,173091,4,60
0.474,0.182,8,-13.573,1,0.037,0.823,1.1e-05,0.114,0.386,151.027,audio_features,5Qy1QlqtME2XeS3CxIsLfI,spotify:track:5Qy1QlqtME2XeS3CxIsLfI,https://api.spotify.com/v1/tracks/5Qy1QlqtME2XeS3CxIsLfI,https://api.spotify.com/v1/audio-analysis/5Qy1QlqtME2XeS3CxIsLfI,167053,4,49
