danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.884,0.677,1,-5.603,1,0.283,0.0778,0,0.0732,0.584,101.868,audio_features,3jagJCUbdqhDSPuxP8cAqF,spotify:track:3jagJCUbdqhDSPuxP8cAqF,https://api.spotify.com/v1/tracks/3jagJCUbdqhDSPuxP8cAqF,https://api.spotify.com/v1/audio-analysis/3jagJCUbdqhDSPuxP8cAqF,263227,4,69
0.707,0.425,5,-12.406,0,0.0653,0.327,0,0.113,0.584,88.088,audio_features,38VXcoyksXlWBJtWQzNPbs,spotify:track:38VXcoyksXlWBJtWQzNPbs,https://api.spotify.com/v1/tracks/38VXcoyksXlWBJtWQzNPbs,https://api.spotify.com/v1/audio-analysis/38VXcoyksXlWBJtWQzNPbs,284733,4,41
0.678,0.431,10,-14.069,0,0.102,0.105,1.34e-06,0.12,0.35,89.99,audio_features,6nc6alU2UxQb4XfkublZES,spotify:track:6nc6alU2UxQb4XfkublZES,https://api.spotify.com/v1/tracks/6nc6alU2UxQb4XfkublZES,https://api.spotify.com/v1/audio-analysis/6nc6alU2UxQb4XfkublZES,255413,4,33
0.92,0.487,10,-5.578,0,0.182,0.0103,0,0.0411,0.806,92.836,audio_features,50aYYSNIEfwUjCvjDgkrQe,spotify:track:50aYYSNIEfwUjCvjDgkrQe,https://api.spotify.com/v1/tracks/50aYYSNIEfwUjCvjDgkrQe,https://api.spotify.com/v1/audio-analysis/50aYYSNIEfwUjCvjDgkrQe,241400,4,7
0.769,0.64,1,-6.182,0,0.329,0.00838,5.54e-06,0.0724,0.693,99.351,audio_features,3zIauDOxaYXR404SPlX9bv,spotify:track:3zIauDOxaYXR404SPlX9bv,https://api.spotify.com/v1/tracks/3zIauDOxaYXR404SPlX9bv,https://api.spotify.com/v1/audio-analysis/3zIauDOxaYXR404SPlX9bv,195427,4,26
0.854,0.721,5,-5.022,0,0.0816,0.124,0.000744,0.16,0.757,100.195,audio_features,57Fsm1RVcV5nXnCuf9SadV,spotify:track:57Fsm1RVcV5nXnCuf9SadV,https://api.spotify.com/v1/tracks/57Fsm1RVcV5nXnCuf9SadV,https://api.spotify.com/v1/audio-analysis/57Fsm1RVcV5nXnCuf9SadV,249360,4,10
0.811,0.713,4,-8.085,0,0.291,0.0075,0,0.28,0.699,94.617,audio_features,0dgdXBWLJTPXr5ZgJ2N4SA,spotify:track:0dgdXBWLJTPXr5ZgJ2N4SA,https://api.spotify.com/v1/tracks/0dgdXBWLJTPXr5ZgJ2N4SA,https://api.spotify.com/v1/audio-analysis/0dgdXBWLJTPXr5ZgJ2N4SA,236160,4,4
0.699,0.904,7,-7.155,1,0.263,0.154,0,0.386,0.544,102.859,audio_features,6Sh54zHJjnLvpyr5Eom5F9,spotify:track:6Sh54zHJjnLvpyr5Eom5F9,https://api.spotify.com/v1/tracks/6Sh54zHJjnLvpyr5Eom5F9,https://api.spotify.com/v1/audio-analysis/6Sh54zHJjnLvpyr5Eom5F9,290160,4,1
0.817,0.882,6,-8.719,0,0.105,0.105,0,0.355,0.751,99.204,audio_features,0IGqFsBp1eI5kxAReABcv2,spotify:track:0IGqFsBp1eI5kxAReABcv2,https://api.spotify.com/v1/tracks/0IGqFsBp1eI5kxAReABcv2,https://api.spotify.com/v1/audio-analysis/0IGqFsBp1eI5kxAReABcv2,261280,4,3
0.891,0.558,8,-3.036,0,0.067,0.00129,0,0.0287,0.747,101.952,audio_features,3zSGtdgRCd5a098UzKZ7Ec,spotify:track:3zSGtdgRCd5a098UzKZ7Ec,https://api.spotify.com/v1/tracks/3zSGtdgRCd5a098UzKZ7Ec,https://api.spotify.com/v1/audio-analysis/3zSGtdgRCd5a098UzKZ7Ec,211840,4,49
0.883,0.475,10,-9.103,0,0.0635,0.0123,1.17e-05,0.0927,0.925,130.05,audio_features,0X67jDdNTccPE8LCm8fT6r,spotify:track:0X67jDdNTccPE8LCm8fT6r,https://api.spotify.com/v1/tracks/0X67jDdNTccPE8LCm8fT6r,https://api.spotify.com/v1/audio-analysis/0X67jDdNTccPE8LCm8fT6r,247800,4,41
0.655,0.837,11,-6.04,0,0.0723,0.0262,5.85e-06,0.0454,0.66,91.014,audio_features,6Vas6h9lB5mmeVDXdFqlQA,spotify:track:6Vas6h9lB5mmeVDXdFqlQA,https://api.spotify.com/v1/tracks/6Vas6h9lB5mmeVDXdFqlQA,https://api.spotify.com/v1/audio-analysis/6Vas6h9lB5mmeVDXdFqlQA,253613,4,55
0.761,0.523,6,-7.13,0,0.0715,0.0261,0,0.0547,0.909,93.038,audio_features,2QECnnbMqsJccbp05rI3gl,spotify:track:2QECnnbMqsJccbp05rI3gl,https://api.spotify.com/v1/tracks/2QECnnbMqsJccbp05rI3gl,https://api.spotify.com/v1/audio-analysis/2QECnnbMqsJccbp05rI3gl,236053,4,22
0.716,0.674,4,-8.639,0,0.0502,0.161,5.18e-05,0.332,0.649,95.013,audio_features,01YGmszYuYM81hYrXNBZyT,spotify:track:01YGmszYuYM81hYrXNBZyT,https://api.spotify.com/v1/tracks/01YGmszYuYM81hYrXNBZyT,https://api.spotify.com/v1/audio-analysis/01YGmszYuYM81hYrXNBZyT,309227,4,1
0.897,0.588,11,-4.047,0,0.0424,0.151,0,0.056,0.881,92.814,audio_features,3pbpimHVpBabe4YnKEOaqN,spotify:track:3pbpimHVpBabe4YnKEOaqN,https://api.spotify.com/v1/tracks/3pbpimHVpBabe4YnKEOaqN,https://api.spotify.com/v1/audio-analysis/3pbpimHVpBabe4YnKEOaqN,252726,4,31
0.706,0.727,5,-8.06,1,0.0317,0.0698,5.31e-06,0.115,0.903,92.938,audio_features,45wneA2j0Z0WMnYNDO6Ad0,spotify:track:45wneA2j0Z0WMnYNDO6Ad0,https://api.spotify.com/v1/tracks/45wneA2j0Z0WMnYNDO6Ad0,https://api.spotify.com/v1/audio-analysis/45wneA2j0Z0WMnYNDO6Ad0,231093,4,62
0.703,0.469,11,-6.515,0,0.0415,0.177,0,0.726,0.661,86.038,audio_features,6N9uyMZf9pbNOuomveWscp,spotify:track:6N9uyMZf9pbNOuomveWscp,https://api.spotify.com/v1/tracks/6N9uyMZf9pbNOuomveWscp,https://api.spotify.com/v1/audio-analysis/6N9uyMZf9pbNOuomveWscp,291667,4,55
0.831,0.915,10,-7.501,0,0.128,0.147,0.00571,0.196,0.881,102.979,audio_features,7tsRp7QKUBp6hc9bth0h7x,spotify:track:7tsRp7QKUBp6hc9bth0h7x,https://api.spotify.com/v1/tracks/7tsRp7QKUBp6hc9bth0h7x,https://api.spotify.com/v1/audio-analysis/7tsRp7QKUBp6hc9bth0h7x,216373,4,58
0.856,0.61,2,-7.915,1,0.07,0.108,0.000311,0.0913,0.892,101.313,audio_features,6yFj1w4aS2V367tqoDhBwH,spotify:track:6yFj1w4aS2V367tqoDhBwH,https://api.spotify.com/v1/tracks/6yFj1w4aS2V367tqoDhBwH,https://api.spotify.com/v1/audio-analysis/6yFj1w4aS2V367tqoDhBwH,252093,4,21
0.706,0.818,6,-4.736,0,0.0488,0.0831,0.00144,0.0774,0.947,94.956,audio_features,19XWdM9zSb4IIiFCXO1SlE,spotify:track:19XWdM9zSb4IIiFCXO1SlE,https://api.spotify.com/v1/tracks/19XWdM9zSb4IIiFCXO1SlE,https://api.spotify.com/v1/audio-analysis/19XWdM9zSb4IIiFCXO1SlE,272400,4,39
0.848,0.673,9,-5.957,1,0.134,0.111,0,0.0951,0.459,100.059,audio_features,4f1er3ZuMpVuFKwAseQ1E9,spotify:track:4f1er3ZuMpVuFKwAseQ1E9,https://api.spotify.com/v1/tracks/4f1er3ZuMpVuFKwAseQ1E9,https://api.spotify.com/v1/audio-analysis/4f1er3ZuMpVuFKwAseQ1E9,253200,4,48
