danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.656,0.578,7,-8.97,0,0.0922,0.235,0,0.118,0.556,94.514,audio_features,3ibKnFDaa3GhpPGlOUj7ff,spotify:track:3ibKnFDaa3GhpPGlOUj7ff,https://api.spotify.com/v1/tracks/3ibKnFDaa3GhpPGlOUj7ff,https://api.spotify.com/v1/audio-analysis/3ibKnFDaa3GhpPGlOUj7ff,256733,4,75
0.451,0.55,1,-8.137,1,0.262,0.0108,0,0.0737,0.594,80.001,audio_features,2aIdVb8v9KTpEZnftkz2mD,spotify:track:2aIdVb8v9KTpEZnftkz2mD,https://api.spotify.com/v1/tracks/2aIdVb8v9KTpEZnftkz2mD,https://api.spotify.com/v1/audio-analysis/2aIdVb8v9KTpEZnftkz2mD,227960,4,74
0.605,0.633,1,-5.899,0,0.251,0.119,0,0.225,0.592,87.26,audio_features,1zpu1PZ8ecmcX525Z3X8cl,spotify:track:1zpu1PZ8ecmcX525Z3X8cl,https://api.spotify.com/v1/tracks/1zpu1PZ8ecmcX525Z3X8cl,https://api.spotify.com/v1/audio-analysis/1zpu1PZ8ecmcX525Z3X8cl,229040,4,68
0.795,0.523,1,-7.165,1,0.0423,0.061,0,0.0914,0.855,133.024,audio_features,5dNfHmqgr128gMY2tc5CeJ,spotify:track:5dNfHmqgr128gMY2tc5CeJ,https://api.spotify.com/v1/tracks/5dNfHmqgr128gMY2tc5CeJ,https://api.spotify.com/v1/audio-analysis/5dNfHmqgr128gMY2tc5CeJ,186067,4,76
0.838,0.469,0,-7.992,1,0.0835,0.0358,0,0.0928,0.778,139.975,audio_features,3LmvfNUQtglbTrydsdIqFU,spotify:track:3LmvfNUQtglbTrydsdIqFU,https://api.spotify.com/v1/tracks/3LmvfNUQtglbTrydsdIqFU,https://api.spotify.com/v1/audio-analysis/3LmvfNUQtglbTrydsdIqFU,201400,4,70
0.657,0.629,6,-4.938,1,0.0782,0.194,0,0.254,0.726,93.985,audio_features,2QsZVnbWVSjKMXK6K3uRBL,spotify:track:2QsZVnbWVSjKMXK6K3uRBL,https://api.spotify.com/v1/tracks/2QsZVnbWVSjKMXK6K3uRBL,https://api.spotify.com/v1/audio-analysis/2QsZVnbWVSjKMXK6K3uRBL,266893,4,71
0.84,0.493,11,-5.9,0,0.0475,0.332,0.00105,0.121,0.361,96.998,audio_features,3pYcGuasNwouukvgQcgo9a,spotify:track:3pYcGuasNwouukvgQcgo9a,https://api.spotify.com/v1/tracks/3pYcGuasNwouukvgQcgo9a,https://api.spotify.com/v1/audio-analysis/3pYcGuasNwouukvgQcgo9a,257360,4,13
0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,audio_features,7uKcScNXuO3MWw6LowBjW1,spotify:track:7uKcScNXuO3MWw6LowBjW1,https://api.spotify.com/v1/tracks/7uKcScNXuO3MWw6LowBjW1,https://api.spotify.com/v1/audio-analysis/7uKcScNXuO3MWw6LowBjW1,203787,4,73
0.833,0.681,1,-6.028,0,0.215,0.0956,0,0.0414,0.887,95.48,audio_features,74jMwg2zsFMICzW3Wems6h,spotify:track:74jMwg2zsFMICzW3Wems6h,https://api.spotify.com/v1/tracks/74jMwg2zsFMICzW3Wems6h,https://api.spotify.com/v1/audio-analysis/74jMwg2zsFMICzW3Wems6h,282533,4,62
0.562,0.594,3,-4.578,0,0.0558,0.318,0,0.311,0.423,62.876,audio_features,0Uyh92tLyb9JawG8lmWCzJ,spotify:track:0Uyh92tLyb9JawG8lmWCzJ,https://api.spotify.com/v1/tracks/0Uyh92tLyb9JawG8lmWCzJ,https://api.spotify.com/v1/audio-analysis/0Uyh92tLyb9JawG8lmWCzJ,265533,4,63
