danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.363,0.233,10,-7.697,1,0.0299,0.908,0,0.134,0.246,171.767,audio_features,2d3NAGCKudIYpTlRI6BI0s,spotify:track:2d3NAGCKudIYpTlRI6BI0s,https://api.spotify.com/v1/tracks/2d3NAGCKudIYpTlRI6BI0s,https://api.spotify.com/v1/audio-analysis/2d3NAGCKudIYpTlRI6BI0s,204326,3,65
0.721,0.613,11,-7.051,0,0.0332,0.00745,2.55e-06,0.125,0.665,124.012,audio_features,4kVo85bcmBkvMBcJl42XCA,spotify:track:4kVo85bcmBkvMBcJl42XCA,https://api.spotify.com/v1/tracks/4kVo85bcmBkvMBcJl42XCA,https://api.spotify.com/v1/audio-analysis/4kVo85bcmBkvMBcJl42XCA,223814,4,70
0.505,0.68,6,-3.423,0,0.0336,0.283,0,0.175,0.362,139.843,audio_features,1ZyQGXH9dZ4AecevHhKUxi,spotify:track:1ZyQGXH9dZ4AecevHhKUxi,https://api.spotify.com/v1/tracks/1ZyQGXH9dZ4AecevHhKUxi,https://api.spotify.com/v1/audio-analysis/1ZyQGXH9dZ4AecevHhKUxi,195701,4,75
0.74,0.774,9,-4.859,1,0.17,0.291,0,0.192,0.606,100.048,audio_features,6KWXhvzPI5n0JThnSbeBLy,spotify:track:6KWXhvzPI5n0JThnSbeBLy,https://api.spotify.com/v1/tracks/6KWXhvzPI5n0JThnSbeBLy,https://api.spotify.com/v1/audio-analysis/6KWXhvzPI5n0JThnSbeBLy,186557,4,55
0.266,0.616,11,-7.185,0,0.0402,0.215,2.63e-05,0.956,0.197,149.023,audio_features,0BfGB5a1YQfgKQRArZVegv,spotify:track:0BfGB5a1YQfgKQRArZVegv,https://api.spotify.com/v1/tracks/0BfGB5a1YQfgKQRArZVegv,https://api.spotify.com/v1/audio-analysis/0BfGB5a1YQfgKQRArZVegv,311133,3,59
0.394,0.961,1,-3.733,1,0.0438,5.22e-05,0.000131,0.101,0.842,175.991,audio_features,53oEpGga4UriwcOKc35LpM,spotify:track:53oEpGga4UriwcOKc35LpM,https://api.spotify.com/v1/tracks/53oEpGga4UriwcOKc35LpM,https://api.spotify.com/v1/audio-analysis/53oEpGga4UriwcOKc35LpM,156248,4,64
0.538,0.788,11,-5.248,1,0.032,0.0196,0,0.109,0.457,133.973,audio_features,34lL92tDUFfTCD85nuVRrC,spotify:track:34lL92tDUFfTCD85nuVRrC,https://api.spotify.com/v1/tracks/34lL92tDUFfTCD85nuVRrC,https://api.spotify.com/v1/audio-analysis/34lL92tDUFfTCD85nuVRrC,209107,4,55
0.627,0.397,5,-10.434,1,0.229,0.463,0,0.137,0.149,92.781,audio_features,49OyaDdgZYqNrzz5rvrFyI,spotify:track:49OyaDdgZYqNrzz5rvrFyI,https://api.spotify.com/v1/tracks/49OyaDdgZYqNrzz5rvrFyI,https://api.spotify.com/v1/audio-analysis/49OyaDdgZYqNrzz5rvrFyI,243563,4,50
0.47,0.641,7,-6.962,1,0.0254,0.0395,0.0562,0.182,0.139,92.037,audio_features,5csqzkjVbA52pvdk89h44s,spotify:track:5csqzkjVbA52pvdk89h44s,https://api.spotify.com/v1/tracks/5csqzkjVbA52pvdk89h44s,https://api.spotify.com/v1/audio-analysis/5csqzkjVbA52pvdk89h44s,263120,4,46
0.729,0.57,0,-8.287,1,0.035,0.162,4.72e-05,0.134,0.586,107.01,audio_features,1TSZjXMLBOfiWxejZnlIr7,spotify:track:1TSZjXMLBOfiWxejZnlIr7,https://api.spotify.com/v1/tracks/1TSZjXMLBOfiWxejZnlIr7,https://api.spotify.com/v1/audio-analysis/1TSZjXMLBOfiWxejZnlIr7,157043,4,60
0.677,0.556,9,-6.544,1,0.0306,0.263,0,0.105,0.521,80.009,audio_features,1HXy5I3HTWq8OvxCn0z7G7,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,https://api.spotify.com/v1/tracks/1HXy5I3HTWq8OvxCn0z7G7,https://api.spotify.com/v1/audio-analysis/1HXy5I3HTWq8OvxCn0z7G7,179507,4,75
