danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.368,0.516,4,-6.058,0,0.0348,0.11,1.03e-05,0.0955,0.445,178.889,audio_features,2BZjcbZpQyyhpVr3gMGPn6,spotify:track:2BZjcbZpQyyhpVr3gMGPn6,https://api.spotify.com/v1/tracks/2BZjcbZpQyyhpVr3gMGPn6,https://api.spotify.com/v1/audio-analysis/2BZjcbZpQyyhpVr3gMGPn6,252973,3,50
0.75,0.796,4,-5.184,1,0.0382,0.433,0,0.125,0.911,126.525,audio_features,3M552XFr9CHBZb3Kr1t8OI,spotify:track:3M552XFr9CHBZb3Kr1t8OI,https://api.spotify.com/v1/tracks/3M552XFr9CHBZb3Kr1t8OI,https://api.spotify.com/v1/audio-analysis/3M552XFr9CHBZb3Kr1t8OI,213720,4,1
0.68,0.64,1,-6.691,0,0.0336,0.29,0.00593,0.124,0.738,105.981,audio_features,2TKwDXgLQdfPT3mXUbaOF7,spotify:track:2TKwDXgLQdfPT3mXUbaOF7,https://api.spotify.com/v1/tracks/2TKwDXgLQdfPT3mXUbaOF7,https://api.spotify.com/v1/audio-analysis/2TKwDXgLQdfPT3mXUbaOF7,322267,4,7
0.557,0.665,8,-5.021,0,0.109,0.052,0,0.163,0.783,96.214,audio_features,0TNXILAGuF49nsIyylBACS,spotify:track:0TNXILAGuF49nsIyylBACS,https://api.spotify.com/v1/tracks/0TNXILAGuF49nsIyylBACS,https://api.spotify.com/v1/audio-analysis/0TNXILAGuF49nsIyylBACS,265557,4,25
0.778,0.703,0,-4.453,1,0.0297,0.00788,0.00325,0.148,0.968,104.696,audio_features,2KSO6NxSjtP2fMDbHHpzwF,spotify:track:2KSO6NxSjtP2fMDbHHpzwF,https://api.spotify.com/v1/tracks/2KSO6NxSjtP2fMDbHHpzwF,https://api.spotify.com/v1/audio-analysis/2KSO6NxSjtP2fMDbHHpzwF,182880,4,32
0.843,0.433,0,-8.139,1,0.0676,0.0114,8.19e-06,0.123,0.161,106.028,audio_features,3HW030T8eqPs8wpsgZqCGM,spotify:track:3HW030T8eqPs8wpsgZqCGM,https://api.spotify.com/v1/tracks/3HW030T8eqPs8wpsgZqCGM,https://api.spotify.com/v1/audio-analysis/3HW030T8eqPs8wpsgZqCGM,310480,4,51
0.52,0.761,11,-7.196,0,0.0478,0.036,0,0.2,0.486,86.012,audio_features,1PxTFIjG0IjuQDILHr4bXJ,spotify:track:1PxTFIjG0IjuQDILHr4bXJ,https://api.spotify.com/v1/tracks/1PxTFIjG0IjuQDILHr4bXJ,https://api.spotify.com/v1/audio-analysis/1PxTFIjG0IjuQDILHr4bXJ,255840,4,4
0.676,0.572,6,-7.015,0,0.149,0.145,3.01e-05,0.2,0.643,85.853,audio_features,6VYGgJLrcZon0GJKz9Dznv,spotify:track:6VYGgJLrcZon0GJKz9Dznv,https://api.spotify.com/v1/tracks/6VYGgJLrcZon0GJKz9Dznv,https://api.spotify.com/v1/audio-analysis/6VYGgJLrcZon0GJKz9Dznv,219920,4,1
0.679,0.422,8,-10.088,1,0.032,0.0965,0.0369,0.059,0.491,90.022,audio_features,191w0Z04ktB8QjlRLSqmNq,spotify:track:191w0Z04ktB8QjlRLSqmNq,https://api.spotify.com/v1/tracks/191w0Z04ktB8QjlRLSqmNq,https://api.spotify.com/v1/audio-analysis/191w0Z04ktB8QjlRLSqmNq,177764,4,44
0.589,0.694,10,-4.39,0,0.0258,0.292,0,0.0471,0.819,175.987,audio_features,1qRhvlCXiB8JsNM6uP27Km,spotify:track:1qRhvlCXiB8JsNM6uP27Km,https://api.spotify.com/v1/tracks/1qRhvlCXiB8JsNM6uP27Km,https://api.spotify.com/v1/audio-analysis/1qRhvlCXiB8JsNM6uP27Km,208267,4,30
0.496,0.919,2,-3.452,0,0.0464,0.00424,0.000782,0.0986,0.188,126.029,audio_features,5sZAcPQEriLrwpdIy5B2CH,spotify:track:5sZAcPQEriLrwpdIy5B2CH,https://api.spotify.com/v1/tracks/5sZAcPQEriLrwpdIy5B2CH,https://api.spotify.com/v1/audio-analysis/5sZAcPQEriLrwpdIy5B2CH,240289,4,0
0.695,0.878,1,-3.429,0,0.0441,0.153,0,0.0764,0.969,162.898,audio_features,6dg4jncA9hbthBGFVo2djw,spotify:track:6dg4jncA9hbthBGFVo2djw,https://api.spotify.com/v1/tracks/6dg4jncA9hbthBGFVo2djw,https://api.spotify.com/v1/audio-analysis/6dg4jncA9hbthBGFVo2djw,177835,4,48
0.747,0.477,4,-6.06,0,0.198,0.153,1.09e-05,0.878,0.882,95.968,audio_features,1pur8kv69XmZqA3uoMEYnH,spotify:track:1pur8kv69XmZqA3uoMEYnH,https://api.spotify.com/v1/tracks/1pur8kv69XmZqA3uoMEYnH,https://api.spotify.com/v1/audio-analysis/1pur8kv69XmZqA3uoMEYnH,133608,4,40
