danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.724,0.733,1,-6.195,0,0.0743,0.0165,0.00177,0.207,0.548,105.872,audio_features,1eXv38jXukTghRTXP60E5J,spotify:track:1eXv38jXukTghRTXP60E5J,https://api.spotify.com/v1/tracks/1eXv38jXukTghRTXP60E5J,https://api.spotify.com/v1/audio-analysis/1eXv38jXukTghRTXP60E5J,202468,4,47
0.813,0.825,4,-4.755,0,0.247,0.193,0,0.561,0.887,105.95,audio_features,732l2odoT2vUUnYzGtXWrj,spotify:track:732l2odoT2vUUnYzGtXWrj,https://api.spotify.com/v1/tracks/732l2odoT2vUUnYzGtXWrj,https://api.spotify.com/v1/audio-analysis/732l2odoT2vUUnYzGtXWrj,276349,4,33
0.876,0.722,0,-6.015,1,0.16,0.228,6.05e-06,0.17,0.797,117.009,audio_features,3n35jUsgfeXYw4FeauAFnB,spotify:track:3n35jUsgfeXYw4FeauAFnB,https://api.spotify.com/v1/tracks/3n35jUsgfeXYw4FeauAFnB,https://api.spotify.com/v1/audio-analysis/3n35jUsgfeXYw4FeauAFnB,184869,4,40
0.82,0.584,6,-6.53,0,0.0463,0.279,3.29e-06,0.0996,0.834,103.009,audio_features,0WZEBO1GdTUGlnVhGbtmIf,spotify:track:0WZEBO1GdTUGlnVhGbtmIf,https://api.spotify.com/v1/tracks/0WZEBO1GdTUGlnVhGbtmIf,https://api.spotify.com/v1/audio-analysis/0WZEBO1GdTUGlnVhGbtmIf,186450,4,29
0.792,0.695,0,-3.947,1,0.0654,0.416,0,0.355,0.79,90.99,audio_features,3myg3APlMamLAxZm5ptw4u,spotify:track:3myg3APlMamLAxZm5ptw4u,https://api.spotify.com/v1/tracks/3myg3APlMamLAxZm5ptw4u,https://api.spotify.com/v1/audio-analysis/3myg3APlMamLAxZm5ptw4u,164780,4,15
0.793,0.607,11,-8.511,0,0.144,0.691,0,0.0601,0.564,103.033,audio_features,20fksfq6sLM4RcepYoaJLi,spotify:track:20fksfq6sLM4RcepYoaJLi,https://api.spotify.com/v1/tracks/20fksfq6sLM4RcepYoaJLi,https://api.spotify.com/v1/audio-analysis/20fksfq6sLM4RcepYoaJLi,218079,4,46
0.791,0.567,6,-6.907,0,0.104,0.173,2.61e-06,0.194,0.522,98.044,audio_features,4AaX9uSYqYLiI6r90NKh8w,spotify:track:4AaX9uSYqYLiI6r90NKh8w,https://api.spotify.com/v1/tracks/4AaX9uSYqYLiI6r90NKh8w,https://api.spotify.com/v1/audio-analysis/4AaX9uSYqYLiI6r90NKh8w,190135,4,57
0.856,0.768,4,-3.88,0,0.0553,0.55,0.0186,0.0649,0.935,102.025,audio_features,5M7i9QYKytBaNq95QJWg6l,spotify:track:5M7i9QYKytBaNq95QJWg6l,https://api.spotify.com/v1/tracks/5M7i9QYKytBaNq95QJWg6l,https://api.spotify.com/v1/audio-analysis/5M7i9QYKytBaNq95QJWg6l,210442,4,39
0.891,0.649,9,-6.476,1,0.068,0.169,0.0289,0.058,0.733,111.989,audio_features,6jIFjFLu7OtUJeo6B92r4D,spotify:track:6jIFjFLu7OtUJeo6B92r4D,https://api.spotify.com/v1/tracks/6jIFjFLu7OtUJeo6B92r4D,https://api.spotify.com/v1/audio-analysis/6jIFjFLu7OtUJeo6B92r4D,209842,4,38
0.861,0.756,5,-3.146,0,0.0554,0.108,3.03e-06,0.0996,0.885,124.966,audio_features,1aWH7wQkc6kPA0g0R4Xvp3,spotify:track:1aWH7wQkc6kPA0g0R4Xvp3,https://api.spotify.com/v1/tracks/1aWH7wQkc6kPA0g0R4Xvp3,https://api.spotify.com/v1/audio-analysis/1aWH7wQkc6kPA0g0R4Xvp3,216999,4,48
