danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.285,0.271,0,-8.152,1,0.0329,0.976,0.00292,0.0899,0.183,90.587,audio_features,0kRnTnaiFyLiSKFk3hlDDu,spotify:track:0kRnTnaiFyLiSKFk3hlDDu,https://api.spotify.com/v1/tracks/0kRnTnaiFyLiSKFk3hlDDu,https://api.spotify.com/v1/audio-analysis/0kRnTnaiFyLiSKFk3hlDDu,225234,5,29
0.796,0.748,5,-5.409,0,0.126,0.321,4.94e-05,0.217,0.802,82.384,audio_features,2qOm7ukLyHUXWyR4ZWLwxA,spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,https://api.spotify.com/v1/tracks/2qOm7ukLyHUXWyR4ZWLwxA,https://api.spotify.com/v1/audio-analysis/2qOm7ukLyHUXWyR4ZWLwxA,260000,4,69
0.695,0.377,5,-9.586,1,0.034,0.447,2.62e-05,0.0746,0.468,99.029,audio_features,7yOze3trRklt4gGPGyjVwN,spotify:track:7yOze3trRklt4gGPGyjVwN,https://api.spotify.com/v1/tracks/7yOze3trRklt4gGPGyjVwN,https://api.spotify.com/v1/audio-analysis/7yOze3trRklt4gGPGyjVwN,238800,4,45
0.776,0.968,4,-4.25,0,0.0914,0.00147,0,0.204,0.667,97.765,audio_features,4piae89WoVnwucdJzWrB7M,spotify:track:4piae89WoVnwucdJzWrB7M,https://api.spotify.com/v1/tracks/4piae89WoVnwucdJzWrB7M,https://api.spotify.com/v1/audio-analysis/4piae89WoVnwucdJzWrB7M,250173,4,33
0.6,0.706,10,-7.899,0,0.361,0.209,0,0.125,0.58,173.926,audio_features,4IYKjN1DrYzxKXt0umJqsG,spotify:track:4IYKjN1DrYzxKXt0umJqsG,https://api.spotify.com/v1/tracks/4IYKjN1DrYzxKXt0umJqsG,https://api.spotify.com/v1/audio-analysis/4IYKjN1DrYzxKXt0umJqsG,253533,4,66
0.734,0.263,10,-17.602,0,0.0812,1.16e-05,0.472,0.0931,0.809,96.055,audio_features,4kUV72Pe5TK6sVMDJI6CqA,spotify:track:4kUV72Pe5TK6sVMDJI6CqA,https://api.spotify.com/v1/tracks/4kUV72Pe5TK6sVMDJI6CqA,https://api.spotify.com/v1/audio-analysis/4kUV72Pe5TK6sVMDJI6CqA,252533,4,22
0.549,0.853,7,-4.293,1,0.188,0.0285,0.000296,0.618,0.346,94.695,audio_features,0WKYRFtH6KKbaNWjsxqm70,spotify:track:0WKYRFtH6KKbaNWjsxqm70,https://api.spotify.com/v1/tracks/0WKYRFtH6KKbaNWjsxqm70,https://api.spotify.com/v1/audio-analysis/0WKYRFtH6KKbaNWjsxqm70,211493,4,71
0.845,0.51,11,-13.064,0,0.224,0.29,2.39e-06,0.114,0.74,95.265,audio_features,7nYvUtkQMx1v80S2FH2s9J,spotify:track:7nYvUtkQMx1v80S2FH2s9J,https://api.spotify.com/v1/tracks/7nYvUtkQMx1v80S2FH2s9J,https://api.spotify.com/v1/audio-analysis/7nYvUtkQMx1v80S2FH2s9J,248867,4,67
0.897,0.612,11,-10.489,1,0.211,0.0297,0.186,0.0894,0.767,102.305,audio_features,1oTHteQbmJw15rPxPVXUTv,spotify:track:1oTHteQbmJw15rPxPVXUTv,https://api.spotify.com/v1/tracks/1oTHteQbmJw15rPxPVXUTv,https://api.spotify.com/v1/audio-analysis/1oTHteQbmJw15rPxPVXUTv,208267,4,68
0.768,0.257,1,-10.07,1,0.0344,0.564,3.16e-05,0.11,0.354,93.02,audio_features,5b5u3UinBH8irRnYgp6R6I,spotify:track:5b5u3UinBH8irRnYgp6R6I,https://api.spotify.com/v1/tracks/5b5u3UinBH8irRnYgp6R6I,https://api.spotify.com/v1/audio-analysis/5b5u3UinBH8irRnYgp6R6I,192368,4,44
0.75,0.667,5,-6.785,1,0.186,0.136,2.11e-05,0.19,0.865,173.086,audio_features,3IuRN5tplfZD56XYAHPvZ9,spotify:track:3IuRN5tplfZD56XYAHPvZ9,https://api.spotify.com/v1/tracks/3IuRN5tplfZD56XYAHPvZ9,https://api.spotify.com/v1/audio-analysis/3IuRN5tplfZD56XYAHPvZ9,308240,4,52
0.769,0.852,7,-2.763,1,0.0438,0.0296,1.38e-06,0.44,0.76,91.532,audio_features,1JClFT74TYSXlzpagbmj0S,spotify:track:1JClFT74TYSXlzpagbmj0S,https://api.spotify.com/v1/tracks/1JClFT74TYSXlzpagbmj0S,https://api.spotify.com/v1/audio-analysis/1JClFT74TYSXlzpagbmj0S,285027,4,60
0.854,0.71,4,-6.32,0,0.0793,0.0113,8.72e-05,0.166,0.818,106.894,audio_features,2oTDOIAdsxPTE7yAp4YOcv,spotify:track:2oTDOIAdsxPTE7yAp4YOcv,https://api.spotify.com/v1/tracks/2oTDOIAdsxPTE7yAp4YOcv,https://api.spotify.com/v1/audio-analysis/2oTDOIAdsxPTE7yAp4YOcv,214947,4,49
0.957,0.415,6,-13.477,0,0.344,0.00389,1.29e-06,0.109,0.647,116.325,audio_features,2tY1gxCKslfXLFpFofYmJQ,spotify:track:2tY1gxCKslfXLFpFofYmJQ,https://api.spotify.com/v1/tracks/2tY1gxCKslfXLFpFofYmJQ,https://api.spotify.com/v1/audio-analysis/2tY1gxCKslfXLFpFofYmJQ,157467,4,61
0.642,0.423,5,-9.283,0,0.0249,0.079,0,0.0663,0.505,149.61,audio_features,3l3xTXsUXeWlkPqzMs7mPD,spotify:track:3l3xTXsUXeWlkPqzMs7mPD,https://api.spotify.com/v1/tracks/3l3xTXsUXeWlkPqzMs7mPD,https://api.spotify.com/v1/audio-analysis/3l3xTXsUXeWlkPqzMs7mPD,351467,3,61
0.666,0.848,5,-8.312,0,0.0529,0.0176,0.00295,0.126,0.402,119.541,audio_features,2eHj0klWkwRQuIrNlPpCPa,spotify:track:2eHj0klWkwRQuIrNlPpCPa,https://api.spotify.com/v1/tracks/2eHj0klWkwRQuIrNlPpCPa,https://api.spotify.com/v1/audio-analysis/2eHj0klWkwRQuIrNlPpCPa,285107,4,55
0.605,0.559,7,-14.785,1,0.106,0.21,0,0.387,0.81,172.031,audio_features,63uR29DnkNPUiorL30cHnj,spotify:track:63uR29DnkNPUiorL30cHnj,https://api.spotify.com/v1/tracks/63uR29DnkNPUiorL30cHnj,https://api.spotify.com/v1/audio-analysis/63uR29DnkNPUiorL30cHnj,276267,4,48
0.553,0.702,2,-4.829,1,0.108,0.00532,4.99e-06,0.0446,0.453,201.868,audio_features,07efOAoPwcRdd4W6gi8BRF,spotify:track:07efOAoPwcRdd4W6gi8BRF,https://api.spotify.com/v1/tracks/07efOAoPwcRdd4W6gi8BRF,https://api.spotify.com/v1/audio-analysis/07efOAoPwcRdd4W6gi8BRF,240200,4,50
0.759,0.789,7,-5.565,1,0.0744,0.112,0.000183,0.0526,0.811,95.013,audio_features,3XG801WWhqC753dekEBkMt,spotify:track:3XG801WWhqC753dekEBkMt,https://api.spotify.com/v1/tracks/3XG801WWhqC753dekEBkMt,https://api.spotify.com/v1/audio-analysis/3XG801WWhqC753dekEBkMt,269973,4,56
0.306,0.214,4,-12.518,1,0.0356,0.844,5.3e-06,0.0839,0.108,66.98,audio_features,4eHbdreAnSOrDDsFfc4Fpm,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,https://api.spotify.com/v1/tracks/4eHbdreAnSOrDDsFfc4Fpm,https://api.spotify.com/v1/audio-analysis/4eHbdreAnSOrDDsFfc4Fpm,271093,4,73
0.829,0.573,6,-10.316,0,0.224,0.00216,0.00432,0.612,0.803,111.848,audio_features,6m59VvDUi0UQsB2eZ9wVbH,spotify:track:6m59VvDUi0UQsB2eZ9wVbH,https://api.spotify.com/v1/tracks/6m59VvDUi0UQsB2eZ9wVbH,https://api.spotify.com/v1/audio-analysis/6m59VvDUi0UQsB2eZ9wVbH,261853,4,62
0.516,0.906,1,-4.525,1,0.0658,2.86e-05,0.000101,0.105,0.728,116.775,audio_features,5ghIJDpPoe3CfHMGu71E6T,spotify:track:5ghIJDpPoe3CfHMGu71E6T,https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T,https://api.spotify.com/v1/audio-analysis/5ghIJDpPoe3CfHMGu71E6T,301920,4,74
