danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.626,0.325,6,-9.77,0,0.193,0.79,0,0.118,0.876,164.738,audio_features,2u9bCceF0R3bh5mAEpvgMA,spotify:track:2u9bCceF0R3bh5mAEpvgMA,https://api.spotify.com/v1/tracks/2u9bCceF0R3bh5mAEpvgMA,https://api.spotify.com/v1/audio-analysis/2u9bCceF0R3bh5mAEpvgMA,16400,5,0
0.605,0.768,0,-3.724,0,0.0476,0.0865,0,0.308,0.414,100.209,audio_features,09CtPGIpYB4BrO8qb1RGsF,spotify:track:09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/audio-analysis/09CtPGIpYB4BrO8qb1RGsF,200787,4,74
0.95,0.412,1,-6.592,1,0.0731,0.177,0,0.077,0.73,121.019,audio_features,2fZQIJew3nkNe99s2PKzul,spotify:track:2fZQIJew3nkNe99s2PKzul,https://api.spotify.com/v1/tracks/2fZQIJew3nkNe99s2PKzul,https://api.spotify.com/v1/audio-analysis/2fZQIJew3nkNe99s2PKzul,214648,4,77
0.704,0.423,8,-6.792,1,0.0862,0.416,0,0.0607,0.451,113.962,audio_features,6AeQlMyRzvSl1nkFztZyKl,spotify:track:6AeQlMyRzvSl1nkFztZyKl,https://api.spotify.com/v1/tracks/6AeQlMyRzvSl1nkFztZyKl,https://api.spotify.com/v1/audio-analysis/6AeQlMyRzvSl1nkFztZyKl,176347,4,39
0.774,0.765,4,-5.439,0,0.0502,0.156,0,0.0373,0.917,119.001,audio_features,76hfruVvmfQbw0eYn1nmeC,spotify:track:76hfruVvmfQbw0eYn1nmeC,https://api.spotify.com/v1/tracks/76hfruVvmfQbw0eYn1nmeC,https://api.spotify.com/v1/audio-analysis/76hfruVvmfQbw0eYn1nmeC,219147,4,73
0.772,0.775,10,-4.388,0,0.112,0.0417,0,0.226,0.748,124.978,audio_features,05KfyCEE6otdlT1pp2VIjP,spotify:track:05KfyCEE6otdlT1pp2VIjP,https://api.spotify.com/v1/tracks/05KfyCEE6otdlT1pp2VIjP,https://api.spotify.com/v1/audio-analysis/05KfyCEE6otdlT1pp2VIjP,203782,4,32
0.803,0.504,5,-7.218,0,0.0979,0.0165,5.25e-06,0.335,0.498,111.014,audio_features,1LoriJC05IrHIDwj3q0KC1,spotify:track:1LoriJC05IrHIDwj3q0KC1,https://api.spotify.com/v1/tracks/1LoriJC05IrHIDwj3q0KC1,https://api.spotify.com/v1/audio-analysis/1LoriJC05IrHIDwj3q0KC1,200680,4,69
0.617,0.762,0,-6.737,0,0.0811,0.00296,0,0.435,0.286,122.91,audio_features,36phXHOKx8rO7CMp2vNX4x,spotify:track:36phXHOKx8rO7CMp2vNX4x,https://api.spotify.com/v1/tracks/36phXHOKx8rO7CMp2vNX4x,https://api.spotify.com/v1/audio-analysis/36phXHOKx8rO7CMp2vNX4x,218773,4,70
0.675,0.736,0,-3.604,1,0.0302,0.06,0,0.0879,0.607,118.369,audio_features,7y9iMe8SOB6z3NoHE2OfXl,spotify:track:7y9iMe8SOB6z3NoHE2OfXl,https://api.spotify.com/v1/tracks/7y9iMe8SOB6z3NoHE2OfXl,https://api.spotify.com/v1/audio-analysis/7y9iMe8SOB6z3NoHE2OfXl,181279,4,86
0.385,0.866,4,-2.817,0,0.0697,0.004,0,0.111,0.551,176.014,audio_features,04aAxqtGp5pv12UXAg4pkq,spotify:track:04aAxqtGp5pv12UXAg4pkq,https://api.spotify.com/v1/tracks/04aAxqtGp5pv12UXAg4pkq,https://api.spotify.com/v1/audio-analysis/04aAxqtGp5pv12UXAg4pkq,228360,4,73
0.661,0.775,0,-2.9,0,0.085,0.118,0.000102,0.233,0.691,90.48,audio_features,4usVNbJawLF1lkExODbUCg,spotify:track:4usVNbJawLF1lkExODbUCg,https://api.spotify.com/v1/tracks/4usVNbJawLF1lkExODbUCg,https://api.spotify.com/v1/audio-analysis/4usVNbJawLF1lkExODbUCg,198107,4,14
0.667,0.624,6,-5.397,0,0.0698,0.258,0,0.145,0.39,124.012,audio_features,3lSDIJ2abCrOdDJ6pshUap,spotify:track:3lSDIJ2abCrOdDJ6pshUap,https://api.spotify.com/v1/tracks/3lSDIJ2abCrOdDJ6pshUap,https://api.spotify.com/v1/audio-analysis/3lSDIJ2abCrOdDJ6pshUap,234213,4,71
0.763,0.673,4,-4.906,1,0.201,0.127,4.86e-05,0.0751,0.554,137.937,audio_features,1eVRnmGhDPATPxz6kqWuCP,spotify:track:1eVRnmGhDPATPxz6kqWuCP,https://api.spotify.com/v1/tracks/1eVRnmGhDPATPxz6kqWuCP,https://api.spotify.com/v1/audio-analysis/1eVRnmGhDPATPxz6kqWuCP,177840,4,30
0.611,0.68,5,-6.457,0,0.0592,0.189,0,0.0644,0.231,88.97,audio_features,5xdVqHtFS0eLuNp4Z8Wbpa,spotify:track:5xdVqHtFS0eLuNp4Z8Wbpa,https://api.spotify.com/v1/tracks/5xdVqHtFS0eLuNp4Z8Wbpa,https://api.spotify.com/v1/audio-analysis/5xdVqHtFS0eLuNp4Z8Wbpa,221280,4,67
0.774,0.734,7,-5.814,1,0.0406,0.0476,0,0.0659,0.839,120.075,audio_features,1NkwZ9TnIs8js6G0M6M7RU,spotify:track:1NkwZ9TnIs8js6G0M6M7RU,https://api.spotify.com/v1/tracks/1NkwZ9TnIs8js6G0M6M7RU,https://api.spotify.com/v1/audio-analysis/1NkwZ9TnIs8js6G0M6M7RU,202480,4,69
0.59,0.671,9,-6.098,1,0.0706,0.0484,0,0.0604,0.438,149.982,audio_features,104buTcnP2AsxqB7U1FIZ4,spotify:track:104buTcnP2AsxqB7U1FIZ4,https://api.spotify.com/v1/tracks/104buTcnP2AsxqB7U1FIZ4,https://api.spotify.com/v1/audio-analysis/104buTcnP2AsxqB7U1FIZ4,169801,4,77
0.598,0.694,8,-5.075,1,0.0583,0.285,0,0.0551,0.669,157.979,audio_features,2qxaR31Te4xDR2yO6LqM8z,spotify:track:2qxaR31Te4xDR2yO6LqM8z,https://api.spotify.com/v1/tracks/2qxaR31Te4xDR2yO6LqM8z,https://api.spotify.com/v1/audio-analysis/2qxaR31Te4xDR2yO6LqM8z,198240,4,70
0.7,0.714,9,-6.295,0,0.104,0.122,0,0.0428,0.458,99.909,audio_features,52yOf7Ls1u5AO3cFIzQ58m,spotify:track:52yOf7Ls1u5AO3cFIzQ58m,https://api.spotify.com/v1/tracks/52yOf7Ls1u5AO3cFIzQ58m,https://api.spotify.com/v1/audio-analysis/52yOf7Ls1u5AO3cFIzQ58m,234308,4,62
0.621,0.551,7,-7.89,1,0.0474,0.486,0,0.115,0.222,105.052,audio_features,3FZEv9JddkjHNFiMVxJYpS,spotify:track:3FZEv9JddkjHNFiMVxJYpS,https://api.spotify.com/v1/tracks/3FZEv9JddkjHNFiMVxJYpS,https://api.spotify.com/v1/audio-analysis/3FZEv9JddkjHNFiMVxJYpS,233133,4,70
0.679,0.721,8,-5.394,1,0.0356,0.00143,0,0.195,0.658,125.02,audio_features,04zy7brGlDDrFPmhzISRzm,spotify:track:04zy7brGlDDrFPmhzISRzm,https://api.spotify.com/v1/tracks/04zy7brGlDDrFPmhzISRzm,https://api.spotify.com/v1/audio-analysis/04zy7brGlDDrFPmhzISRzm,221853,4,51
0.735,0.77,4,-4.851,1,0.143,0.112,0,0.129,0.492,97.981,audio_features,3lao2enU6pehXrEsAR8Fdr,spotify:track:3lao2enU6pehXrEsAR8Fdr,https://api.spotify.com/v1/tracks/3lao2enU6pehXrEsAR8Fdr,https://api.spotify.com/v1/audio-analysis/3lao2enU6pehXrEsAR8Fdr,208187,4,57
0.741,0.72,5,-4.702,0,0.0486,0.0334,1e-05,0.128,0.826,118.031,audio_features,2WIxwn8LZRI7knO1VbwdaE,spotify:track:2WIxwn8LZRI7knO1VbwdaE,https://api.spotify.com/v1/tracks/2WIxwn8LZRI7knO1VbwdaE,https://api.spotify.com/v1/audio-analysis/2WIxwn8LZRI7knO1VbwdaE,216947,4,54
0.708,0.734,7,-5.938,1,0.103,0.00324,0.000576,0.0792,0.664,105.997,audio_features,7fBUnDgtSvYpYWuX4iAfns,spotify:track:7fBUnDgtSvYpYWuX4iAfns,https://api.spotify.com/v1/tracks/7fBUnDgtSvYpYWuX4iAfns,https://api.spotify.com/v1/audio-analysis/7fBUnDgtSvYpYWuX4iAfns,213427,4,58
