danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.494,0.677,6,-10.233,1,0.0452,0.184,0.0258,0.0926,0.316,101.539,audio_features,11LmqTE2naFULdEP94AUBa,spotify:track:11LmqTE2naFULdEP94AUBa,https://api.spotify.com/v1/tracks/11LmqTE2naFULdEP94AUBa,https://api.spotify.com/v1/audio-analysis/11LmqTE2naFULdEP94AUBa,281160,4,67
0.354,0.825,6,-5.325,1,0.0406,0.000203,6.95e-05,0.0758,0.16,105.495,audio_features,2EoOZnxNgtmZaD8uUmz2nD,spotify:track:2EoOZnxNgtmZaD8uUmz2nD,https://api.spotify.com/v1/tracks/2EoOZnxNgtmZaD8uUmz2nD,https://api.spotify.com/v1/audio-analysis/2EoOZnxNgtmZaD8uUmz2nD,318587,4,69
0.305,0.832,6,-7.981,1,0.0398,0.000332,2.4e-05,0.091,0.585,100.677,audio_features,5sFDReWLrZHLFZFjHsjUTS,spotify:track:5sFDReWLrZHLFZFjHsjUTS,https://api.spotify.com/v1/tracks/5sFDReWLrZHLFZFjHsjUTS,https://api.spotify.com/v1/audio-analysis/5sFDReWLrZHLFZFjHsjUTS,206773,4,68
0.547,0.691,4,-13.553,0,0.0369,0.015,0.105,0.144,0.667,137.148,audio_features,4KfSdst7rW39C0sfhArdrz,spotify:track:4KfSdst7rW39C0sfhArdrz,https://api.spotify.com/v1/tracks/4KfSdst7rW39C0sfhArdrz,https://api.spotify.com/v1/audio-analysis/4KfSdst7rW39C0sfhArdrz,261933,4,69
0.381,0.675,10,-16.211,1,0.0355,6.9e-05,0.516,0.154,0.815,127.115,audio_features,5UPqy2F5n5py9dQQHj3dd5,spotify:track:5UPqy2F5n5py9dQQHj3dd5,https://api.spotify.com/v1/tracks/5UPqy2F5n5py9dQQHj3dd5,https://api.spotify.com/v1/audio-analysis/5UPqy2F5n5py9dQQHj3dd5,205667,4,34
0.515,0.534,6,-8.045,1,0.0768,0.181,0.00278,0.0547,0.426,70.776,audio_features,1Eolhana7nKHYpcYpdVcT5,spotify:track:1Eolhana7nKHYpcYpdVcT5,https://api.spotify.com/v1/tracks/1Eolhana7nKHYpcYpdVcT5,https://api.spotify.com/v1/audio-analysis/1Eolhana7nKHYpcYpdVcT5,145747,4,69
0.555,0.585,2,-6.672,1,0.0272,0.0149,0.86,0.0707,0.0803,130.004,audio_features,0vtX8UMG38p7IXpP4lZJ2z,spotify:track:0vtX8UMG38p7IXpP4lZJ2z,https://api.spotify.com/v1/tracks/0vtX8UMG38p7IXpP4lZJ2z,https://api.spotify.com/v1/audio-analysis/0vtX8UMG38p7IXpP4lZJ2z,195692,4,60
0.767,0.782,7,-5.545,1,0.14,0.0541,0,0.338,0.827,116.491,audio_features,3TKt9EoDMmKvNYpk1e6GkI,spotify:track:3TKt9EoDMmKvNYpk1e6GkI,https://api.spotify.com/v1/tracks/3TKt9EoDMmKvNYpk1e6GkI,https://api.spotify.com/v1/audio-analysis/3TKt9EoDMmKvNYpk1e6GkI,220319,4,56
0.709,0.412,8,-11.602,1,0.488,0.144,0.000101,0.0814,0.509,174.062,audio_features,5kC3aAeAh0RNAn7D6JMU94,spotify:track:5kC3aAeAh0RNAn7D6JMU94,https://api.spotify.com/v1/tracks/5kC3aAeAh0RNAn7D6JMU94,https://api.spotify.com/v1/audio-analysis/5kC3aAeAh0RNAn7D6JMU94,310187,4,45
0.82,0.29,7,-15.163,1,0.493,0.0264,0,0.343,0.525,173.036,audio_features,7MmhQMfjXPF2AnqrmbqvVB,spotify:track:7MmhQMfjXPF2AnqrmbqvVB,https://api.spotify.com/v1/tracks/7MmhQMfjXPF2AnqrmbqvVB,https://api.spotify.com/v1/audio-analysis/7MmhQMfjXPF2AnqrmbqvVB,304880,4,47
0.949,0.544,0,-5.527,1,0.059,0.161,0.000256,0.0838,0.66,113.02,audio_features,4Ggjcj08WTox4omLopoiv7,spotify:track:4Ggjcj08WTox4omLopoiv7,https://api.spotify.com/v1/tracks/4Ggjcj08WTox4omLopoiv7,https://api.spotify.com/v1/audio-analysis/4Ggjcj08WTox4omLopoiv7,195982,4,36
0.357,0.821,9,-6.641,1,0.0648,0.00242,0.065,0.107,0.56,154.382,audio_features,5AJfahYQ4mbhVMhYFznHVR,spotify:track:5AJfahYQ4mbhVMhYFznHVR,https://api.spotify.com/v1/tracks/5AJfahYQ4mbhVMhYFznHVR,https://api.spotify.com/v1/audio-analysis/5AJfahYQ4mbhVMhYFznHVR,137227,4,35
0.243,0.88,11,-4.646,0,0.0414,3.18e-05,0,0.336,0.748,178.381,audio_features,2lCStc28NuNBBIH4pLyYtb,spotify:track:2lCStc28NuNBBIH4pLyYtb,https://api.spotify.com/v1/tracks/2lCStc28NuNBBIH4pLyYtb,https://api.spotify.com/v1/audio-analysis/2lCStc28NuNBBIH4pLyYtb,125935,4,36
0.47,0.885,3,-7.224,1,0.0354,3.22e-05,0.196,0.169,0.79,138.153,audio_features,3FUsMXBxA4V7eUwQ7B0HQO,spotify:track:3FUsMXBxA4V7eUwQ7B0HQO,https://api.spotify.com/v1/tracks/3FUsMXBxA4V7eUwQ7B0HQO,https://api.spotify.com/v1/audio-analysis/3FUsMXBxA4V7eUwQ7B0HQO,215120,4,54
0.346,0.765,8,-8.558,1,0.0413,0.00229,7.54e-06,0.213,0.644,106.463,audio_features,6gZVQvQZOFpzIy3HblJ20F,spotify:track:6gZVQvQZOFpzIy3HblJ20F,https://api.spotify.com/v1/tracks/6gZVQvQZOFpzIy3HblJ20F,https://api.spotify.com/v1/audio-analysis/6gZVQvQZOFpzIy3HblJ20F,284427,4,69
0.469,0.792,7,-5.358,1,0.0554,0.00248,0.0237,0.251,0.351,100.802,audio_features,44OxoDksTnkbNXW9OxiHgg,spotify:track:44OxoDksTnkbNXW9OxiHgg,https://api.spotify.com/v1/tracks/44OxoDksTnkbNXW9OxiHgg,https://api.spotify.com/v1/audio-analysis/44OxoDksTnkbNXW9OxiHgg,206223,4,51
0.516,0.906,1,-4.525,1,0.0658,2.86e-05,0.000101,0.105,0.728,116.775,audio_features,5ghIJDpPoe3CfHMGu71E6T,spotify:track:5ghIJDpPoe3CfHMGu71E6T,https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T,https://api.spotify.com/v1/audio-analysis/5ghIJDpPoe3CfHMGu71E6T,301920,4,74
0.383,0.811,4,-7.147,0,0.0386,0.643,0.922,0.723,0.664,136.922,audio_features,6hrJCzT3uXKVudE8mapWmf,spotify:track:6hrJCzT3uXKVudE8mapWmf,https://api.spotify.com/v1/tracks/6hrJCzT3uXKVudE8mapWmf,https://api.spotify.com/v1/audio-analysis/6hrJCzT3uXKVudE8mapWmf,340440,4,27
0.369,0.613,7,-10.847,1,0.0335,0.025,4.96e-06,0.101,0.338,137.793,audio_features,0W7AbEauB7cP4pidLclApe,spotify:track:0W7AbEauB7cP4pidLclApe,https://api.spotify.com/v1/tracks/0W7AbEauB7cP4pidLclApe,https://api.spotify.com/v1/audio-analysis/0W7AbEauB7cP4pidLclApe,246267,4,60
0.455,0.29,0,-11.473,1,0.0288,0.0614,0.00225,0.101,0.169,88.523,audio_features,5EUsI3LIV042IV5ydksV9y,spotify:track:5EUsI3LIV042IV5ydksV9y,https://api.spotify.com/v1/tracks/5EUsI3LIV042IV5ydksV9y,https://api.spotify.com/v1/audio-analysis/5EUsI3LIV042IV5ydksV9y,302907,4,47
