danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0,0.687,9,-8.085,1,0,0.747,0,0,0,0,audio_features,2DhAq2iY2a3TUlf2xmovtg,spotify:track:2DhAq2iY2a3TUlf2xmovtg,https://api.spotify.com/v1/tracks/2DhAq2iY2a3TUlf2xmovtg,https://api.spotify.com/v1/audio-analysis/2DhAq2iY2a3TUlf2xmovtg,4750,0,0
0.653,0.216,4,-13.419,1,0.059,0.886,0.000478,0.0913,0.151,84.016,audio_features,4GqO5O2C3z8OTt2W2ceHqg,spotify:track:4GqO5O2C3z8OTt2W2ceHqg,https://api.spotify.com/v1/tracks/4GqO5O2C3z8OTt2W2ceHqg,https://api.spotify.com/v1/audio-analysis/4GqO5O2C3z8OTt2W2ceHqg,254491,4,41
0.577,0.486,9,-6.966,0,0.0548,0.0557,0,0.2,0.236,138.172,audio_features,7eoC95sT8KxeZGPAikDOAm,spotify:track:7eoC95sT8KxeZGPAikDOAm,https://api.spotify.com/v1/tracks/7eoC95sT8KxeZGPAikDOAm,https://api.spotify.com/v1/audio-analysis/7eoC95sT8KxeZGPAikDOAm,229160,3,53
0.689,0.747,6,-4.848,0,0.25,0.307,0,0.192,0.867,80.01,audio_features,4mQ4K94RB1IfEADP2qyfKo,spotify:track:4mQ4K94RB1IfEADP2qyfKo,https://api.spotify.com/v1/tracks/4mQ4K94RB1IfEADP2qyfKo,https://api.spotify.com/v1/audio-analysis/4mQ4K94RB1IfEADP2qyfKo,209800,4,29
0.248,0.174,0,-15.404,0,0.0294,0.909,0.24,0.161,0.0687,81.842,audio_features,08Z0ziSvYZzRvbI1DRfjEQ,spotify:track:08Z0ziSvYZzRvbI1DRfjEQ,https://api.spotify.com/v1/tracks/08Z0ziSvYZzRvbI1DRfjEQ,https://api.spotify.com/v1/audio-analysis/08Z0ziSvYZzRvbI1DRfjEQ,229347,4,41
0.32,0.279,1,-11.605,1,0.0322,0.481,0,0.111,0.151,147.918,audio_features,5dgJxyBNbmtKWaIXUaLnpn,spotify:track:5dgJxyBNbmtKWaIXUaLnpn,https://api.spotify.com/v1/tracks/5dgJxyBNbmtKWaIXUaLnpn,https://api.spotify.com/v1/audio-analysis/5dgJxyBNbmtKWaIXUaLnpn,322560,4,51
0.603,0.512,0,-5.353,1,0.0601,0.348,0,0.258,0.361,118.167,audio_features,3euILOYDltKArnqpupsE1W,spotify:track:3euILOYDltKArnqpupsE1W,https://api.spotify.com/v1/tracks/3euILOYDltKArnqpupsE1W,https://api.spotify.com/v1/audio-analysis/3euILOYDltKArnqpupsE1W,185253,4,45
0.359,0.691,4,-6.148,0,0.0373,0.179,3.85e-05,0.284,0.512,156.078,audio_features,0waaXbZlnJPEmZfD9QZk7L,spotify:track:0waaXbZlnJPEmZfD9QZk7L,https://api.spotify.com/v1/tracks/0waaXbZlnJPEmZfD9QZk7L,https://api.spotify.com/v1/audio-analysis/0waaXbZlnJPEmZfD9QZk7L,224400,4,38
0.568,0.803,2,-3.812,0,0.18,0.029,2.7e-05,0.325,0.464,173.925,audio_features,55ABlzu9QpD20cCcfKLvCL,spotify:track:55ABlzu9QpD20cCcfKLvCL,https://api.spotify.com/v1/tracks/55ABlzu9QpD20cCcfKLvCL,https://api.spotify.com/v1/audio-analysis/55ABlzu9QpD20cCcfKLvCL,185333,4,40
0.664,0.501,0,-9.589,1,0.0292,0.196,0.243,0.0955,0.165,150.039,audio_features,1szZ3bIPsIN4ok9DIrNqmJ,spotify:track:1szZ3bIPsIN4ok9DIrNqmJ,https://api.spotify.com/v1/tracks/1szZ3bIPsIN4ok9DIrNqmJ,https://api.spotify.com/v1/audio-analysis/1szZ3bIPsIN4ok9DIrNqmJ,259827,4,36
0.386,0.692,0,-5.581,1,0.0337,0.109,2.36e-06,0.383,0.183,93.795,audio_features,3l2S2RkGG4lbh7WqmCV3NB,spotify:track:3l2S2RkGG4lbh7WqmCV3NB,https://api.spotify.com/v1/tracks/3l2S2RkGG4lbh7WqmCV3NB,https://api.spotify.com/v1/audio-analysis/3l2S2RkGG4lbh7WqmCV3NB,289080,4,57
0.564,0.68,2,-6.487,1,0.0357,0.231,0.000179,0.247,0.262,89.938,audio_features,35aNHKBZWXXbL9KQK7O5Nk,spotify:track:35aNHKBZWXXbL9KQK7O5Nk,https://api.spotify.com/v1/tracks/35aNHKBZWXXbL9KQK7O5Nk,https://api.spotify.com/v1/audio-analysis/35aNHKBZWXXbL9KQK7O5Nk,226373,4,56
0.402,0.397,7,-8.011,1,0.0315,0.8,1.38e-06,0.242,0.437,124.47,audio_features,581r3gJQJ7qWpR5Mt6GsYW,spotify:track:581r3gJQJ7qWpR5Mt6GsYW,https://api.spotify.com/v1/tracks/581r3gJQJ7qWpR5Mt6GsYW,https://api.spotify.com/v1/audio-analysis/581r3gJQJ7qWpR5Mt6GsYW,147387,3,22
0.748,0.255,0,-12.26,1,0.0331,0.778,0,0.166,0.792,90.527,audio_features,4A9vozge1Z0QpJckISspFl,spotify:track:4A9vozge1Z0QpJckISspFl,https://api.spotify.com/v1/tracks/4A9vozge1Z0QpJckISspFl,https://api.spotify.com/v1/audio-analysis/4A9vozge1Z0QpJckISspFl,152903,4,23
0.58,0.259,1,-8.653,1,0.101,0.921,0.0139,0.291,0.816,138.218,audio_features,4aWWQwLzkrCVJNRPRZG43q,spotify:track:4aWWQwLzkrCVJNRPRZG43q,https://api.spotify.com/v1/tracks/4aWWQwLzkrCVJNRPRZG43q,https://api.spotify.com/v1/audio-analysis/4aWWQwLzkrCVJNRPRZG43q,163904,4,17
0.564,0.714,7,-4.987,1,0.129,0.0549,0,0.155,0.33,175.924,audio_features,37f4ITSlgPX81ad2EvmVQr,spotify:track:37f4ITSlgPX81ad2EvmVQr,https://api.spotify.com/v1/tracks/37f4ITSlgPX81ad2EvmVQr,https://api.spotify.com/v1/audio-analysis/37f4ITSlgPX81ad2EvmVQr,204013,4,75
0.368,0.64,9,-6.879,1,0.0284,0.0298,0,0.396,0.172,79.058,audio_features,2F3fPn0KmmjuLld33RWqz6,spotify:track:2F3fPn0KmmjuLld33RWqz6,https://api.spotify.com/v1/tracks/2F3fPn0KmmjuLld33RWqz6,https://api.spotify.com/v1/audio-analysis/2F3fPn0KmmjuLld33RWqz6,349680,4,27
0.545,0.256,5,-12.044,1,0.0278,0.905,0.000266,0.103,0.299,99.992,audio_features,4rkVLYy60O29XSgUmVsDso,spotify:track:4rkVLYy60O29XSgUmVsDso,https://api.spotify.com/v1/tracks/4rkVLYy60O29XSgUmVsDso,https://api.spotify.com/v1/audio-analysis/4rkVLYy60O29XSgUmVsDso,227187,4,55
0.535,0.886,11,-3.106,1,0.045,0.000304,2.26e-06,0.257,0.445,126.012,audio_features,6qYGUxPjQt5PJtWdiNppZx,spotify:track:6qYGUxPjQt5PJtWdiNppZx,https://api.spotify.com/v1/tracks/6qYGUxPjQt5PJtWdiNppZx,https://api.spotify.com/v1/audio-analysis/6qYGUxPjQt5PJtWdiNppZx,215160,4,64
0.586,0.492,0,-8.114,0,0.0251,0.335,4.38e-05,0.112,0.0916,108.007,audio_features,1sz0fuWEAcPkCfG5o7D9KP,spotify:track:1sz0fuWEAcPkCfG5o7D9KP,https://api.spotify.com/v1/tracks/1sz0fuWEAcPkCfG5o7D9KP,https://api.spotify.com/v1/audio-analysis/1sz0fuWEAcPkCfG5o7D9KP,222222,4,45
0.683,0.342,10,-11.698,1,0.025,0.748,0.000264,0.107,0.502,99.029,audio_features,6O55F5DmlUkAVK8OMZ4fhr,spotify:track:6O55F5DmlUkAVK8OMZ4fhr,https://api.spotify.com/v1/tracks/6O55F5DmlUkAVK8OMZ4fhr,https://api.spotify.com/v1/audio-analysis/6O55F5DmlUkAVK8OMZ4fhr,235333,4,35
0.706,0.456,11,-9.629,1,0.0352,0.137,0.0215,0.114,0.689,120.889,audio_features,1pfrKZONNjocJluORIj7HH,spotify:track:1pfrKZONNjocJluORIj7HH,https://api.spotify.com/v1/tracks/1pfrKZONNjocJluORIj7HH,https://api.spotify.com/v1/audio-analysis/1pfrKZONNjocJluORIj7HH,234413,4,23
0.226,0.394,8,-8.891,1,0.0316,0.579,0.387,0.252,0.206,180.469,audio_features,2KMf5RjNDIF1wDUS6Sb4Im,spotify:track:2KMf5RjNDIF1wDUS6Sb4Im,https://api.spotify.com/v1/tracks/2KMf5RjNDIF1wDUS6Sb4Im,https://api.spotify.com/v1/audio-analysis/2KMf5RjNDIF1wDUS6Sb4Im,201996,4,23
0.57,0.342,0,-19.387,1,0.0274,0.53,0.0545,0.112,0.55,112.007,audio_features,1yrtzcyqASmvweLZUxrITj,spotify:track:1yrtzcyqASmvweLZUxrITj,https://api.spotify.com/v1/tracks/1yrtzcyqASmvweLZUxrITj,https://api.spotify.com/v1/audio-analysis/1yrtzcyqASmvweLZUxrITj,250516,4,14
0.63,0.191,0,-16.063,1,0.0296,0.817,0.00974,0.118,0.264,110.068,audio_features,0HKLzcztfHW7o9b2i0PwtV,spotify:track:0HKLzcztfHW7o9b2i0PwtV,https://api.spotify.com/v1/tracks/0HKLzcztfHW7o9b2i0PwtV,https://api.spotify.com/v1/audio-analysis/0HKLzcztfHW7o9b2i0PwtV,245776,4,53
0.349,0.348,3,-6.142,1,0.0316,0.726,0,0.12,0.0886,74.541,audio_features,0HZhYMZOcUzZKSFwPOti6m,spotify:track:0HZhYMZOcUzZKSFwPOti6m,https://api.spotify.com/v1/tracks/0HZhYMZOcUzZKSFwPOti6m,https://api.spotify.com/v1/audio-analysis/0HZhYMZOcUzZKSFwPOti6m,246587,4,73
0.538,0.197,1,-13.761,0,0.0299,0.847,1.76e-05,0.0942,0.214,144.068,audio_features,4QUs5rb57awYEGxlNt5aLc,spotify:track:4QUs5rb57awYEGxlNt5aLc,https://api.spotify.com/v1/tracks/4QUs5rb57awYEGxlNt5aLc,https://api.spotify.com/v1/audio-analysis/4QUs5rb57awYEGxlNt5aLc,248849,4,49
0.442,0.7,11,-6.257,1,0.0382,0.0111,0.515,0.0943,0.223,139.982,audio_features,2Zr9u0WUTJRVe0X3hXAPVb,spotify:track:2Zr9u0WUTJRVe0X3hXAPVb,https://api.spotify.com/v1/tracks/2Zr9u0WUTJRVe0X3hXAPVb,https://api.spotify.com/v1/audio-analysis/2Zr9u0WUTJRVe0X3hXAPVb,224773,4,8
0.665,0.328,4,-8.733,1,0.0552,0.876,0.000111,0.0945,0.125,83.995,audio_features,53w16H2qCgvNCD4bHWW3GZ,spotify:track:53w16H2qCgvNCD4bHWW3GZ,https://api.spotify.com/v1/tracks/53w16H2qCgvNCD4bHWW3GZ,https://api.spotify.com/v1/audio-analysis/53w16H2qCgvNCD4bHWW3GZ,252213,4,33
0.548,0.42,0,-7.842,1,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,audio_features,7LwGBxB0h0CVmkOZxYKn0g,spotify:track:7LwGBxB0h0CVmkOZxYKn0g,https://api.spotify.com/v1/tracks/7LwGBxB0h0CVmkOZxYKn0g,https://api.spotify.com/v1/audio-analysis/7LwGBxB0h0CVmkOZxYKn0g,318909,4,64
0.776,0.573,5,-6.856,0,0.0577,0.0108,0.00138,0.0484,0.888,119.378,audio_features,450BX97elftvMhHxzDPJdy,spotify:track:450BX97elftvMhHxzDPJdy,https://api.spotify.com/v1/tracks/450BX97elftvMhHxzDPJdy,https://api.spotify.com/v1/audio-analysis/450BX97elftvMhHxzDPJdy,184893,4,34
0.661,0.72,1,-7.37,1,0.0515,0.152,0.000272,0.166,0.366,114.92,audio_features,5pSSCTDlxS86dH1skgsmNg,spotify:track:5pSSCTDlxS86dH1skgsmNg,https://api.spotify.com/v1/tracks/5pSSCTDlxS86dH1skgsmNg,https://api.spotify.com/v1/audio-analysis/5pSSCTDlxS86dH1skgsmNg,253147,4,50
0.333,0.733,0,-5.557,1,0.0382,0.146,3.13e-06,0.375,0.172,93.554,audio_features,0ICdDI5KmJilB9PW7UtVFN,spotify:track:0ICdDI5KmJilB9PW7UtVFN,https://api.spotify.com/v1/tracks/0ICdDI5KmJilB9PW7UtVFN,https://api.spotify.com/v1/audio-analysis/0ICdDI5KmJilB9PW7UtVFN,289080,4,37
0.484,0.715,2,-6.005,1,0.0478,0.0923,0,0.112,0.313,140.073,audio_features,7hIRQZhDjab4YgqkkkehV9,spotify:track:7hIRQZhDjab4YgqkkkehV9,https://api.spotify.com/v1/tracks/7hIRQZhDjab4YgqkkkehV9,https://api.spotify.com/v1/audio-analysis/7hIRQZhDjab4YgqkkkehV9,241640,4,56
0.407,0.068,9,-16.079,1,0.0347,0.988,7.96e-05,0.106,0.169,121.224,audio_features,1lNyRhmyzo1N7OWE5A0LgS,spotify:track:1lNyRhmyzo1N7OWE5A0LgS,https://api.spotify.com/v1/tracks/1lNyRhmyzo1N7OWE5A0LgS,https://api.spotify.com/v1/audio-analysis/1lNyRhmyzo1N7OWE5A0LgS,177547,3,30
0.732,0.431,11,-8.345,0,0.0288,0.0268,0,0.0756,0.417,100.004,audio_features,6ApDaOsT4ELpJHep3N7GlP,spotify:track:6ApDaOsT4ELpJHep3N7GlP,https://api.spotify.com/v1/tracks/6ApDaOsT4ELpJHep3N7GlP,https://api.spotify.com/v1/audio-analysis/6ApDaOsT4ELpJHep3N7GlP,184160,4,29
0.227,0.359,1,-7.72,1,0.0339,0.0374,1.99e-05,0.0939,0.0826,124.179,audio_features,5ujsSFARcZIO2h46dqNJtO,spotify:track:5ujsSFARcZIO2h46dqNJtO,https://api.spotify.com/v1/tracks/5ujsSFARcZIO2h46dqNJtO,https://api.spotify.com/v1/audio-analysis/5ujsSFARcZIO2h46dqNJtO,267973,3,24
0.572,0.479,6,-9.197,1,0.0247,0.774,0.00666,0.111,0.141,103.987,audio_features,27oWmec7rLcRTuSRGEM7Yj,spotify:track:27oWmec7rLcRTuSRGEM7Yj,https://api.spotify.com/v1/tracks/27oWmec7rLcRTuSRGEM7Yj,https://api.spotify.com/v1/audio-analysis/27oWmec7rLcRTuSRGEM7Yj,279289,4,19
0.564,0.78,2,-6.766,1,0.0452,0.226,0.279,0.465,0.512,83.037,audio_features,0nt09YWqPwIdYFzwmSNHSH,spotify:track:0nt09YWqPwIdYFzwmSNHSH,https://api.spotify.com/v1/tracks/0nt09YWqPwIdYFzwmSNHSH,https://api.spotify.com/v1/audio-analysis/0nt09YWqPwIdYFzwmSNHSH,222168,4,52
0.36,0.751,7,-5.249,1,0.0484,0.00243,0.00882,0.211,0.216,175.927,audio_features,6FmBGUWTmt2mCxsY7rXxgl,spotify:track:6FmBGUWTmt2mCxsY7rXxgl,https://api.spotify.com/v1/tracks/6FmBGUWTmt2mCxsY7rXxgl,https://api.spotify.com/v1/audio-analysis/6FmBGUWTmt2mCxsY7rXxgl,279427,4,30
0.336,0.487,2,-7.603,1,0.0322,0.572,2.02e-05,0.358,0.13,104.253,audio_features,7LJJgJ81ygsboveMWd50oI,spotify:track:7LJJgJ81ygsboveMWd50oI,https://api.spotify.com/v1/tracks/7LJJgJ81ygsboveMWd50oI,https://api.spotify.com/v1/audio-analysis/7LJJgJ81ygsboveMWd50oI,208000,4,43
0.502,0.445,7,-9.48,1,0.0289,0.578,0.00693,0.36,0.439,127.911,audio_features,6968lDkOb5ql5DyNYGXMXi,spotify:track:6968lDkOb5ql5DyNYGXMXi,https://api.spotify.com/v1/tracks/6968lDkOb5ql5DyNYGXMXi,https://api.spotify.com/v1/audio-analysis/6968lDkOb5ql5DyNYGXMXi,232060,4,46
0.329,0.281,0,-12.821,1,0.0345,0.658,0.786,0.114,0.0399,149.655,audio_features,16VoGwpOxDAlRErJtaE8Tk,spotify:track:16VoGwpOxDAlRErJtaE8Tk,https://api.spotify.com/v1/tracks/16VoGwpOxDAlRErJtaE8Tk,https://api.spotify.com/v1/audio-analysis/16VoGwpOxDAlRErJtaE8Tk,284013,3,29
