danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.182,0.988,9,-3.392,0,0.111,0.00011,0.887,0.433,0.0557,171.011,audio_features,0HykTfW0Y0FmjzEJuA7H8U,spotify:track:0HykTfW0Y0FmjzEJuA7H8U,https://api.spotify.com/v1/tracks/0HykTfW0Y0FmjzEJuA7H8U,https://api.spotify.com/v1/audio-analysis/0HykTfW0Y0FmjzEJuA7H8U,237960,4,51
0.427,0.896,9,-5.241,0,0.0339,0.0147,0.34,0.673,0.392,149.851,audio_features,2rpJtmeLU52N5WbR7BLfUX,spotify:track:2rpJtmeLU52N5WbR7BLfUX,https://api.spotify.com/v1/tracks/2rpJtmeLU52N5WbR7BLfUX,https://api.spotify.com/v1/audio-analysis/2rpJtmeLU52N5WbR7BLfUX,233215,4,44
0.42,0.839,0,-5.096,0,0.0373,0.00135,0.0335,0.135,0.425,80.965,audio_features,3MDvya4tKmSsyPW9oXygB4,spotify:track:3MDvya4tKmSsyPW9oXygB4,https://api.spotify.com/v1/tracks/3MDvya4tKmSsyPW9oXygB4,https://api.spotify.com/v1/audio-analysis/3MDvya4tKmSsyPW9oXygB4,333161,4,53
0.205,0.989,7,-5.904,1,0.118,0.000214,0.581,0.0611,0.0792,171.934,audio_features,6McYC6JDOxI5DqTEVKlM6w,spotify:track:6McYC6JDOxI5DqTEVKlM6w,https://api.spotify.com/v1/tracks/6McYC6JDOxI5DqTEVKlM6w,https://api.spotify.com/v1/audio-analysis/6McYC6JDOxI5DqTEVKlM6w,159213,4,17
0.343,0.669,9,-5.451,0,0.0497,0.00528,0.00131,0.38,0.22,164.17,audio_features,5qh68lbl0b4mYSK0hxQoWm,spotify:track:5qh68lbl0b4mYSK0hxQoWm,https://api.spotify.com/v1/tracks/5qh68lbl0b4mYSK0hxQoWm,https://api.spotify.com/v1/audio-analysis/5qh68lbl0b4mYSK0hxQoWm,314880,4,53
0.251,0.932,4,-4.167,0,0.159,0.0511,3.29e-05,0.642,0.229,165.253,audio_features,2AIbNaLq0rHu0R27NGiWmw,spotify:track:2AIbNaLq0rHu0R27NGiWmw,https://api.spotify.com/v1/tracks/2AIbNaLq0rHu0R27NGiWmw,https://api.spotify.com/v1/audio-analysis/2AIbNaLq0rHu0R27NGiWmw,260306,4,50
0.686,0.667,9,-10.263,1,0.0587,0.00752,0.00664,0.405,0.332,105.917,audio_features,35iLpqqQg4KrfYAzbvN1vH,spotify:track:35iLpqqQg4KrfYAzbvN1vH,https://api.spotify.com/v1/tracks/35iLpqqQg4KrfYAzbvN1vH,https://api.spotify.com/v1/audio-analysis/35iLpqqQg4KrfYAzbvN1vH,310200,4,47
0.454,0.978,11,-6.576,0,0.0849,0.0193,0.472,0.209,0.368,169.073,audio_features,7teRqWTNpFal255k5R7vex,spotify:track:7teRqWTNpFal255k5R7vex,https://api.spotify.com/v1/tracks/7teRqWTNpFal255k5R7vex,https://api.spotify.com/v1/audio-analysis/7teRqWTNpFal255k5R7vex,144291,4,36
0.33,0.991,3,-5.163,0,0.0995,2.77e-05,0.561,0.454,0.181,163.04,audio_features,5eTfRJgveqFy04s6Dmg7va,spotify:track:5eTfRJgveqFy04s6Dmg7va,https://api.spotify.com/v1/tracks/5eTfRJgveqFy04s6Dmg7va,https://api.spotify.com/v1/audio-analysis/5eTfRJgveqFy04s6Dmg7va,217133,4,44
0.333,0.851,7,-5.293,1,0.0948,0.0101,0,0.277,0.44,108.25,audio_features,1IqKlSMBlwWF0kxY2fBstA,spotify:track:1IqKlSMBlwWF0kxY2fBstA,https://api.spotify.com/v1/tracks/1IqKlSMBlwWF0kxY2fBstA,https://api.spotify.com/v1/audio-analysis/1IqKlSMBlwWF0kxY2fBstA,303093,4,48
0.4,0.914,4,-4.497,1,0.0441,0.00249,2.21e-05,0.129,0.692,139.592,audio_features,0bEwPQwwgFyCvsqLkVOWhh,spotify:track:0bEwPQwwgFyCvsqLkVOWhh,https://api.spotify.com/v1/tracks/0bEwPQwwgFyCvsqLkVOWhh,https://api.spotify.com/v1/audio-analysis/0bEwPQwwgFyCvsqLkVOWhh,201653,4,48
0.556,0.883,11,-5.742,0,0.0548,0.0184,1.57e-06,0.0754,0.33,128.09,audio_features,2dlM8Fpktvh285dJj1z9p9,spotify:track:2dlM8Fpktvh285dJj1z9p9,https://api.spotify.com/v1/tracks/2dlM8Fpktvh285dJj1z9p9,https://api.spotify.com/v1/audio-analysis/2dlM8Fpktvh285dJj1z9p9,209027,4,9
0.422,0.9,4,-4.506,0,0.0392,3.18e-06,0.448,0.0711,0.19,105.04,audio_features,1ODqwpODWefmhyPL8djaeq,spotify:track:1ODqwpODWefmhyPL8djaeq,https://api.spotify.com/v1/tracks/1ODqwpODWefmhyPL8djaeq,https://api.spotify.com/v1/audio-analysis/1ODqwpODWefmhyPL8djaeq,250269,3,52
0.436,0.606,2,-5.528,1,0.0398,0.000234,0.00163,0.1,0.283,129.905,audio_features,09ij5OncLLwnbjeRNjAuz6,spotify:track:09ij5OncLLwnbjeRNjAuz6,https://api.spotify.com/v1/tracks/09ij5OncLLwnbjeRNjAuz6,https://api.spotify.com/v1/audio-analysis/09ij5OncLLwnbjeRNjAuz6,237320,4,20
0.452,0.974,6,-2.976,1,0.0892,0.0136,0,0.336,0.318,96.938,audio_features,2bXGRGKziIwa0msWlMoZ7w,spotify:track:2bXGRGKziIwa0msWlMoZ7w,https://api.spotify.com/v1/tracks/2bXGRGKziIwa0msWlMoZ7w,https://api.spotify.com/v1/audio-analysis/2bXGRGKziIwa0msWlMoZ7w,201474,4,50
0.209,0.835,6,-7.125,0,0.0558,0.000157,0.0177,0.139,0.088,130.055,audio_features,5TLaf0MSyEjYwyIFd6j8Ec,spotify:track:5TLaf0MSyEjYwyIFd6j8Ec,https://api.spotify.com/v1/tracks/5TLaf0MSyEjYwyIFd6j8Ec,https://api.spotify.com/v1/audio-analysis/5TLaf0MSyEjYwyIFd6j8Ec,212080,3,9
0.402,0.859,1,-4.41,0,0.0466,0.0394,0,0.0745,0.514,95.31,audio_features,1aYWQrIT8XPdtV4hhUjczN,spotify:track:1aYWQrIT8XPdtV4hhUjczN,https://api.spotify.com/v1/tracks/1aYWQrIT8XPdtV4hhUjczN,https://api.spotify.com/v1/audio-analysis/1aYWQrIT8XPdtV4hhUjczN,211547,4,18
0.519,0.868,5,-4.037,0,0.0761,9.2e-05,0.000901,0.0881,0.72,174.73,audio_features,0arNrzPygksLY2pEbRgBjw,spotify:track:0arNrzPygksLY2pEbRgBjw,https://api.spotify.com/v1/tracks/0arNrzPygksLY2pEbRgBjw,https://api.spotify.com/v1/audio-analysis/0arNrzPygksLY2pEbRgBjw,219267,4,53
0.239,0.941,2,-4.535,0,0.0967,2.3e-05,2.38e-06,0.327,0.223,81.844,audio_features,0C71NJD4BhvPopTwI7a8KV,spotify:track:0C71NJD4BhvPopTwI7a8KV,https://api.spotify.com/v1/tracks/0C71NJD4BhvPopTwI7a8KV,https://api.spotify.com/v1/audio-analysis/0C71NJD4BhvPopTwI7a8KV,192787,3,53
