danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.422,0.895,6,-6.207,1,0.0359,1.06e-05,0.0257,0.188,0.824,91.34,audio_features,7FpFV1oQhhZm6Vyj7K5FcS,spotify:track:7FpFV1oQhhZm6Vyj7K5FcS,https://api.spotify.com/v1/tracks/7FpFV1oQhhZm6Vyj7K5FcS,https://api.spotify.com/v1/audio-analysis/7FpFV1oQhhZm6Vyj7K5FcS,153173,4,33
0.215,0.987,7,-4.598,1,0.0975,0.00163,0,0.146,0.287,182.598,audio_features,7Dj01umonxmUOIHKdusZi7,spotify:track:7Dj01umonxmUOIHKdusZi7,https://api.spotify.com/v1/tracks/7Dj01umonxmUOIHKdusZi7,https://api.spotify.com/v1/audio-analysis/7Dj01umonxmUOIHKdusZi7,142587,4,29
0.267,0.932,5,-5.454,1,0.102,7.94e-05,0.482,0.308,0.196,82.672,audio_features,5o4ZaZnfWGRr7GWXU4LsXm,spotify:track:5o4ZaZnfWGRr7GWXU4LsXm,https://api.spotify.com/v1/tracks/5o4ZaZnfWGRr7GWXU4LsXm,https://api.spotify.com/v1/audio-analysis/5o4ZaZnfWGRr7GWXU4LsXm,220453,4,25
0.32,0.946,11,-5.289,1,0.114,0.000421,0,0.152,0.134,76.69,audio_features,41A2Hv0SEKnse3TWVuxADF,spotify:track:41A2Hv0SEKnse3TWVuxADF,https://api.spotify.com/v1/tracks/41A2Hv0SEKnse3TWVuxADF,https://api.spotify.com/v1/audio-analysis/41A2Hv0SEKnse3TWVuxADF,216600,4,34
0.322,0.969,7,-5.852,1,0.055,4.62e-06,0.145,0.11,0.0367,119.861,audio_features,35MYAs5EQtZ9c5NLlZammA,spotify:track:35MYAs5EQtZ9c5NLlZammA,https://api.spotify.com/v1/tracks/35MYAs5EQtZ9c5NLlZammA,https://api.spotify.com/v1/audio-analysis/35MYAs5EQtZ9c5NLlZammA,212573,4,27
0.362,0.886,10,-5.877,1,0.101,2.04e-05,0.0239,0.132,0.229,120.071,audio_features,5JI4HbkaBL3ueJ2sXur0b3,spotify:track:5JI4HbkaBL3ueJ2sXur0b3,https://api.spotify.com/v1/tracks/5JI4HbkaBL3ueJ2sXur0b3,https://api.spotify.com/v1/audio-analysis/5JI4HbkaBL3ueJ2sXur0b3,236747,4,3
0.238,0.994,4,-5.618,1,0.276,0.0149,0.1,0.514,0.266,199.66,audio_features,0AaoUCJLOhCiiMEWVNAc5C,spotify:track:0AaoUCJLOhCiiMEWVNAc5C,https://api.spotify.com/v1/tracks/0AaoUCJLOhCiiMEWVNAc5C,https://api.spotify.com/v1/audio-analysis/0AaoUCJLOhCiiMEWVNAc5C,96053,4,28
0.591,0.977,2,-3.722,1,0.0517,0.00454,0,0.264,0.444,82.513,audio_features,4Z4W0zIwGr9eJ40opS0t2C,spotify:track:4Z4W0zIwGr9eJ40opS0t2C,https://api.spotify.com/v1/tracks/4Z4W0zIwGr9eJ40opS0t2C,https://api.spotify.com/v1/audio-analysis/4Z4W0zIwGr9eJ40opS0t2C,170453,4,32
0.303,0.987,7,-1.502,1,0.161,0.000235,0,0.257,0.247,96.607,audio_features,4WN54cERPExpnOs1adL5nB,spotify:track:4WN54cERPExpnOs1adL5nB,https://api.spotify.com/v1/tracks/4WN54cERPExpnOs1adL5nB,https://api.spotify.com/v1/audio-analysis/4WN54cERPExpnOs1adL5nB,181227,4,32
0.344,0.888,0,-7.248,1,0.0911,0.013,5.2e-06,0.0764,0.467,186.63,audio_features,1caybCua72nNZzvFYQ3Yzy,spotify:track:1caybCua72nNZzvFYQ3Yzy,https://api.spotify.com/v1/tracks/1caybCua72nNZzvFYQ3Yzy,https://api.spotify.com/v1/audio-analysis/1caybCua72nNZzvFYQ3Yzy,170213,4,32
0.298,0.983,6,-6.566,0,0.464,0.00128,5.63e-05,0.78,0.106,89.629,audio_features,3eI2C0gohXlg4AsavdYSiz,spotify:track:3eI2C0gohXlg4AsavdYSiz,https://api.spotify.com/v1/tracks/3eI2C0gohXlg4AsavdYSiz,https://api.spotify.com/v1/audio-analysis/3eI2C0gohXlg4AsavdYSiz,284067,4,41
0.218,0.947,0,-5.188,1,0.135,0.00117,0,0.127,0.234,196.76,audio_features,4cMbAP64BETo4dBW8GUwYD,spotify:track:4cMbAP64BETo4dBW8GUwYD,https://api.spotify.com/v1/tracks/4cMbAP64BETo4dBW8GUwYD,https://api.spotify.com/v1/audio-analysis/4cMbAP64BETo4dBW8GUwYD,214667,4,45
0.44,0.971,2,-4.349,1,0.0615,0.00012,0.777,0.0312,0.263,75.748,audio_features,6ltuf6egc9J496H2JyvSq7,spotify:track:6ltuf6egc9J496H2JyvSq7,https://api.spotify.com/v1/tracks/6ltuf6egc9J496H2JyvSq7,https://api.spotify.com/v1/audio-analysis/6ltuf6egc9J496H2JyvSq7,196680,4,25
