danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.333,0.979,8,-5.667,1,0.138,0.000334,0.00114,0.0715,0.191,104.487,audio_features,20PWrCBYBEzt8wu68p5cvd,spotify:track:20PWrCBYBEzt8wu68p5cvd,https://api.spotify.com/v1/tracks/20PWrCBYBEzt8wu68p5cvd,https://api.spotify.com/v1/audio-analysis/20PWrCBYBEzt8wu68p5cvd,145467,4,1
0.544,0.979,7,-3.965,1,0.092,0.000104,0.000207,0.628,0.253,129.979,audio_features,7nCo27psPn6Ths9FjhwrXL,spotify:track:7nCo27psPn6Ths9FjhwrXL,https://api.spotify.com/v1/tracks/7nCo27psPn6Ths9FjhwrXL,https://api.spotify.com/v1/audio-analysis/7nCo27psPn6Ths9FjhwrXL,232738,4,37
0.42,0.987,8,-2.989,1,0.0544,0.000242,0.00129,0.0788,0.863,154.904,audio_features,0NOeQZv6Q7lPw8M0fEFwB4,spotify:track:0NOeQZv6Q7lPw8M0fEFwB4,https://api.spotify.com/v1/tracks/0NOeQZv6Q7lPw8M0fEFwB4,https://api.spotify.com/v1/audio-analysis/0NOeQZv6Q7lPw8M0fEFwB4,111453,4,34
0.591,0.95,0,-3.156,1,0.0491,0.000383,0.000242,0.121,0.653,99.989,audio_features,7brekJbApEyvHnNXkRhfNV,spotify:track:7brekJbApEyvHnNXkRhfNV,https://api.spotify.com/v1/tracks/7brekJbApEyvHnNXkRhfNV,https://api.spotify.com/v1/audio-analysis/7brekJbApEyvHnNXkRhfNV,176013,4,41
0.41,0.974,10,-4.108,0,0.0595,0.000286,0.0586,0.309,0.596,168.88,audio_features,3DkT0itDyjPhvcNoi7mfFP,spotify:track:3DkT0itDyjPhvcNoi7mfFP,https://api.spotify.com/v1/tracks/3DkT0itDyjPhvcNoi7mfFP,https://api.spotify.com/v1/audio-analysis/3DkT0itDyjPhvcNoi7mfFP,169320,4,36
0.288,0.987,8,-5.921,1,0.0657,0.00163,1.6e-05,0.209,0.618,188.856,audio_features,6vrAwRBv1LwT9F33wmN9Fd,spotify:track:6vrAwRBv1LwT9F33wmN9Fd,https://api.spotify.com/v1/tracks/6vrAwRBv1LwT9F33wmN9Fd,https://api.spotify.com/v1/audio-analysis/6vrAwRBv1LwT9F33wmN9Fd,186707,4,1
0.476,0.948,1,-5.15,1,0.048,0.00351,0.000224,0.161,0.726,105.467,audio_features,4hHP27hhgPsqbJJHToD9WJ,spotify:track:4hHP27hhgPsqbJJHToD9WJ,https://api.spotify.com/v1/tracks/4hHP27hhgPsqbJJHToD9WJ,https://api.spotify.com/v1/audio-analysis/4hHP27hhgPsqbJJHToD9WJ,201907,4,41
0.236,0.976,8,-3.482,1,0.147,0.00415,4.15e-06,0.18,0.266,172.713,audio_features,3JTQe7ek31DCy9glNCL5Xe,spotify:track:3JTQe7ek31DCy9glNCL5Xe,https://api.spotify.com/v1/tracks/3JTQe7ek31DCy9glNCL5Xe,https://api.spotify.com/v1/audio-analysis/3JTQe7ek31DCy9glNCL5Xe,131160,4,47
0.486,0.971,2,-3.294,1,0.0694,0.00335,0,0.389,0.377,100.264,audio_features,4D7sweC53ikn2HrABdrvdm,spotify:track:4D7sweC53ikn2HrABdrvdm,https://api.spotify.com/v1/tracks/4D7sweC53ikn2HrABdrvdm,https://api.spotify.com/v1/audio-analysis/4D7sweC53ikn2HrABdrvdm,209627,4,3
0.434,0.963,9,-3.548,1,0.111,0.000422,0,0.0623,0.497,159.987,audio_features,5SVY0t6orJXSjXdpPvmuSy,spotify:track:5SVY0t6orJXSjXdpPvmuSy,https://api.spotify.com/v1/tracks/5SVY0t6orJXSjXdpPvmuSy,https://api.spotify.com/v1/audio-analysis/5SVY0t6orJXSjXdpPvmuSy,188379,4,51
0.298,0.991,10,-3.913,0,0.0927,7.53e-06,0.000946,0.116,0.569,195.873,audio_features,2Lnywi4yWWkrGaSTaBy2ho,spotify:track:2Lnywi4yWWkrGaSTaBy2ho,https://api.spotify.com/v1/tracks/2Lnywi4yWWkrGaSTaBy2ho,https://api.spotify.com/v1/audio-analysis/2Lnywi4yWWkrGaSTaBy2ho,140535,4,39
0.554,0.908,9,-3.572,1,0.0436,0.0149,0,0.262,0.597,105.862,audio_features,3Obxz980GJnoElXiPPL5Aq,spotify:track:3Obxz980GJnoElXiPPL5Aq,https://api.spotify.com/v1/tracks/3Obxz980GJnoElXiPPL5Aq,https://api.spotify.com/v1/audio-analysis/3Obxz980GJnoElXiPPL5Aq,134304,4,35
0.438,0.995,9,-1.609,0,0.245,0.015,0.000204,0.0806,0.327,164.913,audio_features,4CrVYTFuY0XOUcfybiYnwC,spotify:track:4CrVYTFuY0XOUcfybiYnwC,https://api.spotify.com/v1/tracks/4CrVYTFuY0XOUcfybiYnwC,https://api.spotify.com/v1/audio-analysis/4CrVYTFuY0XOUcfybiYnwC,158312,4,32
0.233,0.94,7,-5.938,1,0.0676,7.56e-06,0.0129,0.366,0.355,179.191,audio_features,2OQpi9tMtoLJMC8wilB4Cs,spotify:track:2OQpi9tMtoLJMC8wilB4Cs,https://api.spotify.com/v1/tracks/2OQpi9tMtoLJMC8wilB4Cs,https://api.spotify.com/v1/audio-analysis/2OQpi9tMtoLJMC8wilB4Cs,239947,4,33
0.509,0.916,8,-4.503,1,0.0629,0.00022,1.76e-06,0.379,0.431,104.918,audio_features,35nEkikOIxBxdqhdFG0awu,spotify:track:35nEkikOIxBxdqhdFG0awu,https://api.spotify.com/v1/tracks/35nEkikOIxBxdqhdFG0awu,https://api.spotify.com/v1/audio-analysis/35nEkikOIxBxdqhdFG0awu,205107,4,40
0.39,0.952,1,-4.888,1,0.0748,6.24e-05,0.0001,0.316,0.556,96.013,audio_features,5Ksqqn5em0rkZwEWt8SK8i,spotify:track:5Ksqqn5em0rkZwEWt8SK8i,https://api.spotify.com/v1/tracks/5Ksqqn5em0rkZwEWt8SK8i,https://api.spotify.com/v1/audio-analysis/5Ksqqn5em0rkZwEWt8SK8i,184013,4,33
0.396,0.994,4,-4.054,0,0.0654,6.13e-06,0.00619,0.095,0.393,157.981,audio_features,5MmSFHzMlcW6UUWIWTjA6q,spotify:track:5MmSFHzMlcW6UUWIWTjA6q,https://api.spotify.com/v1/tracks/5MmSFHzMlcW6UUWIWTjA6q,https://api.spotify.com/v1/audio-analysis/5MmSFHzMlcW6UUWIWTjA6q,188496,4,39
0.434,0.983,8,-2.551,1,0.0842,0.00328,0,0.121,0.604,180.025,audio_features,0Cx6la75FkMUsouQERqlYy,spotify:track:0Cx6la75FkMUsouQERqlYy,https://api.spotify.com/v1/tracks/0Cx6la75FkMUsouQERqlYy,https://api.spotify.com/v1/audio-analysis/0Cx6la75FkMUsouQERqlYy,152360,4,47
0.42,0.952,7,-4.93,1,0.257,0.00115,5.72e-05,0.294,0.511,191.977,audio_features,4rLKjYqJjLU0Odg52kGL2O,spotify:track:4rLKjYqJjLU0Odg52kGL2O,https://api.spotify.com/v1/tracks/4rLKjYqJjLU0Odg52kGL2O,https://api.spotify.com/v1/audio-analysis/4rLKjYqJjLU0Odg52kGL2O,158733,4,49
0.524,0.887,1,-5.223,1,0.0444,0.000248,0,0.142,0.872,95.337,audio_features,2Vn39QLQ2iYyj9vGJlSFYb,spotify:track:2Vn39QLQ2iYyj9vGJlSFYb,https://api.spotify.com/v1/tracks/2Vn39QLQ2iYyj9vGJlSFYb,https://api.spotify.com/v1/audio-analysis/2Vn39QLQ2iYyj9vGJlSFYb,167107,4,34
0.365,0.954,0,-2.761,1,0.0471,0.00186,2.44e-05,0.4,0.762,180.008,audio_features,67GFjGSU7i6702iLyqalHm,spotify:track:67GFjGSU7i6702iLyqalHm,https://api.spotify.com/v1/tracks/67GFjGSU7i6702iLyqalHm,https://api.spotify.com/v1/audio-analysis/67GFjGSU7i6702iLyqalHm,186761,4,32
0.247,0.982,3,-3.524,0,0.0863,4.02e-05,5.48e-05,0.119,0.461,201.833,audio_features,0ziRMfe23VgL3Gp619AXU4,spotify:track:0ziRMfe23VgL3Gp619AXU4,https://api.spotify.com/v1/tracks/0ziRMfe23VgL3Gp619AXU4,https://api.spotify.com/v1/audio-analysis/0ziRMfe23VgL3Gp619AXU4,198400,4,43
0.228,0.958,6,-4.698,1,0.118,7.31e-05,6.54e-05,0.0615,0.237,91.536,audio_features,5Wnzey5O2ieRHhoqod0dCq,spotify:track:5Wnzey5O2ieRHhoqod0dCq,https://api.spotify.com/v1/tracks/5Wnzey5O2ieRHhoqod0dCq,https://api.spotify.com/v1/audio-analysis/5Wnzey5O2ieRHhoqod0dCq,213653,4,19
0.501,0.972,9,-3.997,0,0.0341,2.93e-05,0.000141,0.191,0.696,94.987,audio_features,3JeMY2mw8gN7aOnBaqipwj,spotify:track:3JeMY2mw8gN7aOnBaqipwj,https://api.spotify.com/v1/tracks/3JeMY2mw8gN7aOnBaqipwj,https://api.spotify.com/v1/audio-analysis/3JeMY2mw8gN7aOnBaqipwj,147453,4,34
0.411,0.947,1,-5.98,1,0.084,0.000531,2.05e-06,0.188,0.133,97.045,audio_features,40d8LIT3dqTPF1dRsU2qvl,spotify:track:40d8LIT3dqTPF1dRsU2qvl,https://api.spotify.com/v1/tracks/40d8LIT3dqTPF1dRsU2qvl,https://api.spotify.com/v1/audio-analysis/40d8LIT3dqTPF1dRsU2qvl,77300,4,33
0.524,0.977,7,-4.901,1,0.199,9.69e-05,0.00757,0.249,0.349,110.928,audio_features,50eMRwAtCsJgtgr7BtpQuA,spotify:track:50eMRwAtCsJgtgr7BtpQuA,https://api.spotify.com/v1/tracks/50eMRwAtCsJgtgr7BtpQuA,https://api.spotify.com/v1/audio-analysis/50eMRwAtCsJgtgr7BtpQuA,182052,4,34
0.48,0.875,9,-4.088,1,0.0407,0.000661,0.000981,0.0568,0.919,94.739,audio_features,6ahkwnN7e9IbwLNkHGVtWP,spotify:track:6ahkwnN7e9IbwLNkHGVtWP,https://api.spotify.com/v1/tracks/6ahkwnN7e9IbwLNkHGVtWP,https://api.spotify.com/v1/audio-analysis/6ahkwnN7e9IbwLNkHGVtWP,142843,4,37
0.614,0.951,7,-2.478,1,0.0742,0.02,0,0.0528,0.943,167.019,audio_features,3MXxV2BQjMEhZmTtLkIOPz,spotify:track:3MXxV2BQjMEhZmTtLkIOPz,https://api.spotify.com/v1/tracks/3MXxV2BQjMEhZmTtLkIOPz,https://api.spotify.com/v1/audio-analysis/3MXxV2BQjMEhZmTtLkIOPz,143547,4,51
0.39,0.986,8,-3.559,1,0.221,0.000293,0.00062,0.349,0.292,179.808,audio_features,4dP6bjb3kQChukwgxYMjHe,spotify:track:4dP6bjb3kQChukwgxYMjHe,https://api.spotify.com/v1/tracks/4dP6bjb3kQChukwgxYMjHe,https://api.spotify.com/v1/audio-analysis/4dP6bjb3kQChukwgxYMjHe,191525,4,34
0.458,0.928,1,-5.696,1,0.159,0.00231,0,0.301,0.596,89.541,audio_features,4UedtWlXGpIYoVehzib4M7,spotify:track:4UedtWlXGpIYoVehzib4M7,https://api.spotify.com/v1/tracks/4UedtWlXGpIYoVehzib4M7,https://api.spotify.com/v1/audio-analysis/4UedtWlXGpIYoVehzib4M7,197520,4,40
0.563,0.952,4,-3.64,1,0.0962,0.00146,2.16e-06,0.348,0.744,124.455,audio_features,0Yk3FzkNpuZUYY59j9p6eN,spotify:track:0Yk3FzkNpuZUYY59j9p6eN,https://api.spotify.com/v1/tracks/0Yk3FzkNpuZUYY59j9p6eN,https://api.spotify.com/v1/audio-analysis/0Yk3FzkNpuZUYY59j9p6eN,133987,4,55
0.448,0.972,8,-3.687,0,0.0978,0.000414,2.25e-05,0.316,0.414,87.472,audio_features,3vZyQPFqNSYjATdeBLLEx0,spotify:track:3vZyQPFqNSYjATdeBLLEx0,https://api.spotify.com/v1/tracks/3vZyQPFqNSYjATdeBLLEx0,https://api.spotify.com/v1/audio-analysis/3vZyQPFqNSYjATdeBLLEx0,206160,4,32
0.419,0.945,4,-5.406,1,0.119,0.0985,0.0121,0.23,0.695,181.175,audio_features,2F5r18ZlLUBqnt0jjhhETm,spotify:track:2F5r18ZlLUBqnt0jjhhETm,https://api.spotify.com/v1/tracks/2F5r18ZlLUBqnt0jjhhETm,https://api.spotify.com/v1/audio-analysis/2F5r18ZlLUBqnt0jjhhETm,194760,4,55
0.344,0.972,11,-3.675,0,0.116,8.48e-05,0,0.293,0.387,167.819,audio_features,4XOZaPYeMn9hcbpyS90NnD,spotify:track:4XOZaPYeMn9hcbpyS90NnD,https://api.spotify.com/v1/tracks/4XOZaPYeMn9hcbpyS90NnD,https://api.spotify.com/v1/audio-analysis/4XOZaPYeMn9hcbpyS90NnD,208187,4,59
0.623,0.917,10,-3.108,1,0.0533,0.0165,2.57e-05,0.0915,0.927,91.477,audio_features,2MWC3IWfhh3IteOUPbtogB,spotify:track:2MWC3IWfhh3IteOUPbtogB,https://api.spotify.com/v1/tracks/2MWC3IWfhh3IteOUPbtogB,https://api.spotify.com/v1/audio-analysis/2MWC3IWfhh3IteOUPbtogB,205723,4,52
