danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.568,0.417,0,-6.737,1,0.171,0.679,0.0895,0.105,0.876,176.844,audio_features,2iTCSbVD34S00OVlQDqU5j,spotify:track:2iTCSbVD34S00OVlQDqU5j,https://api.spotify.com/v1/tracks/2iTCSbVD34S00OVlQDqU5j,https://api.spotify.com/v1/audio-analysis/2iTCSbVD34S00OVlQDqU5j,157973,4,37
0.696,0.549,5,-8.829,1,0.0824,0.599,1.73e-05,0.131,0.801,75.121,audio_features,4vHht02zVM8vnK8I3gwhX7,spotify:track:4vHht02zVM8vnK8I3gwhX7,https://api.spotify.com/v1/tracks/4vHht02zVM8vnK8I3gwhX7,https://api.spotify.com/v1/audio-analysis/4vHht02zVM8vnK8I3gwhX7,206173,4,38
0.617,0.548,7,-8.113,1,0.0479,0.447,0.0207,0.0854,0.881,126.495,audio_features,3HWPrduj1Nv7woSyLV3lDy,spotify:track:3HWPrduj1Nv7woSyLV3lDy,https://api.spotify.com/v1/tracks/3HWPrduj1Nv7woSyLV3lDy,https://api.spotify.com/v1/audio-analysis/3HWPrduj1Nv7woSyLV3lDy,149600,4,35
0.856,0.79,7,-4.28,1,0.04,0.319,4.55e-05,0.214,0.968,127.89,audio_features,6rz9vltqGd9sVgdSCQpeoV,spotify:track:6rz9vltqGd9sVgdSCQpeoV,https://api.spotify.com/v1/tracks/6rz9vltqGd9sVgdSCQpeoV,https://api.spotify.com/v1/audio-analysis/6rz9vltqGd9sVgdSCQpeoV,161533,4,33
0.802,0.458,10,-10.93,1,0.0568,0.759,0.851,0.113,0.701,98.593,audio_features,3z2MqPZ6G0HodVUV5uQgit,spotify:track:3z2MqPZ6G0HodVUV5uQgit,https://api.spotify.com/v1/tracks/3z2MqPZ6G0HodVUV5uQgit,https://api.spotify.com/v1/audio-analysis/3z2MqPZ6G0HodVUV5uQgit,160547,4,33
0.761,0.356,0,-8.551,1,0.0477,0.569,0.0396,0.0984,0.758,86.444,audio_features,0QnfRr36zan90XcQ2Ezewz,spotify:track:0QnfRr36zan90XcQ2Ezewz,https://api.spotify.com/v1/tracks/0QnfRr36zan90XcQ2Ezewz,https://api.spotify.com/v1/audio-analysis/0QnfRr36zan90XcQ2Ezewz,156840,4,22
0.744,0.555,3,-6.744,1,0.0321,0.758,0,0.108,0.775,121.241,audio_features,4JQpitLVXqnPGKFKaOI4kW,spotify:track:4JQpitLVXqnPGKFKaOI4kW,https://api.spotify.com/v1/tracks/4JQpitLVXqnPGKFKaOI4kW,https://api.spotify.com/v1/audio-analysis/4JQpitLVXqnPGKFKaOI4kW,169333,4,4
0.795,0.291,9,-11.147,1,0.0501,0.594,0.000106,0.0532,0.914,105.123,audio_features,4Nb43yyzlpANYmNrjxykKx,spotify:track:4Nb43yyzlpANYmNrjxykKx,https://api.spotify.com/v1/tracks/4Nb43yyzlpANYmNrjxykKx,https://api.spotify.com/v1/audio-analysis/4Nb43yyzlpANYmNrjxykKx,151760,4,35
0.793,0.742,0,-7.123,1,0.037,0.0655,0,0.142,0.971,124.101,audio_features,2f5ZBl9lzXKLKcKxeauyPp,spotify:track:2f5ZBl9lzXKLKcKxeauyPp,https://api.spotify.com/v1/tracks/2f5ZBl9lzXKLKcKxeauyPp,https://api.spotify.com/v1/audio-analysis/2f5ZBl9lzXKLKcKxeauyPp,165560,4,35
0.685,0.493,2,-8.25,0,0.0535,0.557,0.847,0.0437,0.487,166.643,audio_features,0oqZTFzrWuJyJBOyx2FS3j,spotify:track:0oqZTFzrWuJyJBOyx2FS3j,https://api.spotify.com/v1/tracks/0oqZTFzrWuJyJBOyx2FS3j,https://api.spotify.com/v1/audio-analysis/0oqZTFzrWuJyJBOyx2FS3j,132507,4,33
0.739,0.523,3,-5.988,1,0.0854,0.135,0,0.111,0.944,98.642,audio_features,3xSaSNc8AdF0P6MCiYL1Me,spotify:track:3xSaSNc8AdF0P6MCiYL1Me,https://api.spotify.com/v1/tracks/3xSaSNc8AdF0P6MCiYL1Me,https://api.spotify.com/v1/audio-analysis/3xSaSNc8AdF0P6MCiYL1Me,167173,4,33
0.725,0.699,7,-4.536,0,0.0498,0.206,0.0013,0.0695,0.781,87.788,audio_features,3mL3yUVgAajzONDlP0BbDW,spotify:track:3mL3yUVgAajzONDlP0BbDW,https://api.spotify.com/v1/tracks/3mL3yUVgAajzONDlP0BbDW,https://api.spotify.com/v1/audio-analysis/3mL3yUVgAajzONDlP0BbDW,221053,4,34
0.746,0.458,7,-10.538,1,0.0392,0.568,0.00111,0.108,0.857,106.599,audio_features,00OWEz3Z4t6EPZsh7Hi4Fk,spotify:track:00OWEz3Z4t6EPZsh7Hi4Fk,https://api.spotify.com/v1/tracks/00OWEz3Z4t6EPZsh7Hi4Fk,https://api.spotify.com/v1/audio-analysis/00OWEz3Z4t6EPZsh7Hi4Fk,255267,4,34
0.776,0.423,9,-10.129,1,0.126,0.486,0.731,0.0656,0.818,166.741,audio_features,6vGhyZvt0jbLb06wrFnB3K,spotify:track:6vGhyZvt0jbLb06wrFnB3K,https://api.spotify.com/v1/tracks/6vGhyZvt0jbLb06wrFnB3K,https://api.spotify.com/v1/audio-analysis/6vGhyZvt0jbLb06wrFnB3K,122773,4,2
0.785,0.531,6,-14.137,1,0.0548,0.275,0.155,0.131,0.932,142.492,audio_features,6ObB3ZyEvBhS63dnJq8Usl,spotify:track:6ObB3ZyEvBhS63dnJq8Usl,https://api.spotify.com/v1/tracks/6ObB3ZyEvBhS63dnJq8Usl,https://api.spotify.com/v1/audio-analysis/6ObB3ZyEvBhS63dnJq8Usl,211467,4,8
0.534,0.623,5,-5.167,0,0.281,0.108,1.33e-06,0.283,0.97,153.489,audio_features,3NkNPO35ZtRaNHqBY2fj1y,spotify:track:3NkNPO35ZtRaNHqBY2fj1y,https://api.spotify.com/v1/tracks/3NkNPO35ZtRaNHqBY2fj1y,https://api.spotify.com/v1/audio-analysis/3NkNPO35ZtRaNHqBY2fj1y,135960,4,33
0.698,0.293,0,-11.202,1,0.0384,0.939,0.526,0.191,0.582,85.718,audio_features,7mavHEgkrNLqIzlA5wxd5n,spotify:track:7mavHEgkrNLqIzlA5wxd5n,https://api.spotify.com/v1/tracks/7mavHEgkrNLqIzlA5wxd5n,https://api.spotify.com/v1/audio-analysis/7mavHEgkrNLqIzlA5wxd5n,211173,4,31
