danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.572,0.585,11,-4.506,0,0.118,0.139,0,0.0778,0.411,136.003,audio_features,6hPG9EjJ2NwmWvIzndbPzK,spotify:track:6hPG9EjJ2NwmWvIzndbPzK,https://api.spotify.com/v1/tracks/6hPG9EjJ2NwmWvIzndbPzK,https://api.spotify.com/v1/audio-analysis/6hPG9EjJ2NwmWvIzndbPzK,224427,4,0
0.553,0.655,6,-7.139,1,0.0593,0.515,0.00699,0.135,0.326,124.073,audio_features,6rF4yxBkOORIyPsKlVdiOP,spotify:track:6rF4yxBkOORIyPsKlVdiOP,https://api.spotify.com/v1/tracks/6rF4yxBkOORIyPsKlVdiOP,https://api.spotify.com/v1/audio-analysis/6rF4yxBkOORIyPsKlVdiOP,220667,4,0
0.625,0.548,5,-11.189,0,0.365,0.245,0,0.111,0.517,100.11,audio_features,5A8EYS9Z4hz4EmtU8W8kI3,spotify:track:5A8EYS9Z4hz4EmtU8W8kI3,https://api.spotify.com/v1/tracks/5A8EYS9Z4hz4EmtU8W8kI3,https://api.spotify.com/v1/audio-analysis/5A8EYS9Z4hz4EmtU8W8kI3,196436,4,72
0.443,0.449,9,-6.798,1,0.0564,0.784,0,0.109,0.511,124.797,audio_features,4E3FwGMzfnpG5TScXYUiaZ,spotify:track:4E3FwGMzfnpG5TScXYUiaZ,https://api.spotify.com/v1/tracks/4E3FwGMzfnpG5TScXYUiaZ,https://api.spotify.com/v1/audio-analysis/4E3FwGMzfnpG5TScXYUiaZ,197191,3,61
0.796,0.438,6,-7.374,0,0.157,0.298,0.0135,0.146,0.442,149.998,audio_features,1kot2lDXaF496sebPI8Bz9,spotify:track:1kot2lDXaF496sebPI8Bz9,https://api.spotify.com/v1/tracks/1kot2lDXaF496sebPI8Bz9,https://api.spotify.com/v1/audio-analysis/1kot2lDXaF496sebPI8Bz9,188985,4,65
0.743,0.624,6,-7.403,0,0.0484,0.335,0,0.469,0.713,126.056,audio_features,2pg2TiYo9Rb8KeB5JjP7jS,spotify:track:2pg2TiYo9Rb8KeB5JjP7jS,https://api.spotify.com/v1/tracks/2pg2TiYo9Rb8KeB5JjP7jS,https://api.spotify.com/v1/audio-analysis/2pg2TiYo9Rb8KeB5JjP7jS,276960,4,72
0.461,0.653,6,-8.617,1,0.327,0.158,0,0.197,0.588,81.628,audio_features,2F1GDrbrhsU8oLwA4n7vxc,spotify:track:2F1GDrbrhsU8oLwA4n7vxc,https://api.spotify.com/v1/tracks/2F1GDrbrhsU8oLwA4n7vxc,https://api.spotify.com/v1/audio-analysis/2F1GDrbrhsU8oLwA4n7vxc,322000,1,46
0.606,0.24,3,-7.102,1,0.0369,0.772,0,0.0819,0.526,96.792,audio_features,5QTdOvIF2ehBMZpSIIGzIo,spotify:track:5QTdOvIF2ehBMZpSIIGzIo,https://api.spotify.com/v1/tracks/5QTdOvIF2ehBMZpSIIGzIo,https://api.spotify.com/v1/audio-analysis/5QTdOvIF2ehBMZpSIIGzIo,199210,4,68
0.767,0.521,2,-5.219,1,0.0383,0.0434,0,0.0809,0.158,104.075,audio_features,7q3MO0uyC3OEtbBYzdB26d,spotify:track:7q3MO0uyC3OEtbBYzdB26d,https://api.spotify.com/v1/tracks/7q3MO0uyC3OEtbBYzdB26d,https://api.spotify.com/v1/audio-analysis/7q3MO0uyC3OEtbBYzdB26d,375524,4,73
0.704,0.509,7,-5.424,0,0.0846,0.0698,0,0.119,0.263,135.94,audio_features,3a47kZzXjTMcSCxHnyO5e8,spotify:track:3a47kZzXjTMcSCxHnyO5e8,https://api.spotify.com/v1/tracks/3a47kZzXjTMcSCxHnyO5e8,https://api.spotify.com/v1/audio-analysis/3a47kZzXjTMcSCxHnyO5e8,228638,4,55
0.587,0.648,7,-8.439,0,0.346,0.673,0,0.108,0.743,155.514,audio_features,21MOfVcU7pJnpU6M4TtMQF,spotify:track:21MOfVcU7pJnpU6M4TtMQF,https://api.spotify.com/v1/tracks/21MOfVcU7pJnpU6M4TtMQF,https://api.spotify.com/v1/audio-analysis/21MOfVcU7pJnpU6M4TtMQF,153533,4,47
0.585,0.621,10,-6.736,0,0.296,0.639,0,0.0856,0.563,107.991,audio_features,49FPqdT0kmE3KWGlDmSjQp,spotify:track:49FPqdT0kmE3KWGlDmSjQp,https://api.spotify.com/v1/tracks/49FPqdT0kmE3KWGlDmSjQp,https://api.spotify.com/v1/audio-analysis/49FPqdT0kmE3KWGlDmSjQp,152532,4,50
0.696,0.61,0,-7.462,1,0.0622,0.0279,0.000595,0.257,0.403,99.98,audio_features,2Dlqv9FWgbrtFwLjDkWzDU,spotify:track:2Dlqv9FWgbrtFwLjDkWzDU,https://api.spotify.com/v1/tracks/2Dlqv9FWgbrtFwLjDkWzDU,https://api.spotify.com/v1/audio-analysis/2Dlqv9FWgbrtFwLjDkWzDU,167759,4,58
0.654,0.587,10,-6.331,1,0.0439,0.026,0,0.589,0.288,100.014,audio_features,5AfJXFkWlmLBJhI23TNCIK,spotify:track:5AfJXFkWlmLBJhI23TNCIK,https://api.spotify.com/v1/tracks/5AfJXFkWlmLBJhI23TNCIK,https://api.spotify.com/v1/audio-analysis/5AfJXFkWlmLBJhI23TNCIK,281360,4,36
0.743,0.597,1,-10.895,1,0.18,0.358,0.0904,0.114,0.35,150.034,audio_features,75M49Dsv1ZGE28glz3pnUc,spotify:track:75M49Dsv1ZGE28glz3pnUc,https://api.spotify.com/v1/tracks/75M49Dsv1ZGE28glz3pnUc,https://api.spotify.com/v1/audio-analysis/75M49Dsv1ZGE28glz3pnUc,182760,4,73
