danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.443,0.449,9,-6.798,1,0.0564,0.784,0,0.109,0.511,124.797,audio_features,4E3FwGMzfnpG5TScXYUiaZ,spotify:track:4E3FwGMzfnpG5TScXYUiaZ,https://api.spotify.com/v1/tracks/4E3FwGMzfnpG5TScXYUiaZ,https://api.spotify.com/v1/audio-analysis/4E3FwGMzfnpG5TScXYUiaZ,197191,3,61
0.688,0.634,5,-10.443,0,0.0929,0.14,0.000263,0.253,0.561,88.018,audio_features,1Xm9CQRcJbOgTCpKCpS9s5,spotify:track:1Xm9CQRcJbOgTCpKCpS9s5,https://api.spotify.com/v1/tracks/1Xm9CQRcJbOgTCpKCpS9s5,https://api.spotify.com/v1/audio-analysis/1Xm9CQRcJbOgTCpKCpS9s5,159485,4,62
0.623,0.784,2,-6.073,1,0.227,0.143,1.31e-06,0.102,0.821,128.087,audio_features,4Ic9GYN5h6oFruCIBlT3wB,spotify:track:4Ic9GYN5h6oFruCIBlT3wB,https://api.spotify.com/v1/tracks/4Ic9GYN5h6oFruCIBlT3wB,https://api.spotify.com/v1/audio-analysis/4Ic9GYN5h6oFruCIBlT3wB,239493,4,40
0.654,0.325,2,-11.925,1,0.282,0.74,2.14e-05,0.152,0.39,139.886,audio_features,6R6ihJhRbgu7JxJKIbW57w,spotify:track:6R6ihJhRbgu7JxJKIbW57w,https://api.spotify.com/v1/tracks/6R6ihJhRbgu7JxJKIbW57w,https://api.spotify.com/v1/audio-analysis/6R6ihJhRbgu7JxJKIbW57w,243238,4,75
0.512,0.511,7,-4.412,0,0.324,0.537,0,0.115,0.651,88.816,audio_features,360NCp4XoQ0sFi5jgu5Ww7,spotify:track:360NCp4XoQ0sFi5jgu5Ww7,https://api.spotify.com/v1/tracks/360NCp4XoQ0sFi5jgu5Ww7,https://api.spotify.com/v1/audio-analysis/360NCp4XoQ0sFi5jgu5Ww7,218073,4,74
0.524,0.364,7,-10.209,1,0.0367,0.808,0,0.1,0.436,75.24,audio_features,1RMJOxR6GRPsBHL8qeC2ux,spotify:track:1RMJOxR6GRPsBHL8qeC2ux,https://api.spotify.com/v1/tracks/1RMJOxR6GRPsBHL8qeC2ux,https://api.spotify.com/v1/audio-analysis/1RMJOxR6GRPsBHL8qeC2ux,209831,4,78
0.706,0.418,6,-9.333,1,0.117,0.616,2.04e-05,0.144,0.195,139.717,audio_features,74wCQK7J7aro3XkY0tvRu2,spotify:track:74wCQK7J7aro3XkY0tvRu2,https://api.spotify.com/v1/tracks/74wCQK7J7aro3XkY0tvRu2,https://api.spotify.com/v1/audio-analysis/74wCQK7J7aro3XkY0tvRu2,180225,4,57
0.605,0.553,10,-10.845,0,0.101,0.274,0.0152,0.184,0.62,152.076,audio_features,2I88NEWpKrAPZuapXNV5G6,spotify:track:2I88NEWpKrAPZuapXNV5G6,https://api.spotify.com/v1/tracks/2I88NEWpKrAPZuapXNV5G6,https://api.spotify.com/v1/audio-analysis/2I88NEWpKrAPZuapXNV5G6,185617,4,68
0.585,0.621,10,-6.736,0,0.296,0.639,0,0.0856,0.563,107.991,audio_features,49FPqdT0kmE3KWGlDmSjQp,spotify:track:49FPqdT0kmE3KWGlDmSjQp,https://api.spotify.com/v1/tracks/49FPqdT0kmE3KWGlDmSjQp,https://api.spotify.com/v1/audio-analysis/49FPqdT0kmE3KWGlDmSjQp,152532,4,58
0.585,0.513,1,-7.126,0,0.07,0.1,0,0.147,0.533,133.387,audio_features,2Ch7LmS7r2Gy2kc64wv3Bz,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/tracks/2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/audio-analysis/2Ch7LmS7r2Gy2kc64wv3Bz,260253,4,76
