danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,audio_features,6QgjcU0zLnzq5OrUoSZ3OK,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,163253,4,91
0.264,0.886,0,-4.342,1,0.0662,0.000123,0.000211,0.0982,0.51,89.979,audio_features,1060gzllf4b0UETAXisR5l,spotify:track:1060gzllf4b0UETAXisR5l,https://api.spotify.com/v1/tracks/1060gzllf4b0UETAXisR5l,https://api.spotify.com/v1/audio-analysis/1060gzllf4b0UETAXisR5l,236557,4,67
0.358,0.549,11,-7.843,0,0.0693,0.000799,0.00503,0.22,0.533,130.733,audio_features,3kdMzXOcrDIdSWLdONHNK5,spotify:track:3kdMzXOcrDIdSWLdONHNK5,https://api.spotify.com/v1/tracks/3kdMzXOcrDIdSWLdONHNK5,https://api.spotify.com/v1/audio-analysis/3kdMzXOcrDIdSWLdONHNK5,244573,4,75
0.474,0.843,0,-5.909,1,0.272,0.0102,0.104,0.362,0.433,97.691,audio_features,7dBMQbBKG6n9HkVXkUKnhQ,spotify:track:7dBMQbBKG6n9HkVXkUKnhQ,https://api.spotify.com/v1/tracks/7dBMQbBKG6n9HkVXkUKnhQ,https://api.spotify.com/v1/audio-analysis/7dBMQbBKG6n9HkVXkUKnhQ,274282,4,67
0.639,0.71,1,-7.445,1,0.0275,0.0133,0,0.118,0.378,119.989,audio_features,2UZtI2HUyLRzqBjodvcUmY,spotify:track:2UZtI2HUyLRzqBjodvcUmY,https://api.spotify.com/v1/tracks/2UZtI2HUyLRzqBjodvcUmY,https://api.spotify.com/v1/audio-analysis/2UZtI2HUyLRzqBjodvcUmY,233173,4,71
0.579,0.957,4,-2.94,1,0.0521,0.0107,0.158,0.263,0.515,123.993,audio_features,7aOor99o8NNLZYElOXlBG1,spotify:track:7aOor99o8NNLZYElOXlBG1,https://api.spotify.com/v1/tracks/7aOor99o8NNLZYElOXlBG1,https://api.spotify.com/v1/audio-analysis/7aOor99o8NNLZYElOXlBG1,180640,4,62
0.371,0.921,9,-5.533,1,0.0784,0.0113,2.7e-05,0.43,0.508,109.675,audio_features,6PtIXICwmoxCgLjw2zApDs,spotify:track:6PtIXICwmoxCgLjw2zApDs,https://api.spotify.com/v1/tracks/6PtIXICwmoxCgLjw2zApDs,https://api.spotify.com/v1/audio-analysis/6PtIXICwmoxCgLjw2zApDs,220538,4,62
0.536,0.722,1,-5.545,0,0.0304,0.179,2.21e-06,0.0947,0.532,146.021,audio_features,7Jg2M1wTxqyIZEfZgRpHz7,spotify:track:7Jg2M1wTxqyIZEfZgRpHz7,https://api.spotify.com/v1/tracks/7Jg2M1wTxqyIZEfZgRpHz7,https://api.spotify.com/v1/audio-analysis/7Jg2M1wTxqyIZEfZgRpHz7,236876,4,62
0.461,0.892,6,-4.807,0,0.0901,0.00187,1.34e-06,0.0942,0.35,137.35,audio_features,4A0LV6W7IUKPP2pyAZ356E,spotify:track:4A0LV6W7IUKPP2pyAZ356E,https://api.spotify.com/v1/tracks/4A0LV6W7IUKPP2pyAZ356E,https://api.spotify.com/v1/audio-analysis/4A0LV6W7IUKPP2pyAZ356E,245196,4,59
0.495,0.747,0,-5.302,1,0.0328,0.000735,0.000356,0.192,0.457,130.04,audio_features,4bnnP9Z5d7MWCY930hRcGK,spotify:track:4bnnP9Z5d7MWCY930hRcGK,https://api.spotify.com/v1/tracks/4bnnP9Z5d7MWCY930hRcGK,https://api.spotify.com/v1/audio-analysis/4bnnP9Z5d7MWCY930hRcGK,198080,4,50
