danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.49,0.722,2,-6.704,0,0.031,0.00741,0.00506,0.179,0.468,89.022,audio_features,3cR0JCZyyUUEsY8cXvdUkK,spotify:track:3cR0JCZyyUUEsY8cXvdUkK,https://api.spotify.com/v1/tracks/3cR0JCZyyUUEsY8cXvdUkK,https://api.spotify.com/v1/audio-analysis/3cR0JCZyyUUEsY8cXvdUkK,256114,4,41
0.484,0.891,3,-5.533,0,0.0516,5.36e-05,0.000135,0.0726,0.368,154.011,audio_features,2WwcgWnGrdr5ZjFwAo02RA,spotify:track:2WwcgWnGrdr5ZjFwAo02RA,https://api.spotify.com/v1/tracks/2WwcgWnGrdr5ZjFwAo02RA,https://api.spotify.com/v1/audio-analysis/2WwcgWnGrdr5ZjFwAo02RA,221999,4,39
0.496,0.962,1,-4.933,1,0.0733,0.000556,0.164,0.0817,0.425,97.494,audio_features,1sWvyUpbz5QzXaatyIEUaM,spotify:track:1sWvyUpbz5QzXaatyIEUaM,https://api.spotify.com/v1/tracks/1sWvyUpbz5QzXaatyIEUaM,https://api.spotify.com/v1/audio-analysis/1sWvyUpbz5QzXaatyIEUaM,185707,4,34
0.465,0.946,9,-4.205,1,0.068,1.77e-05,0.0844,0.134,0.338,133.802,audio_features,6tURnUUanh8JeQcwyr3L9a,spotify:track:6tURnUUanh8JeQcwyr3L9a,https://api.spotify.com/v1/tracks/6tURnUUanh8JeQcwyr3L9a,https://api.spotify.com/v1/audio-analysis/6tURnUUanh8JeQcwyr3L9a,241147,4,31
0.342,0.87,7,-6.304,0,0.0764,0.000134,0.000419,0.0703,0.304,163.116,audio_features,1U7Xkh4LrpP2AIfQ2sUxlU,spotify:track:1U7Xkh4LrpP2AIfQ2sUxlU,https://api.spotify.com/v1/tracks/1U7Xkh4LrpP2AIfQ2sUxlU,https://api.spotify.com/v1/audio-analysis/1U7Xkh4LrpP2AIfQ2sUxlU,205757,4,44
0.3,0.977,1,-3.558,0,0.246,0.000844,5.96e-05,0.331,0.379,170.207,audio_features,71H2SB2sNLUuGvZ8iV02cT,spotify:track:71H2SB2sNLUuGvZ8iV02cT,https://api.spotify.com/v1/tracks/71H2SB2sNLUuGvZ8iV02cT,https://api.spotify.com/v1/audio-analysis/71H2SB2sNLUuGvZ8iV02cT,209955,4,52
0.276,0.952,5,-4.495,1,0.202,0.00995,0,0.359,0.279,164.943,audio_features,1RCbSCoy6zdrQadwCa3GTN,spotify:track:1RCbSCoy6zdrQadwCa3GTN,https://api.spotify.com/v1/tracks/1RCbSCoy6zdrQadwCa3GTN,https://api.spotify.com/v1/audio-analysis/1RCbSCoy6zdrQadwCa3GTN,197315,4,42
0.447,0.972,1,-4.079,0,0.126,5.95e-05,0.00817,0.117,0.471,155.077,audio_features,6t44qavlobOmaaxJBhyCA3,spotify:track:6t44qavlobOmaaxJBhyCA3,https://api.spotify.com/v1/tracks/6t44qavlobOmaaxJBhyCA3,https://api.spotify.com/v1/audio-analysis/6t44qavlobOmaaxJBhyCA3,219127,4,41
0.488,0.886,4,-3.76,1,0.051,0.00638,1.15e-05,0.0908,0.523,162.016,audio_features,1Po4pby30EDHDFUKGE9hgJ,spotify:track:1Po4pby30EDHDFUKGE9hgJ,https://api.spotify.com/v1/tracks/1Po4pby30EDHDFUKGE9hgJ,https://api.spotify.com/v1/audio-analysis/1Po4pby30EDHDFUKGE9hgJ,235307,4,55
0.5,0.947,7,-5.75,0,0.122,0.000597,0.00223,0.125,0.267,120.021,audio_features,67AwhpUrZfSLwK2ekFptmM,spotify:track:67AwhpUrZfSLwK2ekFptmM,https://api.spotify.com/v1/tracks/67AwhpUrZfSLwK2ekFptmM,https://api.spotify.com/v1/audio-analysis/67AwhpUrZfSLwK2ekFptmM,221974,4,54
0.478,0.896,5,-4.062,1,0.0356,0.000376,8.65e-05,0.101,0.375,91.955,audio_features,5hrI8xRTMg0DR5GsjbFzS1,spotify:track:5hrI8xRTMg0DR5GsjbFzS1,https://api.spotify.com/v1/tracks/5hrI8xRTMg0DR5GsjbFzS1,https://api.spotify.com/v1/audio-analysis/5hrI8xRTMg0DR5GsjbFzS1,219427,4,36
0.477,0.967,2,-3.121,0,0.0642,4.99e-05,0,0.459,0.463,130.037,audio_features,1XN8h8lsJn9dLgXcP4SaCK,spotify:track:1XN8h8lsJn9dLgXcP4SaCK,https://api.spotify.com/v1/tracks/1XN8h8lsJn9dLgXcP4SaCK,https://api.spotify.com/v1/audio-analysis/1XN8h8lsJn9dLgXcP4SaCK,218200,4,41
0.51,0.896,7,-5.217,1,0.0363,0.000614,1.5e-05,0.252,0.492,88.034,audio_features,5I69y4P1gq3WA2B5AHVicr,spotify:track:5I69y4P1gq3WA2B5AHVicr,https://api.spotify.com/v1/tracks/5I69y4P1gq3WA2B5AHVicr,https://api.spotify.com/v1/audio-analysis/5I69y4P1gq3WA2B5AHVicr,207760,4,53
0.553,0.916,6,-4.194,1,0.0509,0.000214,2.51e-06,0.314,0.34,102.048,audio_features,1RWTslWg3uu68yHU5KKlBo,spotify:track:1RWTslWg3uu68yHU5KKlBo,https://api.spotify.com/v1/tracks/1RWTslWg3uu68yHU5KKlBo,https://api.spotify.com/v1/audio-analysis/1RWTslWg3uu68yHU5KKlBo,186264,4,49
0.43,0.77,0,-7.082,1,0.0459,0.00615,0,0.182,0.483,148.016,audio_features,0ISvqnyEFQRKMhSliXMPAb,spotify:track:0ISvqnyEFQRKMhSliXMPAb,https://api.spotify.com/v1/tracks/0ISvqnyEFQRKMhSliXMPAb,https://api.spotify.com/v1/audio-analysis/0ISvqnyEFQRKMhSliXMPAb,207776,4,48
0.459,0.871,8,-5.093,1,0.0552,9.74e-05,0.00193,0.0292,0.723,170.108,audio_features,0acMrTpEeFnaH74f1Ueg2g,spotify:track:0acMrTpEeFnaH74f1Ueg2g,https://api.spotify.com/v1/tracks/0acMrTpEeFnaH74f1Ueg2g,https://api.spotify.com/v1/audio-analysis/0acMrTpEeFnaH74f1Ueg2g,231120,4,49
0.56,0.558,5,-4.897,1,0.0284,0.00205,0.000106,0.162,0.376,94.014,audio_features,4OE8lJeG82iSDhHo3reh1N,spotify:track:4OE8lJeG82iSDhHo3reh1N,https://api.spotify.com/v1/tracks/4OE8lJeG82iSDhHo3reh1N,https://api.spotify.com/v1/audio-analysis/4OE8lJeG82iSDhHo3reh1N,217734,4,43
0.409,0.939,9,-3.239,1,0.0896,0.0112,0.000199,0.778,0.344,127.883,audio_features,4Auog9KgBRR5tGLgxB7CW5,spotify:track:4Auog9KgBRR5tGLgxB7CW5,https://api.spotify.com/v1/tracks/4Auog9KgBRR5tGLgxB7CW5,https://api.spotify.com/v1/audio-analysis/4Auog9KgBRR5tGLgxB7CW5,176053,4,28
0.487,0.96,7,-5.359,1,0.0576,0.000125,0.000253,0.35,0.686,138.011,audio_features,3iRjw8Mq51IHdL21qZmGAq,spotify:track:3iRjw8Mq51IHdL21qZmGAq,https://api.spotify.com/v1/tracks/3iRjw8Mq51IHdL21qZmGAq,https://api.spotify.com/v1/audio-analysis/3iRjw8Mq51IHdL21qZmGAq,228250,4,40
0.415,0.901,10,-5.617,1,0.0669,0.0002,0.000242,0.141,0.354,187.998,audio_features,6sWnFO43NA5pp9GHtudQyH,spotify:track:6sWnFO43NA5pp9GHtudQyH,https://api.spotify.com/v1/tracks/6sWnFO43NA5pp9GHtudQyH,https://api.spotify.com/v1/audio-analysis/6sWnFO43NA5pp9GHtudQyH,247349,3,40
0.369,0.891,7,-7.286,0,0.138,9.37e-05,0.000366,0.203,0.113,145.072,audio_features,0LonGgfoAPfJy47uYFeo2U,spotify:track:0LonGgfoAPfJy47uYFeo2U,https://api.spotify.com/v1/tracks/0LonGgfoAPfJy47uYFeo2U,https://api.spotify.com/v1/audio-analysis/0LonGgfoAPfJy47uYFeo2U,244836,4,39
0.54,0.927,0,-3.646,1,0.0799,6.34e-05,9.46e-06,0.328,0.764,144.032,audio_features,5oH42IeAvCNpbFzwh8HB6N,spotify:track:5oH42IeAvCNpbFzwh8HB6N,https://api.spotify.com/v1/tracks/5oH42IeAvCNpbFzwh8HB6N,https://api.spotify.com/v1/audio-analysis/5oH42IeAvCNpbFzwh8HB6N,196883,4,33
0.557,0.713,4,-5.638,1,0.0613,0.00493,7.04e-06,0.0852,0.417,169.853,audio_features,49UJyzJWQChwygalN5UMR7,spotify:track:49UJyzJWQChwygalN5UMR7,https://api.spotify.com/v1/tracks/49UJyzJWQChwygalN5UMR7,https://api.spotify.com/v1/audio-analysis/49UJyzJWQChwygalN5UMR7,214170,4,43
0.431,0.861,2,-4.648,0,0.0725,0.00147,2.8e-06,0.234,0.336,140.047,audio_features,5WR1aTP4x3MzCJrz0Bae0j,spotify:track:5WR1aTP4x3MzCJrz0Bae0j,https://api.spotify.com/v1/tracks/5WR1aTP4x3MzCJrz0Bae0j,https://api.spotify.com/v1/audio-analysis/5WR1aTP4x3MzCJrz0Bae0j,259080,4,45
