danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.449,0.992,5,-2.538,0,0.0978,1.71e-05,0,0.235,0.357,83.973,audio_features,0IF3VUDwP1tSeEjrBqA4Oo,spotify:track:0IF3VUDwP1tSeEjrBqA4Oo,https://api.spotify.com/v1/tracks/0IF3VUDwP1tSeEjrBqA4Oo,https://api.spotify.com/v1/audio-analysis/0IF3VUDwP1tSeEjrBqA4Oo,192188,4,59
0.582,0.928,10,-4.659,0,0.0635,0.00876,5.03e-06,0.297,0.565,113.043,audio_features,5mGxQUIVcP37KegJZxaZaa,spotify:track:5mGxQUIVcP37KegJZxaZaa,https://api.spotify.com/v1/tracks/5mGxQUIVcP37KegJZxaZaa,https://api.spotify.com/v1/audio-analysis/5mGxQUIVcP37KegJZxaZaa,243853,4,63
0.438,0.914,0,-3.586,1,0.0588,7.05e-05,0.00359,0.407,0.498,99.958,audio_features,2Iy4dDVcDG8wh1VfgZzH8z,spotify:track:2Iy4dDVcDG8wh1VfgZzH8z,https://api.spotify.com/v1/tracks/2Iy4dDVcDG8wh1VfgZzH8z,https://api.spotify.com/v1/audio-analysis/2Iy4dDVcDG8wh1VfgZzH8z,249400,4,58
0.587,0.879,2,-5.897,1,0.0553,0.00124,0,0.125,0.397,108.903,audio_features,4CTgCROhytFCN0o8t4CYAO,spotify:track:4CTgCROhytFCN0o8t4CYAO,https://api.spotify.com/v1/tracks/4CTgCROhytFCN0o8t4CYAO,https://api.spotify.com/v1/audio-analysis/4CTgCROhytFCN0o8t4CYAO,203119,4,65
0.504,0.973,6,-2.887,1,0.185,1.82e-05,0.0427,0.183,0.685,143.067,audio_features,3yLaeajp3jUl6Xs8MCjxl5,spotify:track:3yLaeajp3jUl6Xs8MCjxl5,https://api.spotify.com/v1/tracks/3yLaeajp3jUl6Xs8MCjxl5,https://api.spotify.com/v1/audio-analysis/3yLaeajp3jUl6Xs8MCjxl5,234837,4,60
0.639,0.71,1,-7.445,1,0.0275,0.0133,0,0.118,0.378,119.989,audio_features,7pV6zXFpCwrrmcosBAtp0o,spotify:track:7pV6zXFpCwrrmcosBAtp0o,https://api.spotify.com/v1/tracks/7pV6zXFpCwrrmcosBAtp0o,https://api.spotify.com/v1/audio-analysis/7pV6zXFpCwrrmcosBAtp0o,233173,4,70
0.354,0.968,0,-2.131,1,0.193,0.000659,0.234,0.0797,0.586,199.832,audio_features,44m5o2S4MbjQPIz2ShLa5n,spotify:track:44m5o2S4MbjQPIz2ShLa5n,https://api.spotify.com/v1/tracks/44m5o2S4MbjQPIz2ShLa5n,https://api.spotify.com/v1/audio-analysis/44m5o2S4MbjQPIz2ShLa5n,170177,4,59
0.512,0.902,6,-2.974,1,0.0475,5.54e-05,0.00143,0.0648,0.664,146.984,audio_features,2UQWjFMCOWaENx8sf2n5SC,spotify:track:2UQWjFMCOWaENx8sf2n5SC,https://api.spotify.com/v1/tracks/2UQWjFMCOWaENx8sf2n5SC,https://api.spotify.com/v1/audio-analysis/2UQWjFMCOWaENx8sf2n5SC,265082,4,48
0.483,0.967,3,-3.861,0,0.475,0.013,0,0.122,0.207,139.954,audio_features,37PW0wi3E0gquMdluiYz47,spotify:track:37PW0wi3E0gquMdluiYz47,https://api.spotify.com/v1/tracks/37PW0wi3E0gquMdluiYz47,https://api.spotify.com/v1/audio-analysis/37PW0wi3E0gquMdluiYz47,193892,4,64
0.576,0.754,10,-4.801,1,0.0337,0.000106,0.0137,0.0856,0.482,92.02,audio_features,6tItU3iAfIXrMEWsDpsuDl,spotify:track:6tItU3iAfIXrMEWsDpsuDl,https://api.spotify.com/v1/tracks/6tItU3iAfIXrMEWsDpsuDl,https://api.spotify.com/v1/audio-analysis/6tItU3iAfIXrMEWsDpsuDl,244347,4,47
0.513,0.893,7,-3.553,1,0.0359,0.000575,0.00229,0.276,0.569,126.98,audio_features,7tIO5ACb24HS9rqhAXK3OG,spotify:track:7tIO5ACb24HS9rqhAXK3OG,https://api.spotify.com/v1/tracks/7tIO5ACb24HS9rqhAXK3OG,https://api.spotify.com/v1/audio-analysis/7tIO5ACb24HS9rqhAXK3OG,209069,4,58
0.428,0.959,6,-3.727,1,0.256,0.0319,0,0.0888,0.262,144.396,audio_features,5wBaNy59nK8hJnx8AB2zRe,spotify:track:5wBaNy59nK8hJnx8AB2zRe,https://api.spotify.com/v1/tracks/5wBaNy59nK8hJnx8AB2zRe,https://api.spotify.com/v1/audio-analysis/5wBaNy59nK8hJnx8AB2zRe,249133,4,59
