danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.647,0.901,10,-4.887,1,0.0647,0.000259,4.08e-05,0.732,0.211,132.031,audio_features,4ZpkWxX5SqjUhLWPMgv8KQ,spotify:track:4ZpkWxX5SqjUhLWPMgv8KQ,https://api.spotify.com/v1/tracks/4ZpkWxX5SqjUhLWPMgv8KQ,https://api.spotify.com/v1/audio-analysis/4ZpkWxX5SqjUhLWPMgv8KQ,219986,4,31
0.434,0.775,8,-4.912,1,0.0452,0.0797,8.66e-06,0.125,0.232,94.974,audio_features,5oY1qrLsmz04CcxUYXsBFS,spotify:track:5oY1qrLsmz04CcxUYXsBFS,https://api.spotify.com/v1/tracks/5oY1qrLsmz04CcxUYXsBFS,https://api.spotify.com/v1/audio-analysis/5oY1qrLsmz04CcxUYXsBFS,204391,4,43
0.495,0.743,7,-4.021,1,0.0341,0.000748,0.393,0.322,0.151,140.047,audio_features,3x94KfC5QAsqFKjUGQBH4k,spotify:track:3x94KfC5QAsqFKjUGQBH4k,https://api.spotify.com/v1/tracks/3x94KfC5QAsqFKjUGQBH4k,https://api.spotify.com/v1/audio-analysis/3x94KfC5QAsqFKjUGQBH4k,244286,4,50
0.65,0.947,2,-4.971,1,0.0375,0.000678,0.85,0.0546,0.118,120.011,audio_features,3WsqxzFAxXhLyzqMCrsUjT,spotify:track:3WsqxzFAxXhLyzqMCrsUjT,https://api.spotify.com/v1/tracks/3WsqxzFAxXhLyzqMCrsUjT,https://api.spotify.com/v1/audio-analysis/3WsqxzFAxXhLyzqMCrsUjT,290557,4,52
0.565,0.849,0,-3.516,0,0.0517,0.00868,4.68e-06,0.12,0.427,102.034,audio_features,6s3GEN8wK0OMzzzZbXj0fu,spotify:track:6s3GEN8wK0OMzzzZbXj0fu,https://api.spotify.com/v1/tracks/6s3GEN8wK0OMzzzZbXj0fu,https://api.spotify.com/v1/audio-analysis/6s3GEN8wK0OMzzzZbXj0fu,212647,4,79
0.538,0.629,0,-6.08,1,0.0389,0.367,0.000219,0.153,0.355,128.017,audio_features,3CCGXk3YADX00XopgLbe7u,spotify:track:3CCGXk3YADX00XopgLbe7u,https://api.spotify.com/v1/tracks/3CCGXk3YADX00XopgLbe7u,https://api.spotify.com/v1/audio-analysis/3CCGXk3YADX00XopgLbe7u,200000,4,26
0.514,0.872,7,-1.628,0,0.0805,0.0153,0,0.437,0.264,128.1,audio_features,41irJfKSBh1gn6yphseFX1,spotify:track:41irJfKSBh1gn6yphseFX1,https://api.spotify.com/v1/tracks/41irJfKSBh1gn6yphseFX1,https://api.spotify.com/v1/audio-analysis/41irJfKSBh1gn6yphseFX1,219953,4,39
0.595,0.866,6,-4.629,1,0.0316,7.14e-05,0.000143,0.629,0.368,104.984,audio_features,25nzKGDiua1lE9Qo5V19GL,spotify:track:25nzKGDiua1lE9Qo5V19GL,https://api.spotify.com/v1/tracks/25nzKGDiua1lE9Qo5V19GL,https://api.spotify.com/v1/audio-analysis/25nzKGDiua1lE9Qo5V19GL,246600,4,63
0.542,0.795,7,-3.131,1,0.0379,0.0664,2.89e-06,0.313,0.251,128.959,audio_features,05dL7chWJaVjMJnGO1YCKk,spotify:track:05dL7chWJaVjMJnGO1YCKk,https://api.spotify.com/v1/tracks/05dL7chWJaVjMJnGO1YCKk,https://api.spotify.com/v1/audio-analysis/05dL7chWJaVjMJnGO1YCKk,228837,4,59
0.653,0.818,5,-8.125,1,0.047,0.00907,0.23,0.0703,0.198,174.984,audio_features,3iDK8BAaBUatPR84gdfa9g,spotify:track:3iDK8BAaBUatPR84gdfa9g,https://api.spotify.com/v1/tracks/3iDK8BAaBUatPR84gdfa9g,https://api.spotify.com/v1/audio-analysis/3iDK8BAaBUatPR84gdfa9g,266347,4,63
