danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.517,0.415,5,-6.555,1,0.0473,0.859,0,0.279,0.341,124.805,audio_features,6uXeXVyxeZOj7pkKZPY1qW,spotify:track:6uXeXVyxeZOj7pkKZPY1qW,https://api.spotify.com/v1/tracks/6uXeXVyxeZOj7pkKZPY1qW,https://api.spotify.com/v1/audio-analysis/6uXeXVyxeZOj7pkKZPY1qW,211999,4,54
0.478,0.647,3,-4.66,1,0.0339,0.333,0,0.163,0.173,76.015,audio_features,4N5ZovZxC7udj5SEi05HXQ,spotify:track:4N5ZovZxC7udj5SEi05HXQ,https://api.spotify.com/v1/tracks/4N5ZovZxC7udj5SEi05HXQ,https://api.spotify.com/v1/audio-analysis/4N5ZovZxC7udj5SEi05HXQ,328363,4,50
0.301,0.388,8,-5.937,1,0.0333,0.874,0.00312,0.124,0.28,164.913,audio_features,6dfbTcnsYyx5exWpVtmndr,spotify:track:6dfbTcnsYyx5exWpVtmndr,https://api.spotify.com/v1/tracks/6dfbTcnsYyx5exWpVtmndr,https://api.spotify.com/v1/audio-analysis/6dfbTcnsYyx5exWpVtmndr,227794,5,4
0.515,0.301,1,-7.786,1,0.0342,0.766,0,0.0903,0.313,129.962,audio_features,1IxKUCywhP2uyf13JYbMIm,spotify:track:1IxKUCywhP2uyf13JYbMIm,https://api.spotify.com/v1/tracks/1IxKUCywhP2uyf13JYbMIm,https://api.spotify.com/v1/audio-analysis/1IxKUCywhP2uyf13JYbMIm,260403,4,16
0.557,0.205,0,-8.473,1,0.0524,0.904,0,0.0938,0.166,129.815,audio_features,2vTYQvLz7fyN26wSLY33Hx,spotify:track:2vTYQvLz7fyN26wSLY33Hx,https://api.spotify.com/v1/tracks/2vTYQvLz7fyN26wSLY33Hx,https://api.spotify.com/v1/audio-analysis/2vTYQvLz7fyN26wSLY33Hx,217984,3,37
0.524,0.512,9,-6.014,1,0.0427,0.516,0,0.113,0.284,135.625,audio_features,1ROSTZwoTZK9aRyPPFFhWd,spotify:track:1ROSTZwoTZK9aRyPPFFhWd,https://api.spotify.com/v1/tracks/1ROSTZwoTZK9aRyPPFFhWd,https://api.spotify.com/v1/audio-analysis/1ROSTZwoTZK9aRyPPFFhWd,235243,4,42
0.325,0.32,10,-9.067,1,0.0335,0.713,1.04e-05,0.0997,0.369,57.998,audio_features,5qiuPeLbIJKnc1SvNqD4xm,spotify:track:5qiuPeLbIJKnc1SvNqD4xm,https://api.spotify.com/v1/tracks/5qiuPeLbIJKnc1SvNqD4xm,https://api.spotify.com/v1/audio-analysis/5qiuPeLbIJKnc1SvNqD4xm,172764,4,17
0.521,0.451,0,-6.679,1,0.0311,0.807,0,0.0773,0.383,65.916,audio_features,61sCtXb7Hx7nZMlZfAhpW2,spotify:track:61sCtXb7Hx7nZMlZfAhpW2,https://api.spotify.com/v1/tracks/61sCtXb7Hx7nZMlZfAhpW2,https://api.spotify.com/v1/audio-analysis/61sCtXb7Hx7nZMlZfAhpW2,240089,4,46
0.566,0.439,8,-5.404,1,0.0324,0.513,0,0.116,0.249,135.854,audio_features,22TGH52X0gqrZJMyXVGFG0,spotify:track:22TGH52X0gqrZJMyXVGFG0,https://api.spotify.com/v1/tracks/22TGH52X0gqrZJMyXVGFG0,https://api.spotify.com/v1/audio-analysis/22TGH52X0gqrZJMyXVGFG0,227590,4,36
0.48,0.501,5,-5.511,1,0.0296,0.624,0,0.0748,0.222,110.889,audio_features,5LiWJsSSjZh7Y3hqml18Ki,spotify:track:5LiWJsSSjZh7Y3hqml18Ki,https://api.spotify.com/v1/tracks/5LiWJsSSjZh7Y3hqml18Ki,https://api.spotify.com/v1/audio-analysis/5LiWJsSSjZh7Y3hqml18Ki,226992,4,66
