danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.675,0.545,7,-5.614,0,0.0443,0.261,0,0.162,0.445,60.048,audio_features,4NpDZPwSXmL0cCTaJuVrCw,spotify:track:4NpDZPwSXmL0cCTaJuVrCw,https://api.spotify.com/v1/tracks/4NpDZPwSXmL0cCTaJuVrCw,https://api.spotify.com/v1/audio-analysis/4NpDZPwSXmL0cCTaJuVrCw,226507,4,69
0.453,0.436,11,-8.958,0,0.0742,0.738,0.00137,0.0745,0.0761,74.988,audio_features,0vFrEJcKVPDXC4rRhCD2XS,spotify:track:0vFrEJcKVPDXC4rRhCD2XS,https://api.spotify.com/v1/tracks/0vFrEJcKVPDXC4rRhCD2XS,https://api.spotify.com/v1/audio-analysis/0vFrEJcKVPDXC4rRhCD2XS,247227,4,64
0.663,0.693,7,-5.776,0,0.0635,0.0379,0,0.162,0.391,120.026,audio_features,5ol0jvC2yFKm3E1GcIgU2n,spotify:track:5ol0jvC2yFKm3E1GcIgU2n,https://api.spotify.com/v1/tracks/5ol0jvC2yFKm3E1GcIgU2n,https://api.spotify.com/v1/audio-analysis/5ol0jvC2yFKm3E1GcIgU2n,186307,4,59
0.7,0.538,1,-5.952,1,0.045,0.000204,0,0.105,0.189,136.518,audio_features,3B7i9OKRRmIsSBHEbJz58Y,spotify:track:3B7i9OKRRmIsSBHEbJz58Y,https://api.spotify.com/v1/tracks/3B7i9OKRRmIsSBHEbJz58Y,https://api.spotify.com/v1/audio-analysis/3B7i9OKRRmIsSBHEbJz58Y,237733,4,66
0.552,0.566,1,-6.952,1,0.283,0.125,0,0.199,0.227,135.541,audio_features,4myjp85ZjGoiI2iFWPivNL,spotify:track:4myjp85ZjGoiI2iFWPivNL,https://api.spotify.com/v1/tracks/4myjp85ZjGoiI2iFWPivNL,https://api.spotify.com/v1/audio-analysis/4myjp85ZjGoiI2iFWPivNL,252667,4,43
0.493,0.542,9,-8.016,1,0.076,0.0774,0,0.239,0.172,109.399,audio_features,4JSzFJGovBcmr2y1sj7SR7,spotify:track:4JSzFJGovBcmr2y1sj7SR7,https://api.spotify.com/v1/tracks/4JSzFJGovBcmr2y1sj7SR7,https://api.spotify.com/v1/audio-analysis/4JSzFJGovBcmr2y1sj7SR7,232661,4,57
0.523,0.842,1,-5.529,0,0.165,0.0191,0,0.139,0.443,149.974,audio_features,2Wxaz0t9NEBsOeR1XhQS34,spotify:track:2Wxaz0t9NEBsOeR1XhQS34,https://api.spotify.com/v1/tracks/2Wxaz0t9NEBsOeR1XhQS34,https://api.spotify.com/v1/audio-analysis/2Wxaz0t9NEBsOeR1XhQS34,287667,4,42
0.819,0.357,1,-9.706,0,0.0472,0.238,0.00821,0.218,0.508,128.986,audio_features,1DjF1jCpQ4yafkhPnQ2DFq,spotify:track:1DjF1jCpQ4yafkhPnQ2DFq,https://api.spotify.com/v1/tracks/1DjF1jCpQ4yafkhPnQ2DFq,https://api.spotify.com/v1/audio-analysis/1DjF1jCpQ4yafkhPnQ2DFq,259693,4,4
0.657,0.569,1,-9.333,0,0.0397,0.0167,0.000131,0.132,0.196,120.025,audio_features,5y1VXHqmlOKSi6O2rZaYwV,spotify:track:5y1VXHqmlOKSi6O2rZaYwV,https://api.spotify.com/v1/tracks/5y1VXHqmlOKSi6O2rZaYwV,https://api.spotify.com/v1/audio-analysis/5y1VXHqmlOKSi6O2rZaYwV,281534,4,58
0.631,0.63,4,-5.577,1,0.0492,0.734,0,0.234,0.533,121.833,audio_features,4tRczX2sYe9qVSIIEAXyEf,spotify:track:4tRczX2sYe9qVSIIEAXyEf,https://api.spotify.com/v1/tracks/4tRczX2sYe9qVSIIEAXyEf,https://api.spotify.com/v1/audio-analysis/4tRczX2sYe9qVSIIEAXyEf,214520,4,47
