danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.502,0.391,7,-10.432,0,0.0322,0.53,0.0855,0.108,0.158,113.291,audio_features,58rLgjZ2flegZ2BZboatMk,spotify:track:58rLgjZ2flegZ2BZboatMk,https://api.spotify.com/v1/tracks/58rLgjZ2flegZ2BZboatMk,https://api.spotify.com/v1/audio-analysis/58rLgjZ2flegZ2BZboatMk,201227,3,1
0.575,0.764,4,-7.448,1,0.0746,0.566,1.07e-05,0.0692,0.536,123.821,audio_features,6ft9PAgNOjmZ2kFVP7LGqb,spotify:track:6ft9PAgNOjmZ2kFVP7LGqb,https://api.spotify.com/v1/tracks/6ft9PAgNOjmZ2kFVP7LGqb,https://api.spotify.com/v1/audio-analysis/6ft9PAgNOjmZ2kFVP7LGqb,203240,4,62
0.459,0.14,9,-15.482,1,0.0367,0.895,0.00539,0.138,0.146,128.897,audio_features,4G8wt3fUBpgBjI35TBF2eQ,spotify:track:4G8wt3fUBpgBjI35TBF2eQ,https://api.spotify.com/v1/tracks/4G8wt3fUBpgBjI35TBF2eQ,https://api.spotify.com/v1/audio-analysis/4G8wt3fUBpgBjI35TBF2eQ,241120,4,42
0.764,0.567,0,-13.361,1,0.0412,0.252,0,0.104,0.79,108.805,audio_features,2RwFdFIN9JAyVUzevwkzez,spotify:track:2RwFdFIN9JAyVUzevwkzez,https://api.spotify.com/v1/tracks/2RwFdFIN9JAyVUzevwkzez,https://api.spotify.com/v1/audio-analysis/2RwFdFIN9JAyVUzevwkzez,214133,4,57
0.627,0.714,0,-6.364,1,0.0885,0.0405,0.00704,0.432,0.683,115.066,audio_features,7lMIu0AKEivrkYR6P25tFM,spotify:track:7lMIu0AKEivrkYR6P25tFM,https://api.spotify.com/v1/tracks/7lMIu0AKEivrkYR6P25tFM,https://api.spotify.com/v1/audio-analysis/7lMIu0AKEivrkYR6P25tFM,213027,4,35
0.476,0.67,6,-6.163,0,0.0387,0.349,0.000152,0.139,0.357,75.57,audio_features,5BqVeufpk3KpM4JfpRbXlO,spotify:track:5BqVeufpk3KpM4JfpRbXlO,https://api.spotify.com/v1/tracks/5BqVeufpk3KpM4JfpRbXlO,https://api.spotify.com/v1/audio-analysis/5BqVeufpk3KpM4JfpRbXlO,218947,4,0
0.671,0.367,7,-9.95,1,0.0544,0.539,0,0.0589,0.426,119.339,audio_features,2dR5WkrpwylTuT3jRWNufa,spotify:track:2dR5WkrpwylTuT3jRWNufa,https://api.spotify.com/v1/tracks/2dR5WkrpwylTuT3jRWNufa,https://api.spotify.com/v1/audio-analysis/2dR5WkrpwylTuT3jRWNufa,147147,4,56
0.379,0.458,4,-8.101,1,0.0279,0.699,0,0.333,0.469,105.632,audio_features,6tjRBsNeH4qgqaDMVkOuP2,spotify:track:6tjRBsNeH4qgqaDMVkOuP2,https://api.spotify.com/v1/tracks/6tjRBsNeH4qgqaDMVkOuP2,https://api.spotify.com/v1/audio-analysis/6tjRBsNeH4qgqaDMVkOuP2,238253,4,46
0.411,0.635,11,-4.714,1,0.0269,0.313,0,0.108,0.267,147.747,audio_features,3qhyaik3Koy3cvLk9h5L8G,spotify:track:3qhyaik3Koy3cvLk9h5L8G,https://api.spotify.com/v1/tracks/3qhyaik3Koy3cvLk9h5L8G,https://api.spotify.com/v1/audio-analysis/3qhyaik3Koy3cvLk9h5L8G,270853,4,46
0.613,0.636,2,-8.042,1,0.0249,0.296,8.27e-05,0.134,0.267,97.015,audio_features,4uz2iFXdsIvBUKpYVFGojW,spotify:track:4uz2iFXdsIvBUKpYVFGojW,https://api.spotify.com/v1/tracks/4uz2iFXdsIvBUKpYVFGojW,https://api.spotify.com/v1/audio-analysis/4uz2iFXdsIvBUKpYVFGojW,199692,4,0
0.873,0.505,4,-11.147,0,0.0308,0.67,0.269,0.136,0.69,110.007,audio_features,6Kh2MA4vSjszWYiiWS1zZj,spotify:track:6Kh2MA4vSjszWYiiWS1zZj,https://api.spotify.com/v1/tracks/6Kh2MA4vSjszWYiiWS1zZj,https://api.spotify.com/v1/audio-analysis/6Kh2MA4vSjszWYiiWS1zZj,210013,4,5
0.357,0.371,7,-9.827,1,0.037,0.775,6.27e-05,0.124,0.169,83.26,audio_features,15IWqq4MaJ09ZQZgzcbn4p,spotify:track:15IWqq4MaJ09ZQZgzcbn4p,https://api.spotify.com/v1/tracks/15IWqq4MaJ09ZQZgzcbn4p,https://api.spotify.com/v1/audio-analysis/15IWqq4MaJ09ZQZgzcbn4p,238787,4,57
