danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.535,0.503,5,-7.22,0,0.0338,0.0588,1.71e-05,0.102,0.268,59.017,audio_features,1NyiEFsoMzJzAGB1BLyNrg,spotify:track:1NyiEFsoMzJzAGB1BLyNrg,https://api.spotify.com/v1/tracks/1NyiEFsoMzJzAGB1BLyNrg,https://api.spotify.com/v1/audio-analysis/1NyiEFsoMzJzAGB1BLyNrg,213838,4,45
0.469,0.441,4,-9.544,0,0.0968,0.709,0,0.149,0.232,121.079,audio_features,5QlmY58mTRq9j9a5JswA7j,spotify:track:5QlmY58mTRq9j9a5JswA7j,https://api.spotify.com/v1/tracks/5QlmY58mTRq9j9a5JswA7j,https://api.spotify.com/v1/audio-analysis/5QlmY58mTRq9j9a5JswA7j,204783,4,47
0.743,0.331,4,-6.027,0,0.262,0.242,0,0.0938,0.218,97.066,audio_features,7lxWzjZCSkXndL8eYKfFWU,spotify:track:7lxWzjZCSkXndL8eYKfFWU,https://api.spotify.com/v1/tracks/7lxWzjZCSkXndL8eYKfFWU,https://api.spotify.com/v1/audio-analysis/7lxWzjZCSkXndL8eYKfFWU,200213,4,61
0.51,0.331,11,-13.073,0,0.0895,0.661,0,0.123,0.225,124.657,audio_features,7KdRu0h7PQ0Ecfa37rUBzW,spotify:track:7KdRu0h7PQ0Ecfa37rUBzW,https://api.spotify.com/v1/tracks/7KdRu0h7PQ0Ecfa37rUBzW,https://api.spotify.com/v1/audio-analysis/7KdRu0h7PQ0Ecfa37rUBzW,205640,4,56
0.73,0.473,1,-8.165,1,0.062,0.00505,0,0.0932,0.254,122.003,audio_features,21QaCM5SdwjGbAimqJUnmC,spotify:track:21QaCM5SdwjGbAimqJUnmC,https://api.spotify.com/v1/tracks/21QaCM5SdwjGbAimqJUnmC,https://api.spotify.com/v1/audio-analysis/21QaCM5SdwjGbAimqJUnmC,237147,4,72
0.535,0.46,11,-8.281,1,0.245,0.432,1.58e-05,0.128,0.325,171.816,audio_features,5iIzoLU2K73Bh9o1vHDQkd,spotify:track:5iIzoLU2K73Bh9o1vHDQkd,https://api.spotify.com/v1/tracks/5iIzoLU2K73Bh9o1vHDQkd,https://api.spotify.com/v1/audio-analysis/5iIzoLU2K73Bh9o1vHDQkd,193131,4,53
0.677,0.439,9,-9.282,0,0.326,0.556,6.3e-06,0.228,0.034,109.997,audio_features,0sFvItEeMstcUyZCleYgyj,spotify:track:0sFvItEeMstcUyZCleYgyj,https://api.spotify.com/v1/tracks/0sFvItEeMstcUyZCleYgyj,https://api.spotify.com/v1/audio-analysis/0sFvItEeMstcUyZCleYgyj,264200,4,63
0.637,0.359,10,-9.841,0,0.0325,0.593,5.39e-05,0.108,0.142,111.049,audio_features,25wBlLDFcspzo9gBqvrQr3,spotify:track:25wBlLDFcspzo9gBqvrQr3,https://api.spotify.com/v1/tracks/25wBlLDFcspzo9gBqvrQr3,https://api.spotify.com/v1/audio-analysis/25wBlLDFcspzo9gBqvrQr3,245294,4,70
0.564,0.575,0,-8.515,0,0.184,0.296,0.000463,0.0909,0.347,96.827,audio_features,6rQeJiM2UBjUCxtwWB4tnn,spotify:track:6rQeJiM2UBjUCxtwWB4tnn,https://api.spotify.com/v1/tracks/6rQeJiM2UBjUCxtwWB4tnn,https://api.spotify.com/v1/audio-analysis/6rQeJiM2UBjUCxtwWB4tnn,185722,4,46
0.86,0.471,10,-11.248,0,0.235,0.133,0,0.115,0.377,139.951,audio_features,2VSnwBXZLxPJoAHyDRyxrW,spotify:track:2VSnwBXZLxPJoAHyDRyxrW,https://api.spotify.com/v1/tracks/2VSnwBXZLxPJoAHyDRyxrW,https://api.spotify.com/v1/audio-analysis/2VSnwBXZLxPJoAHyDRyxrW,215316,4,57
