danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.729,0.792,0,-6.266,1,0.057,0.0585,5.89e-05,0.047,0.789,114.981,audio_features,6mQb1OlbRrjz5914BgDtu5,spotify:track:6mQb1OlbRrjz5914BgDtu5,https://api.spotify.com/v1/tracks/6mQb1OlbRrjz5914BgDtu5,https://api.spotify.com/v1/audio-analysis/6mQb1OlbRrjz5914BgDtu5,249577,4,20
0.308,0.924,9,-3.921,0,0.0927,9.62e-05,0.00952,0.382,0.257,179.965,audio_features,71U9X93wy4BQGyvmjFqApv,spotify:track:71U9X93wy4BQGyvmjFqApv,https://api.spotify.com/v1/tracks/71U9X93wy4BQGyvmjFqApv,https://api.spotify.com/v1/audio-analysis/71U9X93wy4BQGyvmjFqApv,217533,4,53
0.535,0.809,5,-3.599,1,0.0435,0.597,0.00237,0.182,0.653,123.815,audio_features,12kz9XXkuL1ID9Qym9LIlX,spotify:track:12kz9XXkuL1ID9Qym9LIlX,https://api.spotify.com/v1/tracks/12kz9XXkuL1ID9Qym9LIlX,https://api.spotify.com/v1/audio-analysis/12kz9XXkuL1ID9Qym9LIlX,207460,4,30
0.624,0.771,0,-6.225,1,0.0503,0.000737,0.022,0.316,0.316,127.995,audio_features,7uhNjVyCKuRzsB1TJ3mkt7,spotify:track:7uhNjVyCKuRzsB1TJ3mkt7,https://api.spotify.com/v1/tracks/7uhNjVyCKuRzsB1TJ3mkt7,https://api.spotify.com/v1/audio-analysis/7uhNjVyCKuRzsB1TJ3mkt7,450368,4,19
0.738,0.724,1,-7.672,1,0.0426,0.00114,0.483,0.0618,0.526,131.988,audio_features,7ILtoITwI2fijhegLq8Sa4,spotify:track:7ILtoITwI2fijhegLq8Sa4,https://api.spotify.com/v1/tracks/7ILtoITwI2fijhegLq8Sa4,https://api.spotify.com/v1/audio-analysis/7ILtoITwI2fijhegLq8Sa4,398852,4,0
0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-06,0.0519,0.523,93.908,audio_features,5PQmSHzWnlgG4EBuIqjac2,spotify:track:5PQmSHzWnlgG4EBuIqjac2,https://api.spotify.com/v1/tracks/5PQmSHzWnlgG4EBuIqjac2,https://api.spotify.com/v1/audio-analysis/5PQmSHzWnlgG4EBuIqjac2,282373,4,68
0.665,0.818,0,-4.809,1,0.0333,0.000106,0.000529,0.0825,0.301,127.98,audio_features,4k7xxNdm8YNE9EpX9UXkRU,spotify:track:4k7xxNdm8YNE9EpX9UXkRU,https://api.spotify.com/v1/tracks/4k7xxNdm8YNE9EpX9UXkRU,https://api.spotify.com/v1/audio-analysis/4k7xxNdm8YNE9EpX9UXkRU,270533,4,0
0.468,0.665,8,-8.789,1,0.0435,0.304,0.00194,0.0875,0.0383,124.994,audio_features,2bZqtcd92jJ7CZlrt3Mmwu,spotify:track:2bZqtcd92jJ7CZlrt3Mmwu,https://api.spotify.com/v1/tracks/2bZqtcd92jJ7CZlrt3Mmwu,https://api.spotify.com/v1/audio-analysis/2bZqtcd92jJ7CZlrt3Mmwu,507279,4,3
0.655,0.818,3,-6.699,1,0.0626,0.0155,0.172,0.333,0.51,122.002,audio_features,2lZF9Vasst98gb129Kp7Lx,spotify:track:2lZF9Vasst98gb129Kp7Lx,https://api.spotify.com/v1/tracks/2lZF9Vasst98gb129Kp7Lx,https://api.spotify.com/v1/audio-analysis/2lZF9Vasst98gb129Kp7Lx,492932,4,24
0.687,0.581,5,-10.828,1,0.0335,0.326,0.801,0.0907,0.41,125.011,audio_features,0LLO3mG3TB20nJCUnK7bke,spotify:track:0LLO3mG3TB20nJCUnK7bke,https://api.spotify.com/v1/tracks/0LLO3mG3TB20nJCUnK7bke,https://api.spotify.com/v1/audio-analysis/0LLO3mG3TB20nJCUnK7bke,462813,4,1
0.455,0.797,8,-4.466,0,0.0439,0.167,0,0.0828,0.332,134.949,audio_features,2PLRrQ8oASLJIxw2mwOvh6,spotify:track:2PLRrQ8oASLJIxw2mwOvh6,https://api.spotify.com/v1/tracks/2PLRrQ8oASLJIxw2mwOvh6,https://api.spotify.com/v1/audio-analysis/2PLRrQ8oASLJIxw2mwOvh6,199309,4,54
0.629,0.882,8,-5.231,1,0.0449,0.0502,0.000584,0.0971,0.436,105.004,audio_features,7GYLsGlCPqSkLBNDC5mVyl,spotify:track:7GYLsGlCPqSkLBNDC5mVyl,https://api.spotify.com/v1/tracks/7GYLsGlCPqSkLBNDC5mVyl,https://api.spotify.com/v1/audio-analysis/7GYLsGlCPqSkLBNDC5mVyl,170502,4,65
