danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.109,0.00459,9,-32.667,0,0.0338,0.989,0.89,0.0796,0.0441,70.122,audio_features,4Piypso6HAayTb3FwJIIaW,spotify:track:4Piypso6HAayTb3FwJIIaW,https://api.spotify.com/v1/tracks/4Piypso6HAayTb3FwJIIaW,https://api.spotify.com/v1/audio-analysis/4Piypso6HAayTb3FwJIIaW,359680,3,65
0.169,0.154,0,-24.453,0,0.0429,0.873,0.869,0.0765,0.0357,126.516,audio_features,0Uh5M0Iv1CL60h7eiZG043,spotify:track:0Uh5M0Iv1CL60h7eiZG043,https://api.spotify.com/v1/tracks/0Uh5M0Iv1CL60h7eiZG043,https://api.spotify.com/v1/audio-analysis/0Uh5M0Iv1CL60h7eiZG043,373000,4,60
0.0962,0.0904,1,-20.659,1,0.0418,0.745,0.731,0.0921,0.0326,87.609,audio_features,2OEcNwsOd8cwG7jpN2kGzj,spotify:track:2OEcNwsOd8cwG7jpN2kGzj,https://api.spotify.com/v1/tracks/2OEcNwsOd8cwG7jpN2kGzj,https://api.spotify.com/v1/audio-analysis/2OEcNwsOd8cwG7jpN2kGzj,208478,3,66
0.31,0.218,9,-21.398,1,0.0507,0.988,0.952,0.085,0.0969,145.074,audio_features,47ZWr1Nb0PUgmKgyg5JkgO,spotify:track:47ZWr1Nb0PUgmKgyg5JkgO,https://api.spotify.com/v1/tracks/47ZWr1Nb0PUgmKgyg5JkgO,https://api.spotify.com/v1/audio-analysis/47ZWr1Nb0PUgmKgyg5JkgO,185527,4,74
0.2,0.0449,0,-20.741,0,0.0428,0.988,0.915,0.102,0.048,72.278,audio_features,6wxi6j0tpjGJGczGrLeDYD,spotify:track:6wxi6j0tpjGJGczGrLeDYD,https://api.spotify.com/v1/tracks/6wxi6j0tpjGJGczGrLeDYD,https://api.spotify.com/v1/audio-analysis/6wxi6j0tpjGJGczGrLeDYD,128000,5,63
0.152,0.0315,6,-29.774,0,0.047,0.922,0.775,0.11,0.155,139.095,audio_features,5C8szoUrtmYOizu1ykbK0C,spotify:track:5C8szoUrtmYOizu1ykbK0C,https://api.spotify.com/v1/tracks/5C8szoUrtmYOizu1ykbK0C,https://api.spotify.com/v1/audio-analysis/5C8szoUrtmYOizu1ykbK0C,215756,3,67
0.558,0.0259,8,-30.016,1,0.0458,0.996,0.871,0.0969,0.37,157.811,audio_features,2MZSXhq4XDJWu6coGoXX1V,spotify:track:2MZSXhq4XDJWu6coGoXX1V,https://api.spotify.com/v1/tracks/2MZSXhq4XDJWu6coGoXX1V,https://api.spotify.com/v1/audio-analysis/2MZSXhq4XDJWu6coGoXX1V,125520,4,69
0.353,0.017,5,-27.471,1,0.0516,0.993,0.892,0.108,0.24,101.389,audio_features,1LQsAMbRfl2644biYjwHhz,spotify:track:1LQsAMbRfl2644biYjwHhz,https://api.spotify.com/v1/tracks/1LQsAMbRfl2644biYjwHhz,https://api.spotify.com/v1/audio-analysis/1LQsAMbRfl2644biYjwHhz,162448,3,63
0.0949,0.0952,10,-21.945,1,0.0371,0.931,0.934,0.107,0.0376,70.362,audio_features,3Sy6wgTNEp6vSgLs4EyXAf,spotify:track:3Sy6wgTNEp6vSgLs4EyXAf,https://api.spotify.com/v1/tracks/3Sy6wgTNEp6vSgLs4EyXAf,https://api.spotify.com/v1/audio-analysis/3Sy6wgTNEp6vSgLs4EyXAf,391160,3,57
0.217,0.141,11,-19.913,0,0.0369,0.968,0.835,0.111,0.0732,117.029,audio_features,7q9ehvNtDAyhFFD7w9L4yo,spotify:track:7q9ehvNtDAyhFFD7w9L4yo,https://api.spotify.com/v1/tracks/7q9ehvNtDAyhFFD7w9L4yo,https://api.spotify.com/v1/audio-analysis/7q9ehvNtDAyhFFD7w9L4yo,211212,4,66
0.601,0.0557,5,-22.096,1,0.0412,0.992,0.956,0.111,0.0917,69.938,audio_features,54MQc7UtIAogdoU5h0KNOP,spotify:track:54MQc7UtIAogdoU5h0KNOP,https://api.spotify.com/v1/tracks/54MQc7UtIAogdoU5h0KNOP,https://api.spotify.com/v1/audio-analysis/54MQc7UtIAogdoU5h0KNOP,170785,3,58
0.23,0.168,3,-22.653,1,0.0481,0.988,0.906,0.0967,0.0908,135.059,audio_features,0s5x2cr3VyJYez1W8SKXC0,spotify:track:0s5x2cr3VyJYez1W8SKXC0,https://api.spotify.com/v1/tracks/0s5x2cr3VyJYez1W8SKXC0,https://api.spotify.com/v1/audio-analysis/0s5x2cr3VyJYez1W8SKXC0,973880,3,56
