danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.519,0.177,9,-23.648,0,0.0566,0.96,0.929,0.103,0.0429,160.747,audio_features,3b9xviE7S4jJKNxwu0rRJP,spotify:track:3b9xviE7S4jJKNxwu0rRJP,https://api.spotify.com/v1/tracks/3b9xviE7S4jJKNxwu0rRJP,https://api.spotify.com/v1/audio-analysis/3b9xviE7S4jJKNxwu0rRJP,403568,3,61
0.403,0.00719,4,-24.335,1,0.0709,0.995,0.962,0.0957,0.288,70.301,audio_features,5EyQu9PPQsmU5aIlofzM7K,spotify:track:5EyQu9PPQsmU5aIlofzM7K,https://api.spotify.com/v1/tracks/5EyQu9PPQsmU5aIlofzM7K,https://api.spotify.com/v1/audio-analysis/5EyQu9PPQsmU5aIlofzM7K,146000,4,64
0.314,0.0403,1,-28.173,1,0.0317,0.991,0.9,0.0984,0.132,71.425,audio_features,1LyTzI4uwNhOyGm1Qm0CWN,spotify:track:1LyTzI4uwNhOyGm1Qm0CWN,https://api.spotify.com/v1/tracks/1LyTzI4uwNhOyGm1Qm0CWN,https://api.spotify.com/v1/audio-analysis/1LyTzI4uwNhOyGm1Qm0CWN,266507,4,59
0.221,0.0777,0,-24.752,0,0.0417,0.995,0.875,0.138,0.0706,132.738,audio_features,2HJNYanZcDyKGts6BRXm3z,spotify:track:2HJNYanZcDyKGts6BRXm3z,https://api.spotify.com/v1/tracks/2HJNYanZcDyKGts6BRXm3z,https://api.spotify.com/v1/audio-analysis/2HJNYanZcDyKGts6BRXm3z,165558,3,19
0.322,0.0121,5,-31.994,1,0.0491,0.993,0.927,0.127,0.118,112.464,audio_features,01T3AjynqSMVfiAQCAfrKJ,spotify:track:01T3AjynqSMVfiAQCAfrKJ,https://api.spotify.com/v1/tracks/01T3AjynqSMVfiAQCAfrKJ,https://api.spotify.com/v1/audio-analysis/01T3AjynqSMVfiAQCAfrKJ,160897,4,69
0.462,0.033,8,-22.216,1,0.0423,0.992,0.913,0.0988,0.0753,82.694,audio_features,4ihRH9DsiK7bpOyArN9vew,spotify:track:4ihRH9DsiK7bpOyArN9vew,https://api.spotify.com/v1/tracks/4ihRH9DsiK7bpOyArN9vew,https://api.spotify.com/v1/audio-analysis/4ihRH9DsiK7bpOyArN9vew,156084,4,64
0.295,0.0696,1,-30.274,1,0.0289,0.991,0.973,0.0933,0.247,63.242,audio_features,16Twh4gl8Fv8ziP1YJYGZ4,spotify:track:16Twh4gl8Fv8ziP1YJYGZ4,https://api.spotify.com/v1/tracks/16Twh4gl8Fv8ziP1YJYGZ4,https://api.spotify.com/v1/audio-analysis/16Twh4gl8Fv8ziP1YJYGZ4,160561,3,1
0.294,0.00502,9,-30.609,1,0.0373,0.989,0.928,0.109,0.199,91.559,audio_features,7hyAAjHZaDWSPDzlUYNUIa,spotify:track:7hyAAjHZaDWSPDzlUYNUIa,https://api.spotify.com/v1/tracks/7hyAAjHZaDWSPDzlUYNUIa,https://api.spotify.com/v1/audio-analysis/7hyAAjHZaDWSPDzlUYNUIa,281120,4,69
0.449,0.00779,0,-30.161,0,0.0488,0.994,0.959,0.111,0.0511,74.446,audio_features,77O9eTcQpYwCnANBQHjGDQ,spotify:track:77O9eTcQpYwCnANBQHjGDQ,https://api.spotify.com/v1/tracks/77O9eTcQpYwCnANBQHjGDQ,https://api.spotify.com/v1/audio-analysis/77O9eTcQpYwCnANBQHjGDQ,141494,3,57
0.33,0.0206,0,-25.858,1,0.0492,0.995,0.874,0.0578,0.288,64.419,audio_features,2I2mF5P9ZkkE1bU4AMhQ27,spotify:track:2I2mF5P9ZkkE1bU4AMhQ27,https://api.spotify.com/v1/tracks/2I2mF5P9ZkkE1bU4AMhQ27,https://api.spotify.com/v1/audio-analysis/2I2mF5P9ZkkE1bU4AMhQ27,161750,3,64
0.465,0.0388,9,-24.262,0,0.0562,0.991,0.915,0.0768,0.154,139.735,audio_features,5hJ5736o2jQRXnslKxoWqG,spotify:track:5hJ5736o2jQRXnslKxoWqG,https://api.spotify.com/v1/tracks/5hJ5736o2jQRXnslKxoWqG,https://api.spotify.com/v1/audio-analysis/5hJ5736o2jQRXnslKxoWqG,104355,4,67
0.523,0.0444,9,-21.502,1,0.0481,0.995,0.953,0.104,0.224,106.671,audio_features,6jP8veGopi7UjFP8Uk5prz,spotify:track:6jP8veGopi7UjFP8Uk5prz,https://api.spotify.com/v1/tracks/6jP8veGopi7UjFP8Uk5prz,https://api.spotify.com/v1/audio-analysis/6jP8veGopi7UjFP8Uk5prz,134923,3,68
0.393,0.0429,9,-25.727,0,0.0341,0.992,0.925,0.0821,0.0394,135.405,audio_features,02mkkozonPEDCenOhuWwLc,spotify:track:02mkkozonPEDCenOhuWwLc,https://api.spotify.com/v1/tracks/02mkkozonPEDCenOhuWwLc,https://api.spotify.com/v1/audio-analysis/02mkkozonPEDCenOhuWwLc,288280,4,59
0.335,0.0387,6,-21.19,0,0.0403,0.993,0.897,0.103,0.0675,112.675,audio_features,4gtH4EmavpjGHTt2Pxo5wZ,spotify:track:4gtH4EmavpjGHTt2Pxo5wZ,https://api.spotify.com/v1/tracks/4gtH4EmavpjGHTt2Pxo5wZ,https://api.spotify.com/v1/audio-analysis/4gtH4EmavpjGHTt2Pxo5wZ,210999,4,62
0.375,0.00406,7,-31.824,0,0.0671,0.994,0.908,0.0842,0.358,139.682,audio_features,02BumRY2OTFMkMxrXSVMat,spotify:track:02BumRY2OTFMkMxrXSVMat,https://api.spotify.com/v1/tracks/02BumRY2OTFMkMxrXSVMat,https://api.spotify.com/v1/audio-analysis/02BumRY2OTFMkMxrXSVMat,58387,1,64
0.368,0.0976,8,-21.392,0,0.0405,0.987,0.916,0.105,0.0627,64.095,audio_features,7nuA77podGZnir7pOxShs3,spotify:track:7nuA77podGZnir7pOxShs3,https://api.spotify.com/v1/tracks/7nuA77podGZnir7pOxShs3,https://api.spotify.com/v1/audio-analysis/7nuA77podGZnir7pOxShs3,188222,3,64
0.314,0.021,1,-22.896,0,0.0373,0.987,0.923,0.122,0.224,101.794,audio_features,1iet8jwrRWc5lkw8yKXtZN,spotify:track:1iet8jwrRWc5lkw8yKXtZN,https://api.spotify.com/v1/tracks/1iet8jwrRWc5lkw8yKXtZN,https://api.spotify.com/v1/audio-analysis/1iet8jwrRWc5lkw8yKXtZN,131349,4,26
0.388,0.00513,9,-34.611,0,0.0782,0.996,0.951,0.107,0.182,68.998,audio_features,7p1k4L6mBsddno0fh5kJtE,spotify:track:7p1k4L6mBsddno0fh5kJtE,https://api.spotify.com/v1/tracks/7p1k4L6mBsddno0fh5kJtE,https://api.spotify.com/v1/audio-analysis/7p1k4L6mBsddno0fh5kJtE,163750,4,54
0.277,0.129,5,-23.857,1,0.0607,0.993,0.909,0.175,0.27,118.425,audio_features,21WB4fVPMcelZNbU5rJkXd,spotify:track:21WB4fVPMcelZNbU5rJkXd,https://api.spotify.com/v1/tracks/21WB4fVPMcelZNbU5rJkXd,https://api.spotify.com/v1/audio-analysis/21WB4fVPMcelZNbU5rJkXd,198827,4,69
0.325,0.039,3,-30.757,1,0.0577,0.996,0.929,0.097,0.235,75.783,audio_features,6oL99CBEXTL8vZ5PpmknXk,spotify:track:6oL99CBEXTL8vZ5PpmknXk,https://api.spotify.com/v1/tracks/6oL99CBEXTL8vZ5PpmknXk,https://api.spotify.com/v1/audio-analysis/6oL99CBEXTL8vZ5PpmknXk,114289,4,65
0.242,0.0668,0,-22.632,0,0.0363,0.991,0.882,0.117,0.133,66.808,audio_features,78ithux17R2xzplbC3JTqn,spotify:track:78ithux17R2xzplbC3JTqn,https://api.spotify.com/v1/tracks/78ithux17R2xzplbC3JTqn,https://api.spotify.com/v1/audio-analysis/78ithux17R2xzplbC3JTqn,242946,3,66
