danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.595,0.434,6,-12.597,0,0.0493,0.279,0.00165,0.101,0.745,83.495,audio_features,28rEMH4xXl10A2u5zpDxJm,spotify:track:28rEMH4xXl10A2u5zpDxJm,https://api.spotify.com/v1/tracks/28rEMH4xXl10A2u5zpDxJm,https://api.spotify.com/v1/audio-analysis/28rEMH4xXl10A2u5zpDxJm,250867,4,36
0.883,0.464,10,-11.251,1,0.0591,0.279,1.51e-05,0.0744,0.925,111.548,audio_features,1aj4GXfmEYXfdVZohCpNKu,spotify:track:1aj4GXfmEYXfdVZohCpNKu,https://api.spotify.com/v1/tracks/1aj4GXfmEYXfdVZohCpNKu,https://api.spotify.com/v1/audio-analysis/1aj4GXfmEYXfdVZohCpNKu,172333,4,70
0.563,0.646,1,-7.029,0,0.0308,0.582,0.197,0.34,0.577,79.784,audio_features,7h5L18CncoiPYGPrh8Tjww,spotify:track:7h5L18CncoiPYGPrh8Tjww,https://api.spotify.com/v1/tracks/7h5L18CncoiPYGPrh8Tjww,https://api.spotify.com/v1/audio-analysis/7h5L18CncoiPYGPrh8Tjww,177447,5,28
0.557,0.537,0,-10.897,1,0.0249,0.0438,0,0.256,0.776,93.71,audio_features,0CAPWEXth5lhYoyD8Dae9B,spotify:track:0CAPWEXth5lhYoyD8Dae9B,https://api.spotify.com/v1/tracks/0CAPWEXth5lhYoyD8Dae9B,https://api.spotify.com/v1/audio-analysis/0CAPWEXth5lhYoyD8Dae9B,164640,4,29
0.698,0.923,7,-5.487,1,0.0628,0.249,5.46e-06,0.0589,0.916,91.276,audio_features,4u7B5Rlz80RsBVdeTGpwEn,spotify:track:4u7B5Rlz80RsBVdeTGpwEn,https://api.spotify.com/v1/tracks/4u7B5Rlz80RsBVdeTGpwEn,https://api.spotify.com/v1/audio-analysis/4u7B5Rlz80RsBVdeTGpwEn,178107,4,27
0.615,0.732,11,-8.4,0,0.0441,0.283,0.00213,0.213,0.882,97.297,audio_features,0Ay7pwWStfH00fpQlEaLFM,spotify:track:0Ay7pwWStfH00fpQlEaLFM,https://api.spotify.com/v1/tracks/0Ay7pwWStfH00fpQlEaLFM,https://api.spotify.com/v1/audio-analysis/0Ay7pwWStfH00fpQlEaLFM,257360,4,35
0.487,0.619,11,-8.526,1,0.0274,0.341,0,0.0717,0.686,105.302,audio_features,1ajJsHKxOwsGYpoFGXe1QL,spotify:track:1ajJsHKxOwsGYpoFGXe1QL,https://api.spotify.com/v1/tracks/1ajJsHKxOwsGYpoFGXe1QL,https://api.spotify.com/v1/audio-analysis/1ajJsHKxOwsGYpoFGXe1QL,195773,4,10
0.535,0.455,9,-10.266,1,0.0281,0.713,8.43e-06,0.107,0.283,140.6,audio_features,77rb1lTjC0lpUA6ylghYL6,spotify:track:77rb1lTjC0lpUA6ylghYL6,https://api.spotify.com/v1/tracks/77rb1lTjC0lpUA6ylghYL6,https://api.spotify.com/v1/audio-analysis/77rb1lTjC0lpUA6ylghYL6,200933,4,6
0.541,0.545,2,-9.595,1,0.0409,0.183,0.00383,0.0527,0.705,77.383,audio_features,6tBnLpw8NNAIgOthHyLgHv,spotify:track:6tBnLpw8NNAIgOthHyLgHv,https://api.spotify.com/v1/tracks/6tBnLpw8NNAIgOthHyLgHv,https://api.spotify.com/v1/audio-analysis/6tBnLpw8NNAIgOthHyLgHv,196867,4,48
0.811,0.515,0,-13.025,1,0.0423,0.0742,2.89e-06,0.0708,0.801,101.961,audio_features,32UD5leqzVpV5TfLmnDSQH,spotify:track:32UD5leqzVpV5TfLmnDSQH,https://api.spotify.com/v1/tracks/32UD5leqzVpV5TfLmnDSQH,https://api.spotify.com/v1/audio-analysis/32UD5leqzVpV5TfLmnDSQH,285360,4,0
