danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,audio_features,7wGoVu4Dady5GV0Sv4UIsx,spotify:track:7wGoVu4Dady5GV0Sv4UIsx,https://api.spotify.com/v1/tracks/7wGoVu4Dady5GV0Sv4UIsx,https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx,218320,4,97
0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,audio_features,0ofbQMrRDsUaVKq2mGLEAb,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,https://api.spotify.com/v1/tracks/0ofbQMrRDsUaVKq2mGLEAb,https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb,216897,4,100
0.756,0.682,9,-6.577,0,0.0753,0.00274,8.85e-06,0.147,0.589,116.008,audio_features,2ekn2ttSfGqwhhate0LSR0,spotify:track:2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,209333,4,96
0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,audio_features,1bhUWB0zJMIKr9yVPrkEuI,spotify:track:1bhUWB0zJMIKr9yVPrkEuI,https://api.spotify.com/v1/tracks/1bhUWB0zJMIKr9yVPrkEuI,https://api.spotify.com/v1/audio-analysis/1bhUWB0zJMIKr9yVPrkEuI,259550,3,89
0.715,0.802,11,-4.647,0,0.0394,0.139,0,0.177,0.327,124.989,audio_features,7EmGUiUaOSGDnUUQUDrOXC,spotify:track:7EmGUiUaOSGDnUUQUDrOXC,https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC,https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC,197993,4,94
0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,audio_features,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,263400,3,97
0.698,0.375,5,-8.279,1,0.0491,0.652,0,0.173,0.534,91.92,audio_features,1mXVgsBdtIVeCLJnSnmtdV,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/tracks/1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/audio-analysis/1mXVgsBdtIVeCLJnSnmtdV,201000,4,93
0.936,0.523,5,-6.71,1,0.0597,0.239,0,0.117,0.699,119.889,audio_features,43ZyHQITOjhciSUUNPVRHc,spotify:track:43ZyHQITOjhciSUUNPVRHc,https://api.spotify.com/v1/tracks/43ZyHQITOjhciSUUNPVRHc,https://api.spotify.com/v1/audio-analysis/43ZyHQITOjhciSUUNPVRHc,124056,4,93
0.659,0.716,5,-5.673,0,0.111,0.33,0,0.173,0.437,148.015,audio_features,6mrKP2jyIQmM0rw6fQryjr,spotify:track:6mrKP2jyIQmM0rw6fQryjr,https://api.spotify.com/v1/tracks/6mrKP2jyIQmM0rw6fQryjr,https://api.spotify.com/v1/audio-analysis/6mrKP2jyIQmM0rw6fQryjr,212120,4,93
0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,audio_features,0bYg9bo50gSsH3LtXe2SQn,spotify:track:0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,241107,4,90
0.795,0.615,5,-5.211,0,0.0671,0.0786,2.98e-06,0.0855,0.393,110.009,audio_features,3hBBKuWJfxlIlnd9QFoC8k,spotify:track:3hBBKuWJfxlIlnd9QFoC8k,https://api.spotify.com/v1/tracks/3hBBKuWJfxlIlnd9QFoC8k,https://api.spotify.com/v1/audio-analysis/3hBBKuWJfxlIlnd9QFoC8k,199849,4,92
0.724,0.895,7,-3.617,1,0.0411,0.0322,0,0.097,0.64,96.022,audio_features,1zsG4eaZmkA1dvjDDsAGLK,spotify:track:1zsG4eaZmkA1dvjDDsAGLK,https://api.spotify.com/v1/tracks/1zsG4eaZmkA1dvjDDsAGLK,https://api.spotify.com/v1/audio-analysis/1zsG4eaZmkA1dvjDDsAGLK,173720,4,90
0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4,91
0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,audio_features,7vGuf3Y35N4wmASOKLUVVU,spotify:track:7vGuf3Y35N4wmASOKLUVVU,https://api.spotify.com/v1/tracks/7vGuf3Y35N4wmASOKLUVVU,https://api.spotify.com/v1/audio-analysis/7vGuf3Y35N4wmASOKLUVVU,180823,4,96
0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,audio_features,1j4kHkkpqZRBwE0A4CN4Yv,spotify:track:1j4kHkkpqZRBwE0A4CN4Yv,https://api.spotify.com/v1/tracks/1j4kHkkpqZRBwE0A4CN4Yv,https://api.spotify.com/v1/audio-analysis/1j4kHkkpqZRBwE0A4CN4Yv,239000,4,96
0.573,0.543,8,-5.357,0,0.0398,0.0777,0,0.199,0.308,143.916,audio_features,75ZvA4QfFiZvzhj2xkaWAh,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,https://api.spotify.com/v1/tracks/75ZvA4QfFiZvzhj2xkaWAh,https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh,223347,4,90
0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,audio_features,3YU6vJbjYUG0tiJyXf9x5V,spotify:track:3YU6vJbjYUG0tiJyXf9x5V,https://api.spotify.com/v1/tracks/3YU6vJbjYUG0tiJyXf9x5V,https://api.spotify.com/v1/audio-analysis/3YU6vJbjYUG0tiJyXf9x5V,268867,4,84
0.798,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949,audio_features,5Z3GHaZ6ec9bsiI5BenrbY,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY,202547,4,94
0.765,0.688,4,-5.566,1,0.0841,0.633,0,0.0734,0.434,90.013,audio_features,42CeaId2XNlxugDvyqHfDf,spotify:track:42CeaId2XNlxugDvyqHfDf,https://api.spotify.com/v1/tracks/42CeaId2XNlxugDvyqHfDf,https://api.spotify.com/v1/audio-analysis/42CeaId2XNlxugDvyqHfDf,229573,4,86
0.659,0.717,8,-4.202,1,0.0581,0.0393,0,0.0769,0.71,103.036,audio_features,5AEtlRudpgdT5FtNiuly6Y,spotify:track:5AEtlRudpgdT5FtNiuly6Y,https://api.spotify.com/v1/tracks/5AEtlRudpgdT5FtNiuly6Y,https://api.spotify.com/v1/audio-analysis/5AEtlRudpgdT5FtNiuly6Y,174800,4,90
0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,audio_features,7GX5flRQZVHRAGd6B4TmDO,spotify:track:7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO,182707,4,89
0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,audio_features,2FRnf9qhLbvw8fu4IBXx78,spotify:track:2FRnf9qhLbvw8fu4IBXx78,https://api.spotify.com/v1/tracks/2FRnf9qhLbvw8fu4IBXx78,https://api.spotify.com/v1/audio-analysis/2FRnf9qhLbvw8fu4IBXx78,262960,4,77
0.629,0.572,5,-7.733,0,0.0387,0.57,0,0.192,0.386,100.015,audio_features,5tz69p7tJuGPeMGwNTxYuV,spotify:track:5tz69p7tJuGPeMGwNTxYuV,https://api.spotify.com/v1/tracks/5tz69p7tJuGPeMGwNTxYuV,https://api.spotify.com/v1/audio-analysis/5tz69p7tJuGPeMGwNTxYuV,250173,4,89
0.849,0.581,1,-5.243,0,0.0767,0.189,3.61e-06,0.0805,0.779,110.008,audio_features,32DGGj6KlNuBr6WaqRxpxi,spotify:track:32DGGj6KlNuBr6WaqRxpxi,https://api.spotify.com/v1/tracks/32DGGj6KlNuBr6WaqRxpxi,https://api.spotify.com/v1/audio-analysis/32DGGj6KlNuBr6WaqRxpxi,198237,4,94
0.807,0.681,11,-6.268,1,0.0983,0.423,0,0.0962,0.676,140.006,audio_features,5hcisvFMidkMJlElTO9Qmw,spotify:track:5hcisvFMidkMJlElTO9Qmw,https://api.spotify.com/v1/tracks/5hcisvFMidkMJlElTO9Qmw,https://api.spotify.com/v1/audio-analysis/5hcisvFMidkMJlElTO9Qmw,297485,4,91
0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,audio_features,0tKcYR2II1VCQWT79i5NrW,spotify:track:0tKcYR2II1VCQWT79i5NrW,https://api.spotify.com/v1/tracks/0tKcYR2II1VCQWT79i5NrW,https://api.spotify.com/v1/audio-analysis/0tKcYR2II1VCQWT79i5NrW,187147,4,90
0.638,0.658,3,-6.318,1,0.0456,0.245,3.77e-06,0.0919,0.33,105.076,audio_features,2xmrfQpmS2iJExTlklLoAL,spotify:track:2xmrfQpmS2iJExTlklLoAL,https://api.spotify.com/v1/tracks/2xmrfQpmS2iJExTlklLoAL,https://api.spotify.com/v1/audio-analysis/2xmrfQpmS2iJExTlklLoAL,205748,4,91
0.627,0.812,6,-4.215,1,0.0358,0.198,0,0.212,0.504,123.071,audio_features,3a1lNhkSLSkpJE4MSHpDu9,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,https://api.spotify.com/v1/tracks/3a1lNhkSLSkpJE4MSHpDu9,https://api.spotify.com/v1/audio-analysis/3a1lNhkSLSkpJE4MSHpDu9,220293,4,87
0.814,0.813,2,-3.023,0,0.0561,0.03,9.33e-05,0.255,0.839,79.997,audio_features,6Za3190Sbw39BBC77WSS1C,spotify:track:6Za3190Sbw39BBC77WSS1C,https://api.spotify.com/v1/tracks/6Za3190Sbw39BBC77WSS1C,https://api.spotify.com/v1/audio-analysis/6Za3190Sbw39BBC77WSS1C,232550,4,91
0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,audio_features,3B54sVLJ402zGa6Xm4YGNe,spotify:track:3B54sVLJ402zGa6Xm4YGNe,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,233902,4,93
0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,audio_features,7iDa6hUg2VgEL1o1HjmfBn,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,163870,4,92
