danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.645,0.671,7,-6.967,0,0.219,0.137,0,0.0543,0.373,193.883,audio_features,2BHCx2cYIA4pJiXdXCicWT,spotify:track:2BHCx2cYIA4pJiXdXCicWT,https://api.spotify.com/v1/tracks/2BHCx2cYIA4pJiXdXCicWT,https://api.spotify.com/v1/audio-analysis/2BHCx2cYIA4pJiXdXCicWT,173444,4,46
0.623,0.8,11,-4.104,1,0.0554,0.164,0,0.359,0.697,150.988,audio_features,7qCfSyTqh4xGeua7hQXT0Z,spotify:track:7qCfSyTqh4xGeua7hQXT0Z,https://api.spotify.com/v1/tracks/7qCfSyTqh4xGeua7hQXT0Z,https://api.spotify.com/v1/audio-analysis/7qCfSyTqh4xGeua7hQXT0Z,184737,4,46
0.742,0.847,11,-2.763,0,0.0485,0.00117,8.49e-06,0.142,0.516,112.95,audio_features,5C2d3tz8WACjmw7T6TthQ2,spotify:track:5C2d3tz8WACjmw7T6TthQ2,https://api.spotify.com/v1/tracks/5C2d3tz8WACjmw7T6TthQ2,https://api.spotify.com/v1/audio-analysis/5C2d3tz8WACjmw7T6TthQ2,209747,4,53
0.658,0.622,5,-6.627,1,0.0385,0.0759,0,0.152,0.333,108.041,audio_features,7eUtsnBNOWfWDObBZyU4F4,spotify:track:7eUtsnBNOWfWDObBZyU4F4,https://api.spotify.com/v1/tracks/7eUtsnBNOWfWDObBZyU4F4,https://api.spotify.com/v1/audio-analysis/7eUtsnBNOWfWDObBZyU4F4,184527,4,56
0.68,0.938,9,-2.653,0,0.0513,0.0526,0,0.0782,0.619,120.001,audio_features,3b4ccfq2721B3WKvTwyQZo,spotify:track:3b4ccfq2721B3WKvTwyQZo,https://api.spotify.com/v1/tracks/3b4ccfq2721B3WKvTwyQZo,https://api.spotify.com/v1/audio-analysis/3b4ccfq2721B3WKvTwyQZo,186658,4,41
0.63,0.924,5,-3.516,0,0.0946,0.00812,1.24e-06,0.297,0.55,165.028,audio_features,6VByt06G0aG7VDp89l7nYI,spotify:track:6VByt06G0aG7VDp89l7nYI,https://api.spotify.com/v1/tracks/6VByt06G0aG7VDp89l7nYI,https://api.spotify.com/v1/audio-analysis/6VByt06G0aG7VDp89l7nYI,192379,4,41
0.76,0.903,4,-2.752,0,0.224,0.122,0,0.181,0.437,116.878,audio_features,7iwOxgVZHdshENiotWuy4a,spotify:track:7iwOxgVZHdshENiotWuy4a,https://api.spotify.com/v1/tracks/7iwOxgVZHdshENiotWuy4a,https://api.spotify.com/v1/audio-analysis/7iwOxgVZHdshENiotWuy4a,187307,4,50
0.72,0.905,4,-1.041,0,0.0358,0.418,0.000652,0.149,0.46,132.01,audio_features,6ve3r62aFa708CuICfbY5P,spotify:track:6ve3r62aFa708CuICfbY5P,https://api.spotify.com/v1/tracks/6ve3r62aFa708CuICfbY5P,https://api.spotify.com/v1/audio-analysis/6ve3r62aFa708CuICfbY5P,207824,4,51
0.701,0.9,1,-3.446,1,0.195,0.0974,0,0.277,0.904,117.101,audio_features,3EyW9SN8CaFmDP0BIgnOjK,spotify:track:3EyW9SN8CaFmDP0BIgnOjK,https://api.spotify.com/v1/tracks/3EyW9SN8CaFmDP0BIgnOjK,https://api.spotify.com/v1/audio-analysis/3EyW9SN8CaFmDP0BIgnOjK,189823,4,51
0.689,0.865,2,-2.14,0,0.0844,0.453,0,0.337,0.875,101.993,audio_features,11FLXnunjdgkcOZudcHoS4,spotify:track:11FLXnunjdgkcOZudcHoS4,https://api.spotify.com/v1/tracks/11FLXnunjdgkcOZudcHoS4,https://api.spotify.com/v1/audio-analysis/11FLXnunjdgkcOZudcHoS4,201253,4,50
