danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.4,0.868,11,-5.988,0,0.203,0.0112,0.0685,0.27,0.57,180.261,audio_features,0fYVliAYKHuPmECRs1pbRf,spotify:track:0fYVliAYKHuPmECRs1pbRf,https://api.spotify.com/v1/tracks/0fYVliAYKHuPmECRs1pbRf,https://api.spotify.com/v1/audio-analysis/0fYVliAYKHuPmECRs1pbRf,195199,4,69
0.282,0.91,9,-3.614,1,0.0474,1.95e-06,1.52e-06,0.427,0.153,81.552,audio_features,4YJ4OA6TGtSSujark8pU8J,spotify:track:4YJ4OA6TGtSSujark8pU8J,https://api.spotify.com/v1/tracks/4YJ4OA6TGtSSujark8pU8J,https://api.spotify.com/v1/audio-analysis/4YJ4OA6TGtSSujark8pU8J,246293,4,2
0.427,0.868,7,-4.561,0,0.0559,0.000249,0.000542,0.0633,0.39,133.059,audio_features,2W1NDIRXfBnIxBcnTIxE7p,spotify:track:2W1NDIRXfBnIxBcnTIxE7p,https://api.spotify.com/v1/tracks/2W1NDIRXfBnIxBcnTIxE7p,https://api.spotify.com/v1/audio-analysis/2W1NDIRXfBnIxBcnTIxE7p,236809,4,2
0.475,0.792,4,-1.717,1,0.0357,0.000555,0.00112,0.127,0.563,94.057,audio_features,5jlRFJpxfsUKHlKFowSjH6,spotify:track:5jlRFJpxfsUKHlKFowSjH6,https://api.spotify.com/v1/tracks/5jlRFJpxfsUKHlKFowSjH6,https://api.spotify.com/v1/audio-analysis/5jlRFJpxfsUKHlKFowSjH6,225520,4,39
0.488,0.909,10,-6.591,1,0.0929,0.0011,1.02e-05,0.456,0.643,129.774,audio_features,1KDYN3odJHnj9pqGHN3FVs,spotify:track:1KDYN3odJHnj9pqGHN3FVs,https://api.spotify.com/v1/tracks/1KDYN3odJHnj9pqGHN3FVs,https://api.spotify.com/v1/audio-analysis/1KDYN3odJHnj9pqGHN3FVs,244400,4,63
0.348,0.897,11,-4.488,1,0.0478,0.00115,0.000869,0.369,0.579,127.954,audio_features,7iDPOnnIRfhsau33KevZ2r,spotify:track:7iDPOnnIRfhsau33KevZ2r,https://api.spotify.com/v1/tracks/7iDPOnnIRfhsau33KevZ2r,https://api.spotify.com/v1/audio-analysis/7iDPOnnIRfhsau33KevZ2r,236453,4,48
0.473,0.848,6,-4.745,0,0.0371,4.42e-05,0.915,0.645,0.432,125.99,audio_features,5ciVbeefBaNOmaDXsN0amO,spotify:track:5ciVbeefBaNOmaDXsN0amO,https://api.spotify.com/v1/tracks/5ciVbeefBaNOmaDXsN0amO,https://api.spotify.com/v1/audio-analysis/5ciVbeefBaNOmaDXsN0amO,212853,4,48
0.419,0.803,11,-5.498,1,0.246,0.032,3.7e-05,0.206,0.764,86.958,audio_features,104pmtTQOlmW8Zt2BipGKH,spotify:track:104pmtTQOlmW8Zt2BipGKH,https://api.spotify.com/v1/tracks/104pmtTQOlmW8Zt2BipGKH,https://api.spotify.com/v1/audio-analysis/104pmtTQOlmW8Zt2BipGKH,160067,4,61
0.314,0.648,11,-4.556,0,0.0425,0.0229,0,0.129,0.153,113.047,audio_features,09Ua1o00SlYsiN7Mn3t7ji,spotify:track:09Ua1o00SlYsiN7Mn3t7ji,https://api.spotify.com/v1/tracks/09Ua1o00SlYsiN7Mn3t7ji,https://api.spotify.com/v1/audio-analysis/09Ua1o00SlYsiN7Mn3t7ji,216176,4,4
0.454,0.882,5,-4.251,1,0.06,0.00122,0.00156,0.138,0.497,95.999,audio_features,3cuxZTcxBj7AL3bgSCIuWL,spotify:track:3cuxZTcxBj7AL3bgSCIuWL,https://api.spotify.com/v1/tracks/3cuxZTcxBj7AL3bgSCIuWL,https://api.spotify.com/v1/audio-analysis/3cuxZTcxBj7AL3bgSCIuWL,212310,4,52
