danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.137,0.89,4,-6.193,0,0.0685,0.00707,0.764,0.367,0.353,155.787,audio_features,3nZcGE8cxQJ5zYlBFSCxOE,spotify:track:3nZcGE8cxQJ5zYlBFSCxOE,https://api.spotify.com/v1/tracks/3nZcGE8cxQJ5zYlBFSCxOE,https://api.spotify.com/v1/audio-analysis/3nZcGE8cxQJ5zYlBFSCxOE,252411,4,26
0.354,0.994,4,-1.859,1,0.0652,0.000143,3.34e-05,0.352,0.279,90.02,audio_features,2K6Zk9lKbzAGjjfZbg59Ia,spotify:track:2K6Zk9lKbzAGjjfZbg59Ia,https://api.spotify.com/v1/tracks/2K6Zk9lKbzAGjjfZbg59Ia,https://api.spotify.com/v1/audio-analysis/2K6Zk9lKbzAGjjfZbg59Ia,276200,4,36
0.279,0.928,9,-4.464,1,0.061,2.11e-06,0.891,0.217,0.299,159.939,audio_features,4BVFRIMaiB8rqv4L44byOP,spotify:track:4BVFRIMaiB8rqv4L44byOP,https://api.spotify.com/v1/tracks/4BVFRIMaiB8rqv4L44byOP,https://api.spotify.com/v1/audio-analysis/4BVFRIMaiB8rqv4L44byOP,148473,4,0
0.479,0.941,1,-5.465,1,0.071,6.17e-06,7.55e-06,0.136,0.51,103.073,audio_features,2k9mJnpbcK0arsipeWRo58,spotify:track:2k9mJnpbcK0arsipeWRo58,https://api.spotify.com/v1/tracks/2k9mJnpbcK0arsipeWRo58,https://api.spotify.com/v1/audio-analysis/2k9mJnpbcK0arsipeWRo58,183344,4,20
0.335,0.936,2,-2.056,1,0.0797,0.00175,4.81e-06,0.14,0.436,177.422,audio_features,0TAdCcos3CeggoYUXmURGb,spotify:track:0TAdCcos3CeggoYUXmURGb,https://api.spotify.com/v1/tracks/0TAdCcos3CeggoYUXmURGb,https://api.spotify.com/v1/audio-analysis/0TAdCcos3CeggoYUXmURGb,148120,4,0
0.221,0.908,2,-3.947,1,0.0702,1.72e-05,5.13e-06,0.501,0.271,161.935,audio_features,6sJkmhwL99ZbIG0pkilVzJ,spotify:track:6sJkmhwL99ZbIG0pkilVzJ,https://api.spotify.com/v1/tracks/6sJkmhwL99ZbIG0pkilVzJ,https://api.spotify.com/v1/audio-analysis/6sJkmhwL99ZbIG0pkilVzJ,148224,4,0
0.613,0.918,1,-3.252,1,0.156,0.238,0.137,0.108,0.591,100.817,audio_features,5XW3v6HJQWmPlOFnLG4k4D,spotify:track:5XW3v6HJQWmPlOFnLG4k4D,https://api.spotify.com/v1/tracks/5XW3v6HJQWmPlOFnLG4k4D,https://api.spotify.com/v1/audio-analysis/5XW3v6HJQWmPlOFnLG4k4D,232530,4,5
0.416,0.948,4,-4.641,1,0.0709,0.0013,2.69e-05,0.218,0.536,160.048,audio_features,2r4McaL32hlU1DwwDnGNBF,spotify:track:2r4McaL32hlU1DwwDnGNBF,https://api.spotify.com/v1/tracks/2r4McaL32hlU1DwwDnGNBF,https://api.spotify.com/v1/audio-analysis/2r4McaL32hlU1DwwDnGNBF,194288,4,26
0.306,0.882,4,-1.203,0,0.0479,0.0202,0.723,0.383,0.265,154.287,audio_features,1TM6IESqUsm8Li1SkMIQsF,spotify:track:1TM6IESqUsm8Li1SkMIQsF,https://api.spotify.com/v1/tracks/1TM6IESqUsm8Li1SkMIQsF,https://api.spotify.com/v1/audio-analysis/1TM6IESqUsm8Li1SkMIQsF,223864,4,26
0.508,0.667,9,-7.63,0,0.0452,0.113,0.0202,0.119,0.469,144.984,audio_features,1qkzRGsiP90ZMjz8Bs97eg,spotify:track:1qkzRGsiP90ZMjz8Bs97eg,https://api.spotify.com/v1/tracks/1qkzRGsiP90ZMjz8Bs97eg,https://api.spotify.com/v1/audio-analysis/1qkzRGsiP90ZMjz8Bs97eg,231086,4,37
0.454,0.663,5,-8.54,1,0.0415,0.407,0.0466,0.0913,0.463,173.988,audio_features,0QEHU0ZccfSXYUpF2iVUab,spotify:track:0QEHU0ZccfSXYUpF2iVUab,https://api.spotify.com/v1/tracks/0QEHU0ZccfSXYUpF2iVUab,https://api.spotify.com/v1/audio-analysis/0QEHU0ZccfSXYUpF2iVUab,285533,4,59
0.342,0.978,9,-3.55,1,0.0969,0.174,0.345,0.1,0.252,171.348,audio_features,2irFDtyw34II0pdCWIOBaN,spotify:track:2irFDtyw34II0pdCWIOBaN,https://api.spotify.com/v1/tracks/2irFDtyw34II0pdCWIOBaN,https://api.spotify.com/v1/audio-analysis/2irFDtyw34II0pdCWIOBaN,219080,4,40
0.342,0.977,9,-6.309,1,0.0564,0.00131,0.00021,0.211,0.727,108.989,audio_features,2y2Ntoc7ZS3mCBZKnZC8K0,spotify:track:2y2Ntoc7ZS3mCBZKnZC8K0,https://api.spotify.com/v1/tracks/2y2Ntoc7ZS3mCBZKnZC8K0,https://api.spotify.com/v1/audio-analysis/2y2Ntoc7ZS3mCBZKnZC8K0,139880,4,1
0.331,0.913,5,-2.929,1,0.0367,1.53e-05,0.0225,0.131,0.818,207.838,audio_features,2x4F1O1fGO6yj860N2Or0N,spotify:track:2x4F1O1fGO6yj860N2Or0N,https://api.spotify.com/v1/tracks/2x4F1O1fGO6yj860N2Or0N,https://api.spotify.com/v1/audio-analysis/2x4F1O1fGO6yj860N2Or0N,198880,4,50
0.416,0.815,2,-5.184,1,0.0482,3.26e-05,0.104,0.166,0.697,155.86,audio_features,7dES51jQZhXiD0XNHfkY2S,spotify:track:7dES51jQZhXiD0XNHfkY2S,https://api.spotify.com/v1/tracks/7dES51jQZhXiD0XNHfkY2S,https://api.spotify.com/v1/audio-analysis/7dES51jQZhXiD0XNHfkY2S,182745,4,47
0.517,0.88,10,-5.792,1,0.0688,0.0208,0,0.0889,0.4,138.057,audio_features,1MUnXmO54AmbeqOOdKHzFP,spotify:track:1MUnXmO54AmbeqOOdKHzFP,https://api.spotify.com/v1/tracks/1MUnXmO54AmbeqOOdKHzFP,https://api.spotify.com/v1/audio-analysis/1MUnXmO54AmbeqOOdKHzFP,209320,4,2
0.541,0.814,6,-7.586,0,0.0538,0.0124,0.000154,0.28,0.414,80.014,audio_features,4BCoS3K75lpvph7Lu00iKY,spotify:track:4BCoS3K75lpvph7Lu00iKY,https://api.spotify.com/v1/tracks/4BCoS3K75lpvph7Lu00iKY,https://api.spotify.com/v1/audio-analysis/4BCoS3K75lpvph7Lu00iKY,187653,4,2
0.382,0.846,2,-5.08,1,0.0482,0.000709,0.868,0.386,0.417,157.029,audio_features,5QUvsBhCjKfCtCbusmQim8,spotify:track:5QUvsBhCjKfCtCbusmQim8,https://api.spotify.com/v1/tracks/5QUvsBhCjKfCtCbusmQim8,https://api.spotify.com/v1/audio-analysis/5QUvsBhCjKfCtCbusmQim8,258867,4,22
0.528,0.858,7,-4.536,1,0.0493,0.00118,1.56e-06,0.282,0.219,100.032,audio_features,1xa5lmjPwKj1LVXpxM7HHW,spotify:track:1xa5lmjPwKj1LVXpxM7HHW,https://api.spotify.com/v1/tracks/1xa5lmjPwKj1LVXpxM7HHW,https://api.spotify.com/v1/audio-analysis/1xa5lmjPwKj1LVXpxM7HHW,226395,4,61
0.462,0.928,9,-3.743,1,0.124,0.0781,0,0.264,0.416,124.931,audio_features,31umqew70CgWOjymDjBVht,spotify:track:31umqew70CgWOjymDjBVht,https://api.spotify.com/v1/tracks/31umqew70CgWOjymDjBVht,https://api.spotify.com/v1/audio-analysis/31umqew70CgWOjymDjBVht,208097,4,22
