danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.781,0.645,6,-6.202,1,0.0297,0.0434,1.75e-06,0.127,0.961,120.983,audio_features,4YW2R3AqcfQEiWEYkcq2AH,spotify:track:4YW2R3AqcfQEiWEYkcq2AH,https://api.spotify.com/v1/tracks/4YW2R3AqcfQEiWEYkcq2AH,https://api.spotify.com/v1/audio-analysis/4YW2R3AqcfQEiWEYkcq2AH,216613,4,42
0.745,0.876,5,-5.655,0,0.0285,0.0057,1.09e-06,0.147,0.931,115.978,audio_features,45u89A07YEku6NRlwyvkLJ,spotify:track:45u89A07YEku6NRlwyvkLJ,https://api.spotify.com/v1/tracks/45u89A07YEku6NRlwyvkLJ,https://api.spotify.com/v1/audio-analysis/45u89A07YEku6NRlwyvkLJ,187480,4,4
0.377,0.937,5,-4.898,1,0.0649,5.17e-05,0.578,0.0676,0.375,120.532,audio_features,7J7z5NYNlEwv5cIcjbNVHi,spotify:track:7J7z5NYNlEwv5cIcjbNVHi,https://api.spotify.com/v1/tracks/7J7z5NYNlEwv5cIcjbNVHi,https://api.spotify.com/v1/audio-analysis/7J7z5NYNlEwv5cIcjbNVHi,251333,4,58
0.757,0.701,6,-6.054,1,0.0414,0.035,0.00228,0.32,0.739,120.005,audio_features,4Xmi5NF1gh6ACPO5fX9HbQ,spotify:track:4Xmi5NF1gh6ACPO5fX9HbQ,https://api.spotify.com/v1/tracks/4Xmi5NF1gh6ACPO5fX9HbQ,https://api.spotify.com/v1/audio-analysis/4Xmi5NF1gh6ACPO5fX9HbQ,187853,4,51
0.606,0.758,5,-5.721,0,0.027,0.000289,0.11,0.143,0.435,116.043,audio_features,4jozjPDv6YVVDmDqDQqyTf,spotify:track:4jozjPDv6YVVDmDqDQqyTf,https://api.spotify.com/v1/tracks/4jozjPDv6YVVDmDqDQqyTf,https://api.spotify.com/v1/audio-analysis/4jozjPDv6YVVDmDqDQqyTf,219052,4,47
0.674,0.841,5,-7.056,0,0.0575,0.663,0.509,0.217,0.588,110.012,audio_features,1vOMVuIa9B7G5MRK40mcE1,spotify:track:1vOMVuIa9B7G5MRK40mcE1,https://api.spotify.com/v1/tracks/1vOMVuIa9B7G5MRK40mcE1,https://api.spotify.com/v1/audio-analysis/1vOMVuIa9B7G5MRK40mcE1,194880,4,43
0.648,0.673,2,-9.872,1,0.0452,0.0259,0.924,0.388,0.788,120.008,audio_features,6N2kBsYvZaS7tO5awPcnSV,spotify:track:6N2kBsYvZaS7tO5awPcnSV,https://api.spotify.com/v1/tracks/6N2kBsYvZaS7tO5awPcnSV,https://api.spotify.com/v1/audio-analysis/6N2kBsYvZaS7tO5awPcnSV,220639,4,47
0.564,0.778,9,-6.763,1,0.0369,0.000101,0.00682,0.0661,0.616,120.012,audio_features,0A4nmNFa3HNGiyJLGoHJUg,spotify:track:0A4nmNFa3HNGiyJLGoHJUg,https://api.spotify.com/v1/tracks/0A4nmNFa3HNGiyJLGoHJUg,https://api.spotify.com/v1/audio-analysis/0A4nmNFa3HNGiyJLGoHJUg,187053,4,51
0.633,0.884,9,-4.158,0,0.0369,0.00501,1.93e-05,0.134,0.448,111.98,audio_features,2JGSZk5y65ZF79mtDz0o9r,spotify:track:2JGSZk5y65ZF79mtDz0o9r,https://api.spotify.com/v1/tracks/2JGSZk5y65ZF79mtDz0o9r,https://api.spotify.com/v1/audio-analysis/2JGSZk5y65ZF79mtDz0o9r,264000,4,41
0.714,0.928,1,-2.808,1,0.071,0.02,5.49e-06,0.321,0.763,122.059,audio_features,3raa3sIRboBZqJXsBwuuNG,spotify:track:3raa3sIRboBZqJXsBwuuNG,https://api.spotify.com/v1/tracks/3raa3sIRboBZqJXsBwuuNG,https://api.spotify.com/v1/audio-analysis/3raa3sIRboBZqJXsBwuuNG,133067,4,34
0.739,0.82,5,-6.099,0,0.0889,0.00823,0,0.2,0.775,127.984,audio_features,0CaHZUniQtDRZleX6XK9p7,spotify:track:0CaHZUniQtDRZleX6XK9p7,https://api.spotify.com/v1/tracks/0CaHZUniQtDRZleX6XK9p7,https://api.spotify.com/v1/audio-analysis/0CaHZUniQtDRZleX6XK9p7,228027,4,49
0.488,0.909,10,-6.591,1,0.0929,0.0011,1.02e-05,0.456,0.643,129.774,audio_features,0bfY17lNbEp2Wnw6YipXQB,spotify:track:0bfY17lNbEp2Wnw6YipXQB,https://api.spotify.com/v1/tracks/0bfY17lNbEp2Wnw6YipXQB,https://api.spotify.com/v1/audio-analysis/0bfY17lNbEp2Wnw6YipXQB,244400,4,49
0.767,0.575,1,-7.488,1,0.0325,0.145,0.000905,0.115,0.796,130.021,audio_features,37XOspstV7PLZqMP1c4frp,spotify:track:37XOspstV7PLZqMP1c4frp,https://api.spotify.com/v1/tracks/37XOspstV7PLZqMP1c4frp,https://api.spotify.com/v1/audio-analysis/37XOspstV7PLZqMP1c4frp,216360,4,43
0.499,0.697,4,-5.871,1,0.0474,0.325,0.0895,0.271,0.41,127.964,audio_features,6GOBlG8lzGF9K8lyJdndvI,spotify:track:6GOBlG8lzGF9K8lyJdndvI,https://api.spotify.com/v1/tracks/6GOBlG8lzGF9K8lyJdndvI,https://api.spotify.com/v1/audio-analysis/6GOBlG8lzGF9K8lyJdndvI,249293,4,18
0.641,0.518,6,-8.565,0,0.0255,0.0232,0.734,0.117,0.234,127.649,audio_features,6iRuPEB8pTRCsb6fyoUivj,spotify:track:6iRuPEB8pTRCsb6fyoUivj,https://api.spotify.com/v1/tracks/6iRuPEB8pTRCsb6fyoUivj,https://api.spotify.com/v1/audio-analysis/6iRuPEB8pTRCsb6fyoUivj,388467,4,26
0.637,0.84,4,-4.556,1,0.045,0.00285,0,0.357,0.668,129.974,audio_features,482nc1OVq3aK12gyW0Y6fV,spotify:track:482nc1OVq3aK12gyW0Y6fV,https://api.spotify.com/v1/tracks/482nc1OVq3aK12gyW0Y6fV,https://api.spotify.com/v1/audio-analysis/482nc1OVq3aK12gyW0Y6fV,144187,4,49
0.421,0.89,9,-7.883,0,0.298,0.0681,0.000293,0.231,0.237,129.876,audio_features,0QUKwjhViAZmpRQyxZkxMc,spotify:track:0QUKwjhViAZmpRQyxZkxMc,https://api.spotify.com/v1/tracks/0QUKwjhViAZmpRQyxZkxMc,https://api.spotify.com/v1/audio-analysis/0QUKwjhViAZmpRQyxZkxMc,250754,4,0
0.694,0.527,7,-8.371,1,0.0721,0.00777,0.323,0.0924,0.571,128.458,audio_features,3ZAhx0O6lu3DJDDOfo2fRu,spotify:track:3ZAhx0O6lu3DJDDOfo2fRu,https://api.spotify.com/v1/tracks/3ZAhx0O6lu3DJDDOfo2fRu,https://api.spotify.com/v1/audio-analysis/3ZAhx0O6lu3DJDDOfo2fRu,215293,4,28
0.534,0.721,11,-7.307,0,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,audio_features,1UqhkbzB1kuFwt2iy4h29Q,spotify:track:1UqhkbzB1kuFwt2iy4h29Q,https://api.spotify.com/v1/tracks/1UqhkbzB1kuFwt2iy4h29Q,https://api.spotify.com/v1/audio-analysis/1UqhkbzB1kuFwt2iy4h29Q,249520,3,69
0.691,0.937,10,-4.123,1,0.0391,0.432,0.0546,0.102,0.824,136.995,audio_features,75dPA4e9zmNGZCMnTxHj6P,spotify:track:75dPA4e9zmNGZCMnTxHj6P,https://api.spotify.com/v1/tracks/75dPA4e9zmNGZCMnTxHj6P,https://api.spotify.com/v1/audio-analysis/75dPA4e9zmNGZCMnTxHj6P,239307,4,59
0.783,0.67,10,-6.25,1,0.0377,0.0317,0.00493,0.108,0.944,130.002,audio_features,1Mrn15NDYhnbevMaYxlzt5,spotify:track:1Mrn15NDYhnbevMaYxlzt5,https://api.spotify.com/v1/tracks/1Mrn15NDYhnbevMaYxlzt5,https://api.spotify.com/v1/audio-analysis/1Mrn15NDYhnbevMaYxlzt5,185400,4,23
0.471,0.847,6,-4.758,0,0.0371,4.63e-05,0.903,0.645,0.446,125.98,audio_features,3gv2PqVL3jXV8gcWaXITS4,spotify:track:3gv2PqVL3jXV8gcWaXITS4,https://api.spotify.com/v1/tracks/3gv2PqVL3jXV8gcWaXITS4,https://api.spotify.com/v1/audio-analysis/3gv2PqVL3jXV8gcWaXITS4,212853,4,39
