danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.356,0.923,11,-4.039,1,0.0461,0.00027,0.0145,0.0907,0.464,122.361,audio_features,6lJD54uUB13ghMnUmdHQ3R,spotify:track:6lJD54uUB13ghMnUmdHQ3R,https://api.spotify.com/v1/tracks/6lJD54uUB13ghMnUmdHQ3R,https://api.spotify.com/v1/audio-analysis/6lJD54uUB13ghMnUmdHQ3R,192427,4,18
0.475,0.836,4,-5.446,1,0.0529,0.0175,0,0.104,0.723,123.144,audio_features,3wf3jWAQHsnPNfUtNSQvkz,spotify:track:3wf3jWAQHsnPNfUtNSQvkz,https://api.spotify.com/v1/tracks/3wf3jWAQHsnPNfUtNSQvkz,https://api.spotify.com/v1/audio-analysis/3wf3jWAQHsnPNfUtNSQvkz,180173,4,52
0.96,0.364,9,-10.324,0,0.0659,0.0515,0.0729,0.0838,0.823,125.477,audio_features,0fOGjnTbCLql0kYEyQoyfF,spotify:track:0fOGjnTbCLql0kYEyQoyfF,https://api.spotify.com/v1/tracks/0fOGjnTbCLql0kYEyQoyfF,https://api.spotify.com/v1/audio-analysis/0fOGjnTbCLql0kYEyQoyfF,296667,4,7
0.515,0.587,9,-5.058,1,0.118,0.011,0.0143,0.169,0.581,122.831,audio_features,5qEZCwYHFq1cTsuUhjXM3u,spotify:track:5qEZCwYHFq1cTsuUhjXM3u,https://api.spotify.com/v1/tracks/5qEZCwYHFq1cTsuUhjXM3u,https://api.spotify.com/v1/audio-analysis/5qEZCwYHFq1cTsuUhjXM3u,217547,4,6
0.603,0.946,10,-4.273,0,0.0401,0.0735,0.235,0.789,0.566,126.001,audio_features,1UZUx1UXiptgOsrllZyKQs,spotify:track:1UZUx1UXiptgOsrllZyKQs,https://api.spotify.com/v1/tracks/1UZUx1UXiptgOsrllZyKQs,https://api.spotify.com/v1/audio-analysis/1UZUx1UXiptgOsrllZyKQs,277387,4,26
0.579,0.908,7,-2.699,0,0.0305,0.00723,0.00041,0.189,0.54,124.984,audio_features,2x71TCddP7QTNxl5sblGWM,spotify:track:2x71TCddP7QTNxl5sblGWM,https://api.spotify.com/v1/tracks/2x71TCddP7QTNxl5sblGWM,https://api.spotify.com/v1/audio-analysis/2x71TCddP7QTNxl5sblGWM,251039,4,0
0.319,0.83,8,-5.144,1,0.0313,0.000375,6.5e-06,0.0651,0.35,123.593,audio_features,1WpeVrIzyJmfhA68p2SRH2,spotify:track:1WpeVrIzyJmfhA68p2SRH2,https://api.spotify.com/v1/tracks/1WpeVrIzyJmfhA68p2SRH2,https://api.spotify.com/v1/audio-analysis/1WpeVrIzyJmfhA68p2SRH2,285373,4,30
0.865,0.65,9,-8.025,0,0.101,0.0249,0.000391,0.102,0.557,120.03,audio_features,5OAv07sMKALt6qWV3q90J8,spotify:track:5OAv07sMKALt6qWV3q90J8,https://api.spotify.com/v1/tracks/5OAv07sMKALt6qWV3q90J8,https://api.spotify.com/v1/audio-analysis/5OAv07sMKALt6qWV3q90J8,274013,4,35
0.669,0.389,0,-11.547,1,0.0306,0.605,0.16,0.0905,0.649,130.015,audio_features,5IXopLipnMznYNwLB9MzYi,spotify:track:5IXopLipnMznYNwLB9MzYi,https://api.spotify.com/v1/tracks/5IXopLipnMznYNwLB9MzYi,https://api.spotify.com/v1/audio-analysis/5IXopLipnMznYNwLB9MzYi,231173,4,54
0.791,0.448,5,-9.882,1,0.0438,0.0106,0.0195,0.105,0.767,128.019,audio_features,3y7fk26A1dl2UZ4B1wX6ao,spotify:track:3y7fk26A1dl2UZ4B1wX6ao,https://api.spotify.com/v1/tracks/3y7fk26A1dl2UZ4B1wX6ao,https://api.spotify.com/v1/audio-analysis/3y7fk26A1dl2UZ4B1wX6ao,276365,4,0
0.718,0.776,11,-3.868,1,0.0364,0.0322,0.0356,0.0706,0.897,132.001,audio_features,3oZFrabzEvkK2RL2SapqQG,spotify:track:3oZFrabzEvkK2RL2SapqQG,https://api.spotify.com/v1/tracks/3oZFrabzEvkK2RL2SapqQG,https://api.spotify.com/v1/audio-analysis/3oZFrabzEvkK2RL2SapqQG,216427,4,32
0.646,0.892,10,-5.015,1,0.0331,0.0021,0.00626,0.117,0.931,119.998,audio_features,2tXTFiixx0bRIwrs5bKI7U,spotify:track:2tXTFiixx0bRIwrs5bKI7U,https://api.spotify.com/v1/tracks/2tXTFiixx0bRIwrs5bKI7U,https://api.spotify.com/v1/audio-analysis/2tXTFiixx0bRIwrs5bKI7U,219754,4,0
0.783,0.716,5,-3.81,0,0.0441,0.0271,0.417,0.0769,0.696,125.024,audio_features,6YChPbZ5LDKYaLEjUcrEmD,spotify:track:6YChPbZ5LDKYaLEjUcrEmD,https://api.spotify.com/v1/tracks/6YChPbZ5LDKYaLEjUcrEmD,https://api.spotify.com/v1/audio-analysis/6YChPbZ5LDKYaLEjUcrEmD,347871,4,18
0.727,0.678,10,-5.136,1,0.0625,0.0797,0.000564,0.115,0.204,119.955,audio_features,4dI4oscajpdtjpg2dP1x28,spotify:track:4dI4oscajpdtjpg2dP1x28,https://api.spotify.com/v1/tracks/4dI4oscajpdtjpg2dP1x28,https://api.spotify.com/v1/audio-analysis/4dI4oscajpdtjpg2dP1x28,163236,4,49
0.686,0.733,7,-4.733,1,0.0294,0.2,0.0014,0.072,0.783,123.534,audio_features,1AQg7H4Ohu6s3qzq4m1KrN,spotify:track:1AQg7H4Ohu6s3qzq4m1KrN,https://api.spotify.com/v1/tracks/1AQg7H4Ohu6s3qzq4m1KrN,https://api.spotify.com/v1/audio-analysis/1AQg7H4Ohu6s3qzq4m1KrN,192813,4,46
0.724,0.657,0,-6.293,1,0.0294,0.0845,0.653,0.257,0.83,124.018,audio_features,0OJY2GhztSPXFgd0xjqHrL,spotify:track:0OJY2GhztSPXFgd0xjqHrL,https://api.spotify.com/v1/tracks/0OJY2GhztSPXFgd0xjqHrL,https://api.spotify.com/v1/audio-analysis/0OJY2GhztSPXFgd0xjqHrL,231255,4,26
0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,audio_features,13P5rwmk2EsoFRIz9UCeh9,spotify:track:13P5rwmk2EsoFRIz9UCeh9,https://api.spotify.com/v1/tracks/13P5rwmk2EsoFRIz9UCeh9,https://api.spotify.com/v1/audio-analysis/13P5rwmk2EsoFRIz9UCeh9,237627,4,70
0.804,0.701,0,-6.603,1,0.0463,0.066,0.0388,0.0778,0.819,118.009,audio_features,44wPeN7IF1bC97YQukd4bJ,spotify:track:44wPeN7IF1bC97YQukd4bJ,https://api.spotify.com/v1/tracks/44wPeN7IF1bC97YQukd4bJ,https://api.spotify.com/v1/audio-analysis/44wPeN7IF1bC97YQukd4bJ,245714,4,0
0.749,0.82,10,-5.755,0,0.034,0.00157,1.22e-06,0.279,0.721,109.558,audio_features,58F6iKkYdIccktJ8i8BuQQ,spotify:track:58F6iKkYdIccktJ8i8BuQQ,https://api.spotify.com/v1/tracks/58F6iKkYdIccktJ8i8BuQQ,https://api.spotify.com/v1/audio-analysis/58F6iKkYdIccktJ8i8BuQQ,180120,4,47
0.753,0.989,6,-4.585,1,0.11,0.308,0.861,0.345,0.819,130.959,audio_features,36iH5eNcnJiNgzyoCOljyS,spotify:track:36iH5eNcnJiNgzyoCOljyS,https://api.spotify.com/v1/tracks/36iH5eNcnJiNgzyoCOljyS,https://api.spotify.com/v1/audio-analysis/36iH5eNcnJiNgzyoCOljyS,207760,4,0
0.711,0.775,1,-4.04,1,0.0295,0.316,0,0.102,0.746,125.044,audio_features,6vpW6Viyu6ndZGlUErli1P,spotify:track:6vpW6Viyu6ndZGlUErli1P,https://api.spotify.com/v1/tracks/6vpW6Viyu6ndZGlUErli1P,https://api.spotify.com/v1/audio-analysis/6vpW6Viyu6ndZGlUErli1P,265160,4,7
0.639,0.918,0,-5.041,1,0.0453,0.00108,3.86e-05,0.0372,0.798,129.983,audio_features,4pMoAX2wRvrn57rC0VQcX0,spotify:track:4pMoAX2wRvrn57rC0VQcX0,https://api.spotify.com/v1/tracks/4pMoAX2wRvrn57rC0VQcX0,https://api.spotify.com/v1/audio-analysis/4pMoAX2wRvrn57rC0VQcX0,265160,4,28
0.845,0.746,5,-5.655,0,0.0383,0.225,8.8e-05,0.0785,0.961,129.97,audio_features,4rh7wySe2iEyEDEEzstKkt,spotify:track:4rh7wySe2iEyEDEEzstKkt,https://api.spotify.com/v1/tracks/4rh7wySe2iEyEDEEzstKkt,https://api.spotify.com/v1/audio-analysis/4rh7wySe2iEyEDEEzstKkt,238680,4,47
0.729,0.74,9,-5.444,1,0.0258,0.00226,0.0305,0.13,0.966,115.984,audio_features,5KBU7oxkNJ0hDGby9A1plU,spotify:track:5KBU7oxkNJ0hDGby9A1plU,https://api.spotify.com/v1/tracks/5KBU7oxkNJ0hDGby9A1plU,https://api.spotify.com/v1/audio-analysis/5KBU7oxkNJ0hDGby9A1plU,219293,4,41
0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,audio_features,0q6LuUqGLUiCPP1cbdwFs3,spotify:track:0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/tracks/0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/audio-analysis/0q6LuUqGLUiCPP1cbdwFs3,233867,4,72
