danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.574,0.536,11,-7.291,1,0.0323,0.311,0,0.222,0.158,118.199,audio_features,1UebLMXVLAaAYoFXxegCIP,spotify:track:1UebLMXVLAaAYoFXxegCIP,https://api.spotify.com/v1/tracks/1UebLMXVLAaAYoFXxegCIP,https://api.spotify.com/v1/audio-analysis/1UebLMXVLAaAYoFXxegCIP,241280,4,63
0.326,0.139,5,-19.668,1,0.0381,0.978,3.65e-06,0.102,0.0931,120.384,audio_features,299lFlaAsNQdgbIZNPmIA0,spotify:track:299lFlaAsNQdgbIZNPmIA0,https://api.spotify.com/v1/tracks/299lFlaAsNQdgbIZNPmIA0,https://api.spotify.com/v1/audio-analysis/299lFlaAsNQdgbIZNPmIA0,166387,5,73
0.273,0.161,6,-16.091,1,0.0357,0.961,0.000905,0.112,0.111,64.16,audio_features,4eqne0oIdt9GW2ubiliny0,spotify:track:4eqne0oIdt9GW2ubiliny0,https://api.spotify.com/v1/tracks/4eqne0oIdt9GW2ubiliny0,https://api.spotify.com/v1/audio-analysis/4eqne0oIdt9GW2ubiliny0,162200,4,74
0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,audio_features,0bYg9bo50gSsH3LtXe2SQn,spotify:track:0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,241107,4,90
0.243,0.473,9,-7.264,1,0.0302,0.528,0,0.147,0.314,83.45,audio_features,39U7B0R0KO32dfKrekx0gb,spotify:track:39U7B0R0KO32dfKrekx0gb,https://api.spotify.com/v1/tracks/39U7B0R0KO32dfKrekx0gb,https://api.spotify.com/v1/audio-analysis/39U7B0R0KO32dfKrekx0gb,260053,3,55
0.389,0.343,10,-9.571,1,0.0299,0.614,0,0.127,0.112,110.314,audio_features,1msuiw6pnXYfxZ7Edyit9U,spotify:track:1msuiw6pnXYfxZ7Edyit9U,https://api.spotify.com/v1/tracks/1msuiw6pnXYfxZ7Edyit9U,https://api.spotify.com/v1/audio-analysis/1msuiw6pnXYfxZ7Edyit9U,247040,4,65
0.359,0.121,3,-15.512,1,0.0481,0.85,0.00028,0.255,0.151,146.271,audio_features,2yi7HZrBOC4bMUSTcs4VK6,spotify:track:2yi7HZrBOC4bMUSTcs4VK6,https://api.spotify.com/v1/tracks/2yi7HZrBOC4bMUSTcs4VK6,https://api.spotify.com/v1/audio-analysis/2yi7HZrBOC4bMUSTcs4VK6,206507,3,66
0.692,0.762,0,-4.867,1,0.0342,0.424,1.27e-05,0.181,0.961,146.673,audio_features,2QpN1ZVw8eJO5f7WcvUA1k,spotify:track:2QpN1ZVw8eJO5f7WcvUA1k,https://api.spotify.com/v1/tracks/2QpN1ZVw8eJO5f7WcvUA1k,https://api.spotify.com/v1/audio-analysis/2QpN1ZVw8eJO5f7WcvUA1k,144013,4,63
0.261,0.143,9,-16.363,1,0.0364,0.675,0.272,0.349,0.236,91.387,audio_features,4so0Wek9Ig1p6CRCHuINwW,spotify:track:4so0Wek9Ig1p6CRCHuINwW,https://api.spotify.com/v1/tracks/4so0Wek9Ig1p6CRCHuINwW,https://api.spotify.com/v1/audio-analysis/4so0Wek9Ig1p6CRCHuINwW,177480,4,74
0.539,0.488,8,-6.864,1,0.0318,0.556,0,0.122,0.378,137.073,audio_features,0qcr5FMsEO85NAQjrlDRKo,spotify:track:0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/tracks/0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/audio-analysis/0qcr5FMsEO85NAQjrlDRKo,223840,4,68
0.763,0.36,10,-9.0,1,0.0412,0.935,0,0.292,0.595,119.798,audio_features,2dBFbWIhXENzzXR1lrbSou,spotify:track:2dBFbWIhXENzzXR1lrbSou,https://api.spotify.com/v1/tracks/2dBFbWIhXENzzXR1lrbSou,https://api.spotify.com/v1/audio-analysis/2dBFbWIhXENzzXR1lrbSou,46613,4,55
0.618,0.902,1,-6.841,1,0.0668,0.0171,0,0.0588,0.825,161.979,audio_features,3PfnmqhEx1Uuq1Xit5gz6x,spotify:track:3PfnmqhEx1Uuq1Xit5gz6x,https://api.spotify.com/v1/tracks/3PfnmqhEx1Uuq1Xit5gz6x,https://api.spotify.com/v1/audio-analysis/3PfnmqhEx1Uuq1Xit5gz6x,183813,4,54
0.636,0.947,8,-4.264,1,0.0379,0.0202,0,0.0787,0.963,149.987,audio_features,4hsYRjx8vhJAtg2mh0WqSs,spotify:track:4hsYRjx8vhJAtg2mh0WqSs,https://api.spotify.com/v1/tracks/4hsYRjx8vhJAtg2mh0WqSs,https://api.spotify.com/v1/audio-analysis/4hsYRjx8vhJAtg2mh0WqSs,189293,4,53
0.31,0.354,1,-8.656,1,0.0281,0.797,1.4e-06,0.132,0.161,98.676,audio_features,5AnYmaXPbS3wMjWedZpeY0,spotify:track:5AnYmaXPbS3wMjWedZpeY0,https://api.spotify.com/v1/tracks/5AnYmaXPbS3wMjWedZpeY0,https://api.spotify.com/v1/audio-analysis/5AnYmaXPbS3wMjWedZpeY0,181733,4,54
0.246,0.262,5,-14.647,1,0.0353,0.948,0.902,0.0773,0.0775,74.278,audio_features,0koXQGwCPd1edrHBtTyK28,spotify:track:0koXQGwCPd1edrHBtTyK28,https://api.spotify.com/v1/tracks/0koXQGwCPd1edrHBtTyK28,https://api.spotify.com/v1/audio-analysis/0koXQGwCPd1edrHBtTyK28,248667,4,53
0.39,0.393,1,-14.118,1,0.0404,0.756,0.93,0.169,0.675,80.614,audio_features,0MmNrhvLcoWjo7AOr0vgka,spotify:track:0MmNrhvLcoWjo7AOr0vgka,https://api.spotify.com/v1/tracks/0MmNrhvLcoWjo7AOr0vgka,https://api.spotify.com/v1/audio-analysis/0MmNrhvLcoWjo7AOr0vgka,185453,4,67
0.407,0.249,0,-14.734,1,0.0487,0.737,0.00341,0.158,0.203,169.051,audio_features,7bFasoOqH6U9g8k3WlYy1X,spotify:track:7bFasoOqH6U9g8k3WlYy1X,https://api.spotify.com/v1/tracks/7bFasoOqH6U9g8k3WlYy1X,https://api.spotify.com/v1/audio-analysis/7bFasoOqH6U9g8k3WlYy1X,194280,4,52
0.411,0.383,0,-9.711,1,0.0344,0.517,0.23,0.122,0.183,139.371,audio_features,4Fmg9sO4dHkq4xirCi8aKe,spotify:track:4Fmg9sO4dHkq4xirCi8aKe,https://api.spotify.com/v1/tracks/4Fmg9sO4dHkq4xirCi8aKe,https://api.spotify.com/v1/audio-analysis/4Fmg9sO4dHkq4xirCi8aKe,205627,4,52
0.393,0.74,9,-8.676,1,0.0432,0.264,0,0.0729,0.481,145.378,audio_features,5umJVEAPT2SocCoB99ZoaH,spotify:track:5umJVEAPT2SocCoB99ZoaH,https://api.spotify.com/v1/tracks/5umJVEAPT2SocCoB99ZoaH,https://api.spotify.com/v1/audio-analysis/5umJVEAPT2SocCoB99ZoaH,212400,4,60
0.499,0.589,0,-9.057,1,0.0532,0.207,0,0.0849,0.68,167.032,audio_features,3KQZfTzm43Z1fqTr3YjmBO,spotify:track:3KQZfTzm43Z1fqTr3YjmBO,https://api.spotify.com/v1/tracks/3KQZfTzm43Z1fqTr3YjmBO,https://api.spotify.com/v1/audio-analysis/3KQZfTzm43Z1fqTr3YjmBO,148307,4,62
0.663,0.609,10,-8.079,0,0.0515,0.284,0,0.351,0.541,88.998,audio_features,0Tvb3mQASB2LpcB28aELxy,spotify:track:0Tvb3mQASB2LpcB28aELxy,https://api.spotify.com/v1/tracks/0Tvb3mQASB2LpcB28aELxy,https://api.spotify.com/v1/audio-analysis/0Tvb3mQASB2LpcB28aELxy,246987,4,53
0.633,0.843,8,-6.503,1,0.124,0.11,0,0.0945,0.27,124.996,audio_features,6e5tFqecaUUENQWIm0IQUq,spotify:track:6e5tFqecaUUENQWIm0IQUq,https://api.spotify.com/v1/tracks/6e5tFqecaUUENQWIm0IQUq,https://api.spotify.com/v1/audio-analysis/6e5tFqecaUUENQWIm0IQUq,227573,4,54
0.533,0.397,1,-7.603,1,0.027,0.583,0,0.13,0.236,99.824,audio_features,0uTVChzibEWKrXojPaJ9y1,spotify:track:0uTVChzibEWKrXojPaJ9y1,https://api.spotify.com/v1/tracks/0uTVChzibEWKrXojPaJ9y1,https://api.spotify.com/v1/audio-analysis/0uTVChzibEWKrXojPaJ9y1,217680,4,59
0.236,0.937,0,-5.714,1,0.198,0.681,0.859,0.623,0.562,181.108,audio_features,0sPP0It2OTzRUuglsnSKOf,spotify:track:0sPP0It2OTzRUuglsnSKOf,https://api.spotify.com/v1/tracks/0sPP0It2OTzRUuglsnSKOf,https://api.spotify.com/v1/audio-analysis/0sPP0It2OTzRUuglsnSKOf,108971,3,50
0.227,0.158,7,-17.41,1,0.0422,0.964,0.922,0.121,0.184,84.218,audio_features,6cBRSh2shobQZ6YlTbiGTC,spotify:track:6cBRSh2shobQZ6YlTbiGTC,https://api.spotify.com/v1/tracks/6cBRSh2shobQZ6YlTbiGTC,https://api.spotify.com/v1/audio-analysis/6cBRSh2shobQZ6YlTbiGTC,175787,4,51
0.626,0.906,0,-2.502,1,0.0392,0.0354,0,0.12,0.833,155.139,audio_features,6ZSMswxL6KmDFiTD8xCmN4,spotify:track:6ZSMswxL6KmDFiTD8xCmN4,https://api.spotify.com/v1/tracks/6ZSMswxL6KmDFiTD8xCmN4,https://api.spotify.com/v1/audio-analysis/6ZSMswxL6KmDFiTD8xCmN4,199413,4,53
0.604,0.474,5,-7.937,1,0.042,0.681,0,0.125,0.849,127.976,audio_features,6NgLbE1QD8M8jUoK5Xqhwd,spotify:track:6NgLbE1QD8M8jUoK5Xqhwd,https://api.spotify.com/v1/tracks/6NgLbE1QD8M8jUoK5Xqhwd,https://api.spotify.com/v1/audio-analysis/6NgLbE1QD8M8jUoK5Xqhwd,214053,4,51
0.303,0.162,7,-15.467,1,0.0425,0.905,0.0065,0.112,0.398,187.669,audio_features,4ZEUe2d1foQdbsNdgQXZlS,spotify:track:4ZEUe2d1foQdbsNdgQXZlS,https://api.spotify.com/v1/tracks/4ZEUe2d1foQdbsNdgQXZlS,https://api.spotify.com/v1/audio-analysis/4ZEUe2d1foQdbsNdgQXZlS,170293,4,53
0.283,0.243,6,-15.178,1,0.0316,0.964,0.000381,0.341,0.338,86.799,audio_features,4BgkhT5HythXhIBqU2WvhX,spotify:track:4BgkhT5HythXhIBqU2WvhX,https://api.spotify.com/v1/tracks/4BgkhT5HythXhIBqU2WvhX,https://api.spotify.com/v1/audio-analysis/4BgkhT5HythXhIBqU2WvhX,186067,4,69
0.225,0.248,9,-15.871,1,0.0337,0.912,0.000143,0.404,0.19,96.013,audio_features,01h424WG38dgY34vkI3Yd0,spotify:track:01h424WG38dgY34vkI3Yd0,https://api.spotify.com/v1/tracks/01h424WG38dgY34vkI3Yd0,https://api.spotify.com/v1/audio-analysis/01h424WG38dgY34vkI3Yd0,183613,4,68
0.533,0.478,5,-10.863,1,0.0593,0.844,8.81e-06,0.505,0.467,81.09,audio_features,3fytQQcjEOWXlvI9BDXVcK,spotify:track:3fytQQcjEOWXlvI9BDXVcK,https://api.spotify.com/v1/tracks/3fytQQcjEOWXlvI9BDXVcK,https://api.spotify.com/v1/audio-analysis/3fytQQcjEOWXlvI9BDXVcK,185573,3,57
0.676,0.56,8,-6.281,1,0.0611,0.652,0,0.462,0.828,141.285,audio_features,28fuXrmmF9dYWx25dMW9dP,spotify:track:28fuXrmmF9dYWx25dMW9dP,https://api.spotify.com/v1/tracks/28fuXrmmF9dYWx25dMW9dP,https://api.spotify.com/v1/audio-analysis/28fuXrmmF9dYWx25dMW9dP,124520,4,77
