danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.698,0.48,6,-6.162,1,0.0502,0.764,0,0.304,0.679,113.979,audio_features,438duiec0gQXAN50WW5aaS,spotify:track:438duiec0gQXAN50WW5aaS,https://api.spotify.com/v1/tracks/438duiec0gQXAN50WW5aaS,https://api.spotify.com/v1/audio-analysis/438duiec0gQXAN50WW5aaS,174560,4,54
0.519,0.334,11,-10.214,1,0.035,0.558,0,0.0914,0.216,109.637,audio_features,0bMsfvjIPiQ8L0nNqoNqm8,spotify:track:0bMsfvjIPiQ8L0nNqoNqm8,https://api.spotify.com/v1/tracks/0bMsfvjIPiQ8L0nNqoNqm8,https://api.spotify.com/v1/audio-analysis/0bMsfvjIPiQ8L0nNqoNqm8,157663,4,51
0.297,0.17,1,-16.76,1,0.0331,0.48,2.62e-05,0.0732,0.158,202.038,audio_features,64ArvdniI0ku7QdYORA7Td,spotify:track:64ArvdniI0ku7QdYORA7Td,https://api.spotify.com/v1/tracks/64ArvdniI0ku7QdYORA7Td,https://api.spotify.com/v1/audio-analysis/64ArvdniI0ku7QdYORA7Td,193240,3,49
0.153,0.347,7,-6.981,1,0.031,0.777,1.24e-05,0.119,0.166,76.007,audio_features,5snVLlkq2g6xMRGWJNgupo,spotify:track:5snVLlkq2g6xMRGWJNgupo,https://api.spotify.com/v1/tracks/5snVLlkq2g6xMRGWJNgupo,https://api.spotify.com/v1/audio-analysis/5snVLlkq2g6xMRGWJNgupo,151867,3,51
0.549,0.469,5,-8.586,0,0.0409,0.511,0,0.314,0.501,108.176,audio_features,1ADBrQVLpNDALKtoEFIeSJ,spotify:track:1ADBrQVLpNDALKtoEFIeSJ,https://api.spotify.com/v1/tracks/1ADBrQVLpNDALKtoEFIeSJ,https://api.spotify.com/v1/audio-analysis/1ADBrQVLpNDALKtoEFIeSJ,233000,3,48
0.346,0.802,11,-5.135,0,0.133,0.143,0,0.207,0.624,179.547,audio_features,3DzYn4QDEQcyLMD1DQTbYw,spotify:track:3DzYn4QDEQcyLMD1DQTbYw,https://api.spotify.com/v1/tracks/3DzYn4QDEQcyLMD1DQTbYw,https://api.spotify.com/v1/audio-analysis/3DzYn4QDEQcyLMD1DQTbYw,169093,3,66
0.512,0.831,2,-9.004,1,0.0383,0.552,0,0.336,0.963,148.82,audio_features,0oPdaY4dXtc3ZsaG17V972,spotify:track:0oPdaY4dXtc3ZsaG17V972,https://api.spotify.com/v1/tracks/0oPdaY4dXtc3ZsaG17V972,https://api.spotify.com/v1/audio-analysis/0oPdaY4dXtc3ZsaG17V972,182067,4,72
0.628,0.679,7,-4.658,1,0.0264,0.068,0,0.132,0.649,128.067,audio_features,3qPX3r2k0ioIzM7f7u1CX3,spotify:track:3qPX3r2k0ioIzM7f7u1CX3,https://api.spotify.com/v1/tracks/3qPX3r2k0ioIzM7f7u1CX3,https://api.spotify.com/v1/audio-analysis/3qPX3r2k0ioIzM7f7u1CX3,189320,4,53
0.656,0.542,0,-11.205,1,0.155,0.424,1.47e-06,0.0981,0.84,181.084,audio_features,2l9OCqqyFghMIMOqoDDvfr,spotify:track:2l9OCqqyFghMIMOqoDDvfr,https://api.spotify.com/v1/tracks/2l9OCqqyFghMIMOqoDDvfr,https://api.spotify.com/v1/audio-analysis/2l9OCqqyFghMIMOqoDDvfr,198293,4,53
0.513,0.53,6,-7.884,0,0.0253,0.182,0,0.307,0.275,78.949,audio_features,27hna4BQLPBoLRAs19te8Z,spotify:track:27hna4BQLPBoLRAs19te8Z,https://api.spotify.com/v1/tracks/27hna4BQLPBoLRAs19te8Z,https://api.spotify.com/v1/audio-analysis/27hna4BQLPBoLRAs19te8Z,189640,4,46
0.215,0.353,6,-8.084,1,0.0277,0.662,2.69e-05,0.407,0.207,89.201,audio_features,5XdtbNJcOIYc2pLMaQdCmQ,spotify:track:5XdtbNJcOIYc2pLMaQdCmQ,https://api.spotify.com/v1/tracks/5XdtbNJcOIYc2pLMaQdCmQ,https://api.spotify.com/v1/audio-analysis/5XdtbNJcOIYc2pLMaQdCmQ,204987,3,49
0.615,0.722,7,-9.93,1,0.0544,0.135,0.000235,0.0778,0.664,146.833,audio_features,2LEYQVLtR0RXIAizv2f1Q0,spotify:track:2LEYQVLtR0RXIAizv2f1Q0,https://api.spotify.com/v1/tracks/2LEYQVLtR0RXIAizv2f1Q0,https://api.spotify.com/v1/audio-analysis/2LEYQVLtR0RXIAizv2f1Q0,201107,4,48
0.444,0.358,2,-8.484,1,0.0304,0.488,6.08e-05,0.091,0.377,175.022,audio_features,4fv9HM6Uefi8RCkz2ZK0Ia,spotify:track:4fv9HM6Uefi8RCkz2ZK0Ia,https://api.spotify.com/v1/tracks/4fv9HM6Uefi8RCkz2ZK0Ia,https://api.spotify.com/v1/audio-analysis/4fv9HM6Uefi8RCkz2ZK0Ia,213813,4,53
0.727,0.575,10,-5.183,1,0.0268,0.325,5.81e-05,0.0886,0.612,89.955,audio_features,7MkCPANDP260pIOHQnvSvT,spotify:track:7MkCPANDP260pIOHQnvSvT,https://api.spotify.com/v1/tracks/7MkCPANDP260pIOHQnvSvT,https://api.spotify.com/v1/audio-analysis/7MkCPANDP260pIOHQnvSvT,199933,1,53
0.759,0.314,7,-14.658,1,0.0569,0.656,0.0133,0.11,0.722,147.937,audio_features,3wRVaV3s88kHd8LjTCQvcb,spotify:track:3wRVaV3s88kHd8LjTCQvcb,https://api.spotify.com/v1/tracks/3wRVaV3s88kHd8LjTCQvcb,https://api.spotify.com/v1/audio-analysis/3wRVaV3s88kHd8LjTCQvcb,143840,4,49
0.389,0.343,10,-9.571,1,0.0299,0.614,0,0.127,0.112,110.314,audio_features,1msuiw6pnXYfxZ7Edyit9U,spotify:track:1msuiw6pnXYfxZ7Edyit9U,https://api.spotify.com/v1/tracks/1msuiw6pnXYfxZ7Edyit9U,https://api.spotify.com/v1/audio-analysis/1msuiw6pnXYfxZ7Edyit9U,247040,4,65
0.691,0.584,10,-5.585,1,0.0325,0.71,0,0.272,0.67,122.065,audio_features,3o5IChTvWMLHXkmnlSYI5z,spotify:track:3o5IChTvWMLHXkmnlSYI5z,https://api.spotify.com/v1/tracks/3o5IChTvWMLHXkmnlSYI5z,https://api.spotify.com/v1/audio-analysis/3o5IChTvWMLHXkmnlSYI5z,133293,4,41
0.263,0.337,7,-9.404,1,0.0277,0.567,3.23e-06,0.301,0.125,102.023,audio_features,4prnA7EHwsZoh0q1o5bWaY,spotify:track:4prnA7EHwsZoh0q1o5bWaY,https://api.spotify.com/v1/tracks/4prnA7EHwsZoh0q1o5bWaY,https://api.spotify.com/v1/audio-analysis/4prnA7EHwsZoh0q1o5bWaY,192200,4,48
